,epoch,times,negative ll,purity,cluster_partition
0,0,-150251.90204000002,181760.328125,0.4375,0.0
1,1,-73338.08171999999,172936.265625,0.5425,0.0
2,2,-94613.73504000003,189234.5,0.6656250000000001,0.0
3,3,-116137.42461999998,183888.515625,0.67625,0.0
4,4,-137342.31556,181348.28125,0.721875,0.0
5,5,-158694.68164000005,181931.453125,0.77,0.0
6,6,-179944.35700000002,183050.53125,0.8037500000000001,0.0
7,7,-180034.53376000005,184610.84375,0.8450000000000001,0.0
8,8,-180118.46640000003,184875.84375,0.884375,0.0
9,9,-180079.9972399998,185681.0625,0.923125,0.0
