,cluster_id,seqlength,zhu_cluster
0,7,3,6.0
1,7,6,4.0
2,5,3,0.0
3,7,2,5.0
4,3,3,8.0
5,3,10,9.0
6,1,3,6.0
7,8,4,6.0
8,0,3,4.0
9,6,2,9.0
10,5,4,3.0
11,7,2,6.0
12,6,2,2.0
13,7,5,6.0
14,7,5,6.0
15,3,2,7.0
16,6,5,0.0
17,8,3,6.0
18,1,3,1.0
19,6,5,0.0
20,2,2,9.0
21,1,3,4.0
22,5,4,4.0
23,7,4,6.0
24,6,4,4.0
25,7,2,4.0
26,3,2,6.0
27,2,6,9.0
28,1,2,4.0
29,1,4,6.0
30,7,2,6.0
31,6,3,5.0
32,6,2,2.0
33,6,2,5.0
34,7,2,2.0
35,1,4,1.0
36,1,5,0.0
37,8,2,5.0
38,8,3,0.0
39,8,2,5.0
40,1,3,1.0
41,1,3,1.0
42,8,2,0.0
43,8,7,0.0
44,8,2,0.0
45,8,4,5.0
46,5,4,6.0
47,8,2,0.0
48,7,3,5.0
49,4,3,0.0
50,5,2,7.0
51,7,4,4.0
52,7,3,4.0
53,3,2,5.0
54,1,3,1.0
55,8,4,0.0
56,6,3,0.0
57,3,2,3.0
58,7,2,2.0
59,5,2,8.0
60,2,2,9.0
61,6,3,4.0
62,0,2,2.0
63,7,7,8.0
64,6,2,3.0
65,7,3,0.0
66,7,2,4.0
67,7,2,2.0
68,2,2,3.0
69,2,4,8.0
70,8,4,4.0
71,7,2,6.0
72,3,2,3.0
73,1,5,1.0
74,6,4,0.0
75,7,3,9.0
76,3,3,7.0
77,5,4,7.0
78,6,2,2.0
79,6,2,6.0
80,5,2,7.0
81,8,3,9.0
82,4,2,0.0
83,7,2,5.0
84,8,3,0.0
85,7,2,2.0
86,1,2,1.0
87,8,4,0.0
88,6,5,0.0
89,0,5,8.0
90,6,3,9.0
91,5,2,7.0
92,0,2,2.0
93,6,4,4.0
94,7,2,7.0
95,2,2,7.0
96,5,2,8.0
97,7,2,9.0
98,5,2,3.0
99,2,2,3.0
100,6,3,6.0
101,8,4,5.0
102,7,4,4.0
103,6,2,1.0
104,5,2,5.0
105,2,2,8.0
106,8,4,5.0
107,6,4,0.0
108,1,4,4.0
109,2,6,9.0
110,1,3,4.0
111,2,2,9.0
112,5,2,0.0
113,6,3,1.0
114,5,2,4.0
115,7,2,4.0
116,7,2,6.0
117,2,4,6.0
118,2,4,8.0
119,1,2,1.0
120,6,4,0.0
121,8,3,0.0
122,8,4,1.0
123,6,2,7.0
124,0,2,2.0
125,3,2,5.0
126,7,2,5.0
127,1,2,1.0
128,1,3,0.0
129,6,3,6.0
130,2,3,3.0
131,7,2,0.0
