,epoch,times,negative ll,purity,cluster_partition
0,0,-15680.34636,42051.19921875,0.21350000000000002,0.0
1,1,-24172.272539999998,40117.97265625,0.24849999999999997,0.0
2,2,-12094.2533,41013.78125,0.28800000000000003,0.0
3,3,-11815.571519999994,41119.0,0.32549999999999996,0.0
4,4,-16012.371320000002,41095.78125,0.3539999999999999,0.0
5,5,-22623.782039999987,41285.84765625,0.36849999999999994,0.0
6,6,-39097.643599999996,41498.03515625,0.3695,0.0
7,7,-39224.960439999995,41743.28515625,0.368,0.0
8,8,-51443.34288000002,42061.98046875,0.3715,0.0
9,9,-76841.95916,42410.03515625,0.373,0.0
