,epoch,times,negative ll,purity,cluster_partition
0,0,-255547.70162,310992.21875,0.376,0.0
1,1,-156329.69813999996,229517.34375,0.4535,0.0
2,2,-197094.11073999997,232451.78125,0.48250000000000004,0.0
3,3,-238302.61803999994,240013.5,0.6375,0.0
4,4,-279447.81415999995,243698.0,0.6799999999999999,0.0
5,5,-320099.67764,243549.984375,0.6995,0.0
6,6,-361127.3017599998,243850.09375,0.708,0.0
7,7,-360886.97595999984,243753.640625,0.71,0.0
8,8,-360756.59102000005,243630.46875,0.703,0.0
9,9,-360766.29975999997,243548.390625,0.6930000000000001,0.0
