,epoch,times,negative ll,purity,cluster_partition
0,0,-183983.78162000008,204688.859375,0.6925,0.0
1,1,-114286.00160000002,120683.5859375,0.6183333333333334,0.0
2,2,-143936.35353999998,112423.1015625,0.6375,0.0
3,3,-174054.2752800003,117545.3515625,0.8508333333333334,0.0
4,4,-203482.01640000043,122191.5390625,0.9383333333333334,0.0
5,5,-233647.77709999995,124077.109375,0.9708333333333334,0.0
6,6,-263212.6337,124561.5703125,0.9766666666666667,0.0
7,7,-262803.99478000007,124655.765625,0.98,0.0
8,8,-262626.7531999998,124680.875,0.9825000000000002,0.0
9,9,-262659.5640199998,124678.6171875,0.9825,0.0
