,cluster_id,seqlength,zhu_cluster
0,0,59,5.0
1,0,48,5.0
2,0,55,5.0
3,0,43,9.0
4,0,50,5.0
5,0,53,2.0
6,0,44,7.0
7,0,62,9.0
8,0,68,5.0
9,0,50,9.0
10,0,49,2.0
11,0,53,5.0
12,0,55,9.0
13,0,46,7.0
14,0,54,5.0
15,0,49,7.0
16,0,58,7.0
17,0,70,9.0
18,0,52,9.0
19,0,61,5.0
20,0,50,2.0
21,0,49,5.0
22,0,59,7.0
23,0,49,9.0
24,0,50,9.0
25,0,51,7.0
26,0,59,5.0
27,0,42,5.0
28,0,59,7.0
29,0,57,5.0
30,0,60,9.0
31,0,63,9.0
32,0,54,7.0
33,0,60,9.0
34,0,54,9.0
35,0,42,2.0
36,0,52,5.0
37,0,51,7.0
38,0,50,2.0
39,0,57,9.0
40,0,46,2.0
41,0,40,9.0
42,0,48,7.0
43,0,58,9.0
44,0,41,7.0
45,0,54,7.0
46,0,63,5.0
47,0,68,5.0
48,0,53,9.0
49,0,53,9.0
50,0,52,5.0
51,0,39,2.0
52,0,58,7.0
53,0,48,0.0
54,0,56,7.0
55,0,47,2.0
56,0,57,5.0
57,0,55,9.0
58,0,51,7.0
59,0,45,9.0
60,0,55,5.0
61,0,50,5.0
62,0,58,7.0
63,0,58,9.0
64,0,48,7.0
65,0,53,7.0
66,0,54,5.0
67,0,49,7.0
68,0,56,7.0
69,0,47,9.0
70,0,46,7.0
71,0,50,7.0
72,0,52,7.0
73,0,63,9.0
74,0,49,2.0
75,0,65,9.0
76,0,61,5.0
77,0,46,2.0
78,0,47,9.0
79,0,62,5.0
80,0,40,5.0
81,0,52,0.0
82,0,46,7.0
83,0,44,2.0
84,0,58,9.0
85,0,50,7.0
86,0,47,2.0
87,0,48,9.0
88,0,56,9.0
89,0,56,9.0
90,0,54,7.0
91,0,45,7.0
92,0,46,9.0
93,0,55,9.0
94,0,56,9.0
95,0,61,9.0
96,0,59,5.0
97,0,47,7.0
98,0,52,7.0
99,0,63,5.0
100,0,48,9.0
101,0,53,9.0
102,0,57,5.0
103,0,53,7.0
104,0,48,9.0
105,0,55,7.0
106,0,57,7.0
107,0,54,9.0
108,0,53,5.0
109,0,49,7.0
110,0,48,2.0
111,0,46,0.0
112,0,58,7.0
113,0,58,5.0
114,0,53,2.0
115,0,48,2.0
116,0,56,7.0
117,0,42,2.0
118,0,63,7.0
119,0,48,5.0
120,0,60,5.0
121,0,59,9.0
122,0,59,5.0
123,0,53,5.0
124,0,57,9.0
125,0,53,7.0
126,0,50,7.0
127,0,44,9.0
128,0,59,9.0
129,0,50,5.0
130,0,47,5.0
131,0,44,2.0
132,0,56,5.0
133,0,53,7.0
134,0,42,9.0
135,0,45,5.0
136,0,46,5.0
137,0,52,5.0
138,0,54,0.0
139,0,38,2.0
140,0,58,7.0
141,0,57,9.0
142,0,57,9.0
143,0,56,9.0
144,0,44,0.0
145,0,65,5.0
146,0,66,5.0
147,0,61,7.0
148,0,57,5.0
149,0,51,9.0
150,0,61,5.0
151,0,42,2.0
152,0,51,9.0
153,0,55,5.0
154,0,42,2.0
155,0,50,9.0
156,0,49,5.0
157,0,52,7.0
158,0,65,9.0
159,0,50,5.0
160,0,46,9.0
161,0,72,9.0
162,0,54,2.0
163,0,66,5.0
164,0,69,5.0
165,0,68,5.0
166,0,49,5.0
167,0,55,9.0
168,0,49,7.0
169,0,50,2.0
170,0,55,9.0
171,0,54,7.0
172,0,60,5.0
173,0,53,5.0
174,0,50,7.0
175,0,55,9.0
176,0,59,5.0
177,0,48,2.0
178,0,50,5.0
179,0,51,0.0
180,0,59,0.0
181,0,49,7.0
182,0,42,7.0
183,0,46,7.0
184,0,48,9.0
185,0,59,9.0
186,0,50,2.0
187,0,53,2.0
188,0,52,9.0
189,0,56,9.0
190,0,67,5.0
191,0,60,9.0
192,0,57,9.0
193,0,54,9.0
194,0,54,7.0
195,0,74,5.0
196,0,46,9.0
197,0,45,7.0
198,0,62,7.0
199,0,58,7.0
200,0,51,5.0
201,0,71,9.0
202,0,51,9.0
203,0,45,9.0
204,0,43,0.0
205,0,51,7.0
206,0,47,9.0
207,0,58,5.0
208,0,49,5.0
209,0,56,7.0
210,0,57,7.0
211,0,49,7.0
212,0,33,2.0
213,0,59,7.0
214,0,46,7.0
215,0,41,2.0
216,0,48,2.0
217,0,45,5.0
218,0,53,2.0
219,0,48,2.0
220,0,65,9.0
221,0,47,7.0
222,0,63,7.0
223,0,48,2.0
224,0,51,5.0
225,0,60,5.0
226,0,56,7.0
227,0,53,7.0
228,0,46,5.0
229,0,35,2.0
230,0,46,2.0
231,0,50,9.0
232,0,50,5.0
233,0,50,7.0
234,0,60,5.0
235,0,54,7.0
236,0,50,2.0
237,0,39,0.0
238,0,55,9.0
239,0,52,2.0
240,0,62,5.0
241,0,65,5.0
242,0,60,5.0
243,0,54,9.0
244,0,51,7.0
245,0,57,9.0
246,0,51,9.0
247,0,55,9.0
248,0,57,7.0
249,0,60,5.0
250,0,52,7.0
251,0,43,2.0
252,0,51,5.0
253,0,50,5.0
254,0,56,9.0
255,0,62,5.0
256,0,56,5.0
257,0,44,5.0
258,0,52,5.0
259,0,47,7.0
260,0,51,5.0
261,0,71,7.0
262,0,52,9.0
263,0,50,7.0
264,0,46,5.0
265,0,58,5.0
266,0,59,5.0
267,0,65,9.0
268,0,54,7.0
269,0,52,9.0
270,0,55,5.0
271,0,50,5.0
272,0,54,5.0
273,0,57,0.0
274,0,62,9.0
275,0,48,2.0
276,0,48,7.0
277,0,51,9.0
278,0,53,7.0
279,0,49,5.0
280,0,54,9.0
281,0,55,5.0
282,0,56,9.0
283,0,63,5.0
284,0,54,7.0
285,0,42,2.0
286,0,48,9.0
287,0,48,7.0
288,0,42,2.0
289,0,57,5.0
290,0,54,7.0
291,0,66,7.0
292,0,60,5.0
293,0,71,5.0
294,0,50,9.0
295,0,49,7.0
296,0,60,5.0
297,0,44,2.0
298,0,41,7.0
299,0,45,0.0
300,0,57,7.0
301,0,66,5.0
302,0,61,2.0
303,0,50,7.0
304,0,60,5.0
305,0,55,5.0
306,0,55,9.0
307,0,48,5.0
308,0,61,0.0
309,0,53,9.0
310,0,58,5.0
311,0,49,7.0
312,0,47,2.0
313,0,60,5.0
314,0,51,0.0
315,0,43,2.0
316,0,46,2.0
317,0,62,5.0
318,0,48,9.0
319,0,51,7.0
320,0,51,5.0
321,0,55,7.0
322,0,61,5.0
323,0,58,5.0
324,0,48,2.0
325,0,43,2.0
326,0,47,9.0
327,0,54,7.0
328,0,57,5.0
329,0,50,9.0
330,0,38,2.0
331,0,57,5.0
332,0,46,9.0
333,0,65,5.0
334,0,56,7.0
335,0,54,7.0
336,0,52,9.0
337,0,60,5.0
338,0,61,9.0
339,0,47,2.0
340,0,48,2.0
341,0,63,5.0
342,0,55,2.0
343,0,46,5.0
344,0,49,5.0
345,0,68,7.0
346,0,63,7.0
347,0,63,9.0
348,0,63,9.0
349,0,49,9.0
350,0,58,5.0
351,0,55,9.0
352,0,63,5.0
353,0,52,7.0
354,0,61,2.0
355,0,67,7.0
356,0,49,0.0
357,0,58,5.0
358,0,39,9.0
359,0,51,2.0
360,0,65,5.0
361,0,60,7.0
362,0,60,9.0
363,0,57,7.0
364,0,58,5.0
365,0,58,0.0
366,0,53,5.0
367,0,64,9.0
368,0,48,7.0
369,0,57,5.0
370,0,51,5.0
371,0,48,2.0
372,0,59,7.0
373,0,59,5.0
374,0,52,0.0
375,0,49,9.0
376,0,47,9.0
377,0,56,7.0
378,0,55,9.0
379,0,52,5.0
380,0,55,5.0
381,0,58,7.0
382,0,62,5.0
383,0,55,9.0
384,0,44,7.0
385,0,59,7.0
386,0,46,5.0
387,0,50,9.0
388,0,50,5.0
389,0,58,9.0
390,0,51,9.0
391,0,42,0.0
392,0,48,7.0
393,0,66,5.0
394,0,47,5.0
395,0,59,7.0
396,0,55,5.0
397,0,40,2.0
398,0,57,9.0
399,0,57,7.0
400,1,54,3.0
401,1,60,6.0
402,1,50,6.0
403,1,46,3.0
404,1,55,3.0
405,1,58,6.0
406,1,52,6.0
407,1,49,6.0
408,1,43,3.0
409,1,50,3.0
410,1,67,6.0
411,1,53,6.0
412,1,48,3.0
413,1,62,3.0
414,1,45,6.0
415,1,58,3.0
416,1,60,6.0
417,1,53,3.0
418,1,38,6.0
419,1,48,3.0
420,1,61,6.0
421,1,67,3.0
422,1,49,3.0
423,1,59,6.0
424,1,40,3.0
425,1,46,3.0
426,1,42,3.0
427,1,41,3.0
428,1,59,6.0
429,1,59,3.0
430,1,49,6.0
431,1,46,3.0
432,1,58,6.0
433,1,42,3.0
434,1,52,3.0
435,1,57,3.0
436,1,57,3.0
437,1,61,6.0
438,1,42,3.0
439,1,48,3.0
440,1,55,6.0
441,1,61,6.0
442,1,52,3.0
443,1,52,6.0
444,1,42,3.0
445,1,45,3.0
446,1,39,3.0
447,1,61,6.0
448,1,48,6.0
449,1,35,3.0
450,1,57,6.0
451,1,54,6.0
452,1,58,3.0
453,1,53,6.0
454,1,65,6.0
455,1,50,6.0
456,1,58,6.0
457,1,57,6.0
458,1,57,6.0
459,1,50,6.0
460,1,49,6.0
461,1,57,6.0
462,1,47,3.0
463,1,54,6.0
464,1,60,3.0
465,1,50,6.0
466,1,61,3.0
467,1,68,3.0
468,1,44,3.0
469,1,59,6.0
470,1,58,6.0
471,1,50,3.0
472,1,52,6.0
473,1,55,6.0
474,1,50,3.0
475,1,59,6.0
476,1,47,3.0
477,1,48,6.0
478,1,53,3.0
479,1,41,3.0
480,1,52,6.0
481,1,55,6.0
482,1,51,3.0
483,1,59,6.0
