,epoch,times,negative ll,purity,cluster_partition
0,0,-160787.48162,183429.296875,0.44937499999999997,0.0
1,1,-86160.19958000001,142731.3125,0.47375,0.0
2,2,-110355.17441999997,164656.578125,0.885625,0.0
3,3,-134434.22181999995,165296.59375,0.984375,0.0
4,4,-158564.57988000003,164949.84375,0.99125,0.0
5,5,-182656.39033999993,164759.078125,0.99125,0.0
6,6,-206816.13048,164677.359375,0.99125,0.0
7,7,-206786.7857599999,164642.390625,0.99125,0.0
8,8,-206800.5959199999,164627.421875,0.9912500000000001,0.0
9,9,-206842.27753999992,164619.9375,0.99125,0.0
