,cluster_id,cluster_cohortney
0,1,2
1,1,1
2,0,3
3,3,3
4,3,2
5,2,1
6,2,1
7,0,2
8,0,3
9,1,2
10,1,2
11,2,1
12,0,3
13,0,3
14,3,1
15,2,1
16,3,1
17,0,3
18,3,1
19,3,2
20,3,0
21,0,3
22,2,1
23,2,3
24,1,1
25,1,1
26,3,3
27,2,3
28,2,3
29,1,2
30,1,1
31,3,0
32,3,3
33,1,0
34,0,2
35,1,2
36,2,2
37,0,2
38,1,1
39,3,2
40,0,1
41,3,0
42,3,0
43,1,2
44,2,2
45,3,2
46,3,2
47,0,1
48,1,2
49,1,2
50,2,2
51,2,2
52,2,2
53,3,2
54,2,2
55,1,2
56,3,0
57,0,2
58,1,1
59,0,2
60,0,3
61,1,2
62,1,1
63,2,2
64,1,3
65,0,3
66,1,1
67,2,3
68,2,3
69,2,3
70,3,3
71,0,3
72,2,3
73,3,3
74,1,1
75,1,3
76,1,3
77,2,0
78,3,0
79,2,3
80,0,3
81,1,3
82,3,3
83,1,1
84,3,3
85,3,3
86,3,2
87,3,3
88,2,3
89,3,1
90,1,3
91,2,3
92,1,2
93,2,3
94,2,3
95,2,3
96,0,1
97,3,1
98,2,1
99,1,0
100,3,1
101,2,3
102,3,1
103,2,3
104,3,1
105,2,1
106,0,1
107,1,1
108,3,1
109,2,1
110,3,0
111,2,1
112,2,1
113,3,1
114,1,1
115,2,1
116,2,2
117,0,1
118,3,1
119,3,1
120,3,1
121,3,1
122,0,1
123,1,0
124,1,1
125,3,1
126,1,2
127,0,1
128,3,1
129,0,1
130,1,3
131,3,1
132,0,1
133,0,3
134,2,2
135,3,3
136,0,1
137,2,1
138,1,3
139,3,1
140,1,1
141,0,0
142,2,1
143,1,1
144,0,1
145,3,1
146,1,1
147,2,3
148,1,3
149,1,2
150,3,3
151,2,1
152,1,0
153,1,1
154,2,1
155,3,1
156,1,0
157,2,2
158,3,3
159,3,1
160,1,3
161,2,0
162,0,0
163,1,2
164,2,0
165,0,1
166,1,3
167,2,0
168,3,0
169,0,0
170,0,3
171,1,0
172,1,1
173,3,1
174,2,2
175,0,1
176,1,1
177,0,2
178,3,1
179,1,0
180,1,3
181,3,0
182,1,0
183,2,0
184,2,0
185,1,1
186,0,3
187,3,3
188,0,1
189,1,3
190,3,0
191,1,3
192,0,2
193,3,2
194,1,0
195,2,2
196,3,1
197,1,1
198,3,1
199,0,2
200,2,0
201,2,2
202,3,0
203,2,0
204,1,0
205,2,0
206,0,1
207,1,2
208,1,3
209,0,2
210,0,2
211,0,3
212,3,2
213,3,3
214,1,3
215,0,2
216,0,3
217,0,3
218,1,2
219,2,2
220,3,2
221,2,2
222,3,1
223,1,0
224,3,2
225,3,1
226,3,2
227,1,2
228,0,1
229,1,2
230,2,1
231,0,3
232,0,2
233,3,0
234,0,1
235,0,3
236,2,0
237,2,1
238,2,3
239,3,2
240,2,1
241,2,3
242,2,1
243,2,1
244,3,2
245,3,1
246,3,1
247,0,1
248,1,1
249,2,3
250,3,1
251,2,2
252,0,2
253,0,2
254,0,1
255,2,1
256,0,1
257,1,1
258,0,1
259,1,3
260,2,2
261,1,1
262,3,1
263,1,1
264,2,1
265,1,1
266,0,1
267,1,1
268,0,0
269,1,1
270,0,1
271,0,1
272,3,1
273,0,1
274,0,1
275,3,1
276,2,1
277,0,1
278,3,1
279,3,3
280,1,1
281,0,2
282,0,1
283,1,1
284,3,1
285,0,3
286,3,0
287,3,1
288,0,0
289,0,0
290,1,3
291,3,3
292,2,3
293,3,0
294,1,3
295,1,1
296,0,0
297,2,0
298,1,0
299,1,1
300,0,0
301,0,0
302,2,0
303,0,1
304,3,0
305,1,2
306,1,0
307,3,0
308,3,3
309,2,0
310,0,1
311,0,2
312,1,2
313,3,0
314,0,3
315,1,2
316,2,1
317,1,2
318,1,0
319,2,0
320,1,2
321,1,1
322,1,1
323,2,3
324,0,3
325,0,3
326,2,1
327,2,1
328,2,1
329,2,1
330,3,3
331,0,1
332,1,3
333,0,0
334,1,2
335,3,0
336,0,1
337,0,1
338,1,3
339,2,1
340,0,3
341,1,1
342,1,1
343,0,1
344,1,2
345,0,0
346,1,1
347,3,1
348,1,3
349,0,2
350,2,3
351,3,2
352,1,3
353,0,0
354,2,3
355,3,1
356,2,1
357,0,3
358,2,3
359,1,3
360,1,3
361,0,1
362,0,2
363,0,1
364,1,1
365,3,0
366,2,0
367,3,2
368,3,1
369,2,2
370,2,1
371,0,0
372,0,1
373,1,2
374,0,1
375,3,1
376,2,3
377,3,0
378,3,1
379,0,3
380,2,2
381,1,3
382,3,1
383,1,0
384,3,0
385,3,2
386,0,1
387,2,2
388,2,2
389,0,2
390,2,2
391,0,2
392,0,3
393,0,2
394,3,3
395,3,3
396,2,3
397,1,2
398,1,2
399,1,0
400,0,3
401,2,1
402,3,3
403,1,2
404,2,2
405,3,2
406,0,0
407,1,3
408,2,2
409,2,2
410,0,2
411,2,2
412,1,0
413,0,0
414,0,0
415,3,2
416,1,3
417,0,3
418,3,0
419,2,0
420,2,0
421,3,1
422,3,2
423,3,1
424,0,2
425,2,0
426,3,0
427,0,0
428,3,2
429,3,0
430,0,0
431,2,0
432,2,0
433,2,2
434,3,1
435,0,0
436,2,0
437,2,0
438,1,2
439,3,0
440,2,0
441,0,3
442,3,3
443,1,2
444,1,1
445,0,0
446,3,3
447,1,1
448,1,0
449,0,3
450,3,0
451,3,2
452,0,0
453,3,0
454,0,2
455,1,0
456,3,1
457,0,1
458,1,0
459,0,2
460,2,0
461,2,1
462,3,1
463,3,0
464,2,0
465,3,0
466,3,3
467,0,0
468,1,2
469,2,3
470,2,1
471,3,0
472,0,1
473,1,0
474,1,0
475,1,0
476,2,1
477,2,2
478,0,0
479,0,0
480,3,2
481,2,0
482,0,1
483,0,0
484,3,1
485,3,0
486,1,2
487,2,1
488,1,2
489,2,0
490,1,0
491,0,2
492,3,0
493,2,2
494,0,0
495,1,0
496,1,3
497,1,0
498,1,1
499,3,1
500,1,2
501,1,2
502,2,0
503,0,0
504,2,2
505,3,0
506,3,2
507,1,1
508,3,0
509,0,0
510,0,3
511,1,1
512,1,1
513,1,1
514,3,1
515,1,0
516,1,1
517,1,1
518,3,1
519,1,1
520,3,1
521,3,2
522,2,1
523,0,3
524,3,1
525,2,2
526,0,0
527,0,3
528,0,2
529,0,2
530,1,1
531,0,1
532,3,1
533,2,1
534,1,0
535,2,1
536,3,1
537,3,1
538,3,2
539,0,1
540,1,1
541,0,0
542,3,0
543,0,3
544,1,1
545,3,1
546,2,0
547,3,0
548,3,0
549,1,1
550,2,2
551,0,2
552,3,1
553,0,3
554,2,0
555,0,1
556,2,0
557,3,1
558,1,1
559,0,1
560,2,1
561,2,1
562,0,1
563,2,0
564,3,0
565,3,3
566,0,1
567,3,2
568,3,1
569,1,3
570,0,1
571,3,0
572,1,2
573,3,1
574,0,2
575,0,3
576,3,0
577,2,0
578,2,3
579,3,0
580,0,3
581,3,2
582,1,3
583,0,3
584,2,3
585,2,0
586,1,1
587,1,2
588,0,0
589,3,0
590,3,0
591,1,0
592,2,0
593,3,2
594,0,0
595,3,1
596,2,0
597,1,2
598,0,0
599,1,1
600,1,0
601,3,0
602,1,2
603,1,2
604,1,3
605,0,1
606,3,0
607,2,1
608,3,1
609,2,3
610,2,2
611,3,1
612,0,3
613,0,2
614,3,2
615,0,2
616,3,2
617,2,3
618,3,2
619,2,0
620,1,1
621,2,1
622,3,0
623,2,0
624,3,2
625,0,2
626,0,3
627,3,3
628,2,1
629,0,2
630,3,3
631,0,2
632,3,2
633,1,0
634,2,1
635,2,2
636,1,1
637,0,2
638,1,1
639,2,2
640,0,2
641,3,1
642,0,2
643,1,2
644,3,2
645,3,2
646,3,3
647,1,1
648,2,1
649,3,2
650,0,0
651,1,2
652,0,0
653,3,2
654,1,2
655,3,2
656,1,0
657,3,0
658,1,1
659,3,2
660,0,3
661,3,0
662,3,1
663,0,2
664,2,2
665,2,2
666,0,2
667,1,1
668,2,2
669,1,2
670,0,2
671,0,2
672,3,1
673,2,0
674,0,0
675,1,0
676,2,3
677,1,1
678,3,2
679,0,2
680,3,2
681,3,0
682,2,2
683,3,2
684,3,2
685,3,3
686,1,0
687,2,1
688,3,2
689,2,2
690,0,2
691,3,2
692,3,2
693,2,0
694,2,2
695,0,2
696,1,0
697,3,1
698,0,2
699,3,2
700,3,2
701,0,2
702,2,2
703,3,2
704,0,2
705,0,0
706,3,1
707,0,1
708,2,1
709,1,1
710,2,2
711,2,1
712,3,0
713,2,1
714,0,3
715,1,3
716,2,3
717,0,1
718,2,1
719,1,3
720,1,3
721,2,0
722,3,1
723,2,1
724,0,3
725,2,1
726,3,0
727,3,1
728,2,2
729,1,2
730,1,3
731,0,3
732,3,1
733,3,0
734,2,3
735,2,3
736,3,1
737,0,1
738,0,1
739,2,0
740,1,0
741,1,3
742,0,0
743,1,2
744,3,2
745,2,0
746,1,3
747,2,0
748,3,0
749,3,0
750,1,1
751,1,0
752,3,0
753,2,0
754,1,0
755,3,3
756,3,0
757,1,2
758,2,0
759,2,1
760,3,0
761,2,1
762,1,3
763,1,2
764,3,1
765,2,0
766,1,0
767,1,0
768,1,2
769,0,2
770,0,2
771,3,2
772,2,2
773,1,2
774,2,1
