,cluster_id,cluster_pred
0,1,3
1,1,0
2,0,1
3,3,0
4,3,0
5,2,1
6,2,2
7,0,3
8,0,2
9,1,3
10,1,3
11,2,2
12,0,1
13,0,1
14,3,0
15,2,0
16,3,2
17,0,1
18,3,2
19,3,0
20,3,2
21,0,1
22,2,0
23,2,1
24,1,0
25,1,2
26,3,1
27,2,2
28,2,1
29,1,3
30,1,2
31,3,2
32,3,0
33,1,0
34,0,2
35,1,2
36,2,2
37,0,0
38,1,3
39,3,2
40,0,3
41,3,0
42,3,0
43,1,2
44,2,1
45,3,2
46,3,2
47,0,0
48,1,1
49,1,0
50,2,2
51,2,2
52,2,1
53,3,2
54,2,2
55,1,1
56,3,0
57,0,1
58,1,0
59,0,1
60,0,0
61,1,1
62,1,0
63,2,2
64,1,0
65,0,2
66,1,3
67,2,2
68,2,2
69,2,1
70,3,2
71,0,0
72,2,0
73,3,2
74,1,3
75,1,2
76,1,1
77,2,0
78,3,2
79,2,0
80,0,2
81,1,2
82,3,1
83,1,3
84,3,2
85,3,2
86,3,3
87,3,2
88,2,2
89,3,3
90,1,1
91,2,0
92,1,3
93,2,1
94,2,1
95,2,1
96,0,2
97,3,2
98,2,2
99,1,3
100,3,1
101,2,3
102,3,2
103,2,3
104,3,0
105,2,0
106,0,2
107,1,2
108,3,3
109,2,1
110,3,0
111,2,0
112,2,1
113,3,2
114,1,2
115,2,2
116,2,0
117,0,0
118,3,1
119,3,1
120,3,2
121,3,1
122,0,1
123,1,3
124,1,1
125,3,2
126,1,3
127,0,1
128,3,2
129,0,2
130,1,0
131,3,2
132,0,1
133,0,2
134,2,0
135,3,0
136,0,2
137,2,2
138,1,2
139,3,1
140,1,2
141,0,3
142,2,1
143,1,2
144,0,1
145,3,2
146,1,1
147,2,3
148,1,0
149,1,0
150,3,2
151,2,1
152,1,3
153,1,1
154,2,2
155,3,0
156,1,3
157,2,0
158,3,0
159,3,2
160,1,0
161,2,2
162,0,2
163,1,0
164,2,2
165,0,0
166,1,0
167,2,1
168,3,1
169,0,0
170,0,0
171,1,1
172,1,0
173,3,2
174,2,0
175,0,2
176,1,3
177,0,0
178,3,3
179,1,2
180,1,3
181,3,0
182,1,2
183,2,1
184,2,1
185,1,0
186,0,3
187,3,3
188,0,0
189,1,3
190,3,1
191,1,0
192,0,2
193,3,1
194,1,0
195,2,1
196,3,0
197,1,0
198,3,0
199,0,2
200,2,0
201,2,1
202,3,3
203,2,0
204,1,3
205,2,0
206,0,0
207,1,2
208,1,0
209,0,1
210,0,1
211,0,0
212,3,1
213,3,0
214,1,0
215,0,1
216,0,0
217,0,3
218,1,1
219,2,2
220,3,1
221,2,1
222,3,0
223,1,0
224,3,2
225,3,1
226,3,2
227,1,2
228,0,2
229,1,2
