,cluster_id,cluster_pred
0,2,0
1,10,0
2,2,8
3,9,8
4,10,0
5,9,8
6,2,8
7,4,8
8,5,8
9,4,0
10,2,8
11,10,8
12,2,0
13,2,8
14,2,0
15,9,2
16,2,1
17,10,8
18,9,8
19,10,0
20,10,8
21,10,8
22,10,1
23,2,0
24,2,0
25,5,1
26,4,8
27,12,8
28,4,0
29,8,0
30,12,8
31,2,8
32,9,1
33,2,1
34,7,1
35,10,0
36,2,8
37,10,8
38,2,1
39,7,8
40,10,1
41,10,8
42,4,8
43,10,8
44,12,8
45,10,0
46,4,8
47,10,8
48,10,8
49,2,0
50,2,8
51,7,8
52,10,7
53,10,8
54,9,8
55,4,8
56,2,0
57,2,0
58,4,0
59,2,1
60,9,0
61,7,8
62,9,0
63,10,1
64,9,8
65,2,2
66,2,1
67,2,8
68,2,0
69,10,8
70,7,8
71,9,0
72,9,8
73,10,0
74,0,8
75,2,0
76,2,1
77,2,0
78,2,8
79,2,0
80,2,0
81,7,8
82,2,8
83,4,8
84,10,8
85,2,8
86,10,0
87,2,0
88,7,8
89,2,8
90,7,8
91,2,1
92,9,8
93,4,8
94,0,1
95,2,0
96,9,8
97,4,8
98,2,0
99,3,8
100,10,8
101,2,12
102,9,8
103,2,1
104,2,0
105,9,8
106,7,10
107,0,0
108,7,0
109,10,0
110,2,0
111,4,8
112,2,8
113,0,8
114,10,8
115,7,8
116,2,0
117,10,0
118,2,8
119,10,8
120,2,0
121,2,0
122,10,8
123,7,0
124,4,8
125,7,8
126,2,1
127,2,0
128,10,8
129,4,8
130,10,8
131,9,0
132,9,1
133,5,8
134,2,8
135,2,1
136,10,12
137,2,1
138,9,8
139,10,8
140,10,1
141,4,0
142,2,8
143,10,8
144,4,8
145,1,8
146,10,8
147,9,8
148,9,0
149,2,8
150,2,0
151,9,1
152,2,8
153,7,8
154,3,8
155,7,8
156,7,8
157,1,8
158,10,0
159,12,8
160,9,8
161,2,8
162,12,8
163,2,8
164,2,0
165,4,0
166,12,8
167,9,0
168,2,8
169,2,0
170,10,8
171,10,0
172,2,1
173,6,8
174,10,8
175,2,8
176,3,6
177,2,0
178,2,1
179,7,8
180,7,8
181,4,8
182,2,0
183,9,8
184,10,0
185,12,0
186,4,4
187,4,8
188,10,0
189,12,8
190,12,8
191,2,8
192,2,8
193,2,8
194,10,0
195,4,8
196,2,8
197,2,0
198,12,8
199,10,8
200,5,8
201,10,0
202,4,8
203,12,0
204,12,0
205,11,8
206,7,8
207,12,8
208,9,8
209,0,5
210,2,0
211,9,8
212,4,8
213,9,8
214,2,0
215,9,8
216,2,1
217,2,0
218,10,8
219,2,0
220,7,1
221,4,11
222,4,8
223,10,8
224,5,0
225,10,1
226,10,8
227,10,8
228,7,8
229,9,8
230,2,0
231,10,0
232,7,8
233,2,1
234,10,1
235,2,8
236,10,8
237,12,8
238,12,8
239,2,8
240,5,8
241,4,8
242,2,1
243,2,11
244,10,8
245,4,8
246,0,8
247,10,8
248,2,8
249,12,8
250,2,8
251,10,1
252,9,8
253,1,3
254,2,0
255,9,8
256,10,0
257,10,0
258,10,8
259,10,8
260,10,8
261,5,8
262,9,8
263,0,8
264,10,8
265,2,1
266,2,8
267,2,1
268,4,8
269,10,8
270,10,8
271,7,1
272,8,1
273,2,8
274,9,0
275,2,1
276,2,8
277,4,0
278,9,0
279,10,8
280,4,0
281,0,8
282,2,8
283,12,8
284,10,8
285,10,9
286,10,8
287,2,0
288,10,1
289,2,1
290,2,0
291,10,0
292,9,1
293,2,8
294,10,8
295,10,8
296,9,8
297,2,8
298,2,8
299,4,1
300,10,8
301,2,8
