,event_id,event_pred
0,8,"[4.043908863455832e-06, 1.943052377095026e-07, 3.111834900572295e-08, 2.6524586481077724e-05, 0.9991498909359969, 8.378624476625744e-07, 0.0008111424240547596, 4.4838675267562754e-08, 2.8919856196942727e-06, 3.15913468662032e-07, 3.508224845836371e-06, 5.738959598284042e-07]"
1,8,"[0.003264073143080218, 0.0007151340705545273, 0.039164455518886, 0.21730777993862416, 0.015511016313742, 1.763806660681674e-05, 0.03416297530469618, 0.0014445367586917476, 0.16277086707599772, 0.5238106932070742, 0.0010923700951399014, 0.0007384605069065179]"
2,8,"[3.6255091121124435e-06, 2.193304227793543e-05, 2.7207985574424097e-05, 5.355500784759883e-06, 0.9993207307874403, 0.00017741445943567286, 0.00011503891412926628, 1.1025360821567176e-05, 1.3518029722331933e-05, 0.0002931348609268374, 5.634811793618375e-06, 5.380737981199107e-06]"
3,13,"[3.1706222564179557e-06, 2.1407154986271087e-06, 3.2931418598628155e-06, 1.664911984428332e-05, 0.0008895411966671885, 1.1815056302761848e-06, 3.100132575406433e-05, 7.740546096192438e-07, 2.935647784854331e-06, 0.9990270889946097, 1.0240949132871146e-05, 1.1982726352239147e-05]"
4,8,"[4.6176622986716524e-11, 9.711323323384043e-12, 4.149834199334222e-14, 2.33296036258381e-09, 0.9999999960730406, 3.7788191354939356e-13, 1.7247511379751326e-11, 2.3586214213343388e-11, 3.559146923466157e-11, 1.0129113865923194e-09, 4.234472372567546e-10, 2.4907793254385642e-11]"
5,13,"[2.072221009874209e-05, 3.619218422452355e-05, 3.8263195147824654e-05, 3.094292202012508e-05, 0.0007203811874320641, 0.0028552609659396825, 0.004737067362122654, 2.6992492474553682e-05, 0.00010552812296523916, 0.9913718076960981, 3.161677065739764e-05, 2.5224890819287935e-05]"
6,8,"[5.600039225423804e-06, 5.685756726918698e-06, 7.498678522045968e-06, 1.3993349629819016e-06, 0.9998628129879356, 2.6895671353572e-06, 2.3284351963685625e-06, 5.469085100975865e-06, 5.7610402224252066e-05, 3.435634172254008e-05, 1.273033305590562e-05, 1.819038191698184e-06]"
7,8,"[2.5749960968170896e-05, 3.7788575792529167e-06, 0.0004405712575308019, 3.1726599179964694e-06, 0.9987192204049986, 2.8050328982910518e-05, 0.0001012708107679055, 0.00018677240562990126, 0.0004345627374780715, 4.4871102568890696e-05, 2.4627342586079364e-06, 9.516739318633711e-06]"
8,10,"[4.362307339213823e-07, 5.192856886717444e-07, 3.169021174470846e-08, 1.797820041814871e-07, 0.0003476755787551331, 9.938767764607391e-08, 0.9992821483264615, 1.083007189647624e-06, 0.000284228913770129, 8.308436469173239e-05, 7.251705839417328e-08, 4.409157573581481e-07]"
9,8,"[1.749265993902908e-07, 2.7051116274383954e-08, 3.016625248431431e-10, 1.6198292166990004e-06, 0.9999487687754698, 1.4434992389762314e-09, 4.6032258359329355e-10, 1.4579859468396222e-07, 7.166932755834406e-06, 4.198565067649795e-05, 7.867699928979812e-08, 3.01530873499838e-08]"
