,cluster_id,cluster_pred
0,7,3
1,7,3
2,5,7
3,7,6
4,3,3
5,3,3
6,1,3
7,8,5
8,0,3
9,6,3
10,5,5
11,7,3
12,6,3
13,7,3
14,7,3
15,3,5
16,6,8
17,8,3
18,1,3
19,6,7
20,2,7
21,1,3
22,5,3
23,7,3
24,6,3
25,7,3
26,3,5
27,2,5
28,1,3
29,1,3
30,7,3
31,6,3
32,6,5
33,6,5
34,7,5
35,1,5
36,1,3
37,8,3
38,8,3
39,8,8
40,1,6
41,1,3
42,8,3
43,8,3
44,8,5
45,8,3
46,5,3
47,8,3
48,7,3
49,4,3
50,5,5
51,7,5
52,7,3
53,3,8
54,1,5
55,8,7
56,6,5
57,3,3
58,7,3
59,5,8
60,2,3
61,6,5
62,0,3
63,7,3
64,6,3
65,7,3
66,7,8
67,7,3
68,2,3
69,2,3
70,8,8
71,7,3
72,3,3
73,1,4
74,6,3
75,7,8
76,3,0
77,5,4
78,6,4
79,6,5
80,5,3
81,8,0
82,4,3
83,7,3
84,8,3
85,7,3
86,1,3
87,8,5
88,6,0
89,0,5
90,6,3
91,5,3
92,0,3
93,6,3
94,7,3
95,2,3
96,5,3
97,7,3
98,5,3
99,2,3
100,6,5
101,8,6
102,7,3
103,6,3
104,5,3
105,2,8
106,8,0
107,6,3
108,1,4
109,2,3
110,1,3
111,2,5
112,5,2
113,6,3
114,5,8
115,7,3
116,7,3
117,2,3
118,2,4
119,1,3
120,6,3
121,8,3
122,8,3
123,6,3
124,0,3
125,3,3
126,7,3
127,1,3
128,1,3
129,6,3
130,2,3
131,7,3
132,8,3
133,7,8
134,7,3
135,1,3
136,7,5
137,8,3
138,7,3
139,7,4
140,5,3
141,2,3
142,2,3
143,2,5
144,8,3
145,7,3
146,2,3
147,5,5
148,2,8
149,1,5
150,2,3
151,5,3
152,7,3
153,2,3
154,7,0
155,6,0
156,1,3
157,3,5
158,1,3
159,6,0
160,0,5
161,7,5
162,6,4
163,6,8
164,1,3
165,5,3
166,2,3
167,0,3
168,2,5
169,1,0
170,7,3
171,7,5
172,1,5
173,3,3
174,3,3
175,3,5
176,8,3
177,8,3
178,0,3
179,7,3
180,5,3
181,8,3
182,1,3
183,7,8
184,6,3
185,8,3
186,2,3
187,8,3
188,1,3
189,5,3
190,2,3
191,6,5
192,7,3
193,7,3
194,7,8
195,2,8
196,2,3
197,1,2
198,7,2
199,7,3
200,7,4
201,6,3
202,2,3
203,5,3
204,4,5
205,3,5
206,6,3
207,6,3
208,4,3
209,3,3
210,1,3
211,1,3
212,7,3
213,2,3
214,7,3
215,2,3
216,7,5
217,2,3
218,7,3
219,2,3
220,2,4
221,0,3
222,1,3
223,3,3
224,8,3
225,6,5
226,0,3
227,1,5
228,1,8
229,1,3
230,7,5
231,4,3
232,1,3
233,8,8
234,7,3
235,2,3
236,1,2
237,8,5
238,7,3
239,0,5
240,0,3
241,8,3
242,1,3
243,2,3
244,2,3
245,6,3
246,5,7
247,3,4
248,2,3
249,7,3
250,8,4
251,0,3
252,1,5
253,6,3
254,7,3
255,5,4
256,2,3
257,8,5
258,1,5
259,1,3
260,8,3
261,1,3
262,8,3
263,7,3
264,3,3
265,5,3
266,6,8
267,8,8
268,7,3
269,8,3
270,4,3
271,6,3
272,2,3
273,7,5
274,3,4
275,8,8
276,7,3
277,7,3
278,6,3
279,7,4
280,3,0
281,5,3
282,8,4
283,0,5
284,3,3
285,8,3
286,7,3
287,2,3
288,8,3
289,7,3
290,4,0
291,7,3
292,2,3
293,1,7
294,7,3
295,2,5
296,6,3
297,2,3
298,7,2
299,3,3
300,2,3
301,7,3
302,2,3
303,3,3
304,6,3
305,3,3
306,3,3
307,6,3
308,6,4
309,5,2
310,2,3
311,8,3
312,5,3
313,1,3
314,5,5
315,2,5
316,3,3
317,3,3
318,6,3
319,8,4
320,3,3
321,8,3
322,8,3
323,7,3
324,0,3
325,2,4
326,1,3
327,8,3
328,1,3
329,5,3
330,2,7
331,0,7
332,7,3
333,6,3
334,3,3
335,0,3
336,2,3
337,7,3
338,3,3
339,6,3
340,2,3
341,8,3
342,7,3
343,7,4
344,3,3
345,7,3
346,0,3
347,6,3
348,2,3
349,2,3
350,8,5
351,5,3
352,3,3
353,3,3
354,8,5
355,5,3
356,3,3
357,7,3
358,6,3
359,1,3
360,3,3
361,7,3
362,5,3
363,2,3
364,5,8
365,6,5
366,8,3
367,6,3
368,6,5
369,1,5
370,2,5
371,6,3
372,7,3
373,7,3
374,2,3
375,7,3
376,7,3
377,5,3
378,3,3
379,7,3
380,8,3
381,3,3
382,3,3
383,8,4
384,5,3
385,4,2
386,7,3
387,8,3
388,2,3
389,7,3
390,6,4
391,6,3
392,1,3
393,8,5
394,8,3
395,2,8
396,5,3
397,3,3
398,7,3
399,1,3
400,4,3
401,1,3
402,3,3
403,2,3
404,8,3
405,2,3
406,8,3
407,7,3
408,1,7
409,1,3
410,2,3
411,8,3
412,8,5
413,2,3
414,7,3
415,0,5
416,3,3
417,8,3
418,6,3
419,5,3
420,8,3
421,8,3
422,2,3
423,8,3
424,3,3
425,4,3
426,6,3
427,2,3
428,4,7
429,2,7
430,6,3
431,3,2
432,8,3
433,3,5
434,4,5
435,2,3
436,8,3
437,4,3
438,7,3
439,1,3
440,7,3
441,0,3
442,3,3
443,3,5
444,7,3
445,7,3
446,0,3
447,7,5
448,7,3
449,4,5
450,6,3
451,1,3
452,2,3
453,1,3
454,6,3
455,5,3
456,7,3
457,3,3
458,6,3
459,2,8
460,6,3
461,3,3
462,0,3
463,2,3
464,8,3
465,8,7
466,2,2
467,3,3
468,8,5
469,3,2
470,0,3
471,8,3
472,4,3
473,8,3
474,1,7
475,3,7
476,1,4
477,6,3
478,7,3
479,2,3
480,3,3
481,5,3
482,3,3
483,2,3
484,6,3
485,6,3
486,6,8
487,8,5
488,2,3
489,7,3
490,4,8
491,8,3
492,8,3
493,6,3
494,6,5
495,5,3
496,8,8
497,2,3
498,1,5
499,1,3
500,1,3
501,1,2
502,4,3
503,8,3
504,7,3
505,6,3
506,7,5
507,7,3
508,2,3
509,6,3
510,3,3
511,7,5
512,0,3
513,8,3
514,8,3
515,8,8
516,6,3
517,3,3
518,1,3
519,1,3
520,3,3
521,2,0
522,5,5
523,4,3
524,3,3
525,4,8
526,8,3
527,8,3
528,2,3
529,3,8
530,8,3
531,5,3
532,7,3
533,8,3
534,8,7
535,2,3
536,8,3
537,3,3
538,3,3
539,4,3
540,1,3
541,0,3
542,7,3
543,7,3
544,7,3
545,8,3
546,1,7
547,4,7
548,6,3
549,2,3
550,6,8
551,8,4
552,2,5
553,2,5
554,2,3
555,7,7
556,6,3
557,4,3
558,2,3
559,0,3
560,8,3
561,7,3
562,1,5
563,6,3
564,4,3
565,7,3
566,8,3
567,4,8
568,7,5
569,1,3
570,7,3
571,6,3
572,7,3
573,0,6
574,6,3
575,2,3
576,3,8
577,2,7
578,2,0
579,8,7
580,2,3
581,6,3
582,8,3
583,3,5
584,8,3
585,2,5
586,7,0
587,1,3
588,1,3
589,1,3
590,2,8
591,7,4
592,3,3
593,8,3
594,0,3
595,7,3
596,2,3
597,3,3
598,7,3
599,7,3
600,6,3
601,7,3
602,3,5
603,4,5
604,7,3
605,1,5
606,6,3
607,2,3
608,7,3
609,8,0
610,3,3
611,8,3
612,2,2
613,8,3
614,6,3
615,8,3
616,2,3
617,2,3
618,7,3
619,8,3
620,7,3
621,8,3
622,2,5
623,6,5
624,1,3
625,1,3
626,8,3
627,6,3
628,7,3
629,4,3
630,0,3
631,7,5
632,0,3
633,2,4
634,4,3
635,7,3
636,6,5
637,8,3
638,8,3
639,2,5
640,8,3
641,4,5
642,5,0
643,3,3
644,7,3
645,8,3
646,8,5
647,3,3
648,8,3
649,6,3
650,7,3
651,6,3
652,3,3
653,1,3
654,2,3
655,2,3
656,5,3
657,1,1
658,6,3
659,4,3
660,8,3
661,8,3
662,2,3
663,8,3
664,2,3
665,7,3
666,7,3
667,6,3
668,8,4
669,0,3
670,3,3
671,2,5
672,8,5
673,8,3
674,8,3
675,3,3
676,3,3
677,7,5
678,4,3
679,7,3
680,6,3
681,7,8
682,0,3
683,2,3
684,8,7
685,8,3
686,2,4
687,3,3
688,7,3
689,1,3
690,6,3
691,1,8
692,7,4
693,2,5
694,1,3
695,1,6
696,8,3
697,6,3
698,2,8
699,5,3
700,1,3
701,7,3
702,6,5
703,7,5
704,3,3
705,7,5
706,7,3
707,1,3
708,3,3
709,2,6
710,7,3
711,7,3
712,2,1
713,3,3
714,3,8
715,7,3
716,7,3
717,5,3
718,3,5
719,7,8
720,6,3
721,1,0
722,1,3
723,1,5
724,2,3
725,5,3
726,7,3
727,5,3
728,5,3
729,5,3
730,2,3
731,2,3
732,1,3
733,6,3
734,0,2
735,7,3
736,2,2
737,5,3
738,8,8
739,6,5
740,7,4
741,7,3
742,0,3
743,4,3
744,4,3
745,8,3
746,4,3
747,0,3
748,1,2
749,2,3
750,2,7
751,2,0
752,8,3
753,1,5
754,7,3
755,1,3
756,8,3
757,3,3
758,7,8
759,7,3
760,7,3
761,0,2
762,7,0
763,1,8
764,8,5
765,7,3
766,7,3
767,7,3
768,0,0
769,3,3
770,2,3
771,2,3
772,2,3
773,3,3
774,8,5
775,1,3
776,8,5
777,8,4
778,8,5
779,7,3
780,8,7
781,6,3
782,6,3
783,7,3
784,4,3
785,8,3
786,2,5
787,7,5
788,6,3
789,8,3
790,1,3
791,2,3
792,7,3
793,6,3
794,0,3
795,0,0
796,6,3
797,6,3
798,2,8
799,8,5
800,5,3
801,8,3
802,7,4
803,3,0
804,6,3
805,4,3
806,2,3
807,5,3
808,2,3
809,7,3
810,3,3
811,1,2
812,1,8
813,2,3
814,8,3
815,2,3
816,8,3
817,2,3
818,7,3
819,1,3
820,8,3
821,7,5
822,7,3
823,1,3
824,8,3
825,0,3
826,3,5
827,8,3
828,2,3
829,0,3
830,3,3
831,5,8
832,7,5
833,8,3
834,2,3
835,6,3
836,7,5
837,7,3
838,8,3
839,0,8
840,8,3
841,7,3
842,7,3
843,2,3
844,7,3
845,1,5
846,1,3
847,6,3
848,2,3
849,5,3
850,7,3
851,4,3
852,6,3
853,3,3
854,7,3
855,6,3
856,7,5
857,1,4
858,7,3
859,7,3
860,8,5
861,1,0
862,5,3
863,3,3
864,8,3
865,7,4
866,0,3
867,5,3
868,6,3
869,7,3
870,8,5
871,7,3
872,5,3
873,0,4
874,7,3
875,7,3
876,2,3
877,7,3
878,2,3
879,2,3
880,5,3
881,8,3
882,0,3
883,2,0
884,1,3
885,7,2
886,6,3
887,7,3
888,7,5
889,3,3
890,0,3
891,3,3
892,8,3
893,7,3
894,6,3
895,8,4
896,3,3
897,0,3
898,7,3
899,0,8
900,8,3
901,8,4
902,6,3
903,7,3
904,4,3
905,5,3
906,2,3
907,6,3
908,0,3
909,0,2
910,3,2
911,1,3
912,8,5
913,7,3
914,7,3
915,7,3
916,5,3
917,5,3
918,1,2
919,2,3
920,1,3
921,7,3
922,6,8
923,6,3
924,1,3
925,1,3
926,5,3
927,4,5
928,2,3
929,2,8
930,8,3
931,6,3
932,3,3
933,8,3
934,7,5
935,4,3
936,2,5
937,2,5
938,6,3
939,4,3
940,4,3
941,7,3
942,4,3
943,7,5
944,0,3
945,6,3
946,3,3
947,4,3
948,6,3
949,3,3
950,6,3
951,6,0
952,6,3
953,8,3
954,8,3
955,1,5
956,8,3
957,5,3
958,7,3
959,1,3
960,2,3
961,2,0
962,6,3
963,1,5
964,2,8
965,8,3
966,2,5
967,8,8
968,5,3
969,2,3
970,6,3
971,4,3
972,5,3
973,7,3
974,1,5
975,7,6
976,1,3
977,2,3
978,7,3
979,4,3
980,7,3
981,3,5
982,1,3
983,7,3
984,7,3
985,2,3
986,8,3
987,6,5
988,7,3
989,4,3
990,8,3
991,7,3
992,7,5
993,0,4
994,0,5
995,4,3
996,4,3
997,1,3
998,2,3
999,3,3
1000,5,3
1001,7,3
1002,6,3
1003,7,3
1004,1,3
1005,6,3
1006,6,7
1007,6,1
1008,7,3
1009,2,3
1010,6,3
1011,3,2
1012,0,3
1013,8,6
1014,7,5
1015,1,3
1016,1,3
1017,7,3
1018,8,0
1019,0,3
1020,6,3
1021,8,3
1022,4,2
1023,1,3
1024,2,2
1025,4,3
1026,6,6
1027,1,3
1028,7,5
1029,1,3
1030,7,4
1031,6,3
1032,7,3
1033,2,3
1034,0,3
1035,1,7
1036,7,3
1037,1,3
1038,1,5
1039,2,3
1040,6,3
1041,2,3
1042,7,2
1043,7,3
1044,7,3
1045,5,3
1046,7,0
1047,7,3
1048,6,3
1049,2,3
1050,7,3
1051,1,5
1052,5,7
1053,8,5
1054,1,3
1055,3,5
1056,3,3
1057,2,3
1058,8,3
1059,4,3
1060,3,3
1061,7,3
1062,2,3
1063,8,3
1064,2,3
1065,3,8
1066,5,5
1067,5,5
1068,7,3
1069,5,3
1070,8,3
