,event_id,event_pred
0,3,"[3.129603013906646e-08, 2.361778980660255e-07, 3.384070320582184e-05, 0.9996474642150169, 0.0003184276078491187]"
1,3,"[0.9685625746680506, 1.1841844385990034e-05, 3.359361472037542e-07, 0.0314225187992802, 2.728752135805613e-06]"
2,1,"[0.0015482424456108289, 0.9953162513345758, 9.134808714592189e-07, 0.0006540825817416363, 0.0024805101571999904]"
3,2,"[1.711050795221798e-08, 0.0034974299962060983, 0.9965025445833711, 8.750856245069765e-14, 8.309827510496173e-09]"
4,4,"[0.0006710107101380448, 0.0320099662814779, 2.664183855592635e-05, 0.00702778003710635, 0.9602646011327218]"
5,0,"[0.9983892790409125, 6.381639714214685e-07, 4.064175832779155e-11, 0.00018692483646968482, 0.001423157918004513]"
6,1,"[3.0499787762005387e-07, 0.999993707931583, 4.809877087659192e-11, 5.408197234667481e-13, 5.987021899580916e-06]"
7,1,"[0.016990314327851117, 0.518359902998844, 0.0006062520778947283, 0.4503285930960153, 0.013714937499394828]"
8,3,"[1.5224050557097807e-05, 7.024841247028056e-06, 6.097256034365135e-07, 0.9999710962433943, 6.045139198094635e-06]"
9,2,"[0.00010442612558614052, 0.0031247874275123055, 0.9964035289484084, 9.399074677966758e-10, 0.0003672565585855227]"
10,4,"[0.0007663897418864984, 7.35824100686513e-05, 5.064981438052025e-06, 0.001318748790619802, 0.997836214075987]"
11,1,"[0.0008180231262839011, 0.994494251910035, 0.004687617999767194, 4.392602104111092e-08, 6.303789255867222e-08]"
12,2,"[0.030033984023917992, 0.9615070019978281, 0.003735047971248133, 4.5369156501770505e-07, 0.004723512315440748]"
13,0,"[0.9972075926421373, 0.002536719372028041, 0.00019268886642852015, 6.201705935130577e-05, 9.820600548794078e-07]"
14,4,"[0.18485523720615793, 0.7652186099991687, 0.03200536521531235, 0.01700094834837157, 0.0009198392309895863]"
15,1,"[0.00015048585319038301, 0.9982444447979212, 9.197796623729767e-05, 0.0014763881465266345, 3.670323612443963e-05]"
16,2,"[6.843658809301693e-08, 2.7038554413461e-07, 0.9995820127431794, 0.0003876841228389035, 2.9964311849504102e-05]"
17,4,"[1.5217580068834366e-06, 0.0012051073186915178, 4.968746070879596e-12, 6.066724786634835e-07, 0.9987927642458542]"
18,1,"[0.0003381711129113555, 0.9993087199381943, 0.00010684988405749516, 3.278140653020082e-09, 0.00024625578669611875]"
19,1,"[0.0003171900174560084, 0.9987778617507328, 0.0003259818057328163, 0.00044363327915744626, 0.00013533314692093843]"
20,1,"[0.003644595898646263, 0.9960661297603564, 2.6855384822018533e-05, 4.028615741754374e-08, 0.00026237867001772263]"
21,3,"[0.0012562904790863992, 0.001460232336254583, 1.2019177997231796e-08, 0.9715613780171372, 0.025722087148343845]"
22,1,"[0.0012949737162904955, 0.9958285453094067, 0.0009889593399721825, 0.0007142208482675772, 0.0011733007860630427]"
23,4,"[0.000389793257784596, 0.004740262320100483, 2.588497426981574e-06, 4.763335685282708e-07, 0.9948668795911195]"
24,2,"[1.5509437527869536e-05, 1.517116025411542e-07, 0.9985144066787089, 0.0010784593787586227, 0.0003914727934019929]"
25,2,"[7.397473462505213e-07, 0.999948717653821, 5.053229100675189e-05, 6.080506153086151e-13, 1.0307217889891387e-08]"
26,2,"[1.5199977159169916e-05, 0.0019463131480276473, 0.9980384860515128, 2.44959591798003e-10, 5.783409008778561e-10]"
27,1,"[7.394957792036772e-05, 0.9997663031207311, 4.904323371564795e-05, 2.9441086489073374e-06, 0.00010775995898395149]"
