,Unnamed: 0,Unnamed: 0.1,cluster_id,seqlength,kmeans_clusters,kmeans_time,gmm_clusters,gmm_time,time,coh_cluster,k_shape_clusters,k_means_softdtw_clusters
0,0,0,1.0,63,0,222.26342999999997,0,219.27632000000003,299.81682,6,2,0
1,1,1,3.0,65,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,1
2,2,2,1.0,28,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,0
3,3,3,1.0,149,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
4,4,4,2.0,196,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
5,5,5,5.0,90,0,222.26342999999997,0,219.27632000000003,299.81682,4,1,1
6,6,6,1.0,625,0,222.26342999999997,0,219.27632000000003,299.81682,6,2,2
7,7,7,1.0,316,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
8,8,8,5.0,20,0,222.26342999999997,0,219.27632000000003,299.81682,4,1,1
9,9,9,0.0,83,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
10,10,10,4.0,45,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
11,11,11,3.0,105,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,0
12,12,12,1.0,16,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
13,13,13,1.0,46,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,4
14,14,14,0.0,8972,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
15,15,15,3.0,219,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,0
16,16,16,5.0,88,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
17,17,17,1.0,132,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,2
18,18,18,1.0,1,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,0
19,19,19,2.0,122,0,222.26342999999997,0,219.27632000000003,299.81682,3,4,1
20,20,20,3.0,195,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,1
21,21,21,4.0,273,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,0
22,22,22,1.0,49,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,2
23,23,23,0.0,40,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
24,24,24,0.0,44,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
25,25,25,2.0,5,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,0
26,26,26,0.0,4588,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
27,27,27,1.0,72,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,0
28,28,28,3.0,226,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,1
29,29,29,0.0,52,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
30,30,30,3.0,186,0,222.26342999999997,0,219.27632000000003,299.81682,3,2,1
31,31,31,2.0,144,0,222.26342999999997,0,219.27632000000003,299.81682,6,2,5
32,32,32,3.0,3333,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,3
33,33,33,0.0,94,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,4
34,34,34,4.0,122,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
35,35,35,0.0,291,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,4
36,36,36,0.0,2,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,4
37,37,37,4.0,306,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
38,38,38,3.0,22,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,3
39,39,39,5.0,17,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
40,40,40,3.0,186,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,5
41,41,41,0.0,72,0,222.26342999999997,0,219.27632000000003,299.81682,5,1,3
42,42,42,4.0,618,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
43,43,43,3.0,255,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,0
44,44,44,0.0,324,0,222.26342999999997,0,219.27632000000003,299.81682,5,1,3
45,45,45,3.0,314,0,222.26342999999997,0,219.27632000000003,299.81682,3,2,1
46,46,46,3.0,98,0,222.26342999999997,0,219.27632000000003,299.81682,3,1,5
47,47,47,5.0,376,0,222.26342999999997,0,219.27632000000003,299.81682,4,1,3
48,48,48,2.0,256,0,222.26342999999997,0,219.27632000000003,299.81682,6,4,2
49,49,49,4.0,47,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
50,50,50,1.0,43,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,2
51,51,51,3.0,926,0,222.26342999999997,0,219.27632000000003,299.81682,6,1,5
52,52,52,1.0,134,0,222.26342999999997,0,219.27632000000003,299.81682,0,4,0
53,53,53,3.0,64,0,222.26342999999997,0,219.27632000000003,299.81682,3,2,1
54,54,54,4.0,87,0,222.26342999999997,0,219.27632000000003,299.81682,0,4,3
