,Unnamed: 0,Unnamed: 0.1,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time,k_shape_clusters,k_means_softdtw_clusters
0,0,0,1,565.06553,717,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,3,2
1,1,1,1,565.06553,846,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,1
2,2,2,0,565.06553,879,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,0
3,3,3,3,565.06553,856,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,3,2
4,4,4,3,565.06553,696,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,1
5,5,5,2,565.06553,735,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,0
6,6,6,2,565.06553,942,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,1
7,7,7,0,565.06553,701,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,3
8,8,8,0,565.06553,722,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,3
9,9,9,1,565.06553,797,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
10,10,10,1,565.06553,868,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,1
11,11,11,2,565.06553,763,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,0
12,12,12,0,565.06553,801,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,1,2
13,13,13,0,565.06553,887,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,0
14,14,14,3,565.06553,846,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,3,3
15,15,15,2,565.06553,889,2,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,3,2
16,16,16,3,565.06553,909,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,0
17,17,17,0,565.06553,923,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,0,0
18,18,18,3,565.06553,974,3,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,1,2
19,19,19,3,565.06553,809,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
20,20,20,3,565.06553,767,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,1,0
21,21,21,0,565.06553,863,2,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,1,3
22,22,22,2,565.06553,768,3,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,1,1
23,23,23,2,565.06553,715,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,3,0
24,24,24,1,565.06553,1033,3,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,1,2
25,25,25,1,565.06553,1031,2,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,1,1
26,26,26,3,565.06553,1121,2,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,1,1
