,Unnamed: 0,Unnamed: 0.1,cluster_id,seqlength,kmeans_clusters,kmeans_time,gmm_clusters,gmm_time,time,coh_cluster,k_shape_clusters,k_means_softdtw_clusters
0,0,0,7,3,0,2259.8106,0,2236.86127,41.17605,1,1,0
1,1,1,7,2,0,2259.8106,0,2236.86127,41.17605,1,1,8
2,2,2,5,2,0,2259.8106,0,2236.86127,41.17605,4,2,0
3,3,3,7,3,0,2259.8106,0,2236.86127,41.17605,1,1,5
4,4,4,3,2,0,2259.8106,0,2236.86127,41.17605,7,1,6
5,5,5,3,2,0,2259.8106,0,2236.86127,41.17605,8,4,1
6,6,6,1,3,0,2259.8106,0,2236.86127,41.17605,8,1,0
7,7,7,8,2,0,2259.8106,0,2236.86127,41.17605,1,1,3
8,8,8,0,2,0,2259.8106,0,2236.86127,41.17605,1,1,3
9,9,9,6,4,0,2259.8106,0,2236.86127,41.17605,4,1,5
10,10,10,5,4,0,2259.8106,0,2236.86127,41.17605,8,1,8
11,11,11,7,3,0,2259.8106,0,2236.86127,41.17605,1,1,5
12,12,12,6,6,0,2259.8106,0,2236.86127,41.17605,4,1,5
13,13,13,7,3,0,2259.8106,0,2236.86127,41.17605,1,1,3
14,14,14,7,4,0,2259.8106,0,2236.86127,41.17605,1,4,6
15,15,15,3,3,0,2259.8106,0,2236.86127,41.17605,6,8,5
16,16,16,6,2,0,2259.8106,0,2236.86127,41.17605,6,1,5
17,17,17,8,2,0,2259.8106,0,2236.86127,41.17605,1,5,0
18,18,18,1,3,0,2259.8106,0,2236.86127,41.17605,6,6,3
19,19,19,6,2,0,2259.8106,0,2236.86127,41.17605,6,1,5
20,20,20,2,3,0,2259.8106,0,2236.86127,41.17605,2,1,0
21,21,21,1,2,0,2259.8106,0,2236.86127,41.17605,2,1,0
22,22,22,5,5,0,2259.8106,0,2236.86127,41.17605,8,8,0
23,23,23,7,3,0,2259.8106,0,2236.86127,41.17605,2,1,3
24,24,24,6,4,0,2259.8106,0,2236.86127,41.17605,6,1,5
25,25,25,7,2,0,2259.8106,0,2236.86127,41.17605,1,4,5
26,26,26,3,4,0,2259.8106,0,2236.86127,41.17605,6,1,0
27,27,27,2,3,0,2259.8106,0,2236.86127,41.17605,8,1,6
28,28,28,1,4,0,2259.8106,0,2236.86127,41.17605,2,1,0
29,29,29,1,4,0,2259.8106,0,2236.86127,41.17605,5,1,8
30,30,30,7,4,0,2259.8106,0,2236.86127,41.17605,1,1,0
31,31,31,6,3,0,2259.8106,0,2236.86127,41.17605,1,7,3
32,32,32,6,2,2,2259.8106,2,2236.86127,41.17605,4,1,5
33,33,33,6,2,0,2259.8106,0,2236.86127,41.17605,8,1,5
34,34,34,7,3,0,2259.8106,0,2236.86127,41.17605,1,4,0
35,35,35,1,4,0,2259.8106,0,2236.86127,41.17605,7,3,6
36,36,36,1,2,0,2259.8106,0,2236.86127,41.17605,6,6,3
37,37,37,8,3,0,2259.8106,0,2236.86127,41.17605,1,1,5
38,38,38,8,2,0,2259.8106,0,2236.86127,41.17605,0,1,0
39,39,39,8,3,0,2259.8106,0,2236.86127,41.17605,4,1,5
40,40,40,1,2,0,2259.8106,0,2236.86127,41.17605,8,1,5
41,41,41,1,2,0,2259.8106,0,2236.86127,41.17605,8,1,0
42,42,42,8,4,0,2259.8106,0,2236.86127,41.17605,0,1,0
43,43,43,8,2,0,2259.8106,0,2236.86127,41.17605,8,3,3
44,44,44,8,2,0,2259.8106,0,2236.86127,41.17605,0,1,0
45,45,45,8,2,0,2259.8106,0,2236.86127,41.17605,0,1,5
46,46,46,5,2,0,2259.8106,0,2236.86127,41.17605,6,1,5
47,47,47,8,2,0,2259.8106,0,2236.86127,41.17605,6,7,0
48,48,48,7,5,0,2259.8106,0,2236.86127,41.17605,1,1,5
49,49,49,4,3,0,2259.8106,0,2236.86127,41.17605,2,1,3
50,50,50,5,2,0,2259.8106,0,2236.86127,41.17605,0,1,5
51,51,51,7,2,0,2259.8106,0,2236.86127,41.17605,1,1,8
52,52,52,7,3,0,2259.8106,0,2236.86127,41.17605,1,1,0
53,53,53,3,4,0,2259.8106,0,2236.86127,41.17605,1,8,0
54,54,54,1,3,0,2259.8106,0,2236.86127,41.17605,8,8,0
55,55,55,8,4,0,2259.8106,0,2236.86127,41.17605,5,1,3
56,56,56,6,7,0,2259.8106,0,2236.86127,41.17605,6,1,6
57,57,57,3,2,0,2259.8106,0,2236.86127,41.17605,6,1,5
58,58,58,7,3,0,2259.8106,0,2236.86127,41.17605,1,1,0
59,59,59,5,5,0,2259.8106,0,2236.86127,41.17605,8,1,0
60,60,60,2,4,0,2259.8106,0,2236.86127,41.17605,4,1,0
