,Unnamed: 0,Unnamed: 0.1,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,gmm_clusters,gmm_time,k_shape_clusters,k_means_softdtw_clusters
0,0,0,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
1,1,1,0,18.88823,689,1,2,181.25474,0,179.79407,0,2
2,2,2,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
3,3,3,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
4,4,4,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
5,5,5,0,18.88823,682,1,2,181.25474,0,179.79407,0,2
6,6,6,0,18.88823,796,1,2,181.25474,0,179.79407,0,2
7,7,7,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
8,8,8,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
9,9,9,0,18.88823,461,1,2,181.25474,0,179.79407,1,2
10,10,10,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
11,11,11,0,18.88823,779,1,2,181.25474,0,179.79407,1,2
12,12,12,0,18.88823,942,1,2,181.25474,0,179.79407,0,2
13,13,13,0,18.88823,520,1,2,181.25474,0,179.79407,0,2
14,14,14,0,18.88823,990,1,2,181.25474,0,179.79407,1,2
15,15,15,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
16,16,16,0,18.88823,463,1,1,181.25474,0,179.79407,1,2
17,17,17,0,18.88823,791,1,1,181.25474,0,179.79407,1,2
18,18,18,0,18.88823,867,1,1,181.25474,0,179.79407,1,2
19,19,19,0,18.88823,446,1,2,181.25474,0,179.79407,0,2
20,20,20,0,18.88823,865,1,2,181.25474,0,179.79407,0,2
21,21,21,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
22,22,22,0,18.88823,954,1,2,181.25474,0,179.79407,0,2
23,23,23,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
24,24,24,0,18.88823,669,1,2,181.25474,0,179.79407,0,2
25,25,25,0,18.88823,442,1,2,181.25474,0,179.79407,0,2
26,26,26,0,18.88823,878,1,2,181.25474,0,179.79407,0,2
27,27,27,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
28,28,28,0,18.88823,839,1,2,181.25474,0,179.79407,1,2
29,29,29,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
30,30,30,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
31,31,31,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
32,32,32,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
33,33,33,0,18.88823,947,1,2,181.25474,0,179.79407,0,2
34,34,34,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
35,35,35,0,18.88823,887,1,2,181.25474,0,179.79407,0,2
36,36,36,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
37,37,37,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
38,38,38,0,18.88823,605,1,2,181.25474,0,179.79407,0,2
39,39,39,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
40,40,40,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
41,41,41,0,18.88823,634,1,2,181.25474,0,179.79407,1,2
42,42,42,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
43,43,43,0,18.88823,421,1,1,181.25474,0,179.79407,1,2
44,44,44,0,18.88823,812,1,1,181.25474,0,179.79407,1,2
45,45,45,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
46,46,46,0,18.88823,472,1,1,181.25474,0,179.79407,1,2
47,47,47,0,18.88823,570,1,1,181.25474,0,179.79407,0,2
48,48,48,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
49,49,49,0,18.88823,526,1,2,181.25474,0,179.79407,1,2
50,50,50,0,18.88823,722,1,2,181.25474,0,179.79407,0,2
51,51,51,0,18.88823,841,1,1,181.25474,0,179.79407,1,2
52,52,52,0,18.88823,634,1,2,181.25474,0,179.79407,0,2
53,53,53,0,18.88823,1000,1,2,181.25474,0,179.79407,2,2
54,54,54,0,18.88823,1000,1,1,181.25474,0,179.79407,2,2
55,55,55,0,18.88823,596,1,2,181.25474,0,179.79407,1,2
56,56,56,0,18.88823,644,1,1,181.25474,0,179.79407,1,2
57,57,57,0,18.88823,446,1,2,181.25474,0,179.79407,1,2
58,58,58,0,18.88823,839,1,1,181.25474,0,179.79407,0,2
59,59,59,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
60,60,60,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
61,61,61,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
62,62,62,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
63,63,63,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
64,64,64,0,18.88823,649,1,1,181.25474,0,179.79407,1,2
65,65,65,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
66,66,66,0,18.88823,686,1,2,181.25474,0,179.79407,0,2
67,67,67,0,18.88823,1000,1,1,181.25474,0,179.79407,0,2
68,68,68,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
69,69,69,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
70,70,70,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
71,71,71,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
72,72,72,0,18.88823,629,1,1,181.25474,0,179.79407,0,2
73,73,73,0,18.88823,976,1,1,181.25474,0,179.79407,1,2
74,74,74,0,18.88823,620,1,2,181.25474,0,179.79407,0,2
75,75,75,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
76,76,76,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
77,77,77,0,18.88823,1000,1,1,181.25474,0,179.79407,1,1
78,78,78,0,18.88823,946,1,2,181.25474,0,179.79407,0,2
79,79,79,0,18.88823,989,1,2,181.25474,0,179.79407,0,2
80,80,80,0,18.88823,428,1,2,181.25474,0,179.79407,1,2
81,81,81,0,18.88823,934,1,2,181.25474,0,179.79407,0,2
82,82,82,0,18.88823,945,1,2,181.25474,0,179.79407,0,2
83,83,83,0,18.88823,635,1,2,181.25474,0,179.79407,1,2
84,84,84,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
85,85,85,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
86,86,86,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
87,87,87,0,18.88823,598,1,2,181.25474,0,179.79407,0,2
88,88,88,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
89,89,89,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
90,90,90,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
91,91,91,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
92,92,92,0,18.88823,957,1,1,181.25474,0,179.79407,1,2
93,93,93,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
94,94,94,0,18.88823,475,1,1,181.25474,0,179.79407,1,2
95,95,95,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
96,96,96,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
97,97,97,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
98,98,98,0,18.88823,823,1,2,181.25474,0,179.79407,0,2
99,99,99,0,18.88823,984,1,2,181.25474,0,179.79407,0,2
100,100,100,0,18.88823,1000,1,1,181.25474,0,179.79407,0,2
101,101,101,0,18.88823,520,1,2,181.25474,0,179.79407,0,2
102,102,102,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
103,103,103,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
104,104,104,0,18.88823,650,1,1,181.25474,0,179.79407,1,2
105,105,105,0,18.88823,455,1,2,181.25474,0,179.79407,0,2
106,106,106,0,18.88823,911,1,2,181.25474,0,179.79407,0,2
107,107,107,0,18.88823,816,1,2,181.25474,0,179.79407,1,2
108,108,108,0,18.88823,808,1,1,181.25474,0,179.79407,1,2
109,109,109,0,18.88823,748,1,2,181.25474,0,179.79407,1,2
110,110,110,0,18.88823,615,1,2,181.25474,0,179.79407,0,2
111,111,111,0,18.88823,596,1,2,181.25474,0,179.79407,1,2
112,112,112,0,18.88823,438,1,2,181.25474,0,179.79407,0,2
113,113,113,0,18.88823,597,1,2,181.25474,0,179.79407,1,2
114,114,114,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
115,115,115,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
116,116,116,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
117,117,117,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
118,118,118,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
119,119,119,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
120,120,120,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
121,121,121,0,18.88823,707,1,2,181.25474,0,179.79407,0,2
122,122,122,0,18.88823,918,1,2,181.25474,0,179.79407,1,2
123,123,123,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
124,124,124,0,18.88823,904,1,1,181.25474,0,179.79407,1,2
125,125,125,0,18.88823,787,1,2,181.25474,0,179.79407,1,2
126,126,126,0,18.88823,604,1,2,181.25474,0,179.79407,0,2
127,127,127,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
128,128,128,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
129,129,129,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
130,130,130,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
131,131,131,0,18.88823,946,1,2,181.25474,0,179.79407,0,2
132,132,132,0,18.88823,231,1,2,181.25474,0,179.79407,1,2
133,133,133,0,18.88823,1000,1,1,181.25474,0,179.79407,1,2
134,134,134,0,18.88823,665,1,2,181.25474,0,179.79407,1,2
135,135,135,0,18.88823,654,1,2,181.25474,0,179.79407,0,2
136,136,136,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
137,137,137,0,18.88823,992,1,2,181.25474,0,179.79407,1,2
138,138,138,0,18.88823,948,1,1,181.25474,0,179.79407,1,2
139,139,139,0,18.88823,704,1,2,181.25474,0,179.79407,1,2
140,140,140,0,18.88823,814,1,2,181.25474,0,179.79407,1,2
141,141,141,0,18.88823,466,1,1,181.25474,0,179.79407,2,2
142,142,142,0,18.88823,473,1,2,181.25474,0,179.79407,1,2
143,143,143,0,18.88823,1000,1,2,181.25474,0,179.79407,1,2
144,144,144,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
145,145,145,0,18.88823,565,1,1,181.25474,0,179.79407,1,2
146,146,146,0,18.88823,1000,1,2,181.25474,0,179.79407,0,2
147,147,147,0,18.88823,887,1,1,181.25474,0,179.79407,0,2
