,epoch,times,negative ll,purity,cluster_partition
0,0,-149990.4278399999,184848.8125,0.581875,0.0
1,1,-73308.6117800005,183013.875,0.57125,0.0
2,2,-94668.54301999963,180574.453125,0.6687500000000001,0.0
3,3,-115388.46583999984,185966.5625,0.7806250000000001,0.0
4,4,-136359.4819799997,183887.015625,0.7949999999999999,0.0
5,5,-157550.61813999957,184644.546875,0.8099999999999998,0.0
6,6,-178781.0114600003,186634.71875,0.8325,0.0
7,7,-178813.99991999962,186324.90625,0.8624999999999999,0.0
8,8,-178703.91152000055,186120.90625,0.9125000000000001,0.0
9,9,-178693.4785400005,186854.515625,0.9512499999999999,0.0
