,cluster_id,seqlength,zhu_cluster
0,0,80,9.0
1,0,87,9.0
2,0,119,5.0
3,0,107,5.0
4,0,100,5.0
5,0,82,9.0
6,0,124,5.0
7,0,107,5.0
8,0,108,5.0
9,0,118,5.0
10,0,104,5.0
11,0,132,5.0
12,0,107,5.0
13,0,92,9.0
14,0,139,5.0
15,0,69,9.0
16,0,114,5.0
17,0,85,9.0
18,0,86,9.0
19,0,99,9.0
20,0,78,9.0
21,0,100,5.0
22,0,86,9.0
23,0,124,5.0
24,0,102,5.0
25,0,77,9.0
26,0,82,9.0
27,0,101,5.0
28,0,102,5.0
29,0,81,9.0
30,0,97,9.0
31,0,107,5.0
32,0,97,9.0
33,0,93,9.0
34,0,120,5.0
35,0,88,9.0
36,0,67,9.0
37,0,98,5.0
38,0,83,9.0
39,0,97,9.0
40,0,98,9.0
41,0,98,9.0
42,0,83,9.0
43,0,100,9.0
44,0,59,9.0
45,0,106,5.0
46,0,96,9.0
47,0,120,5.0
48,0,78,9.0
49,0,88,9.0
50,0,123,5.0
51,0,92,9.0
52,0,101,5.0
53,0,84,9.0
54,0,90,9.0
55,0,77,9.0
56,0,109,5.0
57,0,108,5.0
58,0,109,5.0
59,0,85,9.0
60,0,104,5.0
61,0,118,5.0
62,0,73,9.0
63,0,91,9.0
64,0,69,9.0
65,0,125,5.0
66,0,89,9.0
67,0,126,5.0
68,0,98,9.0
69,0,111,5.0
70,0,116,5.0
71,0,97,9.0
72,0,126,5.0
73,0,92,9.0
74,0,120,5.0
75,0,92,9.0
76,0,94,9.0
77,0,82,9.0
78,0,91,9.0
79,0,130,5.0
80,0,101,5.0
81,0,106,5.0
82,0,84,9.0
83,0,107,5.0
84,0,85,9.0
85,0,90,9.0
86,0,94,9.0
87,0,132,5.0
88,0,96,9.0
89,0,119,5.0
90,0,79,9.0
91,0,63,9.0
92,0,91,9.0
93,0,84,9.0
94,0,70,9.0
95,0,89,9.0
96,0,91,9.0
97,0,107,5.0
98,0,100,9.0
99,0,72,9.0
100,0,107,5.0
101,0,118,5.0
102,0,112,5.0
103,0,98,9.0
104,0,100,5.0
105,0,86,9.0
106,0,69,9.0
107,0,129,5.0
108,0,110,5.0
109,0,129,5.0
110,0,80,9.0
111,0,103,5.0
112,0,93,9.0
113,0,112,5.0
114,0,101,5.0
115,0,95,9.0
116,0,106,5.0
117,0,118,5.0
118,0,81,9.0
119,0,179,5.0
120,0,149,5.0
121,0,92,9.0
122,0,126,5.0
123,0,78,9.0
124,0,118,5.0
125,0,75,9.0
126,0,101,5.0
127,0,85,9.0
128,0,91,9.0
129,0,125,5.0
130,0,103,5.0
131,0,87,9.0
132,0,103,5.0
133,0,95,9.0
134,0,96,9.0
135,0,91,9.0
136,0,95,9.0
137,0,80,9.0
138,0,75,9.0
139,0,135,5.0
140,0,113,5.0
141,0,111,5.0
142,0,90,9.0
143,0,80,9.0
144,0,104,5.0
145,0,88,9.0
146,0,110,5.0
147,0,90,9.0
148,0,85,9.0
149,0,99,5.0
150,0,79,9.0
151,0,65,9.0
152,0,110,5.0
153,0,79,9.0
154,0,92,9.0
155,0,73,9.0
156,0,102,5.0
157,0,91,9.0
158,0,96,9.0
159,0,132,5.0
160,0,67,9.0
161,0,106,5.0
162,0,138,5.0
163,0,107,5.0
164,0,144,6.0
165,0,97,9.0
166,0,107,5.0
167,0,101,5.0
168,0,56,9.0
169,0,112,5.0
170,0,102,5.0
171,0,128,5.0
172,0,87,9.0
173,0,85,9.0
174,0,74,9.0
175,0,80,9.0
176,0,93,9.0
177,0,85,9.0
178,0,110,5.0
179,0,136,5.0
180,0,103,5.0
181,0,106,5.0
182,0,120,5.0
183,0,69,9.0
184,0,79,9.0
