,epoch,times,negative ll,purity,cluster_partition
0,0,-234636.59167999867,286102.75,0.48625,0.0
1,1,-131081.06992000015,251172.890625,0.665625,0.0
2,2,-167844.95354000013,166330.5,0.69625,0.0
3,3,-203673.0255599995,136353.75,0.523125,0.0
4,4,-135872.94388000155,145266.578125,0.7056250000000001,0.0
5,5,-140159.4313800009,150181.5625,0.86875,0.0
6,6,-158754.85938000027,151209.59375,0.8631249999999999,0.0
7,7,-158910.1496000006,151402.078125,0.85625,0.0
8,8,-158520.48396000173,151456.21875,0.853125,0.0
9,9,-154098.18884000182,151440.71875,0.8475000000000001,0.0
