,epoch,times,negative ll,purity,cluster_partition
0,0,-204524.0697,243452.453125,0.5715,0.0
1,1,-112650.80306,203653.828125,0.497,0.0
2,2,-143859.44672,201175.203125,0.591,0.0
3,3,-174920.73964000004,192241.984375,0.5985,0.0
4,4,-206128.39166000005,191341.171875,0.5980000000000001,0.0
5,5,-237091.13687999998,191585.109375,0.6940000000000001,0.0
6,6,-268204.1069399999,191650.0625,0.755,0.0
7,7,-268453.24162000004,191780.03125,0.77,0.0
8,8,-268315.94039999996,192023.625,0.773,0.0
9,9,-268279.8613199999,192084.078125,0.7875,0.0
