,cluster_id,cluster_tsfresh
0,1.0,2
1,1.0,2
2,0.0,3
3,3.0,2
4,3.0,2
5,2.0,3
6,2.0,3
7,0.0,0
8,0.0,1
9,1.0,2
10,1.0,2
11,2.0,1
12,0.0,2
13,0.0,1
14,3.0,3
15,2.0,1
16,3.0,2
17,0.0,2
18,3.0,3
19,3.0,2
20,3.0,3
21,0.0,3
22,2.0,1
23,2.0,1
24,1.0,2
25,1.0,1
26,3.0,3
27,2.0,1
28,2.0,1
29,1.0,0
30,1.0,2
31,3.0,3
32,3.0,2
33,1.0,2
34,0.0,2
35,1.0,1
36,2.0,3
37,0.0,2
38,1.0,2
39,3.0,2
40,0.0,2
41,3.0,2
42,3.0,2
43,1.0,2
44,2.0,1
45,3.0,3
46,3.0,2
47,0.0,3
48,1.0,2
49,1.0,2
50,2.0,1
51,2.0,3
52,2.0,2
53,3.0,3
54,2.0,2
55,1.0,3
56,3.0,2
57,0.0,1
58,1.0,2
59,0.0,1
60,0.0,2
61,1.0,1
62,1.0,2
63,2.0,1
64,1.0,2
65,0.0,2
66,1.0,0
67,2.0,1
68,2.0,3
69,2.0,3
70,3.0,3
71,0.0,2
72,2.0,3
73,3.0,1
74,1.0,2
75,1.0,1
76,1.0,3
77,2.0,2
78,3.0,1
79,2.0,2
80,0.0,1
81,1.0,1
82,3.0,1
83,1.0,0
84,3.0,2
85,3.0,2
86,3.0,2
87,3.0,2
88,2.0,1
89,3.0,0
90,1.0,1
91,2.0,3
92,1.0,2
93,2.0,1
94,2.0,3
95,2.0,3
96,0.0,1
97,3.0,2
98,2.0,1
99,1.0,2
100,3.0,2
101,2.0,1
102,3.0,3
103,2.0,3
104,3.0,2
105,2.0,2
106,0.0,3
107,1.0,2
108,3.0,2
109,2.0,1
110,3.0,1
111,2.0,2
112,2.0,1
113,3.0,2
114,1.0,1
115,2.0,3
116,2.0,1
117,0.0,1
118,3.0,1
119,3.0,2
120,3.0,1
121,3.0,1
122,0.0,2
123,1.0,2
124,1.0,1
125,3.0,2
126,1.0,2
127,0.0,3
128,3.0,1
129,0.0,1
130,1.0,0
131,3.0,0
132,0.0,1
133,0.0,0
134,2.0,2
135,3.0,2
136,0.0,2
137,2.0,2
138,1.0,2
139,3.0,0
140,1.0,0
141,0.0,3
142,2.0,1
143,1.0,0
144,0.0,0
145,3.0,1
146,1.0,2
147,2.0,3
148,1.0,0
149,1.0,0
150,3.0,2
151,2.0,3
152,1.0,3
153,1.0,0
154,2.0,2
155,3.0,0
156,1.0,3
157,2.0,1
158,3.0,0
159,3.0,0
160,1.0,1
161,2.0,2
162,0.0,2
163,1.0,0
164,2.0,3
165,0.0,1
166,1.0,3
167,2.0,2
168,3.0,3
169,0.0,0
170,0.0,1
171,1.0,1
172,1.0,3
173,3.0,2
174,2.0,0
175,0.0,0
176,1.0,3
177,0.0,3
178,3.0,3
179,1.0,2
180,1.0,3
181,3.0,0
182,1.0,0
183,2.0,3
184,2.0,2
185,1.0,0
186,0.0,3
187,3.0,2
188,0.0,3
189,1.0,0
190,3.0,2
191,1.0,3
192,0.0,0
193,3.0,0
194,1.0,0
195,2.0,2
196,3.0,0
197,1.0,3
198,3.0,2
199,0.0,1
200,2.0,2
201,2.0,3
202,3.0,3
203,2.0,2
204,1.0,3
205,2.0,0
206,0.0,2
207,1.0,0
208,1.0,3
209,0.0,2
210,0.0,1
211,0.0,2
212,3.0,0
213,3.0,0
214,1.0,0
215,0.0,2
216,0.0,2
217,0.0,3
218,1.0,1
219,2.0,2
220,3.0,1
221,2.0,1
222,3.0,2
223,1.0,0
224,3.0,0
225,3.0,2
226,3.0,1
227,1.0,0
228,0.0,0
229,1.0,0
230,2.0,3
231,0.0,1
232,0.0,0
233,3.0,3
234,0.0,2
235,0.0,1
236,2.0,2
237,2.0,1
238,2.0,2
239,3.0,0
240,2.0,1
241,2.0,1
242,2.0,0
243,2.0,1
244,3.0,1
245,3.0,0
246,3.0,0
247,0.0,1
248,1.0,3
249,2.0,2
250,3.0,0
251,2.0,2
252,0.0,2
253,0.0,1
254,0.0,2
255,2.0,2
256,0.0,2
257,1.0,0
258,0.0,0
259,1.0,3
260,2.0,3
261,1.0,1
262,3.0,0
263,1.0,3
264,2.0,2
265,1.0,1
266,0.0,0
267,1.0,0
268,0.0,2
269,1.0,0
270,0.0,2
271,0.0,2
272,3.0,2
273,0.0,2
274,0.0,3
275,3.0,1
276,2.0,0
277,0.0,1
278,3.0,2
279,3.0,3
280,1.0,0
281,0.0,0
282,0.0,1
283,1.0,3
284,3.0,1
285,0.0,3
286,3.0,3
287,3.0,1
288,0.0,0
289,0.0,1
290,1.0,0
291,3.0,3
292,2.0,2
293,3.0,0
294,1.0,3
295,1.0,3
296,0.0,0
297,2.0,1
298,1.0,1
299,1.0,0
300,0.0,3
301,0.0,1
302,2.0,2
303,0.0,0
304,3.0,1
305,1.0,3
306,1.0,3
307,3.0,1
308,3.0,0
309,2.0,2
310,0.0,2
311,0.0,2
312,1.0,0
313,3.0,2
314,0.0,0
315,1.0,2
316,2.0,1
317,1.0,3
318,1.0,3
319,2.0,2
320,1.0,3
321,1.0,2
322,1.0,1
323,2.0,0
324,0.0,0
325,0.0,1
326,2.0,3
327,2.0,2
328,2.0,3
329,2.0,2
330,3.0,0
331,0.0,1
332,1.0,2
333,0.0,3
334,1.0,3
335,3.0,0
336,0.0,0
337,0.0,1
338,1.0,2
339,2.0,2
340,0.0,3
341,1.0,1
342,1.0,3
343,0.0,1
344,1.0,0
345,0.0,0
346,1.0,1
347,3.0,3
348,1.0,3
349,0.0,3
350,2.0,0
351,3.0,3
352,1.0,3
353,0.0,3
354,2.0,1
355,3.0,0
356,2.0,2
357,0.0,3
358,2.0,0
359,1.0,1
360,1.0,3
361,0.0,2
362,0.0,1
363,0.0,0
364,1.0,3
365,3.0,3
366,2.0,2
367,3.0,3
368,3.0,1
369,2.0,2
370,2.0,0
371,0.0,3
372,0.0,0
373,1.0,3
374,0.0,1
375,3.0,1
376,2.0,2
377,3.0,3
378,3.0,1
379,0.0,3
380,2.0,1
381,1.0,1
382,3.0,2
383,1.0,0
384,3.0,2
385,3.0,0
386,0.0,3
387,2.0,3
388,2.0,3
389,0.0,0
390,2.0,3
391,0.0,3
392,0.0,2
393,0.0,1
394,3.0,2
395,3.0,0
396,2.0,2
397,1.0,1
398,1.0,1
399,1.0,2
400,0.0,2
401,2.0,2
402,3.0,3
403,1.0,0
404,2.0,3
405,3.0,0
406,0.0,3
407,1.0,2
408,2.0,3
409,2.0,3
410,0.0,2
411,2.0,2
412,1.0,2
413,0.0,2
414,0.0,2
415,3.0,0
416,1.0,1
417,0.0,0
418,3.0,3
419,2.0,3
420,2.0,3
421,3.0,0
422,3.0,0
423,3.0,2
424,0.0,2
425,2.0,3
426,3.0,1
427,0.0,1
428,3.0,2
429,3.0,1
430,0.0,0
431,2.0,0
432,2.0,1
433,2.0,2
434,3.0,0
435,0.0,1
436,2.0,2
437,2.0,3
438,1.0,2
439,3.0,3
440,2.0,3
441,0.0,1
442,3.0,2
443,1.0,0
444,1.0,1
445,0.0,0
446,3.0,0
447,1.0,2
448,1.0,1
449,0.0,0
450,3.0,1
451,3.0,0
452,0.0,0
453,3.0,2
454,0.0,0
455,1.0,0
456,3.0,3
457,0.0,2
458,1.0,0
459,0.0,3
460,2.0,1
461,2.0,3
462,3.0,3
463,3.0,0
464,2.0,3
465,3.0,3
466,3.0,0
467,0.0,0
468,1.0,2
469,2.0,3
470,2.0,3
471,3.0,2
472,0.0,2
473,1.0,0
474,1.0,1
475,1.0,1
476,2.0,3
477,2.0,1
478,0.0,1
479,0.0,2
480,3.0,3
481,2.0,1
482,0.0,0
483,0.0,1
484,3.0,1
485,3.0,0
486,1.0,0
487,2.0,2
488,1.0,2
489,2.0,0
490,1.0,1
491,0.0,0
492,3.0,1
493,2.0,3
494,0.0,0
495,1.0,0
496,1.0,2
497,1.0,2
498,1.0,0
499,3.0,2
500,1.0,0
501,1.0,2
502,2.0,3
503,0.0,2
504,2.0,3
505,3.0,1
506,3.0,0
507,1.0,2
508,3.0,0
509,0.0,1
510,0.0,2
511,1.0,2
512,1.0,0
513,1.0,0
514,3.0,3
515,1.0,0
516,1.0,3
517,1.0,0
518,3.0,0
519,1.0,0
520,3.0,2
521,3.0,2
522,2.0,3
523,0.0,1
524,3.0,0
525,2.0,1
526,0.0,2
527,0.0,2
528,0.0,2
529,0.0,2
530,1.0,0
531,0.0,3
532,3.0,0
533,2.0,0
534,1.0,0
535,2.0,3
536,3.0,2
537,3.0,0
538,3.0,0
539,0.0,0
540,1.0,3
541,0.0,0
542,3.0,0
543,0.0,2
544,1.0,1
545,3.0,3
546,2.0,1
547,3.0,0
548,3.0,2
549,1.0,1
550,2.0,0
551,0.0,2
552,3.0,3
553,0.0,2
554,2.0,0
555,0.0,3
556,2.0,3
557,3.0,0
558,1.0,0
559,0.0,3
560,2.0,0
561,2.0,1
562,0.0,2
563,2.0,2
564,3.0,0
565,3.0,0
566,0.0,0
567,3.0,0
568,3.0,2
569,1.0,3
570,0.0,1
571,3.0,0
572,1.0,1
573,3.0,0
574,0.0,0
575,0.0,2
576,3.0,2
577,2.0,2
578,2.0,0
579,3.0,0
580,0.0,1
581,3.0,2
582,1.0,0
583,0.0,0
584,2.0,2
585,2.0,2
586,1.0,0
587,1.0,0
588,0.0,2
589,3.0,3
590,3.0,3
591,1.0,0
592,2.0,3
593,3.0,0
594,0.0,3
595,3.0,0
596,2.0,0
597,1.0,0
598,0.0,0
599,1.0,0
600,1.0,3
601,3.0,0
602,1.0,0
603,1.0,0
604,1.0,0
605,0.0,0
606,3.0,0
607,2.0,0
608,3.0,1
609,2.0,0
610,2.0,1
611,3.0,1
612,0.0,0
613,0.0,0
614,3.0,1
615,0.0,3
616,3.0,2
617,2.0,2
618,3.0,3
619,2.0,0
620,1.0,0
621,2.0,0
622,3.0,1
623,2.0,2
624,3.0,3
625,0.0,2
626,0.0,2
627,3.0,0
628,2.0,0
629,0.0,1
630,3.0,2
631,0.0,3
632,3.0,0
633,1.0,0
634,2.0,1
635,2.0,2
636,1.0,3
637,0.0,3
638,1.0,0
639,2.0,1
640,0.0,2
641,3.0,0
642,0.0,1
643,1.0,0
644,3.0,1
645,3.0,2
646,3.0,1
647,1.0,0
648,2.0,3
649,3.0,2
650,0.0,0
651,1.0,1
652,0.0,1
653,3.0,2
654,1.0,1
655,3.0,1
656,1.0,1
657,3.0,1
658,1.0,0
659,3.0,1
660,0.0,1
661,3.0,0
662,3.0,0
663,0.0,1
664,2.0,1
665,2.0,2
666,0.0,3
667,1.0,0
668,2.0,2
669,1.0,1
670,0.0,2
671,0.0,2
672,3.0,2
673,2.0,3
674,0.0,1
675,1.0,0
676,2.0,3
677,1.0,0
678,3.0,0
679,0.0,2
680,3.0,2
681,3.0,0
682,2.0,2
683,3.0,1
684,3.0,1
685,3.0,0
686,1.0,1
687,2.0,2
688,3.0,3
689,2.0,2
690,0.0,1
691,3.0,0
692,3.0,0
693,2.0,0
694,2.0,3
695,0.0,2
696,1.0,1
697,3.0,0
698,0.0,3
699,3.0,1
700,3.0,1
701,0.0,1
702,2.0,3
703,3.0,2
704,0.0,1
705,0.0,0
706,3.0,0
707,0.0,2
708,2.0,2
709,1.0,2
710,2.0,2
711,2.0,2
712,3.0,0
713,2.0,3
714,0.0,1
715,1.0,1
716,2.0,2
717,0.0,0
718,2.0,2
719,1.0,3
720,1.0,1
721,2.0,3
722,3.0,2
723,2.0,3
724,0.0,1
725,2.0,2
726,3.0,1
727,3.0,2
728,2.0,0
729,1.0,1
730,1.0,0
731,0.0,1
732,3.0,2
733,3.0,1
734,2.0,3
735,2.0,1
736,3.0,0
737,0.0,1
738,0.0,3
739,2.0,0
740,1.0,0
741,1.0,0
742,0.0,2
743,1.0,1
744,3.0,1
745,2.0,1
746,1.0,0
747,2.0,2
748,3.0,0
749,3.0,1
750,1.0,0
751,1.0,1
752,3.0,1
753,2.0,2
754,1.0,3
755,3.0,0
756,3.0,0
757,1.0,0
758,2.0,3
759,2.0,1
760,3.0,2
761,2.0,1
762,1.0,0
763,1.0,0
764,3.0,0
765,2.0,3
766,1.0,3
767,1.0,3
768,1.0,2
769,0.0,2
770,0.0,2
771,3.0,2
772,2.0,1
773,1.0,0
774,2.0,0
775,1.0,0
776,2.0,1
777,3.0,2
778,0.0,2
779,0.0,2
780,2.0,1
781,0.0,2
