,cluster_id,cluster_tsfresh
0,2.0,10
1,10.0,9
2,2.0,5
3,9.0,1
4,10.0,6
5,9.0,9
6,2.0,6
7,4.0,6
8,5.0,12
9,4.0,2
10,2.0,2
11,10.0,2
12,2.0,6
13,2.0,6
14,2.0,6
15,9.0,2
16,2.0,0
17,10.0,5
18,9.0,9
19,10.0,6
20,10.0,5
21,10.0,10
22,10.0,0
23,2.0,9
24,2.0,0
25,5.0,10
26,4.0,10
27,12.0,11
28,4.0,10
29,8.0,12
30,12.0,7
31,2.0,11
32,9.0,10
33,2.0,6
34,7.0,6
35,10.0,10
36,2.0,10
37,10.0,10
38,2.0,0
39,7.0,11
40,10.0,2
41,10.0,1
42,4.0,10
43,10.0,6
44,12.0,2
45,10.0,5
46,4.0,5
47,10.0,3
48,10.0,0
49,2.0,1
50,2.0,2
51,7.0,3
52,10.0,10
53,10.0,3
54,9.0,9
55,4.0,10
56,2.0,1
57,2.0,10
58,4.0,3
59,2.0,0
60,9.0,1
61,7.0,5
62,9.0,1
63,10.0,0
64,9.0,9
65,2.0,10
66,2.0,6
67,2.0,0
68,2.0,0
69,10.0,6
70,7.0,4
71,9.0,1
72,9.0,9
73,10.0,5
74,0.0,11
75,2.0,1
76,2.0,5
77,2.0,0
78,2.0,5
79,2.0,6
80,2.0,6
81,7.0,0
82,2.0,0
83,4.0,0
84,10.0,5
85,2.0,12
86,10.0,6
87,2.0,5
88,7.0,0
89,2.0,5
90,7.0,6
91,2.0,10
92,9.0,6
93,4.0,3
94,0.0,1
95,2.0,5
96,9.0,0
97,4.0,11
98,2.0,0
99,3.0,5
100,10.0,3
101,2.0,4
102,9.0,5
103,2.0,6
104,2.0,9
105,9.0,9
106,7.0,0
107,0.0,10
108,7.0,10
109,10.0,10
110,2.0,5
111,4.0,10
112,2.0,1
113,0.0,8
114,10.0,0
115,7.0,9
116,2.0,2
117,10.0,6
118,2.0,1
119,10.0,6
120,2.0,3
121,2.0,10
122,10.0,9
123,7.0,2
124,4.0,9
125,7.0,4
126,2.0,0
127,2.0,0
128,10.0,8
129,4.0,12
130,10.0,11
131,9.0,11
132,9.0,3
133,5.0,1
134,2.0,11
135,2.0,3
136,10.0,10
137,2.0,3
138,9.0,6
139,10.0,10
140,10.0,11
141,4.0,1
142,2.0,4
143,10.0,3
144,4.0,11
145,1.0,11
146,10.0,2
147,9.0,0
148,9.0,3
149,2.0,0
150,2.0,1
151,9.0,11
152,2.0,11
153,7.0,1
154,3.0,0
155,7.0,11
156,7.0,6
157,1.0,1
158,10.0,11
159,12.0,10
160,9.0,0
161,2.0,3
162,12.0,3
163,2.0,11
164,2.0,11
165,4.0,1
166,12.0,11
167,9.0,0
168,2.0,6
169,2.0,11
170,10.0,2
171,10.0,7
172,2.0,3
173,6.0,6
174,10.0,6
175,2.0,4
176,3.0,0
177,2.0,11
178,2.0,1
179,7.0,3
180,7.0,12
181,4.0,1
182,2.0,1
183,9.0,11
184,10.0,4
185,12.0,4
186,4.0,0
187,4.0,12
188,10.0,0
189,12.0,5
190,12.0,1
191,2.0,6
192,2.0,11
193,2.0,11
194,10.0,1
195,4.0,1
196,2.0,11
197,2.0,6
198,12.0,4
199,10.0,11
200,5.0,11
201,10.0,11
202,4.0,3
203,12.0,11
204,12.0,3
205,11.0,11
206,7.0,0
207,12.0,4
208,9.0,9
209,0.0,0
210,2.0,0
211,9.0,0
212,4.0,9
213,9.0,6
214,2.0,11
215,9.0,0
216,2.0,3
217,2.0,1
218,10.0,6
219,2.0,11
220,7.0,1
221,4.0,6
222,4.0,6
223,10.0,0
224,5.0,1
225,10.0,1
226,10.0,11
227,10.0,11
228,7.0,3
229,9.0,0
230,2.0,1
231,10.0,11
232,7.0,12
233,2.0,11
234,10.0,4
235,2.0,11
236,10.0,0
237,12.0,6
238,12.0,1
239,2.0,0
240,5.0,11
241,4.0,3
242,2.0,11
243,2.0,4
244,10.0,0
245,4.0,6
246,0.0,0
247,10.0,9
248,2.0,4
249,12.0,4
250,2.0,4
251,10.0,11
252,9.0,3
253,1.0,11
254,2.0,11
255,9.0,6
256,10.0,0
257,10.0,9
258,10.0,10
259,10.0,11
260,10.0,6
261,5.0,10
262,9.0,2
263,0.0,1
264,10.0,12
265,2.0,5
266,2.0,11
267,2.0,1
268,4.0,3
269,10.0,3
270,10.0,12
271,7.0,0
272,8.0,0
273,2.0,9
274,9.0,12
275,2.0,10
276,2.0,6
277,4.0,10
278,9.0,1
279,10.0,3
280,4.0,0
281,0.0,8
282,2.0,12
283,12.0,4
284,10.0,5
285,10.0,11
286,10.0,9
287,2.0,11
288,10.0,12
289,2.0,11
290,2.0,5
291,10.0,11
292,9.0,3
293,2.0,12
294,10.0,12
295,10.0,8
296,9.0,3
297,2.0,8
298,2.0,5
299,4.0,11
300,10.0,7
301,2.0,12
