,cluster_id,cluster_tsfresh
0,7.0,0
1,7.0,5
2,5.0,1
3,7.0,1
4,3.0,0
5,3.0,6
6,1.0,0
7,8.0,1
8,0.0,1
9,6.0,2
10,5.0,0
11,7.0,3
12,6.0,4
13,7.0,2
14,7.0,4
15,3.0,3
16,6.0,1
17,8.0,3
18,1.0,4
19,6.0,1
20,2.0,0
21,1.0,4
22,5.0,1
23,7.0,4
24,6.0,1
25,7.0,1
26,3.0,3
27,2.0,2
28,1.0,2
29,1.0,2
30,7.0,1
31,6.0,3
32,6.0,4
33,6.0,3
34,7.0,4
35,1.0,1
36,1.0,2
37,8.0,3
38,8.0,3
39,8.0,3
40,1.0,2
41,1.0,1
42,8.0,3
43,8.0,1
44,8.0,3
45,8.0,3
46,5.0,3
47,8.0,3
48,7.0,3
49,4.0,1
50,5.0,3
51,7.0,5
52,7.0,4
53,3.0,0
54,1.0,4
55,8.0,1
56,6.0,4
57,3.0,3
58,7.0,4
59,5.0,1
60,2.0,4
61,6.0,1
62,0.0,4
63,7.0,0
64,6.0,2
65,7.0,1
66,7.0,3
67,7.0,4
68,2.0,0
69,2.0,4
70,8.0,3
71,7.0,0
72,3.0,1
73,1.0,0
74,6.0,1
75,7.0,3
76,3.0,3
77,5.0,0
78,6.0,4
79,6.0,3
80,5.0,3
81,8.0,0
82,4.0,1
83,7.0,3
84,8.0,3
85,7.0,4
86,1.0,4
87,8.0,0
88,6.0,0
89,0.0,4
90,6.0,4
91,5.0,0
92,0.0,5
93,6.0,2
94,7.0,3
95,2.0,1
96,5.0,3
97,7.0,1
98,5.0,3
99,2.0,4
100,6.0,2
101,8.0,3
102,7.0,4
103,6.0,4
104,5.0,3
105,2.0,1
106,8.0,3
107,6.0,4
108,1.0,0
109,2.0,4
110,1.0,0
111,2.0,2
112,5.0,0
113,6.0,0
114,5.0,1
115,7.0,5
116,7.0,4
117,2.0,3
118,2.0,4
119,1.0,2
120,6.0,4
121,8.0,3
122,8.0,0
123,6.0,0
124,0.0,5
125,3.0,3
126,7.0,3
127,1.0,0
128,1.0,0
129,6.0,0
130,2.0,0
131,7.0,6
132,8.0,0
133,7.0,1
134,7.0,6
135,1.0,2
136,7.0,0
137,8.0,6
138,7.0,6
139,7.0,6
140,5.0,1
141,2.0,1
142,2.0,3
143,2.0,3
144,8.0,6
145,7.0,6
146,2.0,6
147,5.0,4
148,2.0,6
149,1.0,2
150,2.0,1
151,5.0,4
152,7.0,4
153,2.0,0
154,7.0,0
155,6.0,0
156,1.0,2
157,3.0,3
158,1.0,0
159,6.0,4
160,0.0,2
161,7.0,4
162,6.0,0
163,6.0,1
164,1.0,0
165,5.0,4
166,2.0,6
167,0.0,3
168,2.0,1
169,1.0,6
170,7.0,6
171,7.0,4
172,1.0,2
173,3.0,4
174,3.0,0
175,3.0,1
176,8.0,6
177,8.0,0
178,0.0,1
179,7.0,0
180,5.0,0
181,8.0,6
182,1.0,1
183,7.0,4
184,6.0,6
185,8.0,1
186,2.0,1
187,8.0,0
188,1.0,1
189,5.0,0
190,2.0,6
191,6.0,6
192,7.0,0
193,7.0,6
194,7.0,6
195,2.0,6
196,2.0,0
197,1.0,2
198,7.0,6
199,7.0,6
200,7.0,4
201,6.0,3
202,2.0,1
203,5.0,1
204,4.0,0
205,3.0,6
206,6.0,4
207,6.0,3
208,4.0,4
209,3.0,0
210,1.0,6
211,1.0,4
212,7.0,6
213,2.0,1
214,7.0,5
215,2.0,4
216,7.0,6
217,2.0,3
218,7.0,6
219,2.0,3
220,2.0,4
221,0.0,2
222,1.0,4
223,3.0,0
224,8.0,1
225,6.0,6
226,0.0,2
227,1.0,6
228,1.0,6
229,1.0,2
230,7.0,0
231,4.0,4
232,1.0,6
233,8.0,0
234,7.0,4
235,2.0,4
236,1.0,2
237,8.0,0
238,7.0,4
239,0.0,3
240,0.0,4
241,8.0,1
242,1.0,2
243,2.0,4
244,2.0,3
245,6.0,6
246,5.0,4
247,3.0,1
248,2.0,3
249,7.0,6
250,8.0,6
251,0.0,1
252,1.0,0
253,6.0,0
254,7.0,6
255,5.0,4
256,2.0,6
257,8.0,0
258,1.0,4
259,1.0,1
260,8.0,5
261,1.0,6
262,8.0,5
263,7.0,5
264,3.0,0
265,5.0,1
266,6.0,0
267,8.0,0
268,7.0,2
269,8.0,5
270,4.0,1
271,6.0,6
272,2.0,0
273,7.0,0
274,3.0,4
275,8.0,2
276,7.0,5
277,7.0,1
278,6.0,4
279,7.0,0
280,3.0,1
281,5.0,3
282,8.0,5
283,0.0,6
284,3.0,0
285,8.0,5
286,7.0,1
287,2.0,3
288,8.0,5
289,7.0,6
290,4.0,1
291,7.0,3
292,2.0,6
293,1.0,0
294,7.0,5
295,2.0,0
296,6.0,3
297,2.0,1
298,7.0,5
299,3.0,6
300,2.0,3
301,7.0,6
302,2.0,1
303,3.0,0
304,6.0,6
305,3.0,1
306,3.0,0
307,6.0,6
308,6.0,1
309,5.0,4
310,2.0,6
311,8.0,3
312,5.0,5
313,1.0,5
314,5.0,5
315,2.0,6
316,3.0,1
317,3.0,0
318,6.0,6
319,8.0,5
320,3.0,6
321,8.0,5
322,8.0,5
323,7.0,5
324,0.0,1
325,2.0,0
326,1.0,5
327,8.0,5
328,1.0,0
329,5.0,3
330,2.0,0
331,0.0,3
332,7.0,6
333,6.0,4
334,3.0,0
335,0.0,0
336,2.0,1
337,7.0,3
338,3.0,1
339,6.0,0
340,2.0,3
341,8.0,5
342,7.0,6
343,7.0,3
344,3.0,1
345,7.0,0
346,0.0,0
347,6.0,0
348,2.0,6
349,2.0,6
350,8.0,0
351,5.0,5
352,3.0,0
353,3.0,1
354,8.0,6
355,5.0,3
356,3.0,1
357,7.0,0
358,6.0,4
359,1.0,0
360,3.0,3
361,7.0,3
362,5.0,6
363,2.0,1
364,5.0,4
365,6.0,0
366,8.0,5
367,6.0,0
368,6.0,4
369,1.0,6
370,2.0,0
371,6.0,3
372,7.0,3
373,7.0,5
374,2.0,6
375,7.0,5
376,7.0,3
377,5.0,5
378,3.0,0
379,7.0,6
380,8.0,5
381,3.0,1
382,3.0,0
383,8.0,5
384,5.0,0
385,4.0,6
386,7.0,0
387,8.0,6
388,2.0,3
389,7.0,2
390,6.0,0
391,6.0,6
392,1.0,1
393,8.0,4
394,8.0,5
395,2.0,3
396,5.0,2
397,3.0,2
398,7.0,1
399,1.0,4
400,4.0,6
401,1.0,4
402,3.0,1
403,2.0,2
404,8.0,1
405,2.0,3
406,8.0,6
407,7.0,1
408,1.0,0
409,1.0,3
410,2.0,0
411,8.0,0
412,8.0,1
413,2.0,2
414,7.0,5
415,0.0,0
416,3.0,1
417,8.0,5
418,6.0,2
419,5.0,0
420,8.0,4
421,8.0,0
422,2.0,0
423,8.0,5
424,3.0,1
425,4.0,3
426,6.0,2
427,2.0,5
428,4.0,5
429,2.0,3
430,6.0,6
431,3.0,0
432,8.0,4
433,3.0,1
434,4.0,5
435,2.0,5
436,8.0,5
437,4.0,2
438,7.0,2
439,1.0,0
440,7.0,2
441,0.0,0
442,3.0,6
443,3.0,1
444,7.0,0
445,7.0,0
446,0.0,2
447,7.0,2
448,7.0,0
449,4.0,2
450,6.0,3
451,1.0,1
452,2.0,3
453,1.0,5
454,6.0,1
455,5.0,4
456,7.0,2
457,3.0,3
458,6.0,2
459,2.0,2
460,6.0,4
461,3.0,1
462,0.0,5
463,2.0,2
464,8.0,1
465,8.0,2
466,2.0,2
467,3.0,2
468,8.0,4
469,3.0,6
470,0.0,3
471,8.0,4
472,4.0,5
473,8.0,4
474,1.0,4
475,3.0,2
476,1.0,1
477,6.0,2
478,7.0,5
479,2.0,5
480,3.0,1
481,5.0,6
482,3.0,6
483,2.0,4
484,6.0,4
485,6.0,2
486,6.0,1
487,8.0,1
488,2.0,0
489,7.0,0
490,4.0,6
491,8.0,5
492,8.0,6
493,6.0,1
494,6.0,1
495,5.0,5
496,8.0,4
497,2.0,3
498,1.0,1
499,1.0,4
500,1.0,6
501,1.0,6
502,4.0,5
503,8.0,6
504,7.0,0
505,6.0,1
506,7.0,0
507,7.0,3
508,2.0,2
509,6.0,2
510,3.0,1
511,7.0,1
512,0.0,6
513,8.0,3
514,8.0,6
515,8.0,6
516,6.0,2
517,3.0,2
518,1.0,2
519,1.0,2
520,3.0,6
521,2.0,4
522,5.0,3
523,4.0,0
524,3.0,4
525,4.0,2
526,8.0,4
527,8.0,3
528,2.0,3
529,3.0,3
530,8.0,3
531,5.0,6
532,7.0,6
533,8.0,3
534,8.0,5
535,2.0,6
536,8.0,4
537,3.0,4
538,3.0,5
539,4.0,2
540,1.0,0
541,0.0,1
542,7.0,6
543,7.0,6
544,7.0,3
545,8.0,0
546,1.0,2
547,4.0,1
548,6.0,6
549,2.0,2
550,6.0,6
551,8.0,3
552,2.0,4
553,2.0,2
554,2.0,0
555,7.0,3
556,6.0,1
557,4.0,4
558,2.0,3
559,0.0,6
560,8.0,4
561,7.0,2
562,1.0,3
563,6.0,3
564,4.0,5
565,7.0,4
566,8.0,6
567,4.0,4
568,7.0,5
569,1.0,2
570,7.0,6
571,6.0,6
572,7.0,2
573,0.0,0
574,6.0,0
575,2.0,5
576,3.0,0
577,2.0,1
578,2.0,0
579,8.0,0
580,2.0,5
581,6.0,6
582,8.0,6
583,3.0,3
584,8.0,6
585,2.0,4
586,7.0,2
587,1.0,4
588,1.0,4
589,1.0,1
590,2.0,6
591,7.0,6
592,3.0,5
593,8.0,1
594,0.0,1
595,7.0,4
596,2.0,6
597,3.0,4
598,7.0,6
599,7.0,3
600,6.0,6
601,7.0,3
602,3.0,3
603,4.0,4
604,7.0,2
605,1.0,6
606,6.0,0
607,2.0,4
608,7.0,6
609,8.0,4
610,3.0,4
