,cluster_id,cluster_tsfresh
0,0.0,4
1,0.0,3
2,0.0,2
3,0.0,4
4,0.0,0
5,0.0,3
6,0.0,2
7,0.0,2
8,0.0,4
9,0.0,0
10,0.0,4
11,0.0,2
12,0.0,1
13,0.0,2
14,0.0,2
15,0.0,4
16,0.0,3
17,0.0,4
18,0.0,2
19,0.0,0
20,0.0,1
21,0.0,3
22,0.0,0
23,0.0,0
24,0.0,3
25,0.0,0
26,0.0,0
27,0.0,4
28,0.0,3
29,0.0,1
30,0.0,0
31,0.0,1
32,0.0,3
33,0.0,2
34,0.0,0
35,0.0,1
36,0.0,0
37,0.0,4
38,0.0,3
39,0.0,3
40,0.0,3
41,0.0,3
42,0.0,0
43,0.0,1
44,0.0,0
45,0.0,2
46,0.0,0
47,0.0,4
48,0.0,3
49,0.0,3
50,0.0,1
51,0.0,3
52,0.0,3
53,0.0,2
54,0.0,0
55,0.0,2
56,0.0,3
57,0.0,0
58,0.0,3
59,0.0,1
60,0.0,3
61,0.0,1
62,0.0,0
63,0.0,3
64,0.0,0
65,0.0,1
66,0.0,2
67,0.0,0
68,0.0,3
69,0.0,3
70,0.0,1
71,0.0,3
72,0.0,4
73,0.0,0
74,0.0,3
75,0.0,3
76,0.0,3
77,0.0,3
78,0.0,3
79,0.0,0
80,0.0,0
81,0.0,3
82,0.0,1
83,0.0,4
84,0.0,0
85,0.0,3
86,0.0,1
87,0.0,1
88,0.0,3
89,0.0,3
90,0.0,1
91,0.0,4
92,0.0,3
93,0.0,1
94,0.0,1
95,0.0,4
96,0.0,0
97,0.0,2
98,0.0,2
99,0.0,4
100,0.0,1
101,0.0,0
102,0.0,2
103,0.0,3
104,0.0,3
105,0.0,0
106,0.0,1
107,0.0,4
108,0.0,3
109,0.0,2
110,0.0,0
111,0.0,0
112,0.0,2
113,0.0,0
114,0.0,3
115,0.0,3
116,0.0,3
117,0.0,4
118,0.0,3
119,0.0,3
120,0.0,4
121,0.0,2
122,0.0,1
123,0.0,3
124,0.0,2
125,0.0,4
126,0.0,3
127,0.0,3
128,0.0,4
129,0.0,0
130,0.0,3
131,0.0,4
132,0.0,0
133,0.0,2
134,0.0,0
135,0.0,3
136,0.0,4
137,0.0,2
138,0.0,1
139,0.0,0
140,0.0,1
141,0.0,1
142,0.0,4
143,0.0,2
144,0.0,1
145,0.0,2
146,0.0,0
147,0.0,0
148,0.0,4
149,0.0,2
150,0.0,1
151,0.0,4
152,0.0,0
153,0.0,3
154,0.0,1
155,0.0,2
156,0.0,2
157,0.0,4
158,0.0,2
159,0.0,1
160,0.0,2
161,0.0,2
162,0.0,4
163,0.0,1
164,0.0,2
165,0.0,2
166,0.0,0
167,0.0,2
168,0.0,4
169,0.0,0
170,0.0,0
171,0.0,3
172,0.0,4
173,0.0,2
174,0.0,0
175,0.0,2
176,0.0,3
177,0.0,3
178,0.0,2
179,0.0,3
180,0.0,0
181,0.0,0
182,0.0,0
183,0.0,2
184,0.0,0
185,0.0,2
186,0.0,3
187,0.0,3
188,0.0,0
189,0.0,2
190,0.0,0
191,0.0,2
192,0.0,4
193,0.0,0
194,0.0,2
195,0.0,0
196,0.0,0
197,0.0,2
198,0.0,0
199,0.0,4
200,0.0,4
201,0.0,2
202,0.0,2
203,0.0,3
204,0.0,0
205,0.0,2
206,0.0,2
207,0.0,0
208,0.0,0
209,0.0,3
210,0.0,2
211,0.0,4
212,0.0,4
213,0.0,2
214,0.0,0
215,0.0,4
216,0.0,2
217,0.0,0
218,0.0,0
219,0.0,0
220,0.0,1
221,0.0,0
222,0.0,3
223,0.0,2
224,0.0,0
225,0.0,3
226,0.0,1
227,0.0,4
228,0.0,2
229,0.0,4
230,0.0,1
231,0.0,0
232,0.0,4
233,0.0,2
234,0.0,4
235,0.0,4
236,0.0,0
237,0.0,3
238,0.0,3
239,0.0,4
240,0.0,3
241,0.0,4
242,0.0,2
243,0.0,1
244,0.0,4
245,0.0,2
246,0.0,0
247,0.0,2
248,0.0,2
249,0.0,0
250,0.0,3
251,0.0,2
252,0.0,4
253,0.0,2
254,0.0,2
255,0.0,0
256,0.0,4
257,0.0,0
258,0.0,0
259,0.0,0
260,0.0,1
261,0.0,0
262,0.0,1
263,0.0,4
264,0.0,3
265,0.0,3
266,0.0,2
267,0.0,0
268,0.0,4
269,0.0,3
270,0.0,4
271,0.0,4
272,0.0,0
273,0.0,3
274,0.0,0
275,0.0,3
276,0.0,3
277,0.0,4
278,0.0,2
279,0.0,0
280,0.0,4
281,0.0,0
282,0.0,3
283,0.0,3
284,0.0,0
285,0.0,0
286,0.0,4
287,0.0,0
288,0.0,3
289,0.0,3
290,0.0,0
291,0.0,0
292,0.0,0
293,0.0,1
294,0.0,1
295,0.0,0
296,0.0,3
297,0.0,4
298,0.0,0
299,0.0,1
300,0.0,3
301,0.0,1
302,0.0,1
303,0.0,3
304,0.0,4
305,0.0,1
306,0.0,3
307,0.0,0
308,0.0,0
309,0.0,1
310,0.0,4
311,0.0,4
312,0.0,4
313,0.0,0
314,0.0,3
315,0.0,0
316,0.0,0
317,0.0,3
318,0.0,4
319,0.0,4
320,0.0,3
321,0.0,4
322,0.0,3
323,0.0,0
324,0.0,4
325,0.0,0
326,0.0,0
327,0.0,0
328,0.0,3
329,0.0,0
330,0.0,3
331,0.0,3
332,0.0,4
333,0.0,0
334,0.0,0
335,0.0,0
336,0.0,4
337,0.0,0
338,0.0,0
339,0.0,3
340,0.0,1
341,0.0,3
342,0.0,0
343,0.0,3
344,0.0,3
345,0.0,3
346,0.0,3
347,0.0,3
348,0.0,1
349,0.0,3
350,0.0,4
351,0.0,3
352,0.0,3
353,0.0,0
354,0.0,3
355,0.0,4
356,0.0,1
357,0.0,3
358,0.0,0
359,0.0,4
360,0.0,4
361,0.0,1
362,0.0,0
363,0.0,0
364,0.0,4
365,0.0,0
366,0.0,0
367,0.0,0
368,0.0,4
369,0.0,4
370,0.0,1
371,0.0,3
372,0.0,3
373,0.0,3
374,0.0,4
375,0.0,0
376,0.0,3
377,0.0,4
378,0.0,4
379,0.0,0
380,0.0,4
381,0.0,3
382,0.0,4
383,0.0,4
384,0.0,2
385,0.0,2
386,0.0,2
387,0.0,2
388,0.0,2
389,0.0,2
390,0.0,2
391,0.0,2
392,0.0,2
393,0.0,2
394,0.0,2
395,0.0,2
396,0.0,2
397,0.0,2
398,0.0,2
399,0.0,2
400,1.0,1
401,1.0,0
402,1.0,0
403,1.0,1
404,1.0,0
405,1.0,3
406,1.0,1
407,1.0,3
408,1.0,0
409,1.0,0
410,1.0,3
411,1.0,4
412,1.0,4
413,1.0,1
414,1.0,4
415,1.0,0
416,1.0,1
417,1.0,0
418,1.0,4
419,1.0,4
420,1.0,3
421,1.0,0
422,1.0,4
423,1.0,0
424,1.0,0
425,1.0,3
426,1.0,0
427,1.0,4
428,1.0,3
429,1.0,3
430,1.0,0
431,1.0,4
432,1.0,0
433,1.0,0
434,1.0,4
435,1.0,4
436,1.0,1
437,1.0,0
438,1.0,1
439,1.0,4
440,1.0,4
441,1.0,1
442,1.0,1
443,1.0,3
444,1.0,0
445,1.0,3
446,1.0,1
447,1.0,3
448,1.0,3
449,1.0,0
450,1.0,0
451,1.0,1
452,1.0,3
453,1.0,4
454,1.0,0
455,1.0,1
456,1.0,3
457,1.0,3
458,1.0,0
459,1.0,1
460,1.0,4
461,1.0,4
462,1.0,3
463,1.0,3
464,1.0,4
465,1.0,1
466,1.0,1
467,1.0,1
468,1.0,1
469,1.0,0
470,1.0,0
471,1.0,1
472,1.0,3
473,1.0,3
474,1.0,4
475,1.0,4
476,1.0,0
477,1.0,3
478,1.0,3
479,1.0,4
480,1.0,0
481,1.0,3
482,1.0,4
483,1.0,3
484,1.0,4
485,1.0,4
486,1.0,4
487,1.0,3
488,1.0,0
489,1.0,0
490,1.0,1
491,1.0,1
492,1.0,1
493,1.0,0
494,1.0,4
495,1.0,1
496,1.0,4
497,1.0,3
498,1.0,0
499,1.0,1
500,1.0,4
501,1.0,1
502,1.0,4
503,1.0,4
504,1.0,4
505,1.0,4
506,1.0,0
507,1.0,1
508,1.0,0
509,1.0,4
510,1.0,1
511,1.0,4
512,1.0,4
513,1.0,2
514,1.0,1
515,1.0,4
516,1.0,4
517,1.0,1
518,1.0,4
519,1.0,1
520,1.0,4
521,1.0,2
