,cluster_id,cluster_tsfresh
0,1.0,3
1,1.0,3
2,0.0,1
3,3.0,0
4,3.0,3
5,2.0,1
6,2.0,2
7,0.0,3
8,0.0,2
9,1.0,0
10,1.0,3
11,2.0,1
12,0.0,0
13,0.0,1
14,3.0,1
15,2.0,2
16,3.0,0
17,0.0,1
18,3.0,0
19,3.0,3
20,3.0,2
21,0.0,1
22,2.0,3
23,2.0,1
24,1.0,0
25,1.0,2
26,3.0,0
27,2.0,2
28,2.0,1
29,1.0,3
30,1.0,0
31,3.0,1
32,3.0,3
33,1.0,3
34,0.0,0
35,1.0,1
36,2.0,1
37,0.0,0
38,1.0,0
39,3.0,0
40,0.0,0
41,3.0,0
42,3.0,3
43,1.0,1
44,2.0,1
45,3.0,0
46,3.0,0
47,0.0,0
48,1.0,0
49,1.0,0
50,2.0,2
51,2.0,0
52,2.0,0
53,3.0,1
54,2.0,0
55,1.0,1
56,3.0,3
57,0.0,1
58,1.0,0
59,0.0,2
60,0.0,0
61,1.0,1
62,1.0,0
63,2.0,2
64,1.0,0
65,0.0,1
66,1.0,3
67,2.0,1
68,2.0,0
69,2.0,1
70,3.0,1
71,0.0,3
72,2.0,0
73,3.0,2
74,1.0,3
75,1.0,1
76,1.0,0
77,2.0,0
78,3.0,3
79,2.0,2
80,0.0,2
81,1.0,2
82,3.0,1
83,1.0,3
84,3.0,0
85,3.0,0
86,3.0,3
87,3.0,0
88,2.0,1
89,3.0,3
90,1.0,0
91,2.0,2
92,1.0,3
93,2.0,2
94,2.0,1
95,2.0,1
96,0.0,1
97,3.0,0
98,2.0,2
99,1.0,0
100,3.0,0
101,2.0,3
102,3.0,0
103,2.0,2
104,3.0,0
105,2.0,3
106,0.0,0
107,1.0,0
108,3.0,3
109,2.0,2
110,3.0,2
111,2.0,0
112,2.0,2
113,3.0,0
114,1.0,0
115,2.0,0
116,2.0,2
117,0.0,2
118,3.0,1
119,3.0,0
120,3.0,2
121,3.0,2
122,0.0,3
123,1.0,0
124,1.0,1
125,3.0,0
126,1.0,3
127,0.0,1
128,3.0,2
129,0.0,2
130,1.0,1
131,3.0,0
132,0.0,2
133,0.0,0
134,2.0,1
135,3.0,1
136,0.0,1
137,2.0,1
138,1.0,0
139,3.0,0
140,1.0,0
141,0.0,3
142,2.0,2
143,1.0,0
144,0.0,0
145,3.0,2
146,1.0,1
