,cluster_id,cluster_tsfresh
0,2.0,1
1,10.0,0
2,2.0,5
3,9.0,8
4,10.0,1
5,9.0,0
6,2.0,12
7,4.0,12
8,5.0,10
9,4.0,5
10,2.0,7
11,10.0,1
12,2.0,12
13,2.0,12
14,2.0,12
15,9.0,1
16,2.0,1
17,10.0,5
18,9.0,0
19,10.0,1
20,10.0,8
21,10.0,3
22,10.0,10
23,2.0,0
24,2.0,10
25,5.0,3
26,4.0,1
27,12.0,7
28,4.0,1
29,8.0,10
30,12.0,9
31,2.0,2
32,9.0,5
33,2.0,1
34,7.0,12
35,10.0,10
36,2.0,7
37,10.0,3
38,2.0,1
39,7.0,7
40,10.0,1
41,10.0,0
42,4.0,3
43,10.0,1
44,12.0,7
45,10.0,5
46,4.0,5
47,10.0,11
48,10.0,1
49,2.0,8
50,2.0,7
51,7.0,3
52,10.0,3
53,10.0,3
54,9.0,0
55,4.0,7
56,2.0,0
57,2.0,1
58,4.0,3
59,2.0,1
60,9.0,8
61,7.0,5
62,9.0,0
63,10.0,1
64,9.0,0
65,2.0,1
66,2.0,10
67,2.0,1
68,2.0,1
69,10.0,10
70,7.0,2
71,9.0,0
72,9.0,0
73,10.0,1
74,0.0,7
75,2.0,8
76,2.0,5
77,2.0,1
78,2.0,5
79,2.0,10
80,2.0,1
81,7.0,1
82,2.0,1
83,4.0,7
84,10.0,8
85,2.0,10
86,10.0,1
87,2.0,5
88,7.0,10
89,2.0,5
90,7.0,1
91,2.0,1
92,9.0,10
93,4.0,3
94,0.0,8
95,2.0,5
96,9.0,1
97,4.0,7
98,2.0,1
99,3.0,5
100,10.0,8
101,2.0,2
102,9.0,5
103,2.0,12
104,2.0,0
105,9.0,6
106,7.0,1
107,0.0,3
108,7.0,1
109,10.0,10
110,2.0,1
111,4.0,1
112,2.0,8
113,0.0,4
114,10.0,1
115,7.0,8
116,2.0,7
117,10.0,10
118,2.0,0
119,10.0,12
120,2.0,3
121,2.0,10
122,10.0,8
123,7.0,7
124,4.0,8
125,7.0,2
126,2.0,1
127,2.0,1
128,10.0,8
129,4.0,8
130,10.0,0
131,9.0,0
132,9.0,0
133,5.0,0
134,2.0,10
135,2.0,0
136,10.0,4
137,2.0,0
138,9.0,9
139,10.0,4
140,10.0,0
141,4.0,0
142,2.0,4
143,10.0,9
144,4.0,0
145,1.0,0
146,10.0,3
147,9.0,2
148,9.0,0
149,2.0,9
150,2.0,0
151,9.0,0
152,2.0,0
153,7.0,0
154,3.0,2
155,7.0,0
156,7.0,1
157,1.0,0
158,10.0,10
159,12.0,4
160,9.0,7
161,2.0,0
162,12.0,9
163,2.0,10
164,2.0,0
165,4.0,0
166,12.0,0
167,9.0,9
168,2.0,2
169,2.0,11
170,10.0,3
171,10.0,5
172,2.0,0
173,6.0,2
174,10.0,9
175,2.0,4
176,3.0,7
177,2.0,10
178,2.0,10
179,7.0,8
180,7.0,6
181,4.0,8
182,2.0,10
183,9.0,0
184,10.0,4
185,12.0,4
186,4.0,7
187,4.0,6
188,10.0,7
189,12.0,6
190,12.0,9
191,2.0,9
192,2.0,0
193,2.0,0
194,10.0,10
195,4.0,0
196,2.0,10
197,2.0,0
198,12.0,4
199,10.0,0
200,5.0,11
201,10.0,0
202,4.0,12
203,12.0,0
204,12.0,0
205,11.0,11
206,7.0,7
207,12.0,4
208,9.0,5
209,0.0,7
210,2.0,7
211,9.0,7
212,4.0,1
213,9.0,2
214,2.0,0
215,9.0,2
216,2.0,9
217,2.0,0
218,10.0,2
219,2.0,0
220,7.0,0
221,4.0,9
222,4.0,1
223,10.0,2
224,5.0,9
225,10.0,0
226,10.0,11
227,10.0,10
228,7.0,9
229,9.0,2
230,2.0,10
231,10.0,10
232,7.0,6
233,2.0,10
234,10.0,0
235,2.0,0
236,10.0,7
237,12.0,9
238,12.0,0
239,2.0,9
240,5.0,0
241,4.0,8
242,2.0,10
243,2.0,8
244,10.0,2
245,4.0,9
246,0.0,2
247,10.0,5
248,2.0,8
249,12.0,8
250,2.0,8
251,10.0,10
252,9.0,8
253,1.0,0
254,2.0,0
255,9.0,1
256,10.0,12
257,10.0,0
258,10.0,4
259,10.0,10
260,10.0,3
261,5.0,4
262,9.0,5
263,0.0,10
264,10.0,1
265,2.0,9
266,2.0,1
267,2.0,9
268,4.0,1
269,10.0,7
270,10.0,2
271,7.0,12
272,8.0,12
273,2.0,0
274,9.0,2
275,2.0,9
276,2.0,3
277,4.0,4
278,9.0,1
279,10.0,4
280,4.0,2
281,0.0,6
282,2.0,2
283,12.0,6
284,10.0,2
285,10.0,1
286,10.0,0
287,2.0,1
288,10.0,2
289,2.0,1
290,2.0,9
291,10.0,10
292,9.0,11
293,2.0,2
294,10.0,2
295,10.0,6
296,9.0,11
297,2.0,6
298,2.0,9
299,4.0,10
300,10.0,8
301,2.0,2
