,cluster_id,cluster_tsfresh
0,7.0,2
1,7.0,2
2,5.0,4
3,7.0,4
4,3.0,2
5,3.0,0
6,1.0,2
7,8.0,4
8,0.0,4
9,6.0,5
10,5.0,2
11,7.0,1
12,6.0,5
13,7.0,6
14,7.0,6
15,3.0,5
16,6.0,4
17,8.0,2
18,1.0,3
19,6.0,4
20,2.0,2
21,1.0,6
22,5.0,2
23,7.0,6
24,6.0,4
25,7.0,4
26,3.0,4
27,2.0,6
28,1.0,6
29,1.0,2
30,7.0,1
31,6.0,4
32,6.0,5
33,6.0,5
34,7.0,4
35,1.0,4
36,1.0,6
37,8.0,5
38,8.0,4
39,8.0,1
40,1.0,4
41,1.0,4
42,8.0,1
43,8.0,4
44,8.0,4
45,8.0,1
46,5.0,5
47,8.0,4
48,7.0,1
49,4.0,1
50,5.0,4
51,7.0,2
52,7.0,3
53,3.0,2
54,1.0,4
55,8.0,4
56,6.0,6
57,3.0,5
58,7.0,3
59,5.0,1
60,2.0,1
61,6.0,1
62,0.0,5
63,7.0,2
64,6.0,5
65,7.0,4
66,7.0,2
67,7.0,4
68,2.0,2
69,2.0,3
70,8.0,1
71,7.0,4
72,3.0,4
73,1.0,4
74,6.0,4
75,7.0,1
76,3.0,1
77,5.0,4
78,6.0,5
79,6.0,1
80,5.0,4
81,8.0,2
82,4.0,5
83,7.0,2
84,8.0,4
85,7.0,4
86,1.0,2
87,8.0,4
88,6.0,4
89,0.0,2
90,6.0,4
91,5.0,4
92,0.0,2
93,6.0,1
94,7.0,5
95,2.0,1
96,5.0,5
97,7.0,1
98,5.0,1
99,2.0,5
100,6.0,6
101,8.0,4
102,7.0,2
103,6.0,1
104,5.0,5
105,2.0,4
106,8.0,1
107,6.0,4
108,1.0,2
109,2.0,0
110,1.0,4
111,2.0,1
112,5.0,5
113,6.0,6
114,5.0,4
115,7.0,4
116,7.0,2
117,2.0,1
118,2.0,4
119,1.0,6
120,6.0,3
121,8.0,4
122,8.0,2
123,6.0,4
124,0.0,5
125,3.0,5
126,7.0,5
127,1.0,4
128,1.0,6
129,6.0,1
130,2.0,4
131,7.0,0
132,8.0,4
133,7.0,0
134,7.0,2
135,1.0,4
136,7.0,1
137,8.0,2
138,7.0,4
139,7.0,2
140,5.0,4
141,2.0,0
142,2.0,0
143,2.0,4
144,8.0,1
145,7.0,2
146,2.0,0
147,5.0,6
148,2.0,4
149,1.0,1
150,2.0,4
151,5.0,4
152,7.0,0
153,2.0,1
154,7.0,4
155,6.0,1
156,1.0,6
157,3.0,2
158,1.0,4
159,6.0,6
160,0.0,4
161,7.0,4
162,6.0,4
163,6.0,4
164,1.0,0
165,5.0,6
166,2.0,2
167,0.0,1
168,2.0,4
169,1.0,4
170,7.0,1
171,7.0,6
172,1.0,6
173,3.0,0
174,3.0,1
175,3.0,0
176,8.0,2
177,8.0,4
178,0.0,4
179,7.0,0
180,5.0,0
181,8.0,4
182,1.0,4
183,7.0,6
184,6.0,2
185,8.0,0
186,2.0,0
187,8.0,4
