,cluster_id,cluster_tsfresh
0,0.0,1
1,0.0,3
2,0.0,2
3,0.0,0
4,0.0,2
5,0.0,0
6,0.0,1
7,0.0,3
8,0.0,0
9,0.0,0
10,0.0,1
11,0.0,1
12,0.0,0
13,0.0,1
14,0.0,2
15,0.0,1
16,0.0,1
17,0.0,2
18,0.0,1
19,0.0,0
20,0.0,0
21,0.0,0
22,0.0,2
23,0.0,1
24,0.0,1
25,0.0,0
26,0.0,1
27,0.0,2
28,0.0,1
29,0.0,1
30,0.0,1
31,0.0,1
32,0.0,0
33,0.0,1
34,0.0,1
35,0.0,1
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,1
41,0.0,1
42,0.0,0
43,0.0,0
44,0.0,2
45,0.0,1
46,0.0,0
47,0.0,2
48,0.0,1
49,0.0,0
50,0.0,2
51,0.0,1
52,0.0,2
53,0.0,1
54,0.0,0
55,0.0,0
56,0.0,1
57,0.0,3
58,0.0,1
59,0.0,1
60,0.0,0
61,0.0,1
62,0.0,3
63,0.0,1
64,0.0,0
65,0.0,2
66,0.0,2
67,0.0,2
68,0.0,2
69,0.0,0
70,0.0,2
71,0.0,0
72,0.0,0
73,0.0,1
74,0.0,0
75,0.0,0
76,0.0,2
77,0.0,0
78,0.0,0
79,0.0,3
80,0.0,1
81,0.0,1
82,0.0,0
83,0.0,2
84,0.0,1
85,0.0,0
86,0.0,0
87,0.0,3
88,0.0,1
89,0.0,1
90,0.0,1
91,0.0,0
92,0.0,2
93,0.0,0
94,0.0,0
95,0.0,2
96,0.0,2
97,0.0,2
98,0.0,1
99,0.0,0
100,0.0,3
101,0.0,2
102,0.0,0
103,0.0,1
104,0.0,1
105,0.0,0
106,0.0,2
107,0.0,0
108,0.0,2
109,0.0,0
110,0.0,1
111,0.0,0
112,0.0,1
113,0.0,1
114,0.0,1
115,0.0,1
116,0.0,0
117,0.0,0
118,0.0,1
119,0.0,1
120,0.0,2
121,0.0,0
122,0.0,3
123,0.0,1
124,0.0,0
125,0.0,2
126,0.0,0
127,0.0,1
128,0.0,0
129,0.0,2
130,0.0,2
131,0.0,2
132,0.0,0
133,0.0,0
134,0.0,2
135,0.0,0
136,0.0,2
137,0.0,0
138,0.0,1
139,0.0,2
140,0.0,1
141,0.0,0
142,0.0,0
143,0.0,2
144,0.0,0
145,0.0,2
146,0.0,0
147,0.0,0
148,0.0,1
149,0.0,0
150,0.0,0
151,0.0,3
152,0.0,2
153,0.0,2
154,0.0,0
155,0.0,2
156,0.0,0
157,0.0,1
158,0.0,1
159,0.0,2
160,0.0,1
161,0.0,0
162,0.0,3
163,0.0,1
164,0.0,1
165,0.0,2
166,0.0,1
167,0.0,1
168,0.0,1
169,0.0,0
170,0.0,0
171,0.0,0
172,0.0,1
173,0.0,0
174,0.0,1
175,0.0,1
176,0.0,2
177,0.0,0
178,0.0,1
179,0.0,3
180,0.0,1
181,0.0,0
182,0.0,2
183,0.0,1
184,0.0,1
185,0.0,1
186,0.0,2
187,0.0,0
188,0.0,0
189,0.0,3
190,0.0,1
191,0.0,0
192,0.0,2
193,0.0,0
194,0.0,0
195,0.0,2
196,0.0,0
197,0.0,1
198,0.0,3
199,0.0,0
200,0.0,1
201,0.0,0
202,0.0,1
203,0.0,1
204,0.0,0
205,0.0,2
206,0.0,3
207,0.0,0
208,0.0,1
209,0.0,0
210,0.0,2
211,0.0,2
212,0.0,1
213,0.0,0
214,0.0,0
215,0.0,1
216,0.0,2
217,0.0,0
218,0.0,3
219,0.0,2
220,0.0,2
221,0.0,1
222,0.0,1
223,0.0,0
224,0.0,0
225,0.0,1
226,0.0,3
227,0.0,0
228,0.0,2
229,0.0,0
230,0.0,1
231,0.0,1
232,0.0,1
233,0.0,0
234,0.0,3
235,0.0,2
236,0.0,1
237,0.0,3
238,0.0,1
239,0.0,2
240,0.0,3
241,0.0,0
242,0.0,2
243,0.0,0
244,0.0,1
245,0.0,0
246,0.0,2
247,0.0,3
248,0.0,2
249,0.0,2
250,0.0,0
251,0.0,1
252,0.0,1
253,0.0,3
254,0.0,0
255,0.0,1
256,0.0,2
257,0.0,3
258,0.0,0
259,0.0,2
260,0.0,0
261,0.0,3
262,0.0,1
263,0.0,3
264,0.0,3
265,0.0,3
266,0.0,1
267,0.0,3
268,0.0,2
269,0.0,0
270,0.0,2
271,0.0,0
272,0.0,0
273,0.0,2
274,0.0,2
275,0.0,1
276,0.0,0
277,0.0,1
278,0.0,0
279,0.0,0
280,0.0,2
281,0.0,1
282,0.0,1
283,0.0,0
284,0.0,0
285,0.0,2
286,0.0,2
287,0.0,3
288,0.0,2
289,0.0,1
290,0.0,2
291,0.0,0
292,0.0,2
293,0.0,1
294,0.0,0
295,0.0,1
296,0.0,3
297,0.0,0
298,0.0,3
299,0.0,1
300,0.0,3
301,0.0,3
302,0.0,2
303,0.0,0
304,0.0,2
305,0.0,1
306,0.0,2
307,0.0,3
308,0.0,3
309,0.0,2
310,0.0,3
311,0.0,1
312,0.0,2
313,0.0,2
314,0.0,2
315,0.0,3
316,0.0,1
317,0.0,3
318,0.0,2
319,0.0,1
320,0.0,2
321,0.0,0
322,0.0,2
323,0.0,0
324,0.0,0
325,0.0,2
326,0.0,3
327,0.0,1
328,0.0,2
329,0.0,2
330,0.0,0
331,0.0,2
332,0.0,3
333,0.0,1
334,0.0,2
335,0.0,2
336,0.0,1
337,0.0,2
338,0.0,2
339,0.0,1
340,0.0,0
341,0.0,3
342,0.0,0
343,0.0,3
344,0.0,2
345,0.0,3
346,0.0,1
347,0.0,0
348,0.0,0
349,0.0,2
350,0.0,1
351,0.0,3
352,0.0,2
353,0.0,3
354,0.0,0
355,0.0,1
356,0.0,3
357,0.0,0
358,0.0,3
359,0.0,3
360,0.0,2
361,0.0,3
362,0.0,2
363,0.0,3
364,0.0,3
365,0.0,1
366,0.0,0
367,0.0,3
368,0.0,1
369,0.0,2
370,0.0,2
371,0.0,2
372,0.0,0
373,0.0,3
374,0.0,1
375,0.0,0
376,0.0,1
377,0.0,3
378,0.0,0
379,0.0,3
380,0.0,3
381,0.0,3
382,0.0,2
383,0.0,0
384,0.0,1
385,0.0,1
386,0.0,1
387,0.0,1
388,0.0,1
389,0.0,1
390,0.0,1
391,0.0,1
392,0.0,3
393,0.0,1
394,0.0,1
395,0.0,1
396,0.0,3
397,0.0,1
398,0.0,1
399,0.0,1
400,1.0,3
401,1.0,3
402,1.0,1
403,1.0,3
404,1.0,2
405,1.0,0
406,1.0,3
407,1.0,3
408,1.0,3
409,1.0,1
410,1.0,0
411,1.0,3
412,1.0,3
413,1.0,1
414,1.0,3
415,1.0,2
416,1.0,2
417,1.0,3
418,1.0,1
419,1.0,1
420,1.0,1
421,1.0,3
422,1.0,3
423,1.0,2
424,1.0,1
425,1.0,1
426,1.0,1
427,1.0,3
428,1.0,3
429,1.0,1
430,1.0,1
431,1.0,1
432,1.0,3
433,1.0,2
434,1.0,2
435,1.0,1
436,1.0,1
437,1.0,2
438,1.0,1
439,1.0,1
440,1.0,3
441,1.0,3
442,1.0,1
443,1.0,3
444,1.0,2
445,1.0,3
446,1.0,2
447,1.0,0
448,1.0,3
449,1.0,0
450,1.0,3
451,1.0,2
452,1.0,3
453,1.0,1
454,1.0,2
455,1.0,3
456,1.0,1
457,1.0,2
458,1.0,2
459,1.0,1
460,1.0,3
461,1.0,3
462,1.0,2
463,1.0,1
464,1.0,3
465,1.0,2
466,1.0,3
467,1.0,3
468,1.0,3
469,1.0,0
470,1.0,3
471,1.0,1
472,1.0,1
473,1.0,2
474,1.0,3
475,1.0,1
476,1.0,2
477,1.0,3
478,1.0,3
479,1.0,3
480,1.0,3
481,1.0,2
482,1.0,2
483,1.0,2
484,1.0,3
485,1.0,3
486,1.0,1
487,1.0,3
488,1.0,1
489,1.0,1
490,1.0,3
491,1.0,3
492,1.0,1
493,1.0,3
494,1.0,3
495,1.0,2
496,1.0,3
497,1.0,0
498,1.0,1
