,cluster_id,cluster_tsfresh
0,0.0,1
1,0.0,2
2,0.0,3
3,0.0,1
4,0.0,0
5,0.0,2
6,0.0,3
7,0.0,0
8,0.0,3
9,0.0,1
10,0.0,0
11,0.0,3
12,0.0,1
13,0.0,0
14,0.0,1
15,0.0,0
16,0.0,1
17,0.0,2
18,0.0,3
19,0.0,1
20,0.0,1
21,0.0,1
22,0.0,2
23,0.0,1
24,0.0,3
25,0.0,3
26,0.0,2
27,0.0,3
28,0.0,3
29,0.0,2
30,0.0,3
31,0.0,2
32,0.0,0
33,0.0,1
34,0.0,2
35,0.0,2
36,0.0,3
37,0.0,3
38,0.0,2
39,0.0,3
40,0.0,1
41,0.0,2
42,0.0,2
43,0.0,0
44,0.0,0
45,0.0,2
46,0.0,1
47,0.0,2
48,0.0,1
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,3
53,0.0,3
54,0.0,3
55,0.0,2
56,0.0,0
57,0.0,2
58,0.0,0
59,0.0,1
60,0.0,1
61,0.0,0
62,0.0,1
63,0.0,2
64,0.0,0
65,0.0,3
66,0.0,2
67,0.0,3
68,0.0,2
69,0.0,3
70,0.0,0
71,0.0,3
72,0.0,1
73,0.0,1
74,0.0,1
75,0.0,2
76,0.0,1
77,0.0,1
78,0.0,3
79,0.0,0
80,0.0,2
81,0.0,2
82,0.0,2
83,0.0,3
84,0.0,2
85,0.0,3
86,0.0,1
87,0.0,2
88,0.0,1
89,0.0,1
90,0.0,2
91,0.0,0
92,0.0,2
93,0.0,0
94,0.0,3
95,0.0,2
96,0.0,0
97,0.0,3
98,0.0,2
99,0.0,2
100,0.0,1
101,0.0,1
102,0.0,0
103,0.0,2
104,0.0,1
105,0.0,2
106,0.0,2
107,0.0,2
108,0.0,0
109,0.0,0
110,0.0,2
111,0.0,0
112,0.0,1
113,0.0,3
114,0.0,3
115,0.0,1
116,0.0,2
117,0.0,2
118,0.0,2
119,0.0,1
120,0.0,3
121,0.0,0
122,0.0,1
123,0.0,2
124,0.0,1
125,0.0,1
126,0.0,2
127,0.0,1
128,0.0,1
129,0.0,1
130,0.0,1
131,0.0,2
132,0.0,2
133,0.0,0
134,0.0,2
135,0.0,2
136,0.0,3
137,0.0,3
