,cluster_id,cluster_tslearn
0,1,3
1,3,5
2,1,3
3,1,3
4,2,1
5,5,4
6,1,1
7,1,1
8,5,2
9,0,1
10,4,1
11,3,3
12,1,1
13,1,0
14,0,0
15,3,3
16,5,1
17,1,1
18,1,3
19,2,2
20,3,2
21,4,3
22,1,3
23,0,3
24,0,1
25,2,3
26,0,1
27,1,3
28,3,3
29,0,1
30,3,5
31,2,3
32,3,5
33,0,0
34,4,1
35,0,0
36,0,0
37,4,3
38,3,5
39,5,1
40,3,0
41,0,5
42,4,3
43,3,3
44,0,5
45,3,3
46,3,0
47,5,5
48,2,1
49,4,1
50,1,1
51,3,3
52,1,3
53,3,2
54,4,5
55,3,4
56,3,2
57,1,3
58,0,0
59,2,1
60,0,0
61,3,4
62,1,3
63,3,5
64,3,5
65,1,2
66,0,1
67,5,3
68,2,1
69,1,3
70,3,2
71,1,1
72,0,1
73,0,1
74,4,1
75,1,2
76,1,3
77,2,3
78,0,0
79,3,1
80,0,1
81,1,0
82,2,3
83,0,0
84,2,1
85,3,0
86,3,2
87,0,1
88,4,1
89,1,1
90,4,3
91,3,0
92,1,3
93,0,1
94,3,2
95,4,3
96,4,3
97,0,0
98,3,2
99,1,1
100,1,1
101,1,1
102,5,2
103,1,3
104,3,1
105,0,1
106,3,0
107,4,1
108,2,1
109,0,0
110,4,1
111,3,0
112,5,4
113,3,2
114,0,0
115,3,1
116,1,1
117,0,3
118,0,1
119,5,2
120,1,3
121,1,1
122,1,1
123,3,2
124,5,2
125,1,2
126,3,0
127,3,2
128,3,2
129,0,1
130,3,4
131,1,2
132,3,2
133,0,5
134,0,5
135,0,2
136,4,2
137,1,2
138,4,4
139,1,1
140,1,2
141,1,5
142,0,5
143,1,2
144,1,5
145,5,1
146,0,1
147,3,0
148,3,1
149,3,3
150,1,5
151,1,1
152,4,5
153,3,0
154,0,3
155,2,5
156,2,5
157,4,5
158,5,4
159,2,5
160,4,5
161,3,1
162,0,1
163,1,5
164,3,4
165,0,1
166,1,0
167,1,5
168,1,0
169,4,2
170,3,1
171,0,5
172,4,4
173,1,5
174,4,4
175,1,2
176,0,3
177,0,1
178,3,3
179,3,3
180,4,5
181,1,2
182,0,5
183,1,2
184,1,2
185,3,1
186,1,5
187,1,2
188,4,5
189,1,2
190,1,2
191,1,5
192,1,2
193,3,2
194,0,5
195,1,2
196,3,0
197,0,1
198,0,1
199,1,2
200,5,5
201,1,5
202,3,4
203,2,0
204,4,5
205,3,3
206,3,4
207,3,3
208,4,4
209,1,1
210,1,0
211,4,2
212,5,5
213,0,1
214,4,5
215,3,2
216,1,2
217,1,5
218,1,0
219,2,2
220,0,1
221,3,3
222,0,3
223,5,5
224,3,3
225,3,2
226,3,3
227,2,3
228,0,1
229,5,4
230,3,4
231,3,0
232,1,2
233,3,3
234,4,5
235,5,2
236,4,4
237,3,1
238,5,4
239,0,2
240,5,2
241,3,3
242,1,2
243,5,4
244,1,2
245,3,2
246,1,1
247,1,5
248,1,5
249,1,2
250,0,1
251,1,0
252,3,4
253,1,1
254,3,4
255,0,1
256,3,0
257,0,1
258,1,5
259,1,1
260,3,2
261,0,4
262,0,1
263,0,1
264,4,5
265,1,5
266,1,0
267,3,5
268,4,5
269,3,3
270,0,1
271,3,1
272,1,1
273,3,0
274,1,5
275,4,1
276,1,0
277,3,4
278,3,0
279,1,5
280,1,5
281,4,2
282,5,2
283,0,4
284,1,0
285,4,2
286,0,1
287,4,5
288,1,5
289,0,3
290,1,1
291,0,1
292,1,5
293,0,1
294,1,5
295,3,2
296,5,1
297,4,4
298,1,1
299,2,5
300,3,2
301,3,0
302,3,2
303,0,1
304,1,1
305,0,1
306,4,4
307,0,1
308,5,2
309,5,1
310,1,0
311,4,2
312,1,4
313,1,4
314,5,5
315,3,1
316,3,4
317,4,2
318,3,0
319,0,3
320,1,5
321,1,3
322,5,5
323,0,1
324,5,2
325,1,0
326,3,3
327,1,1
328,4,2
329,3,2
330,1,1
331,3,0
332,3,4
333,3,0
334,0,1
335,4,5
336,3,4
337,3,2
338,1,1
339,1,0
340,1,1
341,5,1
342,1,5
343,3,4
344,1,1
345,4,4
346,0,1
347,3,1
348,1,0
349,0,4
350,1,5
351,4,5
352,0,4
353,3,2
354,0,3
355,5,1
356,0,4
357,0,1
358,1,1
359,5,5
360,0,1
361,3,0
362,4,4
363,3,0
364,5,4
365,1,1
366,1,4
367,4,1
368,1,5
369,3,4
370,0,1
371,0,1
372,3,3
373,0,4
374,1,5
375,4,5
376,0,1
377,0,1
378,3,0
379,3,5
380,3,1
381,3,4
382,4,5
383,4,1
384,2,5
385,1,0
386,4,3
387,0,4
388,4,3
389,3,3
390,3,3
391,3,5
392,0,4
393,5,1
394,2,0
395,3,4
396,3,5
397,3,5
398,5,5
399,4,3
400,4,5
401,1,0
402,0,2
403,1,1
404,4,3
405,1,0
406,4,1
407,4,0
408,4,5
409,5,1
410,1,4
411,5,1
412,1,4
413,0,4
414,4,4
415,3,5
416,0,2
417,3,5
418,1,0
419,0,4
420,3,2
421,1,5
422,3,1
423,4,0
424,0,0
425,1,0
426,4,5
427,1,0
428,2,5
429,0,4
430,2,0
431,3,0
432,1,5
433,0,4
434,0,4
435,3,5
436,1,2
437,4,3
438,3,5
439,0,2
440,4,5
441,0,4
442,0,0
443,3,3
444,3,3
445,2,5
446,0,4
447,1,4
448,0,0
449,1,3
450,1,4
451,0,2
452,1,0
453,1,0
454,5,1
455,3,1
456,0,4
457,3,5
458,4,3
459,4,2
460,1,0
461,0,0
462,0,2
463,3,5
464,0,2
465,1,0
466,1,0
467,0,2
468,0,0
469,2,4
470,0,0
471,3,5
472,3,1
473,1,0
474,0,2
475,1,0
476,0,4
477,3,5
478,4,3
479,0,4
480,5,3
481,4,4
482,4,3
483,1,3
484,1,5
485,3,0
486,0,4
487,0,0
488,3,1
489,5,1
490,0,0
491,0,4
492,0,0
493,3,0
494,0,4
495,3,5
496,3,3
497,1,0
498,3,1
499,4,5
500,0,4
501,0,0
502,2,0
503,5,3
504,1,0
505,0,4
506,3,0
507,4,3
508,0,4
509,1,0
510,5,0
511,3,0
512,5,3
513,0,1
514,0,5
515,3,2
516,0,1
517,3,0
518,0,5
519,4,2
520,0,1
521,1,3
522,4,1
523,0,5
524,4,3
525,4,3
526,3,3
527,2,3
528,1,0
529,0,3
530,0,5
531,0,3
532,1,0
533,5,4
534,1,4
535,0,5
536,3,1
537,0,1
538,0,1
539,2,3
540,3,1
541,5,3
542,3,1
543,1,0
544,4,3
545,1,3
546,1,3
547,1,3
548,4,3
549,5,1
550,0,3
551,1,5
552,0,3
553,3,0
554,0,5
555,4,3
556,3,2
557,1,3
558,4,3
559,5,2
560,3,0
561,1,3
562,1,5
563,1,0
564,1,0
565,1,0
566,1,3
567,3,1
568,3,0
569,1,3
570,3,4
571,2,3
572,1,3
573,0,3
574,4,3
575,1,0
576,3,0
577,1,3
578,4,3
579,1,3
580,0,1
581,0,3
582,0,1
583,0,3
584,0,3
585,4,4
586,4,3
587,1,5
588,3,2
589,1,3
590,0,3
591,1,0
592,1,3
593,0,3
594,0,5
595,0,1
596,2,4
597,0,5
598,0,5
599,3,3
600,3,1
601,0,5
602,1,3
603,0,5
604,0,5
605,1,0
606,4,3
607,0,5
608,1,0
609,0,5
610,0,5
611,0,5
612,1,4
613,5,4
614,1,5
615,3,2
616,4,2
617,1,3
618,5,3
619,1,3
620,1,3
621,3,5
622,0,3
623,1,3
624,0,5
625,0,5
626,0,5
627,0,5
628,1,3
629,0,5
630,1,3
631,1,3
632,4,2
633,0,5
634,1,3
635,0,5
636,1,0
637,4,3
638,1,5
639,3,1
640,5,4
641,0,1
642,3,2
643,0,1
644,0,1
645,4,1
646,0,3
647,5,1
648,0,3
649,3,1
650,4,1
651,3,0
652,3,0
653,0,3
654,5,0
655,5,1
656,4,0
657,3,1
658,0,1
659,1,0
660,2,5
661,5,5
662,1,5
663,0,2
664,1,0
665,1,3
666,0,3
667,1,0
668,0,2
669,4,0
670,5,0
671,1,1
672,3,3
673,3,2
674,3,0
675,1,5
676,0,2
677,3,0
678,2,1
679,0,2
680,0,2
681,4,0
682,3,4
683,3,0
684,1,5
685,0,2
686,4,1
687,1,1
688,3,5
689,0,2
690,1,1
691,1,1
692,1,1
693,1,1
694,1,1
695,4,1
696,3,1
697,3,0
698,1,1
699,3,0
700,1,1
701,2,1
702,1,0
703,3,1
704,1,1
705,1,1
706,5,0
707,5,1
708,5,1
709,1,1
710,1,1
711,1,3
712,0,1
713,4,1
714,3,3
715,0,1
716,4,0
717,4,0
718,1,1
719,3,1
720,1,1
