,cluster_id,cluster_tslearn
0,1,1
1,1,1
2,0,1
3,3,3
4,3,1
5,2,1
6,2,1
7,0,1
8,0,1
9,1,1
10,1,1
11,2,1
12,0,1
13,0,1
14,3,1
15,2,1
16,3,1
17,0,1
18,3,1
19,3,1
20,3,2
21,0,1
22,2,1
23,2,1
24,1,1
25,1,1
26,3,1
27,2,1
28,2,1
29,1,1
30,1,1
31,3,1
32,3,1
33,1,1
34,0,1
35,1,1
36,2,1
37,0,1
38,1,1
39,3,1
40,0,1
41,3,1
42,3,1
43,1,1
44,2,1
45,3,1
46,3,1
47,0,1
48,1,1
49,1,1
50,2,1
51,2,3
52,2,1
53,3,1
54,2,1
55,1,1
56,3,1
57,0,2
58,1,1
59,0,0
60,0,2
61,1,2
62,1,1
63,2,1
64,1,1
65,0,1
66,1,1
67,2,1
68,2,1
69,2,1
70,3,1
71,0,1
72,2,1
73,3,1
74,1,1
75,1,2
76,1,1
77,2,1
78,3,1
79,2,0
80,0,1
81,1,1
82,3,1
83,1,1
84,3,1
85,3,1
86,3,1
87,3,1
88,2,1
89,3,1
90,1,1
91,2,1
92,1,1
93,2,1
94,2,1
95,2,2
96,0,1
97,3,1
98,2,1
99,1,1
100,3,1
101,2,1
102,3,1
103,2,2
104,3,1
105,2,2
106,0,1
107,1,1
108,3,1
109,2,1
110,3,1
111,2,1
112,2,1
113,3,1
114,1,1
115,2,1
116,2,1
117,0,1
118,3,0
119,3,1
120,3,1
121,3,1
122,0,1
123,1,1
124,1,1
125,3,1
126,1,1
127,0,1
128,3,0
129,0,0
130,1,0
131,3,1
132,0,1
133,0,1
134,2,2
135,3,2
136,0,2
137,2,2
138,1,2
139,3,2
140,1,1
141,0,1
142,2,3
143,1,2
144,0,0
145,3,2
146,1,0
147,2,3
148,1,0
149,1,0
150,3,0
151,2,2
152,1,3
153,1,1
154,2,3
155,3,3
156,1,1
157,2,0
158,3,1
159,3,2
160,1,1
161,2,2
162,0,0
163,1,1
164,2,3
165,0,1
166,1,1
167,2,0
168,3,1
169,0,2
170,0,3
171,1,1
172,1,1
173,3,3
174,2,1
175,0,1
176,1,1
177,0,0
178,3,1
179,1,2
180,1,1
181,3,1
182,1,2
183,2,3
184,2,0
185,1,1
186,0,1
187,3,2
188,0,1
189,1,2
190,3,2
191,1,0
192,0,1
193,3,0
194,1,1
195,2,2
196,3,3
197,1,3
198,3,1
199,0,0
200,2,1
201,2,0
202,3,0
203,2,3
204,1,1
205,2,1
206,0,1
207,1,3
208,1,1
209,0,2
210,0,0
211,0,0
212,3,2
213,3,3
214,1,0
215,0,2
216,0,2
217,0,2
218,1,3
219,2,2
220,3,3
221,2,3
222,3,2
223,1,1
224,3,0
225,3,2
226,3,0
227,1,1
228,0,0
229,1,1
230,2,3
231,0,0
232,0,2
233,3,1
234,0,3
235,0,0
236,2,2
237,2,0
238,2,2
239,3,0
240,2,2
241,2,0
242,2,0
243,2,3
244,3,2
245,3,0
246,3,3
247,0,1
248,1,1
249,2,3
250,3,3
251,2,3
252,0,3
253,0,2
254,0,3
255,2,0
256,0,3
257,1,0
258,0,0
259,1,0
260,2,2
261,1,2
262,3,3
263,1,2
264,2,2
265,1,0
266,0,0
267,1,1
268,0,0
269,1,0
270,0,2
271,0,0
272,3,2
273,0,1
274,0,0
275,3,2
276,2,0
277,0,2
278,3,0
279,3,1
280,1,1
281,0,0
282,0,2
283,1,2
284,3,2
285,0,0
286,3,2
287,3,3
288,0,0
289,0,0
290,1,1
291,3,1
292,2,0
293,3,0
294,1,1
295,1,1
296,0,0
297,2,0
298,1,1
299,1,0
300,0,3
301,0,0
302,2,0
303,0,1
304,3,0
305,1,1
306,1,0
307,3,2
308,3,0
309,2,1
310,0,0
311,0,1
312,1,1
313,3,2
314,0,0
315,1,1
316,2,0
317,1,1
318,1,0
319,2,0
320,1,1
321,1,0
322,1,0
323,2,0
324,0,0
325,0,2
326,2,0
327,2,0
328,2,2
329,2,0
330,3,1
331,0,1
332,1,0
333,0,1
334,1,3
335,3,3
336,0,1
337,0,0
338,1,1
339,2,0
340,0,0
341,1,3
342,1,0
343,0,2
344,1,1
345,0,0
346,1,1
347,3,1
348,1,1
349,0,2
350,2,0
351,3,3
352,1,1
353,0,3
354,2,0
355,3,1
356,2,1
357,0,2
358,2,3
359,1,1
360,1,3
361,0,1
362,0,2
363,0,2
364,1,1
365,3,0
366,2,3
367,3,1
368,3,0
369,2,1
370,2,1
371,0,0
372,0,1
373,1,3
374,0,0
375,3,1
376,2,0
377,3,1
378,3,0
379,0,3
380,2,0
381,1,0
382,3,0
383,1,3
384,3,1
385,3,2
386,0,3
387,2,2
388,2,3
389,0,2
390,2,1
391,0,3
392,0,1
393,0,2
394,3,1
395,3,1
396,2,2
397,1,1
398,1,1
399,1,1
400,0,1
401,2,2
402,3,1
403,1,2
404,2,0
405,3,3
406,0,2
407,1,1
408,2,3
409,2,2
410,0,3
411,2,1
412,1,3
413,0,1
414,0,3
415,3,2
416,1,1
417,0,2
418,3,2
419,2,3
420,2,1
421,3,1
422,3,2
423,3,1
424,0,1
425,2,1
426,3,3
427,0,1
428,3,2
429,3,2
430,0,2
431,2,3
432,2,2
433,2,3
434,3,2
435,0,1
436,2,1
437,2,3
438,1,1
439,3,2
440,2,1
441,0,1
442,3,3
443,1,1
444,1,2
445,0,2
446,3,3
447,1,1
448,1,2
449,0,1
450,3,1
451,3,3
452,0,2
453,3,2
454,0,2
455,1,2
456,3,1
457,0,1
458,1,1
459,0,1
460,2,2
461,2,1
462,3,2
463,3,2
464,2,2
465,3,1
466,3,1
467,0,2
468,1,1
469,2,1
470,2,2
471,3,2
472,0,3
473,1,2
474,1,2
475,1,1
476,2,2
477,2,1
478,0,1
479,0,1
480,3,2
481,2,2
482,0,2
483,0,2
484,3,3
485,3,1
486,1,3
487,2,1
488,1,1
489,2,2
490,1,1
491,0,1
492,3,2
493,2,2
494,0,2
495,1,1
496,1,1
497,1,1
498,1,2
499,3,1
500,1,3
501,1,2
502,2,2
503,0,1
504,2,3
505,3,2
506,3,2
507,1,1
508,3,2
509,0,1
510,0,1
511,1,1
512,1,2
513,1,2
514,3,0
515,1,3
516,1,1
517,1,3
518,3,2
519,1,2
520,3,1
521,3,2
522,2,2
523,0,0
524,3,1
525,2,2
526,0,2
527,0,3
528,0,3
529,0,2
530,1,2
531,0,2
532,3,2
533,2,2
534,1,2
535,2,0
536,3,0
537,3,2
538,3,2
539,0,0
540,1,0
541,0,2
542,3,0
543,0,2
544,1,3
545,3,0
546,2,2
547,3,0
548,3,3
549,1,2
550,2,0
551,0,2
552,3,0
553,0,3
554,2,2
555,0,1
556,2,0
557,3,2
558,1,2
559,0,2
560,2,3
561,2,0
562,0,0
563,2,0
564,3,2
565,3,2
566,0,1
567,3,2
568,3,0
569,1,0
570,0,2
571,3,3
572,1,2
573,3,2
574,0,2
575,0,2
576,3,2
577,2,3
578,2,2
579,3,2
580,0,2
581,3,2
582,1,2
583,0,2
584,2,2
585,2,0
586,1,2
587,1,2
588,0,0
589,3,0
590,3,2
591,1,2
592,2,2
593,3,1
594,0,0
595,3,2
596,2,2
597,1,0
598,0,2
599,1,0
600,1,2
601,3,2
602,1,1
603,1,2
604,1,2
605,0,2
606,3,2
607,2,2
608,3,1
609,2,0
610,2,2
611,3,2
612,0,2
613,0,2
614,3,1
615,0,2
616,3,2
617,2,2
618,3,3
619,2,2
620,1,0
621,2,2
622,3,2
623,2,0
624,3,2
625,0,0
626,0,3
627,3,2
628,2,2
629,0,0
630,3,0
631,0,2
632,3,2
633,1,0
634,2,2
635,2,0
636,1,2
637,0,2
638,1,1
639,2,2
640,0,1
641,3,0
642,0,1
643,1,0
644,3,0
645,3,2
646,3,3
647,1,0
648,2,1
649,3,1
650,0,0
651,1,0
652,0,1
653,3,1
654,1,0
655,3,1
656,1,0
657,3,0
658,1,0
659,3,1
660,0,1
661,3,1
662,3,0
663,0,1
664,2,3
665,2,3
666,0,2
667,1,0
668,2,2
669,1,1
670,0,1
671,0,3
672,3,1
673,2,0
674,0,0
675,1,0
676,2,0
677,1,0
678,3,0
679,0,1
680,3,0
681,3,1
682,2,1
683,3,3
684,3,0
685,3,0
686,1,0
687,2,1
688,3,3
689,2,3
690,0,0
691,3,0
692,3,0
693,2,1
694,2,0
695,0,3
696,1,1
697,3,1
698,0,0
699,3,3
700,3,1
701,0,3
702,2,1
703,3,0
704,0,1
705,0,0
706,3,0
707,0,2
708,2,2
709,1,1
710,2,2
711,2,1
712,3,0
713,2,3
714,0,1
715,1,0
716,2,1
717,0,0
718,2,1
719,1,1
720,1,0
721,2,0
722,3,1
723,2,1
724,0,0
725,2,1
726,3,0
727,3,2
728,2,0
729,1,0
730,1,0
731,0,1
732,3,2
733,3,1
734,2,0
735,2,0
736,3,3
737,0,1
738,0,0
739,2,0
740,1,0
741,1,0
742,0,1
743,1,1
744,3,0
745,2,3
746,1,0
747,2,2
748,3,0
749,3,0
750,1,0
751,1,1
752,3,2
753,2,0
754,1,0
755,3,0
756,3,0
757,1,0
758,2,0
759,2,1
760,3,1
761,2,3
762,1,0
763,1,1
764,3,0
765,2,3
766,1,3
767,1,1
768,1,0
769,0,0
770,0,3
771,3,1
772,2,3
773,1,1
774,2,2
775,1,1
776,2,3
777,3,3
778,0,3
779,0,3
780,2,3
781,0,3
782,1,1
783,0,3
784,0,2
785,1,3
786,3,1
787,0,1
788,0,1
789,0,1
790,1,1
791,2,1
792,0,3
793,3,2
794,0,3
795,1,2
796,1,3
797,3,1
798,0,3
799,0,3
800,1,2
801,3,1
802,1,0
803,2,1
804,0,1
805,1,3
806,2,1
807,3,3
808,3,1
809,3,1
810,1,1
811,1,3
812,3,1
813,0,3
814,2,2
815,2,3
816,1,1
817,1,0
818,1,1
819,0,1
820,3,2
821,0,1
822,3,2
823,1,1
824,3,0
825,3,1
826,3,3
827,0,3
828,3,3
829,1,1
830,2,3
831,2,3
832,1,1
833,3,1
834,3,3
835,1,3
836,3,1
837,2,3
838,2,2
839,2,1
840,3,2
841,2,2
842,0,2
843,2,3
844,2,1
845,2,2
846,2,3
847,1,1
848,1,1
849,2,3
850,1,1
851,0,1
852,1,2
853,0,3
854,0,0
855,3,1
856,0,0
857,0,3
858,3,1
859,1,3
860,1,1
861,1,3
862,2,3
863,2,0
864,0,2
865,0,3
866,3,3
867,1,1
868,2,1
869,3,2
870,2,3
871,1,1
872,3,2
873,2,3
874,0,3
875,0,2
876,3,3
877,2,3
878,1,1
879,2,2
880,1,0
881,3,3
882,2,3
883,0,3
884,2,2
885,0,3
886,3,1
887,3,3
888,3,3
889,1,1
890,3,1
891,2,3
892,1,3
893,0,1
894,2,2
895,0,1
896,3,1
897,1,1
898,0,1
899,2,2
900,2,1
901,1,3
902,1,2
903,0,2
904,0,1
905,0,2
906,1,1
907,2,2
908,1,3
909,2,1
910,0,1
911,3,1
912,1,1
913,3,2
914,1,1
915,1,1
916,1,3
917,0,1
918,2,1
919,0,3
920,0,1
921,3,3
922,3,1
923,2,1
924,3,1
925,0,1
926,0,3
927,3,1
928,3,2
929,1,1
930,0,2
931,2,1
932,1,3
933,0,0
934,0,0
935,2,2
936,1,0
937,2,2
938,0,3
939,1,1
940,1,1
941,3,3
942,3,0
943,0,3
944,0,2
945,3,3
946,3,1
947,0,1
948,3,3
949,1,1
950,2,1
951,2,2
952,3,1
953,2,3
954,0,2
955,0,2
956,3,1
957,3,2
958,3,3
959,0,1
960,1,1
961,2,1
962,2,1
963,2,0
964,3,3
965,3,2
966,1,1
967,2,1
968,1,1
969,3,3
970,2,2
971,1,1
972,3,1
973,1,2
974,3,1
975,2,1
976,0,1
977,2,3
978,0,1
979,1,1
980,0,1
981,0,1
982,0,1
983,2,2
984,3,2
985,1,2
986,2,1
987,2,1
988,3,1
989,1,1
990,1,1
991,1,1
992,1,3
993,0,1
994,1,1
995,0,1
996,3,1
997,3,1
998,3,1
999,3,0
1000,0,2
1001,2,1
1002,2,1
1003,0,2
1004,0,2
1005,3,3
1006,2,1
1007,0,2
1008,2,1
1009,1,3
1010,3,1
1011,3,1
1012,2,3
1013,0,0
1014,1,1
1015,2,1
1016,2,2
1017,0,3
1018,2,3
1019,3,1
1020,2,1
1021,3,2
1022,1,1
1023,3,1
1024,3,1
1025,3,1
1026,2,0
1027,2,1
1028,2,0
1029,0,2
1030,3,2
1031,1,2
1032,1,2
1033,3,2
1034,1,2
1035,3,1
1036,1,2
1037,2,2
1038,0,0
1039,2,2
1040,2,1
1041,3,1
1042,0,0
1043,0,2
1044,1,1
1045,0,1
1046,0,0
1047,2,2
1048,3,0
1049,3,2
1050,1,1
1051,3,1
1052,0,0
1053,0,0
1054,0,0
1055,2,2
1056,0,2
1057,3,2
1058,3,1
1059,2,2
1060,0,2
1061,3,2
1062,0,3
1063,3,0
1064,1,0
1065,1,1
1066,0,2
1067,2,2
1068,3,0
1069,3,1
1070,0,2
1071,3,2
1072,2,2
1073,0,0
1074,3,2
1075,2,0
1076,1,2
1077,1,1
1078,3,0
1079,2,1
1080,2,1
1081,0,0
1082,0,2
1083,1,0
1084,1,2
1085,0,2
1086,2,2
1087,1,0
1088,2,0
1089,3,0
1090,2,2
1091,2,2
1092,3,0
1093,1,2
1094,1,1
1095,3,1
1096,2,0
1097,3,1
1098,1,0
1099,0,2
1100,2,2
1101,2,2
1102,2,2
1103,1,0
1104,2,2
1105,1,2
1106,2,2
1107,0,2
1108,0,2
1109,2,2
1110,2,2
1111,0,1
1112,0,2
1113,2,2
1114,1,0
1115,3,2
1116,2,1
1117,2,2
1118,3,2
1119,1,1
1120,3,1
1121,0,2
1122,2,2
1123,0,0
1124,0,3
1125,1,1
1126,2,0
1127,2,2
1128,1,1
1129,1,1
1130,1,2
1131,3,2
1132,3,2
1133,3,0
1134,1,2
1135,2,0
1136,2,2
1137,0,0
1138,2,0
1139,3,2
1140,2,2
1141,0,0
1142,0,2
1143,1,0
1144,2,0
1145,0,0
1146,0,1
1147,1,1
1148,2,1
1149,3,3
1150,2,2
1151,1,1
1152,1,1
1153,3,1
1154,0,0
1155,3,1
1156,2,1
1157,2,0
1158,1,0
1159,3,1
1160,2,1
1161,1,1
1162,1,3
1163,3,1
1164,3,3
1165,0,1
1166,3,1
1167,2,3
1168,3,0
1169,3,1
1170,3,0
1171,2,0
1172,3,1
1173,1,0
1174,0,1
1175,2,0
1176,0,1
1177,2,1
1178,3,1
1179,2,3
1180,3,1
1181,3,0
1182,0,1
1183,2,1
1184,2,0
1185,0,2
1186,0,2
1187,3,1
1188,1,3
1189,1,1
1190,3,0
1191,1,1
1192,2,3
1193,2,0
1194,3,1
1195,2,0
1196,3,1
1197,0,1
1198,3,3
1199,2,0
1200,2,1
1201,3,3
1202,0,3
1203,1,3
1204,3,1
1205,0,0
1206,1,1
1207,1,3
1208,0,2
1209,0,3
1210,0,0
1211,2,0
1212,2,3
1213,0,3
1214,3,1
1215,0,1
1216,0,0
1217,3,0
1218,3,1
1219,1,0
1220,0,1
1221,0,1
1222,3,0
1223,0,0
1224,2,3
1225,3,0
1226,1,1
1227,3,0
1228,0,3
1229,2,0
1230,1,0
1231,2,0
1232,1,0
1233,3,3
1234,1,1
1235,0,3
1236,2,1
1237,1,1
1238,1,1
1239,2,1
1240,0,3
1241,0,0
1242,1,0
1243,0,3
1244,1,1
1245,2,3
1246,3,1
1247,3,0
1248,1,3
1249,0,0
1250,3,1
1251,2,3
1252,3,1
1253,2,2
1254,3,0
1255,1,3
1256,3,0
1257,3,0
1258,3,0
1259,3,1
1260,1,1
1261,0,3
1262,1,3
1263,0,3
1264,0,1
1265,1,1
1266,1,1
1267,2,1
1268,1,1
1269,3,1
1270,2,3
1271,2,0
1272,0,0
1273,1,3
1274,3,3
1275,2,3
1276,2,3
1277,2,0
1278,1,1
1279,1,1
1280,0,1
1281,3,3
1282,3,3
1283,2,3
1284,2,3
1285,3,1
1286,2,1
1287,3,3
1288,0,3
1289,3,2
1290,1,3
1291,0,3
1292,0,3
1293,3,0
1294,3,1
1295,0,2
1296,0,0
1297,0,2
1298,3,0
1299,1,3
1300,0,3
1301,3,3
1302,0,0
1303,3,0
1304,3,0
1305,1,3
1306,3,3
1307,0,0
1308,0,2
1309,3,2
1310,3,3
1311,0,0
1312,1,2
1313,1,1
1314,2,0
1315,0,1
1316,0,3
1317,2,0
1318,1,2
1319,0,0
1320,1,3
1321,3,3
1322,2,3
1323,2,3
1324,2,3
1325,0,2
1326,1,3
1327,3,1
1328,1,1
1329,2,1
1330,2,3
1331,3,3
1332,2,3
1333,0,1
1334,1,3
1335,3,2
1336,3,0
1337,0,3
1338,2,3
1339,1,1
1340,0,1
1341,1,2
1342,2,3
1343,1,2
1344,2,2
1345,2,0
1346,0,0
1347,1,2
1348,2,3
1349,3,3
1350,3,3
1351,1,2
1352,2,1
1353,0,0
1354,2,1
1355,0,0
1356,0,1
1357,3,3
1358,3,1
