,cluster_id,cluster_tslearn
0,2,0
1,10,10
2,2,11
3,9,11
4,10,0
5,9,9
6,2,11
7,4,0
8,5,0
9,4,10
10,2,0
11,10,10
12,2,12
13,2,0
14,2,11
15,9,2
16,2,11
17,10,8
18,9,9
19,10,4
20,10,8
21,10,4
22,10,10
23,2,11
24,2,0
25,5,4
26,4,1
27,12,0
28,4,4
29,8,12
30,12,10
31,2,12
32,9,0
33,2,0
34,7,10
35,10,2
36,2,4
37,10,12
38,2,10
39,7,0
40,10,12
41,10,0
42,4,0
43,10,10
44,12,0
45,10,11
46,4,10
47,10,0
48,10,11
49,2,0
50,2,0
51,7,0
52,10,12
53,10,10
54,9,11
55,4,4
56,2,9
57,2,9
58,4,9
59,2,0
60,9,0
61,7,0
62,9,11
63,10,0
64,9,9
65,2,0
66,2,2
67,2,0
68,2,9
69,10,0
70,7,0
71,9,8
72,9,1
73,10,0
74,0,4
75,2,3
76,2,11
77,2,4
78,2,10
79,2,12
80,2,0
81,7,0
82,2,0
83,4,0
84,10,0
85,2,0
86,10,12
87,2,7
88,7,11
89,2,9
90,7,0
91,2,0
92,9,10
93,4,4
94,0,4
95,2,11
96,9,10
97,4,0
98,2,9
99,3,3
100,10,0
101,2,0
102,9,0
103,2,10
104,2,9
105,9,9
106,7,12
107,0,12
108,7,10
109,10,3
110,2,10
111,4,11
112,2,0
113,0,10
114,10,12
115,7,9
116,2,0
117,10,10
118,2,6
119,10,11
120,2,4
121,2,12
122,10,5
123,7,0
124,4,1
125,7,1
126,2,4
127,2,0
128,10,1
129,4,6
130,10,5
131,9,7
132,9,6
133,5,11
134,2,6
135,2,1
136,10,6
137,2,2
138,9,2
139,10,6
140,10,2
141,4,2
142,2,11
143,10,6
144,4,1
145,1,3
146,10,6
147,9,4
148,9,1
149,2,4
150,2,3
151,9,2
152,2,11
153,7,3
154,3,11
155,7,2
156,7,3
157,1,7
158,10,1
159,12,11
160,9,10
161,2,10
162,12,10
163,2,1
164,2,2
165,4,11
166,12,4
167,9,4
168,2,7
169,2,11
170,10,6
171,10,1
172,2,5
173,6,5
174,10,5
175,2,2
176,3,9
177,2,2
178,2,6
179,7,2
180,7,6
181,4,1
182,2,11
183,9,11
184,10,11
185,12,11
186,4,0
187,4,6
188,10,10
189,12,6
190,12,11
191,2,11
192,2,11
193,2,2
194,10,6
195,4,10
196,2,2
197,2,5
198,12,3
199,10,12
200,5,2
201,10,5
202,4,5
203,12,1
204,12,11
205,11,11
206,7,8
207,12,3
208,9,11
209,0,11
210,2,6
211,9,11
212,4,11
213,9,10
214,2,2
215,9,6
216,2,7
217,2,7
218,10,6
219,2,11
220,7,12
221,4,2
222,4,9
223,10,10
224,5,10
225,10,1
226,10,11
227,10,2
228,7,11
229,9,3
230,2,3
231,10,1
232,7,1
233,2,11
234,10,11
235,2,1
236,10,9
237,12,7
238,12,3
239,2,3
240,5,2
241,4,7
242,2,1
243,2,7
244,10,5
245,4,10
246,0,10
247,10,2
248,2,2
249,12,1
250,2,11
251,10,2
252,9,7
253,1,3
254,2,11
255,9,11
256,10,7
257,10,2
258,10,7
259,10,7
260,10,3
261,5,12
262,9,10
263,0,7
264,10,3
265,2,7
266,2,7
267,2,5
268,4,6
269,10,7
270,10,1
271,7,7
272,8,7
273,2,3
274,9,7
275,2,8
276,2,2
277,4,7
278,9,7
279,10,0
280,4,7
281,0,7
282,2,7
283,12,3
284,10,7
285,10,7
286,10,7
287,2,1
288,10,2
289,2,1
290,2,2
291,10,4
292,9,7
293,2,9
294,10,7
295,10,2
296,9,7
297,2,7
298,2,7
299,4,11
300,10,7
301,2,1
