,cluster_id,cluster_tslearn
0,7,3
1,7,2
2,5,7
3,7,0
4,3,8
5,3,1
6,1,7
7,8,3
8,0,3
9,6,0
10,5,4
11,7,0
12,6,0
13,7,7
14,7,8
15,3,0
16,6,5
17,8,7
18,1,3
19,6,5
20,2,0
21,1,7
22,5,7
23,7,4
24,6,2
25,7,0
26,3,0
27,2,3
28,1,2
29,1,2
30,7,0
31,6,8
32,6,0
33,6,0
34,7,0
35,1,8
36,1,3
37,8,0
38,8,3
39,8,0
40,1,8
41,1,3
42,8,0
43,8,5
44,8,0
45,8,3
46,5,7
47,8,0
48,7,3
49,4,3
50,5,0
51,7,5
52,7,7
53,3,0
54,1,7
55,8,8
56,6,3
57,3,0
58,7,0
59,5,0
60,2,0
61,6,7
62,0,0
63,7,5
64,6,0
65,7,8
66,7,0
67,7,0
68,2,0
69,2,4
70,8,7
71,7,0
72,3,0
73,1,5
74,6,8
75,7,7
76,3,7
77,5,3
78,6,0
79,6,0
80,5,0
81,8,7
82,4,0
83,7,0
84,8,3
85,7,0
86,1,0
87,8,5
88,6,5
89,0,4
90,6,3
91,5,0
92,0,6
93,6,2
94,7,0
95,2,0
96,5,0
97,7,0
98,5,0
99,2,0
100,6,7
101,8,7
102,7,3
103,6,0
104,5,0
105,2,0
106,8,3
107,6,5
108,1,0
109,2,8
110,1,7
111,2,6
112,5,0
113,6,3
114,5,0
115,7,2
116,7,0
117,2,5
118,2,4
119,1,0
120,6,5
121,8,7
122,8,5
123,6,0
124,0,6
125,3,0
126,7,0
127,1,0
128,1,8
129,6,6
130,2,8
131,7,0
132,8,0
133,7,0
134,7,7
135,1,8
136,7,6
137,8,6
138,7,8
139,7,6
140,5,6
141,2,7
142,2,0
143,2,0
144,8,6
145,7,8
146,2,0
147,5,0
148,2,0
149,1,8
150,2,0
151,5,0
152,7,0
153,2,7
154,7,6
155,6,0
156,1,0
157,3,0
158,1,7
159,6,0
160,0,7
161,7,6
162,6,8
163,6,7
164,1,4
165,5,6
166,2,0
167,0,0
168,2,3
169,1,8
170,7,3
171,7,7
172,1,7
173,3,0
174,3,0
175,3,0
176,8,6
177,8,0
178,0,0
179,7,0
180,5,6
181,8,8
182,1,0
183,7,3
184,6,4
185,8,6
186,2,0
187,8,0
188,1,8
189,5,0
190,2,0
191,6,8
192,7,0
193,7,6
194,7,7
195,2,4
196,2,7
197,1,0
198,7,6
199,7,7
200,7,8
201,6,0
202,2,0
203,5,4
204,4,6
205,3,8
206,6,4
207,6,3
208,4,6
209,3,7
210,1,0
211,1,4
212,7,0
213,2,7
214,7,0
215,2,6
216,7,6
217,2,0
218,7,5
219,2,0
220,2,6
221,0,2
222,1,3
223,3,6
224,8,6
225,6,8
226,0,1
227,1,8
228,1,4
229,1,8
230,7,7
231,4,0
232,1,5
233,8,3
234,7,4
235,2,0
236,1,1
237,8,7
238,7,0
239,0,7
240,0,0
241,8,7
242,1,7
243,2,0
244,2,7
245,6,0
246,5,0
247,3,8
248,2,3
249,7,8
250,8,0
251,0,0
252,1,0
253,6,0
254,7,0
255,5,8
256,2,6
257,8,7
258,1,4
259,1,3
260,8,2
261,1,0
262,8,5
263,7,7
264,3,7
265,5,7
266,6,7
267,8,7
268,7,6
269,8,7
270,4,7
271,6,7
272,2,5
273,7,7
274,3,7
275,8,4
276,7,7
277,7,7
278,6,4
279,7,0
280,3,2
281,5,7
282,8,6
283,0,2
284,3,7
285,8,5
286,7,7
287,2,7
288,8,7
289,7,2
290,4,7
291,7,7
292,2,2
293,1,7
294,7,5
295,2,7
296,6,0
297,2,7
298,7,7
299,3,7
300,2,7
301,7,6
302,2,7
303,3,0
304,6,1
305,3,7
306,3,7
307,6,7
308,6,3
309,5,7
310,2,2
311,8,2
312,5,7
313,1,0
314,5,2
315,2,6
316,3,7
317,3,7
318,6,7
319,8,0
320,3,0
321,8,0
322,8,7
323,7,5
324,0,7
325,2,2
326,1,0
327,8,2
328,1,1
329,5,7
330,2,3
331,0,7
332,7,2
333,6,5
334,3,3
