,cluster_id,cluster_tslearn
0,1,0
1,3,0
2,1,0
3,1,0
4,2,0
5,5,4
6,1,0
7,1,3
8,5,0
9,0,0
10,4,0
11,3,4
12,1,1
13,1,0
14,0,0
15,3,4
16,5,3
17,1,4
18,1,2
19,2,3
20,3,0
21,4,0
22,1,3
23,0,4
24,0,2
25,2,2
26,0,0
27,1,2
28,3,0
29,0,0
30,3,0
31,2,1
32,3,2
33,0,0
34,4,1
35,0,1
36,0,0
37,4,0
38,3,0
39,5,0
40,3,1
41,0,0
42,4,0
43,3,3
44,0,0
45,3,1
46,3,0
47,5,3
48,2,1
49,4,0
50,1,2
51,3,0
52,1,4
53,3,1
54,4,0
55,3,4
56,3,0
57,1,0
58,0,0
59,2,1
60,0,0
61,3,4
62,1,0
63,3,0
64,3,0
65,1,4
66,0,3
67,5,2
68,2,0
69,1,2
70,3,1
71,1,4
72,0,0
73,0,0
74,4,1
75,1,0
76,1,0
77,2,4
78,0,0
79,3,1
80,0,1
81,1,3
82,2,2
83,0,0
84,2,0
85,3,0
86,3,4
87,0,0
88,4,1
89,1,2
90,4,0
91,3,0
92,1,0
93,0,0
94,3,0
95,4,1
96,4,1
97,0,0
98,3,0
99,1,2
100,1,1
101,1,3
102,5,0
103,1,0
104,3,1
105,0,0
106,3,1
107,4,1
108,2,1
109,0,0
110,4,1
111,3,4
112,5,4
113,3,0
114,0,1
115,3,2
116,1,3
117,0,0
118,0,4
119,5,0
120,1,2
121,1,2
122,1,2
123,3,3
124,5,0
125,1,2
126,3,0
127,3,0
128,3,2
129,0,2
130,3,2
131,1,2
132,3,2
133,0,1
134,0,2
135,0,2
136,4,2
137,1,2
138,4,2
139,1,2
140,1,2
141,1,2
142,0,0
143,1,2
144,1,1
145,5,2
146,0,2
147,3,2
148,3,2
149,3,2
150,1,2
151,1,2
152,4,2
153,3,2
154,0,2
155,2,1
156,2,2
157,4,2
158,5,2
159,2,0
160,4,2
161,3,1
162,0,2
163,1,5
164,3,2
165,0,2
166,1,2
167,1,2
168,1,2
169,4,2
170,3,2
171,0,2
172,4,2
173,1,2
174,4,2
175,1,2
176,0,2
177,0,5
178,3,2
179,3,2
180,4,2
181,1,2
182,0,2
183,1,2
184,1,2
185,3,2
186,1,2
187,1,2
188,4,2
189,1,2
190,1,2
191,1,5
192,1,2
193,3,2
194,0,2
195,1,2
196,3,2
197,0,5
198,0,2
199,1,2
200,5,2
201,1,2
202,3,2
203,2,2
204,4,2
205,3,1
206,3,2
207,3,2
208,4,2
209,1,2
210,1,2
211,4,2
212,5,1
213,0,2
214,4,2
215,3,2
216,1,2
217,1,2
218,1,2
219,2,2
220,0,2
221,3,2
222,0,1
223,5,2
224,3,1
225,3,2
226,3,2
227,2,2
228,0,2
229,5,2
230,3,2
231,3,2
232,1,2
233,3,2
234,4,2
235,5,2
236,4,2
237,3,2
238,5,2
239,0,4
240,5,2
241,3,2
242,1,2
243,5,2
244,1,2
245,3,2
246,1,2
247,1,2
248,1,0
249,1,1
250,0,2
251,1,5
252,3,2
253,1,2
254,3,2
255,0,2
256,3,2
257,0,2
258,1,2
259,1,2
260,3,2
261,0,2
262,0,5
263,0,5
264,4,2
265,1,2
266,1,2
267,3,2
268,4,2
269,3,2
270,0,2
271,3,2
272,1,2
273,3,2
274,1,2
275,4,2
276,1,2
277,3,2
278,3,2
279,1,2
280,1,2
281,4,2
282,5,2
283,0,2
284,1,2
285,4,2
286,0,5
287,4,2
288,1,2
289,0,2
290,1,2
291,0,2
292,1,2
293,0,4
294,1,5
295,3,2
296,5,2
297,4,2
298,1,2
299,2,5
300,3,2
301,3,5
302,3,2
303,0,5
304,1,2
305,0,5
306,4,2
307,0,2
308,5,2
309,5,2
310,1,2
311,4,2
312,1,5
313,1,2
314,5,2
315,3,2
316,3,5
317,4,2
318,3,2
319,0,2
320,1,2
321,1,2
322,5,5
323,0,2
324,5,2
325,1,2
326,3,2
327,1,2
328,4,2
329,3,2
330,1,2
331,3,2
332,3,2
333,3,2
334,0,5
335,4,4
336,3,2
337,3,2
338,1,2
339,1,2
340,1,2
341,5,2
342,1,2
343,3,2
344,1,5
345,4,5
346,0,5
347,3,5
348,1,5
349,0,2
350,1,5
351,4,2
352,0,2
353,3,2
354,0,2
355,5,2
356,0,2
357,0,2
358,1,2
359,5,2
360,0,5
361,3,2
362,4,5
363,3,2
364,5,2
365,1,5
366,1,5
367,4,2
368,1,2
369,3,5
370,0,2
371,0,5
372,3,2
373,0,5
374,1,2
375,4,2
376,0,2
377,0,2
378,3,2
379,3,2
380,3,2
381,3,2
382,4,2
383,4,5
384,2,0
385,1,1
386,4,1
387,0,0
388,4,5
389,3,4
390,3,2
391,3,4
392,0,5
393,5,4
394,2,1
395,3,5
396,3,4
397,3,4
398,5,4
399,4,2
400,4,4
401,1,1
402,0,0
403,1,0
404,4,2
405,1,1
406,4,0
407,4,1
408,4,4
409,5,2
410,1,5
411,5,2
412,1,4
413,0,0
414,4,5
415,3,4
416,0,0
417,3,4
418,1,1
419,0,5
420,3,0
421,1,4
422,3,2
423,4,5
424,0,1
425,1,1
426,4,4
427,1,1
428,2,4
429,0,5
430,2,1
431,3,2
432,1,0
433,0,0
434,0,0
435,3,2
436,1,0
437,4,0
438,3,4
439,0,0
440,4,4
441,0,0
442,0,1
443,3,4
444,3,2
445,2,4
446,0,5
447,1,5
448,0,1
449,1,4
450,1,5
451,0,0
452,1,4
453,1,1
454,5,4
455,3,2
456,0,5
457,3,4
458,4,2
459,4,0
460,1,1
461,0,1
462,0,0
463,3,4
464,0,0
465,1,1
466,1,1
467,0,0
468,0,1
469,2,2
470,0,1
471,3,4
472,3,2
473,1,1
474,0,0
475,1,1
476,0,5
477,3,4
478,4,0
479,0,0
480,5,1
481,4,5
482,4,4
483,1,0
484,1,4
485,3,1
486,0,5
487,0,1
488,3,2
489,5,4
490,0,1
491,0,5
492,0,1
493,3,1
494,0,5
495,3,4
496,3,5
497,1,1
498,3,2
499,4,4
500,0,4
501,0,1
502,2,1
503,5,2
504,1,5
505,0,1
506,3,5
507,4,0
508,0,0
509,1,1
510,5,1
511,3,5
512,5,2
513,0,3
514,0,4
515,3,2
516,0,4
517,3,3
518,0,2
519,4,2
520,0,2
521,1,3
522,4,2
523,0,3
524,4,3
525,4,2
526,3,3
527,2,3
528,1,3
529,0,4
530,0,3
531,0,3
532,1,3
533,5,3
534,1,5
535,0,3
536,3,3
537,0,3
538,0,3
539,2,4
540,3,3
541,5,3
542,3,2
543,1,3
544,4,3
545,1,3
546,1,3
547,1,3
548,4,3
549,5,3
550,0,3
551,1,3
552,0,4
553,3,3
554,0,4
555,4,3
556,3,2
557,1,3
558,4,3
559,5,2
560,3,3
561,1,2
562,1,3
563,1,3
564,1,2
565,1,3
566,1,3
567,3,3
568,3,3
569,1,3
570,3,3
571,2,3
572,1,3
573,0,3
574,4,2
575,1,3
576,3,3
577,1,3
578,4,2
579,1,3
580,0,3
581,0,2
582,0,2
583,0,3
584,0,3
585,4,3
586,4,2
587,1,3
588,3,3
589,1,3
590,0,2
591,1,3
592,1,3
593,0,3
594,0,3
595,0,3
596,2,3
597,0,3
598,0,2
599,3,3
600,3,2
601,0,4
602,1,4
603,0,3
604,0,3
605,1,3
606,4,3
607,0,4
608,1,3
609,0,2
610,0,3
611,0,3
612,1,4
613,5,3
614,1,4
615,3,3
616,4,3
617,1,3
618,5,3
619,1,3
620,1,2
621,3,3
622,0,2
623,1,2
624,0,3
625,0,3
626,0,3
627,0,3
628,1,3
629,0,2
630,1,3
631,1,3
632,4,3
633,0,3
634,1,3
635,0,3
636,1,3
637,4,3
638,1,3
639,3,3
640,5,5
641,0,5
642,3,0
643,0,5
644,0,5
645,4,5
646,0,5
647,5,5
648,0,5
649,3,5
650,4,0
651,3,5
652,3,5
653,0,5
654,5,5
655,5,5
656,4,5
657,3,5
658,0,0
659,1,5
660,2,5
661,5,5
662,1,5
663,0,5
664,1,5
665,1,5
666,0,5
667,1,5
668,0,5
669,4,5
670,5,5
671,1,2
672,3,5
673,3,5
674,3,5
675,1,3
676,0,0
677,3,5
678,2,5
679,0,5
680,0,5
681,4,5
682,3,5
683,3,5
684,1,5
685,0,0
686,4,5
687,1,5
688,3,5
689,0,5
690,1,5
691,1,5
692,1,5
693,1,5
694,1,5
695,4,5
696,3,5
697,3,5
698,1,5
699,3,5
700,1,5
701,2,5
702,1,5
703,3,5
704,1,5
705,1,5
706,5,5
707,5,0
708,5,5
709,1,5
710,1,5
711,1,5
712,0,5
713,4,0
714,3,5
715,0,5
716,4,5
717,4,0
718,1,5
719,3,5
720,1,5
721,4,5
722,3,5
723,4,0
724,2,5
725,1,5
726,4,5
727,1,5
728,3,5
729,1,5
730,4,0
731,1,5
732,3,5
733,1,5
734,0,5
735,4,5
736,1,5
737,0,5
738,4,0
739,4,5
740,1,5
741,0,5
742,0,5
743,3,5
744,0,5
745,3,5
746,0,5
747,3,5
748,0,5
749,3,5
750,3,5
751,4,0
752,0,5
753,5,5
754,4,5
755,1,5
756,0,5
757,3,5
758,1,5
759,5,5
760,5,5
761,5,5
762,5,5
763,4,0
764,0,5
765,0,5
766,0,5
767,5,5
768,0,1
769,1,5
770,3,5
771,3,5
772,3,5
773,0,5
774,0,2
775,1,5
776,4,5
777,0,2
778,0,5
779,4,5
780,0,5
781,0,5
782,4,5
783,3,5
784,0,2
785,3,5
786,2,5
787,4,5
788,3,5
789,3,5
790,4,5
791,3,5
792,4,5
793,0,2
794,4,5
795,3,2
796,1,5
797,1,5
798,1,2
799,0,5
800,0,5
801,3,5
802,0,2
803,3,5
804,5,5
805,1,5
806,0,2
807,1,1
808,0,2
809,3,5
810,1,5
811,1,2
812,1,5
813,0,2
814,5,5
815,4,5
816,0,2
817,5,5
818,0,5
819,1,5
820,3,5
821,0,5
822,3,5
823,1,5
824,4,5
825,4,5
826,4,5
827,5,5
828,1,5
829,4,5
830,4,2
831,0,2
832,1,2
833,1,5
834,3,5
835,3,2
836,0,5
837,1,5
838,1,5
839,1,5
840,3,5
841,1,5
842,0,2
843,3,5
844,1,2
845,3,5
846,3,5
847,3,2
848,0,2
849,1,5
850,1,5
851,0,2
852,3,5
853,1,2
854,1,5
855,3,5
856,5,5
857,3,5
858,0,5
859,3,5
860,5,5
861,3,5
862,4,5
863,3,5
864,0,2
865,3,5
866,4,5
867,1,5
868,2,2
869,1,5
870,1,2
871,1,2
872,0,2
873,1,5
874,4,5
875,3,5
876,3,5
877,4,5
878,0,5
879,0,2
880,1,2
881,0,2
882,1,5
883,3,5
884,0,5
885,4,5
886,1,5
887,3,5
888,0,2
889,3,5
890,1,2
891,3,5
892,0,5
893,1,2
894,1,5
895,3,5
896,1,2
897,4,1
898,5,1
899,3,1
900,3,1
901,1,1
902,3,1
903,0,1
904,0,1
905,3,1
906,3,1
907,3,1
908,1,1
909,0,1
910,4,4
911,0,1
912,3,1
913,0,1
914,3,1
915,0,4
916,5,4
917,5,1
918,0,2
919,1,1
920,0,1
921,1,1
922,4,1
923,1,1
924,4,1
925,4,1
926,0,1
927,1,4
928,1,4
929,5,1
930,1,1
931,1,1
932,3,4
933,1,1
934,1,1
935,4,1
936,3,1
937,5,1
938,1,1
939,3,1
940,3,1
941,1,1
942,3,4
943,3,1
944,3,1
945,5,1
946,3,1
947,1,1
948,0,1
949,5,1
950,3,4
951,5,1
952,1,1
953,1,1
954,0,1
955,0,1
956,2,1
957,1,1
958,2,1
959,0,2
960,0,1
961,4,1
962,4,1
963,1,4
964,0,4
965,4,1
966,0,4
967,5,2
968,3,1
969,1,1
970,0,1
971,1,1
972,1,1
973,4,4
974,0,1
975,4,1
976,1,4
977,2,1
978,3,1
979,1,1
980,1,2
981,1,1
982,0,1
983,1,1
984,1,1
985,5,2
986,4,1
987,4,1
988,0,4
989,1,1
990,4,1
991,5,1
992,5,1
993,5,1
994,3,1
995,4,1
996,0,1
997,0,0
998,4,1
999,0,1
1000,4,1
1001,1,1
1002,1,4
1003,0,1
1004,3,1
1005,1,2
1006,0,1
1007,1,1
1008,0,1
1009,3,1
1010,3,1
1011,1,4
1012,3,1
1013,2,1
1014,1,1
1015,5,4
1016,3,1
1017,1,2
1018,1,1
1019,1,1
1020,0,1
1021,0,4
1022,0,1
1023,4,1
1024,3,4
1025,5,4
1026,5,4
1027,1,2
1028,1,2
1029,1,4
1030,3,2
1031,3,2
1032,2,2
1033,1,4
1034,1,2
1035,3,2
1036,3,2
1037,1,4
1038,3,2
1039,3,2
1040,0,0
1041,0,2
1042,5,4
1043,0,2
