,cluster_id,cluster_tslearn
0,1,0
1,1,3
2,0,0
3,3,0
4,3,0
5,2,0
6,2,0
7,0,0
8,0,0
9,1,0
10,1,0
11,2,0
12,0,0
13,0,0
14,3,0
15,2,0
16,3,0
17,0,0
18,3,0
19,3,0
20,3,0
21,0,0
22,2,0
23,2,0
24,1,0
25,1,0
26,3,0
27,2,0
28,2,0
29,1,0
30,1,0
31,3,0
32,3,0
33,1,0
34,0,0
35,1,0
36,2,0
37,0,0
38,1,0
39,3,0
40,0,3
41,3,0
42,3,3
43,1,0
44,2,0
45,3,0
46,3,3
47,0,0
48,1,0
49,1,0
50,2,0
51,2,0
52,2,3
53,3,0
54,2,0
55,1,0
56,3,0
57,0,0
58,1,0
59,0,0
60,0,3
61,1,0
62,1,0
63,2,0
64,1,0
65,0,0
66,1,0
67,2,0
68,2,0
69,2,0
70,3,0
71,0,0
72,2,0
73,3,0
74,1,0
75,1,0
76,1,3
77,2,0
78,3,0
79,2,3
80,0,0
81,1,0
82,3,3
83,1,3
84,3,0
85,3,0
86,3,0
87,3,0
88,2,0
89,3,0
90,1,0
91,2,0
92,1,3
93,2,0
94,2,0
95,2,0
96,0,0
97,3,0
98,2,0
99,1,0
100,3,0
101,2,0
102,3,0
103,2,0
104,3,0
105,2,0
106,0,0
107,1,0
108,3,0
109,2,0
110,3,0
111,2,3
112,2,0
113,3,3
114,1,0
115,2,0
116,2,0
117,0,0
118,3,0
119,3,0
120,3,0
121,3,0
122,0,0
123,1,0
124,1,0
125,3,0
126,1,3
127,0,0
128,3,3
129,0,1
130,1,2
131,3,3
132,0,2
133,0,2
134,2,2
135,3,2
136,0,3
137,2,1
138,1,2
139,3,2
140,1,2
141,0,2
142,2,3
143,1,2
144,0,2
145,3,3
146,1,2
147,2,2
148,1,2
149,1,2
150,3,2
151,2,2
152,1,2
153,1,2
154,2,2
155,3,2
156,1,2
157,2,2
158,3,2
159,3,2
160,1,2
161,2,3
162,0,2
163,1,2
164,2,2
165,0,3
166,1,2
167,2,2
168,3,2
169,0,3
170,0,3
171,1,2
172,1,2
173,3,2
174,2,2
175,0,2
176,1,2
177,0,2
178,3,2
179,1,3
180,1,2
181,3,2
182,1,2
183,2,1
184,2,2
185,1,2
186,0,2
187,3,2
188,0,2
189,1,2
190,3,3
191,1,2
192,0,2
193,3,3
194,1,2
195,2,3
196,3,1
197,1,2
198,3,2
199,0,3
200,2,2
201,2,2
202,3,3
203,2,2
204,1,2
205,2,2
206,0,2
207,1,2
208,1,2
209,0,3
210,0,2
211,0,2
212,3,2
213,3,2
214,1,2
215,0,3
216,0,2
217,0,2
218,1,2
219,2,3
220,3,2
221,2,3
222,3,2
223,1,2
224,3,2
225,3,2
226,3,2
227,1,2
228,0,2
229,1,2
230,2,2
231,0,1
232,0,2
233,3,2
234,0,2
235,0,3
236,2,2
237,2,3
238,2,2
239,3,2
240,2,2
241,2,2
242,2,2
243,2,3
244,3,3
245,3,2
246,3,3
247,0,2
248,1,2
249,2,3
250,3,2
251,2,2
252,0,2
253,0,3
254,0,2
255,2,2
256,0,2
257,1,3
258,0,2
259,1,3
260,2,2
261,1,3
262,3,2
263,1,3
264,2,3
265,1,3
266,0,3
267,1,3
268,0,3
269,1,3
270,0,3
271,0,3
272,3,3
273,0,3
274,0,3
275,3,3
276,2,2
277,0,3
278,3,3
279,3,2
280,1,3
281,0,2
282,0,3
283,1,2
284,3,2
285,0,2
286,3,3
287,3,2
288,0,3
289,0,3
290,1,3
291,3,3
292,2,2
293,3,2
294,1,3
295,1,2
296,0,3
297,2,2
298,1,3
299,1,2
300,0,3
301,0,3
302,2,3
303,0,2
304,3,3
305,1,3
306,1,3
307,3,3
308,3,2
309,2,2
310,0,3
311,0,3
312,1,3
313,3,3
314,0,2
315,1,3
316,2,3
317,1,3
318,1,2
319,2,2
320,1,2
321,1,3
322,1,3
323,2,3
324,0,3
325,0,3
326,2,2
327,2,3
328,2,3
329,2,3
330,3,3
331,0,3
332,1,3
333,0,2
334,1,2
335,3,2
336,0,3
337,0,2
338,1,3
339,2,2
340,0,3
341,1,3
342,1,2
343,0,3
344,1,3
345,0,2
346,1,3
347,3,3
348,1,3
349,0,3
350,2,2
351,3,2
352,1,2
353,0,3
354,2,3
355,3,3
356,2,3
357,0,3
358,2,3
359,1,2
360,1,2
361,0,3
362,0,3
363,0,3
364,1,3
365,3,3
366,2,3
367,3,2
368,3,3
369,2,2
370,2,3
371,0,2
372,0,3
373,1,2
374,0,3
375,3,3
376,2,3
377,3,2
378,3,3
379,0,2
380,2,3
381,1,3
382,3,3
383,1,2
384,3,2
385,3,2
386,0,1
387,2,1
388,2,2
389,0,2
390,2,1
391,0,2
392,0,1
393,0,1
394,3,2
395,3,2
396,2,2
397,1,2
398,1,1
399,1,2
400,0,1
401,2,2
402,3,2
403,1,2
404,2,2
405,3,2
406,0,1
407,1,2
408,2,2
409,2,2
410,0,2
411,2,2
412,1,2
413,0,1
414,0,1
415,3,2
416,1,2
417,0,1
418,3,2
419,2,2
420,2,1
421,3,2
422,3,1
423,3,1
424,0,2
425,2,2
426,3,2
427,0,2
428,3,2
429,3,1
430,0,1
431,2,2
432,2,1
433,2,1
434,3,1
435,0,2
436,2,2
437,2,2
438,1,2
439,3,1
440,2,1
441,0,2
442,3,2
443,1,2
444,1,2
445,0,2
446,3,1
447,1,2
448,1,2
449,0,2
450,3,2
451,3,1
452,0,1
453,3,2
454,0,1
455,1,1
456,3,2
457,0,1
458,1,2
459,0,2
460,2,1
461,2,1
462,3,2
463,3,1
464,2,2
465,3,2
466,3,2
467,0,2
468,1,2
469,2,2
470,2,2
471,3,2
472,0,2
473,1,1
474,1,2
475,1,2
476,2,1
477,2,2
478,0,2
479,0,2
480,3,1
481,2,2
482,0,1
483,0,2
484,3,1
485,3,1
486,1,1
487,2,2
488,1,2
489,2,1
490,1,2
491,0,2
492,3,1
493,2,1
494,0,2
495,1,1
496,1,2
497,1,2
498,1,2
499,3,2
500,1,2
501,1,2
502,2,1
503,0,2
504,2,2
505,3,1
506,3,2
507,1,2
508,3,1
509,0,2
510,0,2
511,1,2
512,1,1
513,1,1
514,3,2
515,1,2
516,1,1
517,1,2
518,3,1
519,1,1
520,3,2
521,3,1
522,2,1
523,0,1
524,3,2
525,2,2
526,0,2
527,0,1
528,0,0
529,0,2
530,1,2
531,0,2
532,3,2
533,2,2
534,1,1
535,2,1
536,3,2
537,3,1
538,3,2
539,0,1
540,1,2
541,0,1
542,3,1
543,0,1
544,1,2
545,3,1
546,2,2
547,3,1
548,3,2
549,1,2
550,2,2
551,0,1
552,3,2
553,0,2
554,2,1
555,0,1
556,2,2
557,3,1
558,1,1
559,0,2
560,2,2
561,2,1
562,0,1
563,2,0
564,3,1
565,3,1
566,0,2
567,3,1
568,3,2
569,1,2
570,0,1
571,3,2
572,1,1
573,3,1
574,0,2
575,0,1
576,3,1
577,2,2
578,2,1
579,3,1
580,0,2
581,3,2
582,1,1
583,0,2
584,2,1
585,2,2
586,1,1
587,1,2
588,0,0
589,3,2
590,3,1
591,1,1
592,2,2
593,3,2
594,0,2
595,3,2
596,2,1
597,1,2
598,0,2
599,1,1
600,1,2
601,3,1
602,1,2
603,1,1
604,1,1
605,0,2
606,3,1
607,2,1
608,3,2
609,2,2
610,2,2
611,3,2
612,0,1
613,0,1
614,3,2
615,0,2
616,3,2
617,2,2
618,3,2
619,2,2
620,1,2
621,2,1
622,3,1
623,2,1
624,3,1
625,0,0
626,0,2
627,3,1
628,2,1
629,0,1
630,3,2
631,0,2
632,3,1
633,1,1
634,2,2
635,2,1
636,1,1
637,0,2
638,1,1
639,2,1
640,0,1
641,3,0
642,0,2
643,1,2
644,3,2
645,3,2
646,3,1
647,1,1
648,2,2
649,3,1
650,0,2
651,1,0
652,0,3
653,3,0
654,1,3
655,3,0
656,1,0
657,3,2
658,1,2
659,3,2
660,0,1
661,3,0
662,3,1
663,0,2
664,2,1
665,2,2
666,0,0
667,1,2
668,2,3
669,1,0
670,0,2
671,0,2
672,3,2
673,2,2
674,0,0
675,1,2
676,2,2
677,1,2
678,3,2
679,0,2
680,3,1
681,3,0
682,2,3
683,3,3
684,3,0
685,3,1
686,1,0
687,2,3
688,3,3
689,2,2
690,0,1
691,3,0
692,3,2
693,2,2
694,2,2
695,0,2
696,1,0
697,3,1
698,0,2
699,3,3
700,3,1
701,0,2
702,2,2
703,3,0
704,0,2
705,0,2
706,3,0
707,0,2
708,2,3
709,1,3
710,2,2
711,2,3
712,3,2
713,2,3
714,0,0
715,1,2
716,2,2
717,0,2
718,2,2
719,1,2
720,1,2
721,2,0
722,3,2
723,2,2
724,0,0
725,2,2
726,3,1
727,3,3
728,2,2
729,1,0
730,1,2
731,0,3
732,3,3
733,3,0
734,2,1
735,2,0
736,3,2
737,0,2
738,0,2
739,2,2
740,1,2
741,1,0
742,0,0
743,1,2
744,3,2
745,2,0
746,1,0
747,2,2
748,3,0
749,3,2
750,1,2
751,1,1
752,3,0
753,2,2
754,1,2
755,3,0
756,3,2
757,1,0
758,2,2
759,2,2
760,3,3
761,2,0
762,1,2
763,1,2
764,3,0
765,2,3
766,1,2
767,1,2
768,1,2
769,0,2
770,0,2
771,3,2
772,2,3
773,1,3
774,2,2
775,1,0
776,2,3
777,3,3
778,0,2
779,0,3
780,2,3
781,0,2
782,1,3
783,0,2
784,0,2
785,1,2
786,3,2
787,0,2
788,0,3
789,0,2
790,1,0
791,2,3
792,0,2
793,3,2
794,0,2
795,1,2
796,1,2
797,3,2
798,0,3
799,0,2
800,1,2
801,3,2
802,1,2
803,2,2
804,0,2
805,1,2
806,2,3
