,cluster_id,cluster_tslearn
0,2,12
1,10,8
2,2,0
3,9,0
4,10,0
5,9,8
6,2,8
7,4,0
8,5,8
9,4,0
10,2,8
11,10,12
12,2,0
13,2,0
14,2,0
15,9,0
16,2,0
17,10,0
18,9,0
19,10,0
20,10,7
21,10,0
22,10,0
23,2,8
24,2,8
25,5,7
26,4,7
27,12,12
28,4,0
29,8,0
30,12,0
31,2,0
32,9,0
33,2,12
34,7,0
35,10,0
36,2,0
37,10,0
38,2,0
39,7,12
40,10,12
41,10,0
42,4,12
43,10,0
44,12,0
45,10,2
46,4,0
47,10,0
48,10,12
49,2,7
50,2,12
51,7,12
52,10,12
53,10,0
54,9,0
55,4,8
56,2,8
57,2,0
58,4,12
59,2,0
60,9,12
61,7,7
62,9,12
63,10,7
64,9,7
65,2,0
66,2,0
67,2,12
68,2,0
69,10,12
70,7,0
71,9,0
72,9,5
73,10,8
74,0,0
75,2,0
76,2,12
77,2,7
78,2,0
79,2,0
80,2,0
81,7,12
82,2,12
83,4,0
84,10,0
85,2,12
86,10,0
87,2,7
88,7,0
89,2,0
90,7,12
91,2,12
92,9,0
93,4,0
94,0,0
95,2,12
96,9,0
97,4,7
98,2,12
99,3,0
100,10,12
101,2,0
102,9,12
103,2,0
104,2,7
105,9,0
106,7,0
107,0,0
108,7,0
109,10,0
110,2,8
111,4,7
112,2,12
113,0,0
114,10,0
115,7,7
116,2,0
117,10,0
118,2,1
119,10,12
120,2,12
121,2,0
122,10,0
123,7,0
124,4,7
125,7,12
126,2,0
127,2,12
128,10,0
129,4,5
130,10,8
131,9,0
132,9,11
133,5,1
134,2,1
135,2,7
136,10,6
137,2,11
138,9,0
139,10,9
140,10,6
141,4,6
142,2,1
143,10,0
144,4,8
145,1,1
146,10,1
147,9,9
148,9,8
149,2,0
150,2,10
151,9,5
152,2,11
153,7,1
154,3,2
155,7,8
156,7,9
157,1,5
158,10,7
159,12,0
160,9,2
161,2,3
162,12,7
163,2,6
164,2,9
165,4,1
166,12,10
167,9,9
168,2,8
169,2,9
170,10,11
171,10,6
172,2,1
173,6,10
174,10,10
175,2,5
176,3,2
177,2,5
178,2,5
179,7,5
180,7,5
181,4,10
182,2,11
183,9,0
184,10,8
185,12,1
186,4,1
187,4,5
188,10,9
189,12,3
190,12,9
191,2,5
192,2,2
193,2,8
194,10,7
195,4,9
196,2,0
197,2,10
198,12,1
199,10,11
200,5,9
201,10,10
202,4,11
203,12,8
204,12,6
205,11,0
206,7,0
207,12,0
208,9,0
209,0,2
210,2,3
211,9,9
212,4,1
213,9,5
214,2,9
215,9,2
216,2,10
217,2,10
218,10,3
219,2,0
220,7,0
221,4,0
222,4,8
223,10,2
224,5,5
225,10,0
226,10,11
227,10,3
228,7,5
229,9,5
230,2,9
231,10,9
232,7,7
233,2,0
234,10,9
235,2,5
236,10,2
237,12,10
238,12,9
239,2,5
240,5,6
241,4,8
242,2,0
243,2,5
244,10,5
245,4,7
246,0,0
247,10,0
248,2,1
249,12,0
250,2,11
251,10,5
252,9,2
253,1,9
254,2,11
255,9,11
256,10,5
257,10,3
258,10,2
259,10,0
260,10,5
261,5,6
262,9,1
263,0,0
264,10,8
265,2,8
266,2,8
267,2,5
268,4,0
269,10,6
270,10,5
271,7,10
272,8,3
273,2,0
274,9,8
275,2,5
276,2,1
277,4,6
278,9,3
279,10,0
280,4,3
281,0,6
282,2,4
283,12,8
284,10,9
285,10,9
286,10,8
287,2,8
288,10,4
289,2,8
290,2,6
291,10,5
292,9,3
293,2,10
294,10,4
295,10,0
296,9,3
297,2,3
298,2,3
299,4,9
300,10,12
301,2,8
