,cluster_id,cluster_tslearn
0,7,7
1,7,7
2,5,0
3,7,7
4,3,4
5,3,7
6,1,4
7,8,6
8,0,7
9,6,7
10,5,7
11,7,2
12,6,7
13,7,3
14,7,7
15,3,7
16,6,6
17,8,0
18,1,7
19,6,7
20,2,7
21,1,5
22,5,7
23,7,4
24,6,7
25,7,7
26,3,2
27,2,4
28,1,3
29,1,7
30,7,8
31,6,7
32,6,7
33,6,7
34,7,7
35,1,4
36,1,3
37,8,7
38,8,1
39,8,7
40,1,4
41,1,7
42,8,1
43,8,7
44,8,7
45,8,7
46,5,0
47,8,7
48,7,5
49,4,7
50,5,7
51,7,7
52,7,3
53,3,7
54,1,7
55,8,7
56,6,7
57,3,7
58,7,7
59,5,7
60,2,7
61,6,4
62,0,7
63,7,2
64,6,8
65,7,4
66,7,4
67,7,7
68,2,7
69,2,7
70,8,7
71,7,4
72,3,7
73,1,7
74,6,4
75,7,3
76,3,7
77,5,7
78,6,7
79,6,7
80,5,0
81,8,5
82,4,7
83,7,2
84,8,0
85,7,7
86,1,5
87,8,7
88,6,7
89,0,7
90,6,7
91,5,4
92,0,7
93,6,5
94,7,7
95,2,7
96,5,7
97,7,7
98,5,7
99,2,7
100,6,3
101,8,4
102,7,7
103,6,7
104,5,7
105,2,7
106,8,7
107,6,7
108,1,4
109,2,7
110,1,7
111,2,7
112,5,4
113,6,4
114,5,7
115,7,0
116,7,7
117,2,7
118,2,7
119,1,7
120,6,7
121,8,3
122,8,7
123,6,7
124,0,7
125,3,7
126,7,7
127,1,7
128,1,7
129,6,5
130,2,7
131,7,5
132,8,7
133,7,7
134,7,7
135,1,4
136,7,1
137,8,7
138,7,7
139,7,5
140,5,7
141,2,4
142,2,7
143,2,7
144,8,1
145,7,7
146,2,7
147,5,7
148,2,1
149,1,4
150,2,1
151,5,7
152,7,7
153,2,7
154,7,6
155,6,7
156,1,4
157,3,7
158,1,7
159,6,7
160,0,7
161,7,7
162,6,7
163,6,7
164,1,7
165,5,7
166,2,7
167,0,7
168,2,7
169,1,7
170,7,7
171,7,7
172,1,7
173,3,7
174,3,0
175,3,7
176,8,6
177,8,7
178,0,8
179,7,7
180,5,6
181,8,3
182,1,7
183,7,7
184,6,5
185,8,7
186,2,7
187,8,7
188,1,7
189,5,7
190,2,7
191,6,5
192,7,7
193,7,6
194,7,5
195,2,8
196,2,7
197,1,4
198,7,6
199,7,6
200,7,2
201,6,7
202,2,7
203,5,3
204,4,6
205,3,5
206,6,7
207,6,7
208,4,6
209,3,7
210,1,7
211,1,7
212,7,7
213,2,7
214,7,7
215,2,7
216,7,6
217,2,7
218,7,7
219,2,7
220,2,4
221,0,7
222,1,7
223,3,4
224,8,3
225,6,7
226,0,7
227,1,7
228,1,7
229,1,7
230,7,5
231,4,1
232,1,7
233,8,7
234,7,2
235,2,3
236,1,7
237,8,7
238,7,7
239,0,7
240,0,2
241,8,7
242,1,7
243,2,2
244,2,7
245,6,5
246,5,7
247,3,7
248,2,7
249,7,7
250,8,2
251,0,7
252,1,7
253,6,7
254,7,7
255,5,7
256,2,2
257,8,2
258,1,2
259,1,5
260,8,2
261,1,3
262,8,5
263,7,8
264,3,2
265,5,2
266,6,2
267,8,2
268,7,2
269,8,5
270,4,2
271,6,2
272,2,2
273,7,2
274,3,2
275,8,2
276,7,2
277,7,2
278,6,2
279,7,2
280,3,2
281,5,2
282,8,2
283,0,1
284,3,2
285,8,1
286,7,3
287,2,1
288,8,0
289,7,5
290,4,4
291,7,7
292,2,2
293,1,2
294,7,2
295,2,2
296,6,1
297,2,2
298,7,5
299,3,1
300,2,2
301,7,2
302,2,2
303,3,7
304,6,2
305,3,4
306,3,2
307,6,2
308,6,6
309,5,8
310,2,2
311,8,2
312,5,2
313,1,8
314,5,6
315,2,2
316,3,2
317,3,2
318,6,2
319,8,6
320,3,4
321,8,2
322,8,2
323,7,2
324,0,8
325,2,2
326,1,5
327,8,2
328,1,2
329,5,2
330,2,6
331,0,2
332,7,5
333,6,2
334,3,2
335,0,4
336,2,2
337,7,7
338,3,2
339,6,2
340,2,2
341,8,1
342,7,2
343,7,3
344,3,0
345,7,2
346,0,2
347,6,2
348,2,2
349,2,2
350,8,2
351,5,2
352,3,2
353,3,2
354,8,2
355,5,2
356,3,2
357,7,2
358,6,2
359,1,2
360,3,2
361,7,8
362,5,2
363,2,2
364,5,4
365,6,2
366,8,2
367,6,2
368,6,2
369,1,2
370,2,7
371,6,2
372,7,5
373,7,2
374,2,6
375,7,2
376,7,2
377,5,2
378,3,7
379,7,5
380,8,4
381,3,3
382,3,2
383,8,8
384,5,6
385,4,6
386,7,4
387,8,6
388,2,6
389,7,7
390,6,2
391,6,6
392,1,2
393,8,1
394,8,6
395,2,6
