,cluster_id,cluster_pred
0,1.0,1
1,3.0,4
2,1.0,1
3,1.0,1
4,2.0,1
5,5.0,0
6,1.0,1
7,1.0,1
8,5.0,0
9,0.0,1
10,4.0,1
11,3.0,5
12,1.0,1
13,1.0,3
14,0.0,1
15,3.0,5
16,5.0,1
17,1.0,1
18,1.0,1
19,2.0,4
20,3.0,3
21,4.0,5
22,1.0,1
23,0.0,3
24,0.0,1
25,2.0,5
26,0.0,1
27,1.0,5
28,3.0,5
29,0.0,1
30,3.0,0
31,2.0,5
32,3.0,4
33,0.0,3
34,4.0,5
35,0.0,3
36,0.0,3
37,4.0,5
38,3.0,2
39,5.0,1
40,3.0,3
41,0.0,2
42,4.0,5
43,3.0,5
44,0.0,2
45,3.0,3
46,3.0,5
47,5.0,0
48,2.0,1
49,4.0,1
50,1.0,1
51,3.0,5
52,1.0,3
53,3.0,4
54,4.0,0
55,3.0,0
56,3.0,0
57,1.0,5
58,0.0,5
59,2.0,5
60,0.0,5
61,3.0,0
62,1.0,5
63,3.0,4
64,3.0,4
65,1.0,3
66,0.0,1
67,5.0,5
68,2.0,1
69,1.0,5
70,3.0,3
71,1.0,5
72,0.0,5
73,0.0,1
74,4.0,1
75,1.0,2
76,1.0,3
77,2.0,5
78,0.0,2
79,3.0,5
80,0.0,1
81,1.0,5
82,2.0,5
83,0.0,3
84,2.0,1
85,3.0,5
86,3.0,3
87,0.0,5
88,4.0,1
89,1.0,1
90,4.0,5
91,3.0,3
92,1.0,5
93,0.0,5
94,3.0,0
95,4.0,3
96,4.0,5
97,0.0,3
98,3.0,4
99,1.0,1
100,1.0,1
101,1.0,1
102,5.0,0
103,1.0,5
104,3.0,5
105,0.0,5
106,3.0,3
107,4.0,5
108,2.0,5
109,0.0,3
110,4.0,1
111,3.0,3
112,5.0,0
113,3.0,3
114,0.0,4
115,3.0,1
116,1.0,1
117,0.0,5
118,0.0,1
119,5.0,0
120,1.0,1
121,1.0,1
122,1.0,1
123,3.0,4
124,5.0,0
125,1.0,2
126,3.0,3
127,3.0,0
128,3.0,5
129,0.0,4
130,3.0,4
131,1.0,1
132,3.0,5
133,0.0,5
134,0.0,1
135,0.0,1
136,4.0,5
137,1.0,1
138,4.0,3
139,1.0,2
140,1.0,1
141,1.0,1
142,0.0,1
143,1.0,1
144,1.0,1
145,5.0,3
146,0.0,2
147,3.0,5
148,3.0,0
149,3.0,4
150,1.0,1
151,1.0,3
152,4.0,1
153,3.0,5
154,0.0,2
155,2.0,1
156,2.0,1
157,4.0,1
158,5.0,3
159,2.0,1
160,4.0,1
161,3.0,5
162,0.0,5
163,1.0,1
164,3.0,0
165,0.0,5
166,1.0,5
167,1.0,1
168,1.0,5
169,4.0,5
170,3.0,3
171,0.0,1
172,4.0,3
173,1.0,1
174,4.0,0
175,1.0,1
176,0.0,2
177,0.0,3
178,3.0,2
179,3.0,2
180,4.0,1
181,1.0,1
182,0.0,1
183,1.0,5
184,1.0,1
185,3.0,4
186,1.0,1
187,1.0,5
188,4.0,1
189,1.0,1
190,1.0,5
191,1.0,1
192,1.0,1
193,3.0,5
194,0.0,1
195,1.0,5
196,3.0,3
197,0.0,5
198,0.0,5
199,1.0,5
200,5.0,1
201,1.0,1
202,3.0,3
203,2.0,5
204,4.0,1
205,3.0,2
206,3.0,0
207,3.0,0
208,4.0,3
209,1.0,5
210,1.0,2
211,4.0,5
212,5.0,1
213,0.0,1
214,4.0,1
215,3.0,3
216,1.0,1
217,1.0,1
218,1.0,1
219,2.0,3
220,0.0,2
221,3.0,2
222,0.0,2
223,5.0,1
224,3.0,0
225,3.0,5
226,3.0,2
227,2.0,2
228,0.0,5
229,5.0,4
230,3.0,0
231,3.0,3
232,1.0,5
233,3.0,0
234,4.0,1
235,5.0,5
236,4.0,0
237,3.0,5
238,5.0,0
239,0.0,1
240,5.0,5
241,3.0,2
242,1.0,1
243,5.0,0
244,1.0,5
245,3.0,3
246,1.0,3
247,1.0,1
248,1.0,1
249,1.0,5
250,0.0,3
251,1.0,5
252,3.0,3
253,1.0,3
254,3.0,4
255,0.0,3
256,3.0,3
257,0.0,5
258,1.0,5
259,1.0,1
260,3.0,3
261,0.0,3
262,0.0,1
263,0.0,5
264,4.0,5
265,1.0,5
266,1.0,2
267,3.0,5
268,4.0,5
269,3.0,3
270,0.0,1
271,3.0,1
272,1.0,1
273,3.0,0
274,1.0,1
275,4.0,1
276,1.0,3
277,3.0,3
278,3.0,3
279,1.0,1
280,1.0,1
281,4.0,3
282,5.0,0
283,0.0,5
284,1.0,5
285,4.0,3
286,0.0,1
287,4.0,3
288,1.0,1
289,0.0,2
290,1.0,5
291,0.0,1
292,1.0,5
293,0.0,1
294,1.0,1
295,3.0,4
296,5.0,1
297,4.0,5
298,1.0,1
299,2.0,5
300,3.0,0
301,3.0,0
302,3.0,4
303,0.0,5
304,1.0,1
305,0.0,5
306,4.0,5
307,0.0,1
308,5.0,0
309,5.0,1
310,1.0,5
311,4.0,5
312,1.0,3
313,1.0,3
314,5.0,1
315,3.0,1
316,3.0,4
317,4.0,3
318,3.0,0
319,0.0,3
320,1.0,5
321,1.0,2
322,5.0,5
323,0.0,1
324,5.0,0
325,1.0,5
326,3.0,0
327,1.0,1
328,4.0,5
329,3.0,4
330,1.0,1
331,3.0,0
332,3.0,3
333,3.0,0
334,0.0,1
335,4.0,5
336,3.0,3
337,3.0,3
338,1.0,1
339,1.0,3
340,1.0,1
341,5.0,1
342,1.0,5
343,3.0,3
344,1.0,5
345,4.0,4
346,0.0,5
347,3.0,3
348,1.0,4
349,0.0,4
350,1.0,5
351,4.0,1
352,0.0,5
353,3.0,3
354,0.0,2
355,5.0,5
356,0.0,3
357,0.0,5
358,1.0,1
359,5.0,5
360,0.0,5
361,3.0,2
362,4.0,2
363,3.0,4
364,5.0,4
365,1.0,1
366,1.0,3
367,4.0,1
368,1.0,1
369,3.0,3
370,0.0,1
371,0.0,1
372,3.0,2
373,0.0,3
374,1.0,5
375,4.0,1
376,0.0,1
377,0.0,1
378,3.0,4
379,3.0,5
380,3.0,1
381,3.0,0
382,4.0,1
383,4.0,1
384,2.0,2
385,1.0,1
386,4.0,5
387,0.0,3
388,4.0,5
389,3.0,3
390,3.0,3
391,3.0,2
392,0.0,1
393,5.0,0
394,2.0,1
395,3.0,5
396,3.0,0
397,3.0,4
398,5.0,4
399,4.0,5
400,4.0,0
401,1.0,1
402,0.0,2
403,1.0,2
404,4.0,5
405,1.0,1
406,4.0,3
407,4.0,1
408,4.0,0
409,5.0,4
410,1.0,5
411,5.0,0
412,1.0,2
413,0.0,1
414,4.0,3
415,3.0,0
416,0.0,3
417,3.0,5
418,1.0,1
419,0.0,5
420,3.0,4
421,1.0,2
422,3.0,2
423,4.0,1
424,0.0,1
425,1.0,1
426,4.0,0
427,1.0,1
428,2.0,3
429,0.0,3
430,2.0,1
431,3.0,5
432,1.0,2
433,0.0,3
434,0.0,3
435,3.0,0
436,1.0,2
437,4.0,5
438,3.0,3
439,0.0,2
440,4.0,4
441,0.0,5
442,0.0,1
443,3.0,3
444,3.0,3
445,2.0,3
446,0.0,5
447,1.0,5
448,0.0,1
449,1.0,5
450,1.0,5
451,0.0,4
452,1.0,1
453,1.0,1
454,5.0,0
455,3.0,0
456,0.0,5
457,3.0,3
458,4.0,5
459,4.0,4
460,1.0,1
461,0.0,1
462,0.0,2
463,3.0,3
464,0.0,3
465,1.0,1
466,1.0,1
467,0.0,2
468,0.0,1
469,2.0,3
470,0.0,5
471,3.0,4
472,3.0,0
473,1.0,5
474,0.0,3
475,1.0,1
476,0.0,3
477,3.0,3
478,4.0,5
479,0.0,3
480,5.0,5
481,4.0,3
482,4.0,3
483,1.0,3
484,1.0,1
485,3.0,1
486,0.0,5
487,0.0,1
488,3.0,3
489,5.0,4
490,0.0,1
491,0.0,1
492,0.0,1
493,3.0,1
494,0.0,5
495,3.0,3
496,3.0,5
497,1.0,1
498,3.0,5
499,4.0,4
500,0.0,1
501,0.0,1
502,2.0,1
503,5.0,5
504,1.0,1
505,0.0,5
506,3.0,1
507,4.0,5
508,0.0,5
509,1.0,1
510,5.0,1
511,3.0,1
512,5.0,1
513,0.0,2
514,0.0,5
515,3.0,3
516,0.0,4
517,3.0,0
518,0.0,1
519,4.0,4
520,0.0,2
521,1.0,1
522,4.0,0
523,0.0,1
524,4.0,1
525,4.0,1
526,3.0,1
527,2.0,1
528,1.0,3
529,0.0,1
530,0.0,3
531,0.0,1
532,1.0,5
533,5.0,2
534,1.0,2
535,0.0,1
536,3.0,4
537,0.0,2
538,0.0,2
539,2.0,1
540,3.0,2
541,5.0,5
542,3.0,0
543,1.0,5
544,4.0,5
545,1.0,1
546,1.0,1
547,1.0,1
548,4.0,5
549,5.0,2
550,0.0,1
551,1.0,5
552,0.0,1
553,3.0,0
554,0.0,5
555,4.0,5
556,3.0,4
557,1.0,1
558,4.0,5
559,5.0,0
560,3.0,0
561,1.0,1
562,1.0,3
563,1.0,5
564,1.0,3
565,1.0,5
566,1.0,1
567,3.0,2
568,3.0,3
569,1.0,1
570,3.0,0
571,2.0,1
572,1.0,1
573,0.0,1
574,4.0,1
575,1.0,1
576,3.0,0
577,1.0,1
578,4.0,1
579,1.0,1
580,0.0,2
581,0.0,1
582,0.0,2
583,0.0,1
584,0.0,1
585,4.0,2
586,4.0,1
587,1.0,1
588,3.0,4
589,1.0,1
590,0.0,5
591,1.0,1
592,1.0,1
593,0.0,1
594,0.0,3
595,0.0,2
596,2.0,4
597,0.0,1
598,0.0,5
599,3.0,1
600,3.0,2
601,0.0,5
602,1.0,1
603,0.0,5
604,0.0,1
605,1.0,3
606,4.0,1
607,0.0,5
608,1.0,3
609,0.0,5
610,0.0,3
611,0.0,5
612,1.0,2
613,5.0,4
614,1.0,3
615,3.0,4
616,4.0,3
617,1.0,1
618,5.0,1
619,1.0,5
620,1.0,1
621,3.0,5
622,0.0,1
623,1.0,1
624,0.0,3
625,0.0,1
626,0.0,5
627,0.0,3
628,1.0,1
629,0.0,5
630,1.0,1
631,1.0,1
632,4.0,0
633,0.0,5
634,1.0,1
635,0.0,1
636,1.0,1
637,4.0,1
638,1.0,1
639,3.0,0
640,5.0,0
641,0.0,1
642,3.0,3
643,0.0,1
644,0.0,1
645,4.0,1
646,0.0,5
647,5.0,1
648,0.0,5
649,3.0,5
650,4.0,1
651,3.0,4
652,3.0,0
653,0.0,5
654,5.0,0
655,5.0,1
656,4.0,0
657,3.0,5
658,0.0,5
659,1.0,1
660,2.0,3
661,5.0,2
662,1.0,5
663,0.0,3
664,1.0,1
665,1.0,5
666,0.0,5
667,1.0,1
668,0.0,2
669,4.0,3
670,5.0,0
671,1.0,1
672,3.0,3
673,3.0,4
674,3.0,2
675,1.0,3
676,0.0,2
677,3.0,4
678,2.0,5
679,0.0,2
680,0.0,3
681,4.0,3
682,3.0,0
683,3.0,4
684,1.0,5
685,0.0,2
686,4.0,5
687,1.0,5
688,3.0,3
689,0.0,1
690,1.0,1
691,1.0,1
692,1.0,1
693,1.0,1
694,1.0,1
695,4.0,5
696,3.0,1
697,3.0,3
698,1.0,1
699,3.0,3
700,1.0,5
701,2.0,5
702,1.0,3
703,3.0,5
704,1.0,1
705,1.0,1
706,5.0,0
707,5.0,5
708,5.0,5
709,1.0,1
710,1.0,1
711,1.0,5
712,0.0,1
713,4.0,5
714,3.0,3
715,0.0,1
716,4.0,3
717,4.0,0
718,1.0,5
719,3.0,1
720,1.0,5
721,4.0,5
722,3.0,0
723,4.0,5
724,2.0,1
725,1.0,5
726,4.0,1
727,1.0,1
728,3.0,5
729,1.0,5
730,4.0,5
731,1.0,5
732,3.0,3
733,1.0,1
734,0.0,5
735,4.0,1
736,1.0,5
737,0.0,3
738,4.0,5
739,4.0,1
740,1.0,1
741,0.0,1
742,0.0,2
743,3.0,3
744,0.0,1
745,3.0,2
746,0.0,3
747,3.0,5
748,0.0,1
749,3.0,5
750,3.0,0
751,4.0,3
752,0.0,4
753,5.0,5
754,4.0,4
755,1.0,5
756,0.0,3
757,3.0,4
758,1.0,1
759,5.0,0
760,5.0,5
761,5.0,4
762,5.0,0
763,4.0,5
764,0.0,5
765,0.0,3
766,0.0,1
767,5.0,1
768,0.0,1
769,1.0,5
770,3.0,4
771,3.0,2
772,3.0,0
773,0.0,2
774,0.0,2
775,1.0,3
776,4.0,5
777,0.0,3
778,0.0,1
779,4.0,5
780,0.0,5
781,0.0,1
782,4.0,1
783,3.0,5
784,0.0,4
785,3.0,5
786,2.0,1
787,4.0,1
788,3.0,4
789,3.0,3
790,4.0,5
791,3.0,1
792,4.0,3
793,0.0,5
794,4.0,1
795,3.0,5
796,1.0,1
797,1.0,1
798,1.0,1
799,0.0,3
800,0.0,2
801,3.0,2
802,0.0,3
803,3.0,4
804,5.0,0
805,1.0,1
806,0.0,1
807,1.0,3
808,0.0,2
809,3.0,3
810,1.0,1
811,1.0,1
812,1.0,1
813,0.0,3
814,5.0,5
815,4.0,5
816,0.0,3
817,5.0,0
818,0.0,1
819,1.0,1
820,3.0,5
821,0.0,2
822,3.0,2
823,1.0,2
824,4.0,5
825,4.0,5
826,4.0,4
827,5.0,0
828,1.0,2
829,4.0,5
830,4.0,1
831,0.0,5
832,1.0,5
833,1.0,5
834,3.0,5
835,3.0,0
836,0.0,1
837,1.0,3
838,1.0,1
839,1.0,3
840,3.0,5
841,1.0,1
842,0.0,5
843,3.0,0
844,1.0,5
845,3.0,0
846,3.0,4
847,3.0,3
848,0.0,2
849,1.0,1
850,1.0,5
851,0.0,2
852,3.0,5
853,1.0,3
854,1.0,1
855,3.0,4
856,5.0,1
857,3.0,3
858,0.0,1
859,3.0,3
860,5.0,1
861,3.0,5
862,4.0,3
863,3.0,4
864,0.0,5
865,3.0,3
866,4.0,4
867,1.0,3
868,2.0,5
869,1.0,1
870,1.0,1
871,1.0,5
872,0.0,2
873,1.0,5
874,4.0,1
875,3.0,3
876,3.0,3
877,4.0,1
878,0.0,1
879,0.0,5
880,1.0,1
881,0.0,1
882,1.0,1
883,3.0,3
884,0.0,2
885,4.0,1
886,1.0,1
887,3.0,4
888,0.0,3
889,3.0,4
890,1.0,5
891,3.0,2
892,0.0,1
893,1.0,1
894,1.0,3
895,3.0,0
896,1.0,5
897,4.0,3
898,5.0,5
899,3.0,0
900,3.0,5
901,1.0,5
902,3.0,0
903,0.0,5
904,0.0,1
905,3.0,5
906,3.0,3
907,3.0,4
908,1.0,1
909,0.0,3
910,4.0,5
911,0.0,3
912,3.0,5
913,0.0,5
914,3.0,2
915,0.0,1
916,5.0,1
917,5.0,0
918,0.0,2
919,1.0,1
920,0.0,2
921,1.0,1
922,4.0,5
923,1.0,3
924,4.0,4
925,4.0,1
926,0.0,1
927,1.0,1
928,1.0,1
929,5.0,0
930,1.0,1
931,1.0,5
932,3.0,0
933,1.0,1
934,1.0,1
935,4.0,1
936,3.0,4
937,5.0,5
938,1.0,1
939,3.0,3
940,3.0,2
941,1.0,3
942,3.0,4
943,3.0,4
944,3.0,0
945,5.0,0
946,3.0,0
947,1.0,5
948,0.0,4
949,5.0,1
950,3.0,3
951,5.0,0
952,1.0,1
953,1.0,1
954,0.0,2
955,0.0,2
956,2.0,1
957,1.0,1
958,2.0,1
959,0.0,1
960,0.0,5
961,4.0,5
962,4.0,1
963,1.0,1
964,0.0,1
965,4.0,1
966,0.0,1
967,5.0,5
968,3.0,3
969,1.0,1
970,0.0,3
971,1.0,1
972,1.0,1
973,4.0,3
974,0.0,2
975,4.0,1
976,1.0,1
977,2.0,1
978,3.0,3
979,1.0,1
980,1.0,5
981,1.0,1
982,0.0,2
983,1.0,1
984,1.0,1
985,5.0,5
986,4.0,5
987,4.0,0
988,0.0,1
989,1.0,1
990,4.0,5
991,5.0,1
992,5.0,0
993,5.0,0
994,3.0,5
995,4.0,4
996,0.0,3
997,0.0,3
998,4.0,4
999,0.0,3
1000,4.0,4
1001,1.0,5
1002,1.0,2
1003,0.0,2
1004,3.0,1
1005,1.0,5
1006,0.0,1
1007,1.0,5
1008,0.0,1
1009,3.0,2
1010,3.0,4
1011,1.0,5
1012,3.0,3
1013,2.0,1
1014,1.0,3
1015,5.0,3
1016,3.0,4
1017,1.0,1
1018,1.0,1
1019,1.0,1
1020,0.0,2
1021,0.0,1
1022,0.0,5
1023,4.0,1
1024,3.0,4
1025,5.0,3
1026,5.0,0
1027,1.0,1
1028,1.0,5
1029,1.0,1
1030,3.0,2
1031,3.0,1
1032,2.0,1
1033,1.0,3
1034,1.0,5
1035,3.0,0
1036,3.0,4
1037,1.0,2
1038,3.0,2
1039,3.0,2
1040,0.0,2
1041,0.0,1
1042,5.0,1
1043,0.0,2
1044,5.0,3
1045,0.0,1
1046,1.0,5
1047,1.0,5
1048,0.0,2
1049,4.0,5
1050,3.0,3
1051,3.0,4
1052,0.0,1
1053,1.0,1
1054,1.0,5
1055,5.0,5
1056,0.0,3
1057,1.0,1
1058,0.0,5
1059,0.0,3
1060,1.0,5
1061,4.0,3
1062,5.0,2
1063,1.0,1
1064,0.0,1
1065,0.0,3
1066,3.0,3
1067,0.0,2
1068,0.0,3
1069,0.0,2
1070,3.0,0
1071,0.0,1
1072,1.0,1
1073,3.0,0
1074,3.0,0
1075,0.0,5
1076,0.0,3
1077,3.0,4
1078,0.0,1
1079,0.0,1
1080,5.0,0
1081,1.0,1
1082,1.0,1
1083,4.0,5
1084,0.0,3
1085,1.0,5
1086,1.0,2
1087,1.0,1
1088,0.0,3
1089,0.0,2
1090,4.0,5
1091,2.0,1
1092,0.0,1
1093,1.0,1
1094,3.0,4
1095,3.0,3
1096,4.0,5
1097,3.0,4
1098,3.0,3
1099,3.0,0
1100,1.0,4
1101,1.0,5
1102,2.0,1
1103,3.0,4
1104,3.0,4
1105,5.0,0
1106,1.0,1
1107,4.0,0
1108,3.0,5
1109,1.0,5
1110,3.0,1
1111,1.0,1
1112,1.0,5
1113,1.0,2
1114,0.0,5
1115,0.0,2
1116,2.0,1
1117,5.0,0
1118,3.0,4
1119,5.0,4
1120,0.0,3
1121,1.0,1
1122,1.0,2
1123,1.0,1
1124,1.0,1
1125,0.0,1
1126,1.0,1
1127,1.0,5
1128,3.0,3
1129,3.0,0
1130,1.0,1
1131,1.0,1
1132,4.0,0
1133,3.0,5
1134,3.0,4
1135,3.0,5
1136,1.0,1
1137,0.0,3
1138,3.0,0
