,cluster_id,cluster_pred
0,1,2
1,1,2
2,0,0
3,3,1
4,3,1
5,2,3
6,2,3
7,0,2
8,0,0
9,1,2
10,1,2
11,2,3
12,0,1
13,0,0
14,3,1
15,2,1
16,3,2
17,0,3
18,3,2
19,3,1
20,3,3
21,0,3
22,2,1
23,2,1
24,1,2
25,1,0
26,3,3
27,2,3
28,2,0
29,1,2
30,1,1
31,3,3
32,3,1
33,1,1
34,0,0
35,1,0
36,2,0
37,0,2
38,1,1
39,3,1
40,0,1
41,3,1
42,3,2
43,1,3
44,2,3
45,3,1
46,3,1
47,0,1
48,1,1
49,1,1
50,2,0
51,2,3
52,2,1
53,3,3
54,2,1
55,1,1
56,3,3
57,0,3
58,1,2
59,0,1
60,0,3
61,1,0
62,1,2
63,2,3
64,1,2
65,0,0
66,1,2
67,2,3
68,2,1
69,2,3
70,3,1
71,0,2
72,2,2
73,3,0
74,1,1
75,1,3
76,1,1
77,2,1
78,3,1
79,2,3
80,0,0
81,1,1
82,3,3
83,1,2
84,3,1
85,3,1
86,3,2
87,3,2
88,2,0
89,3,1
90,1,1
91,2,1
92,1,2
93,2,3
94,2,0
95,2,3
96,0,3
97,3,3
98,2,3
99,1,2
100,3,3
101,2,1
102,3,2
103,2,3
104,3,2
105,2,1
106,0,1
107,1,3
108,3,2
109,2,0
110,3,0
111,2,1
112,2,3
113,3,1
114,1,1
115,2,1
116,2,0
117,0,3
118,3,0
119,3,1
120,3,0
121,3,0
122,0,1
123,1,2
124,1,0
125,3,2
126,1,2
127,0,0
128,3,3
129,0,0
130,1,2
131,3,2
132,0,1
133,0,1
134,2,1
135,3,3
136,0,3
137,2,3
138,1,2
139,3,0
140,1,1
141,0,1
142,2,3
143,1,1
144,0,3
145,3,3
146,1,3
147,2,3
148,1,3
149,1,1
150,3,0
151,2,2
152,1,2
153,1,3
154,2,3
155,3,3
156,1,2
157,2,3
158,3,3
159,3,3
160,1,3
161,2,1
162,0,0
163,1,1
164,2,1
165,0,1
166,1,2
167,2,3
168,3,1
169,0,1
170,0,3
171,1,0
172,1,2
173,3,3
174,2,2
175,0,1
176,1,1
177,0,1
178,3,2
179,1,0
180,1,2
181,3,3
182,1,1
183,2,3
184,2,3
185,1,2
186,0,1
187,3,3
188,0,2
189,1,2
190,3,0
191,1,2
192,0,3
193,3,0
194,1,2
195,2,3
196,3,2
197,1,2
198,3,3
199,0,3
200,2,1
201,2,1
202,3,1
203,2,3
204,1,2
205,2,1
206,0,0
207,1,3
208,1,2
209,0,1
210,0,0
211,0,1
212,3,1
213,3,3
214,1,2
215,0,3
216,0,0
217,0,1
218,1,0
219,2,1
220,3,1
221,2,3
222,3,3
223,1,1
224,3,0
225,3,1
226,3,0
227,1,3
228,0,3
229,1,1
230,2,1
231,0,3
232,0,3
233,3,2
234,0,3
235,0,0
236,2,3
237,2,3
238,2,3
239,3,1
240,2,3
241,2,3
242,2,3
243,2,3
244,3,0
245,3,1
246,3,2
247,0,1
248,1,2
249,2,3
250,3,3
251,2,1
252,0,3
253,0,3
254,0,3
255,2,3
256,0,1
257,1,3
258,0,3
259,1,2
260,2,3
261,1,3
262,3,2
263,1,3
264,2,3
265,1,0
266,0,1
267,1,1
268,0,1
269,1,1
270,0,0
271,0,3
272,3,1
273,0,3
274,0,1
275,3,0
276,2,2
277,0,0
278,3,3
279,3,2
280,1,2
281,0,1
282,0,3
283,1,1
284,3,3
285,0,1
286,3,1
287,3,1
288,0,1
289,0,3
290,1,2
291,3,2
292,2,1
293,3,1
294,1,2
295,1,1
296,0,0
297,2,3
298,1,0
299,1,1
300,0,2
301,0,3
302,2,1
303,0,1
304,3,0
305,1,2
306,1,2
307,3,3
308,3,3
309,2,3
310,0,1
311,0,3
312,1,2
313,3,0
314,0,2
315,1,1
316,2,0
317,1,2
318,1,1
319,2,3
320,1,2
321,1,1
322,1,3
323,2,1
324,0,1
325,0,3
326,2,1
327,2,3
328,2,3
329,2,1
330,3,3
331,0,3
332,1,0
333,0,3
334,1,1
335,3,2
336,0,1
337,0,0
338,1,2
339,2,0
340,0,3
341,1,1
342,1,1
343,0,3
344,1,2
345,0,3
346,1,3
347,3,3
348,1,1
349,0,2
350,2,2
351,3,1
352,1,1
353,0,2
354,2,3
355,3,2
356,2,1
357,0,1
358,2,1
359,1,0
360,1,2
361,0,1
362,0,3
363,0,2
364,1,3
365,3,1
366,2,1
367,3,1
368,3,3
369,2,1
370,2,2
371,0,1
372,0,1
373,1,2
374,0,3
375,3,0
376,2,1
377,3,1
378,3,3
379,0,1
380,2,3
381,1,3
382,3,1
383,1,2
384,3,2
385,3,3
386,0,3
387,2,3
388,2,3
389,0,3
390,2,0
391,0,0
392,0,2
393,0,3
394,3,2
395,3,1
396,2,2
397,1,2
398,1,2
399,1,2
400,0,1
401,2,3
402,3,3
403,1,1
404,2,3
405,3,3
406,0,1
407,1,2
408,2,3
409,2,3
410,0,1
411,2,3
412,1,2
413,0,1
414,0,2
415,3,3
416,1,2
417,0,0
418,3,0
419,2,1
420,2,1
421,3,1
422,3,3
423,3,1
424,0,1
425,2,1
426,3,3
427,0,3
428,3,1
429,3,0
430,0,0
431,2,3
432,2,0
433,2,1
434,3,1
435,0,0
436,2,1
437,2,1
438,1,2
439,3,3
440,2,3
441,0,3
442,3,2
443,1,1
444,1,1
445,0,0
446,3,3
447,1,2
448,1,0
449,0,1
450,3,3
451,3,3
452,0,3
453,3,1
454,0,3
455,1,3
456,3,2
457,0,1
458,1,3
459,0,3
460,2,0
461,2,3
462,3,3
463,3,0
464,2,0
465,3,1
466,3,0
467,0,1
468,1,3
469,2,2
470,2,0
471,3,1
472,0,3
473,1,3
474,1,3
475,1,3
476,2,0
477,2,3
478,0,1
479,0,1
480,3,3
481,2,0
482,0,3
483,0,0
484,3,1
485,3,2
486,1,3
487,2,1
488,1,2
489,2,3
490,1,1
491,0,1
492,3,1
493,2,3
494,0,3
495,1,3
496,1,2
497,1,1
498,1,3
499,3,2
500,1,3
501,1,1
502,2,0
503,0,3
504,2,1
505,3,0
506,3,3
507,1,1
508,3,3
509,0,0
510,0,2
511,1,2
512,1,1
513,1,2
514,3,0
515,1,3
516,1,0
517,1,3
518,3,1
519,1,1
520,3,3
521,3,2
522,2,2
523,0,0
524,3,1
525,2,1
526,0,3
527,0,3
528,0,3
529,0,3
530,1,1
531,0,0
532,3,3
533,2,3
534,1,2
535,2,3
536,3,0
537,3,1
538,3,2
539,0,1
540,1,3
541,0,3
542,3,1
543,0,1
544,1,1
545,3,3
546,2,3
547,3,2
548,3,1
549,1,0
550,2,1
551,0,3
552,3,0
553,0,2
554,2,2
555,0,0
556,2,1
557,3,2
558,1,2
559,0,0
560,2,1
561,2,3
562,0,3
563,2,1
564,3,2
565,3,1
566,0,1
567,3,1
568,3,0
569,1,1
570,0,0
571,3,2
572,1,1
573,3,1
574,0,2
575,0,3
576,3,1
577,2,3
578,2,3
579,3,1
580,0,3
581,3,3
582,1,2
583,0,3
584,2,3
585,2,0
586,1,0
587,1,3
588,0,3
589,3,1
590,3,3
591,1,2
592,2,3
593,3,1
594,0,1
595,3,1
596,2,2
597,1,1
598,0,3
599,1,2
600,1,3
601,3,1
602,1,1
603,1,1
604,1,2
605,0,3
606,3,1
607,2,1
608,3,1
609,2,2
610,2,1
611,3,0
612,0,2
613,0,1
614,3,0
615,0,3
616,3,3
617,2,1
618,3,1
619,2,1
620,1,1
621,2,2
622,3,3
623,2,1
624,3,2
625,0,1
626,0,3
627,3,1
628,2,1
629,0,3
630,3,3
631,0,3
632,3,1
633,1,1
634,2,1
635,2,1
636,1,0
637,0,1
638,1,1
639,2,1
640,0,0
641,3,2
642,0,3
643,1,3
644,3,2
645,3,0
646,3,1
647,1,2
648,2,1
649,3,0
650,0,2
651,1,1
652,0,1
653,3,3
654,1,3
655,3,1
