,cluster_id,cluster_thp
0,1,3
1,1,3
2,0,1
3,3,2
4,3,3
5,2,2
6,2,0
7,0,3
8,0,1
9,1,3
10,1,3
11,2,2
12,0,3
13,0,0
14,3,2
15,2,2
16,3,3
17,0,0
18,3,3
19,3,1
20,3,0
21,0,2
22,2,1
23,2,3
24,1,3
25,1,0
26,3,1
27,2,3
28,2,0
29,1,3
30,1,3
31,3,1
32,3,2
33,1,2
34,0,3
35,1,3
36,2,0
37,0,2
38,1,2
39,3,2
40,0,2
41,3,2
42,3,2
43,1,3
44,2,0
45,3,1
46,3,2
47,0,2
48,1,1
49,1,2
50,2,3
51,2,1
52,2,2
53,3,1
54,2,2
55,1,1
56,3,2
57,0,1
58,1,2
59,0,2
60,0,3
61,1,3
62,1,2
63,2,2
64,1,2
65,0,1
66,1,0
67,2,1
68,2,2
69,2,2
70,3,2
71,0,0
72,2,0
73,3,1
74,1,2
75,1,0
76,1,0
77,2,2
78,3,2
79,2,0
80,0,0
81,1,2
82,3,0
83,1,2
84,3,2
85,3,0
86,3,2
87,3,0
88,2,3
89,3,0
90,1,2
91,2,2
92,1,2
93,2,3
94,2,1
95,2,0
96,0,3
97,3,0
98,2,2
99,1,0
100,3,3
101,2,0
102,3,0
103,2,2
104,3,0
105,2,0
106,0,1
107,1,1
108,3,0
109,2,3
110,3,3
111,2,0
112,2,3
113,3,3
114,1,2
115,2,0
116,2,2
117,0,2
118,3,3
119,3,0
120,3,1
121,3,2
122,0,0
123,1,0
124,1,1
125,3,0
126,1,0
127,0,2
128,3,0
129,0,1
130,1,0
131,3,3
132,0,3
133,0,2
134,2,0
135,3,2
136,0,2
137,2,2
138,1,3
139,3,3
140,1,3
141,0,3
142,2,2
143,1,3
144,0,3
145,3,2
146,1,0
147,2,0
148,1,0
149,1,3
150,3,1
151,2,2
152,1,0
153,1,3
154,2,3
155,3,2
156,1,3
157,2,1
158,3,3
159,3,3
160,1,2
161,2,2
162,0,3
163,1,1
164,2,1
165,0,2
166,1,1
167,2,2
168,3,1
169,0,1
170,0,1
171,1,3
172,1,1
173,3,1
174,2,1
175,0,2
176,1,1
177,0,1
178,3,1
179,1,2
180,1,1
181,3,2
182,1,0
183,2,0
184,2,2
185,1,1
186,0,1
187,3,3
188,0,1
189,1,1
190,3,3
191,1,1
192,0,2
193,3,0
194,1,3
195,2,3
196,3,3
197,1,3
198,3,1
199,0,1
200,2,3
201,2,0
202,3,3
203,2,1
204,1,3
205,2,3
206,0,0
207,1,3
208,1,3
209,0,3
210,0,0
211,0,3
212,3,3
213,3,1
214,1,3
215,0,2
216,0,2
217,0,3
218,1,1
219,2,3
220,3,3
221,2,1
222,3,2
223,1,3
224,3,2
225,3,3
226,3,0
227,1,0
228,0,3
229,1,3
230,2,3
231,0,1
232,0,3
233,3,3
234,0,0
235,0,0
236,2,1
237,2,0
238,2,2
239,3,1
240,2,0
241,2,3
242,2,3
243,2,2
244,3,0
245,3,3
246,3,0
247,0,3
248,1,3
249,2,3
250,3,0
251,2,2
252,0,1
253,0,3
254,0,0
255,2,2
256,0,1
257,1,3
258,0,1
259,1,2
260,2,2
261,1,3
262,3,3
263,1,1
264,2,2
265,1,0
266,0,3
267,1,3
268,0,2
269,1,1
270,0,2
271,0,2
272,3,1
273,0,1
274,0,1
275,3,0
276,2,3
277,0,0
278,3,3
279,3,3
280,1,3
281,0,3
