,cluster_id,cluster_pred
0,3,1
1,6,1
2,6,6
3,6,4
4,1,0
5,6,5
6,0,6
7,0,6
8,7,5
9,3,6
10,3,6
11,1,6
12,3,6
13,1,1
14,1,1
15,6,5
16,3,5
17,3,5
18,4,3
19,3,6
20,1,0
21,1,5
22,1,5
23,0,5
24,3,0
25,1,1
26,1,5
27,7,7
28,3,6
29,6,1
30,7,6
31,6,7
32,7,1
33,4,1
34,3,5
35,3,0
36,3,7
37,3,7
38,7,2
39,1,5
40,1,1
41,3,6
42,1,0
43,3,7
44,0,5
45,7,5
46,3,4
47,1,5
48,3,6
49,3,7
50,7,7
51,1,1
52,4,0
53,7,5
54,1,5
55,7,5
56,4,5
57,4,5
58,3,5
59,0,6
60,7,6
61,3,4
62,3,6
63,7,5
64,3,6
65,1,0
66,0,6
67,7,4
68,6,1
69,7,6
70,1,3
71,4,1
72,3,7
73,1,5
74,1,1
75,1,1
76,3,7
77,3,6
78,3,6
79,3,2
80,0,5
81,3,1
82,1,1
83,0,1
84,3,5
85,3,4
86,3,7
87,3,7
88,3,4
89,7,4
90,3,7
91,3,0
92,3,1
93,1,1
94,7,5
95,4,5
96,7,5
97,6,6
98,1,5
99,1,5
100,7,1
101,3,5
102,3,1
103,7,5
104,3,7
105,6,6
106,1,5
107,1,0
108,4,5
109,0,1
110,7,6
111,3,5
112,3,1
113,1,6
114,1,5
115,4,5
116,3,4
117,1,1
118,3,4
119,7,5
120,7,5
121,1,5
122,3,6
123,0,1
124,0,0
125,1,1
126,4,5
127,7,5
128,3,5
129,3,6
130,4,5
131,1,5
132,7,6
133,6,4
134,6,5
135,7,5
136,6,5
137,3,7
138,7,7
139,7,5
140,3,5
141,3,7
142,1,1
143,3,4
144,4,1
145,7,7
146,0,6
147,4,0
148,3,2
149,0,5
150,3,7
151,3,6
152,6,4
153,3,1
154,3,4
155,7,1
156,4,5
157,7,4
158,4,1
159,7,7
160,3,4
161,0,1
162,1,5
163,3,5
164,1,5
165,7,5
166,2,1
167,6,1
168,3,6
169,6,1
170,3,1
171,7,1
172,7,2
173,7,4
174,7,6
175,0,0
176,3,6
177,3,7
178,6,6
179,7,6
180,6,6
181,7,5
182,6,5
183,1,5
184,1,1
185,3,6
186,4,1
187,0,3
188,4,5
189,6,2
190,1,5
191,0,1
192,3,4
193,3,7
194,7,4
195,0,5
196,3,7
197,1,1
198,6,6
199,7,5
200,3,7
201,1,5
202,3,4
203,7,5
204,3,5
205,7,4
206,3,5
207,3,0
208,3,2
209,6,7
210,1,6
211,3,4
212,3,7
213,3,6
214,6,1
215,6,7
216,4,5
217,7,5
218,3,1
219,6,2
220,3,6
221,0,5
222,7,3
223,3,6
224,0,1
225,3,2
226,7,6
227,3,6
228,1,6
229,3,7
230,3,6
231,3,4
232,4,5
233,3,7
234,3,6
235,3,5
236,1,5
237,3,7
238,3,6
239,7,2
240,7,7
241,3,6
242,3,4
243,6,5
244,1,0
245,0,0
246,0,5
247,6,6
248,3,6
249,1,5
250,0,0
251,0,0
252,1,5
253,1,6
254,6,1
255,7,5
256,1,0
257,7,6
258,0,5
259,7,6
260,7,1
261,0,5
262,3,7
263,7,6
264,1,0
265,4,5
266,3,5
267,7,0
268,6,6
269,7,0
270,7,7
271,1,1
272,3,6
273,6,4
274,3,6
275,3,6
276,7,0
277,3,5
278,3,6
279,6,4
280,3,7
281,1,1
282,6,1
283,3,7
284,3,7
285,4,0
286,3,2
287,3,6
288,6,5
289,4,1
290,3,6
291,1,5
292,7,1
293,3,4
294,3,5
295,3,0
296,3,6
297,7,7
298,3,6
299,3,0
300,4,0
301,7,1
302,7,0
303,1,5
304,0,0
305,0,5
306,3,7
307,6,1
308,1,3
309,7,5
310,3,6
311,3,6
312,1,1
313,3,5
314,1,6
315,3,6
316,3,5
317,3,4
318,6,0
319,6,5
320,7,7
321,3,7
322,7,4
323,3,2
324,7,6
325,6,4
326,1,1
327,3,7
328,3,6
329,1,1
330,7,5
331,7,0
332,7,0
333,7,6
334,7,0
335,4,1
336,7,1
337,3,6
338,7,3
339,3,4
340,1,5
341,7,1
342,6,4
343,3,1
344,6,5
345,6,3
346,0,3
347,3,2
348,4,3
349,3,6
350,3,2
351,0,1
352,6,1
353,6,5
354,3,7
355,7,5
356,1,1
357,3,4
358,3,4
359,7,6
360,7,6
361,0,1
362,1,5
363,1,1
364,1,0
365,3,6
366,0,5
367,1,0
368,6,6
369,1,5
370,1,6
371,0,3
372,6,5
373,3,4
374,7,0
375,7,0
376,1,5
377,6,0
378,3,2
379,3,0
380,1,5
381,0,1
382,7,1
383,7,6
384,0,3
385,7,6
386,3,7
387,6,6
388,3,2
389,7,7
390,7,5
391,4,7
392,6,5
393,1,1
394,3,6
395,2,1
396,1,1
397,7,4
398,3,7
399,3,5
400,3,7
401,7,5
402,7,6
403,4,5
404,7,0
405,6,0
406,6,7
407,0,3
408,7,5
409,3,7
410,3,7
411,1,5
412,7,2
413,4,5
414,3,7
415,3,6
416,7,7
417,3,5
418,7,5
419,0,0
420,3,4
421,1,3
422,1,3
423,7,5
424,1,1
425,3,7
426,7,0
427,3,7
428,7,4
429,3,7
430,0,5
431,6,7
432,3,6
433,1,1
434,1,0
435,1,6
436,3,2
437,6,7
438,3,6
439,7,4
440,3,0
441,3,2
442,6,5
443,3,5
444,1,0
445,0,0
446,3,2
447,3,7
448,3,7
449,1,1
450,3,7
451,7,6
452,7,5
453,6,2
454,7,5
455,7,0
456,0,1
457,7,7
458,3,6
459,7,6
460,7,5
461,0,6
462,3,6
463,7,0
464,1,3
465,7,2
466,7,5
467,1,1
468,7,5
469,3,5
470,1,1
471,3,4
472,7,6
473,7,0
474,6,1
475,7,5
476,0,1
477,7,5
478,6,5
479,6,5
480,7,6
481,7,6
482,3,4
483,0,5
484,7,6
485,7,6
486,7,4
487,7,6
488,7,1
489,1,5
490,3,5
491,7,6
492,7,5
493,3,5
494,3,6
495,3,4
496,3,7
497,3,6
498,3,7
499,3,6
500,3,5
501,6,2
502,6,6
503,1,1
504,7,6
505,7,5
506,3,4
507,7,0
508,3,4
509,7,6
510,3,6
511,3,4
512,1,3
513,7,4
514,1,1
515,3,7
516,3,6
517,3,7
518,3,6
519,7,4
520,7,7
521,6,1
522,1,1
523,3,6
524,1,1
525,7,6
526,1,1
527,7,0
528,4,5
529,7,1
530,0,5
531,7,5
532,3,6
533,3,0
534,7,5
535,1,1
536,3,4
537,4,1
538,4,6
539,7,6
540,6,6
541,7,5
542,7,5
543,7,6
544,0,1
545,7,7
546,7,6
547,3,6
548,2,3
549,7,2
550,3,0
551,3,5
552,3,7
553,3,7
554,3,7
555,7,6
556,6,4
557,6,0
558,6,1
559,7,0
560,7,1
561,3,4
562,6,1
563,1,6
564,3,2
565,6,4
566,1,1
567,3,4
568,1,5
569,7,6
570,3,6
571,1,1
572,3,6
573,3,6
574,3,4
575,7,1
576,1,5
577,3,4
578,7,5
579,7,1
580,0,5
581,6,0
582,6,4
583,3,4
584,7,7
585,7,6
586,6,0
587,7,7
588,3,4
589,7,7
590,7,7
591,4,5
592,0,1
593,7,5
594,7,6
595,7,5
596,7,6
597,7,7
598,3,4
599,3,6
600,3,2
601,7,5
602,3,5
603,7,6
604,7,0
605,1,5
606,0,3
607,7,4
608,7,6
609,7,4
610,6,5
611,1,3
612,1,3
613,3,6
614,6,0
615,3,5
616,1,3
617,1,0
618,3,4
619,2,5
620,3,6
621,1,1
622,7,7
623,3,5
624,3,5
625,1,5
626,3,4
627,3,7
628,1,1
629,3,1
630,3,7
631,7,6
632,7,5
633,4,3
634,1,5
635,1,6
636,3,6
637,6,5
638,6,5
639,3,6
640,7,6
641,3,6
642,3,6
643,1,6
644,6,5
645,3,6
646,6,6
647,3,4
648,1,1
649,4,1
650,3,6
651,6,7
652,7,1
653,4,5
654,7,5
655,7,6
656,3,7
657,7,0
658,7,5
659,6,6
660,6,5
661,7,6
662,7,7
663,7,5
664,7,1
665,7,6
666,2,3
667,7,5
668,3,5
669,3,5
670,0,1
671,7,1
672,6,5
673,3,5
674,7,1
675,6,7
676,1,0
677,7,6
678,4,5
679,3,7
680,7,0
681,3,4
682,4,0
683,4,6
684,3,6
685,1,5
686,3,6
687,3,6
688,7,6
689,3,4
690,7,4
691,7,0
692,7,4
693,0,3
694,7,6
695,4,0
696,1,5
697,7,6
698,6,5
699,7,5
700,7,5
701,6,6
702,7,6
703,3,6
704,1,1
705,1,0
706,4,1
707,6,5
708,3,7
709,3,6
710,6,5
711,3,4
712,3,1
713,1,5
714,7,4
715,3,5
716,3,5
717,3,6
718,3,2
