,event_id,event_pred
0,3,"[0.10133211952203686, 0.032010365870802394, 0.00041374433374899585, 0.33286259054623984, 0.010051277598154726, 2.479797595154869e-05, 0.08843575064418395, 0.4348693535088818]"
1,6,"[3.4751357080678875e-05, 0.00017549951649850184, 4.2836253695557484e-06, 0.3667820061917966, 5.02782014941125e-05, 0.000634680418975076, 0.4943710147552655, 0.13794748593352002]"
2,6,"[0.041210475638032026, 0.04984140808051491, 0.00031571745384613176, 0.1544740740784518, 0.13402638969883585, 0.00023330529452925776, 0.4932109877027507, 0.12668764205303937]"
3,6,"[0.0054470590856179535, 0.008550277410844673, 0.00033035554847416897, 0.6245802711982578, 0.0015099192535849516, 7.37198714291356e-06, 0.04286183878902243, 0.3167129067270552]"
4,1,"[0.35194087865937784, 0.4431668084280635, 0.04057117851977267, 0.0029212807409986483, 0.13958955687780503, 0.001747147496508831, 0.0166512805351915, 0.003411868742281965]"
5,6,"[0.07436490398138239, 0.08527752265708054, 0.0006496389274099382, 0.28732160710081545, 0.0066609562084833426, 1.5050234502812718e-05, 0.11694266108030056, 0.428767659810025]"
6,0,"[0.01452533027735576, 0.03772723583598209, 0.0008391290910342387, 0.41555506996148306, 0.012417852007206485, 0.00016525079705407734, 0.1700765929201593, 0.348693539109725]"
7,0,"[0.032957936930011915, 0.10239443648690665, 0.008354151179453902, 0.3199545173035707, 0.03363933813298814, 0.00020826314580941926, 0.16739218116305565, 0.3350991756582036]"
8,7,"[0.1301846971540969, 0.17895857037323257, 0.002042372966587505, 0.28111327894758537, 0.02008632306586571, 2.852241456598053e-05, 0.10247594871996354, 0.2851102863581024]"
9,3,"[0.029012014929227187, 0.05048964788029375, 0.00031110674485458433, 0.42900406771090416, 0.007007883963951962, 2.2874258176050205e-05, 0.10967240375595919, 0.3744800007566331]"
10,3,"[0.057006202400681216, 0.06912616930101372, 0.0008573724982975606, 0.36784249464916047, 0.013940539536296693, 2.3841399767772282e-05, 0.11373079677913539, 0.3774725834356473]"
11,1,"[0.03900542734426877, 0.12011435549096205, 0.009337980746817652, 0.31980881028561825, 0.03560456792030106, 0.00022420760135597457, 0.14204798250054518, 0.333856668110131]"
12,3,"[0.05134033520416625, 0.05460617117688433, 0.000726855390381989, 0.4430990494861124, 0.004958174130190818, 3.469399791841265e-05, 0.09757209254071823, 0.34766262807362774]"
13,1,"[0.20894210800200885, 0.1715871210147556, 0.0015133011945567636, 0.2439468646268893, 0.04584257373654633, 1.3392539967988918e-05, 0.07515124654705413, 0.253003392338221]"
14,1,"[0.28574716714927056, 0.40069721874958636, 0.032466831526131966, 0.042348869474437154, 0.09330219077165178, 0.0031498434504437763, 0.060486985518033366, 0.08180089336044497]"
15,6,"[0.0776142559026415, 0.12775706702238943, 0.0029024572803849967, 0.3252441892692472, 0.017903099188364448, 0.00023052159055838976, 0.11767080488941926, 0.33067760485699477]"
16,3,"[0.09665622867263672, 0.39985338079280247, 0.02921741088570641, 0.07731372368506373, 0.09742312886804963, 0.010872143912352623, 0.1461466306365094, 0.142517352546879]"
17,3,"[0.13932524892758796, 0.5232572726980808, 0.07551516692825769, 0.06841456007539048, 0.06350296274041833, 0.0005939600868889824, 0.04988313297252766, 0.07950769557084811]"
