,cluster_id,cluster_pred
0,2,3
1,10,9
2,2,3
3,9,2
4,10,3
5,9,8
6,2,3
7,4,9
8,5,6
9,4,3
10,2,6
11,10,9
12,2,3
13,2,3
14,2,9
15,9,2
16,2,3
17,10,7
18,9,4
19,10,3
20,10,6
21,10,6
22,10,9
23,2,8
24,2,3
25,5,11
26,4,7
27,12,12
28,4,0
29,8,7
30,12,12
31,2,0
32,9,10
33,2,3
34,7,3
35,10,11
36,2,0
37,10,7
38,2,3
39,7,12
40,10,3
41,10,6
42,4,7
43,10,9
44,12,0
45,10,3
46,4,7
47,10,7
48,10,9
49,2,4
50,2,12
51,7,7
52,10,11
53,10,6
54,9,6
55,4,9
56,2,5
57,2,11
58,4,7
59,2,3
60,9,4
61,7,7
62,9,4
63,10,3
64,9,8
65,2,3
66,2,11
67,2,9
68,2,10
69,10,10
70,7,12
71,9,7
72,9,8
73,10,6
74,0,12
75,2,10
76,2,6
77,2,3
78,2,6
79,2,10
80,2,10
81,7,10
82,2,7
83,4,7
84,10,9
85,2,0
86,10,3
87,2,9
88,7,0
89,2,11
90,7,3
91,2,10
92,9,2
93,4,7
94,0,6
95,2,3
96,9,9
97,4,0
98,2,10
99,3,4
100,10,7
101,2,0
102,9,2
103,2,3
104,2,6
105,9,8
106,7,10
107,0,7
108,7,1
109,10,7
110,2,9
111,4,7
112,2,6
113,0,8
114,10,10
115,7,6
116,2,10
117,10,10
118,2,8
119,10,9
120,2,3
121,2,11
122,10,7
123,7,6
124,4,6
125,7,12
126,2,3
127,2,3
128,10,6
129,4,7
130,10,11
131,9,2
132,9,9
133,5,9
134,2,10
135,2,9
136,10,0
137,2,3
138,9,9
139,10,4
140,10,3
141,4,9
142,2,0
143,10,9
144,4,7
145,1,4
146,10,6
147,9,8
148,9,2
149,2,4
150,2,1
151,9,10
152,2,9
153,7,3
154,3,4
155,7,9
156,7,0
157,1,2
158,10,3
159,12,12
160,9,8
161,2,9
162,12,11
163,2,3
164,2,7
165,4,3
166,12,9
167,9,1
168,2,5
169,2,10
170,10,5
171,10,7
172,2,3
173,6,6
174,10,9
175,2,12
176,3,4
177,2,10
178,2,9
179,7,7
180,7,7
181,4,7
182,2,3
183,9,2
184,10,3
185,12,3
186,4,4
187,4,7
188,10,6
189,12,7
190,12,12
191,2,6
192,2,6
193,2,3
194,10,3
195,4,9
196,2,3
197,2,9
198,12,12
199,10,10
200,5,0
201,10,11
202,4,11
203,12,9
204,12,11
205,11,9
206,7,12
207,12,12
208,9,8
209,0,5
210,2,5
211,9,8
212,4,6
213,9,8
214,2,10
215,9,8
216,2,10
217,2,1
218,10,7
219,2,10
220,7,0
221,4,7
222,4,7
223,10,4
224,5,3
225,10,9
226,10,6
227,10,9
228,7,7
229,9,4
230,2,3
231,10,10
232,7,7
233,2,3
234,10,10
235,2,10
236,10,7
237,12,0
238,12,12
239,2,4
240,5,7
241,4,7
242,2,3
243,2,11
244,10,8
245,4,7
246,0,4
247,10,8
248,2,7
249,12,9
250,2,0
251,10,3
252,9,4
253,1,3
254,2,0
255,9,4
256,10,9
257,10,1
258,10,7
259,10,9
260,10,7
261,5,7
262,9,8
263,0,7
264,10,9
265,2,3
266,2,12
267,2,3
268,4,6
269,10,6
270,10,11
271,7,3
272,8,3
273,2,0
274,9,9
275,2,3
276,2,11
277,4,7
278,9,4
279,10,6
280,4,9
281,0,12
282,2,11
283,12,12
284,10,2
285,10,9
286,10,6
287,2,3
288,10,3
289,2,3
290,2,3
291,10,5
292,9,2
293,2,3
294,10,10
295,10,0
296,9,4
297,2,3
298,2,10
299,4,2
300,10,10
301,2,3
