,event_id,event_pred
0,11,"[3.212058114950203e-13, 2.1228028066497504e-21, 3.8327978306926454e-13, 1.5167514954961563e-10, 6.38797468522664e-10, 2.647685762382959e-06, 2.0763194441201035e-14, 0.9999971418026729, 2.0972036665930504e-07]"
1,11,"[5.680507253258421e-09, 2.616847842009327e-14, 1.4694442630656992e-07, 1.3957010983208391e-06, 9.688278425920662e-09, 0.00031291783837903114, 1.119884400499715e-06, 0.999653833665806, 3.0570597078130956e-05]"
2,11,"[2.170280401721193e-12, 7.807018478856095e-20, 3.436969381042728e-12, 3.6390441553659917e-10, 8.496571739015154e-09, 7.394706591175556e-06, 9.324175322550172e-14, 0.9999923313523201, 2.650749119992787e-07]"
3,11,"[3.956583357391236e-08, 2.3024610325553527e-12, 0.0018495547254871114, 7.091886184476013e-08, 9.000076807144189e-06, 3.5170690918252834e-11, 1.3345528821541425e-06, 0.9981204359949308, 1.956412772404575e-05]"
4,11,"[1.3706772182102547e-13, 2.0663993927886352e-22, 1.4371540184514118e-13, 1.5756814593171532e-10, 2.4633945998494425e-10, 5.404239665871658e-06, 5.791044532996206e-14, 0.9999944803957211, 1.1496036671326965e-07]"
5,6,"[2.2710794438381223e-07, 1.0488973005615524e-10, 0.9999986405414032, 2.930382674857927e-09, 7.014450575207854e-07, 2.6833315454673703e-16, 8.892058565055591e-08, 3.297088306749182e-07, 9.240905962438451e-09]"
6,11,"[6.7229725919163624e-15, 7.201630073088815e-20, 5.491574441125733e-13, 2.264484544469142e-11, 4.637401110384604e-10, 1.74382858379331e-07, 5.718756442851961e-15, 0.9999997847569052, 4.037328976533582e-08]"
7,11,"[4.600512002128808e-09, 8.247935479559705e-22, 2.554346488056324e-11, 8.584831166644238e-08, 3.227479091053192e-05, 0.0005430767819116005, 2.2977719715375347e-10, 0.9994218450987057, 2.712624327891316e-06]"
8,10,"[2.1921775937706767e-07, 5.659289755652349e-12, 2.455583214713418e-11, 1.5112403603749783e-07, 2.3361834024628516e-09, 7.308188812287848e-08, 0.9999995520984769, 2.2637073773316963e-13, 2.1112147017245835e-09]"
9,11,"[1.521281505059538e-10, 3.2268287120624517e-18, 5.474549723052673e-09, 2.6702754473038207e-08, 7.031248635898227e-08, 5.4839355041439283e-05, 2.9499622909028416e-10, 0.9999379278066408, 7.129901402603431e-06]"
10,6,"[0.00022462258678435877, 0.004119004854757404, 0.9950589740402657, 4.941113122830573e-05, 0.00014981973101129206, 2.6785912729387782e-06, 0.0002147058498603954, 6.8799721730242e-05, 0.00011198349308931318]"
11,11,"[9.597221428764263e-11, 3.593330483650839e-20, 2.1984826187169238e-10, 5.2199932233821356e-08, 2.8774202937163286e-08, 0.0001006131044136291, 1.2066729234047878e-10, 0.9998987274807286, 5.780042348295864e-07]"
12,11,"[5.5094014413969375e-15, 1.2825559556057111e-23, 2.2721471918948366e-14, 6.7290916554812216e-12, 9.454943900296581e-12, 1.2475470928534556e-06, 6.596522785374985e-16, 0.9999987428042632, 9.632431276185343e-09]"
13,11,"[1.7900692592459726e-14, 1.5961597239738877e-22, 8.486194293317528e-14, 2.325749491814725e-11, 9.779997378116167e-12, 8.076072770666544e-06, 6.67108312723952e-15, 0.9999918922981255, 3.1595956956637e-08]"
14,11,"[3.475755485264922e-13, 4.473157254796416e-18, 3.094086699291375e-11, 1.5236808234271866e-10, 2.4781271426679987e-10, 1.3127020957501616e-06, 6.589730747224899e-12, 0.9999985081686575, 1.7869118742700308e-07]"
15,11,"[2.5105579041110304e-12, 6.839273998215202e-19, 9.762017385797485e-11, 4.102245013349233e-11, 9.085635440331696e-09, 1.5066242888623564e-08, 8.027662613862326e-10, 0.999999810242868, 1.6466133406426573e-07]"
16,11,"[1.4974863725392621e-12, 2.0735792042361222e-21, 4.031994750122262e-13, 1.962119062720239e-09, 2.816853812717754e-09, 9.10658943019001e-05, 9.89810741323298e-13, 0.999908001573362, 9.277504727823197e-07]"
17,9,"[4.5905961483262136e-05, 6.23215388144382e-16, 1.1685667892306909e-08, 0.0012560910525141278, 0.003627308901484436, 0.994195735942732, 0.0007162076813931984, 0.00012914911408454293, 2.9589660639689073e-05]"
18,6,"[6.36356066889544e-05, 1.007876822834825e-11, 0.9977778560492799, 3.846185834221133e-07, 0.0021562363196704986, 7.244640982206124e-14, 1.527692547239725e-06, 1.9943975617395304e-07, 1.6026332241719355e-07]"
19,11,"[8.811548704342505e-10, 1.4768769253499432e-21, 4.2301576674820245e-12, 1.5149418000607535e-07, 1.142378008362385e-05, 0.007584002681380978, 1.2304167147457113e-10, 0.992397949813094, 6.47122283488646e-06]"
20,6,"[0.011590866116426147, 4.00214897757442e-12, 0.9865709464789962, 0.0004630211512477343, 0.0006069126214864516, 3.521817459629055e-08, 9.546672538010447e-06, 0.000733556641913637, 2.5115095214871838e-05]"
21,8,"[0.0037243854255533033, 7.216644195169106e-13, 1.0311195512799218e-07, 0.004973158852879271, 0.9842890759483054, 7.839824507071282e-05, 0.0066192002594727805, 4.264544149704058e-07, 0.0003152517016266891]"
22,11,"[1.4511474665318755e-06, 5.356250430250084e-15, 9.88104486450234e-06, 0.00019880349585465803, 2.8605545811606193e-05, 1.5408469617572032e-05, 3.164369759762644e-06, 0.9997227507595031, 1.993516711677435e-05]"
23,6,"[8.295852965342724e-08, 3.0970371107609767e-10, 0.9999996487436659, 1.5022470314119862e-09, 1.2840612462465587e-07, 8.934400079299034e-17, 2.4003095704119107e-08, 1.110140718019414e-07, 3.062561642923216e-09]"
24,11,"[3.466098321354042e-13, 4.148440994139216e-20, 8.484725134303923e-13, 6.769709417093279e-10, 2.571799259441982e-10, 4.305094961432887e-05, 1.994955888717307e-12, 0.9999560097348595, 9.383781850455426e-07]"
25,8,"[4.467261062821131e-07, 5.908952082155936e-19, 1.3791647214944297e-09, 5.923004901424879e-05, 0.9990365812402144, 0.0005580516801267981, 8.999262126397917e-06, 3.0881009450635706e-05, 0.0003058086537966555]"
26,11,"[2.2074568446454806e-05, 3.483829392628129e-18, 6.195139160261146e-08, 1.4877977031361962e-05, 0.00040709281055307964, 0.0001691890771498078, 6.739856509688182e-06, 0.9993695319798348, 1.0431779083331562e-05]"
27,4,"[8.508607624234876e-12, 0.9999501554901009, 7.536143160120682e-07, 3.08175114542999e-09, 6.795057431366307e-07, 4.452324636364409e-06, 7.959192086309897e-10, 4.393147523062142e-05, 2.3703794189969336e-08]"
