,cluster_id,cluster_pred
0,7,4
1,7,2
2,5,7
3,7,3
4,3,7
5,3,2
6,1,0
7,8,8
8,0,4
9,6,7
10,5,7
11,7,3
12,6,3
13,7,6
14,7,6
15,3,3
16,6,8
17,8,0
18,1,0
19,6,8
20,2,3
21,1,4
22,5,8
23,7,1
24,6,8
25,7,3
26,3,3
27,2,2
28,1,5
29,1,7
30,7,3
31,6,4
32,6,3
33,6,3
34,7,5
35,1,1
36,1,6
37,8,3
38,8,0
39,8,7
40,1,0
41,1,4
42,8,3
43,8,6
44,8,7
45,8,8
46,5,1
47,8,7
48,7,4
49,4,0
50,5,7
51,7,8
52,7,4
53,3,5
54,1,0
55,8,8
56,6,7
57,3,3
58,7,5
59,5,3
60,2,3
61,6,4
62,0,7
63,7,6
64,6,7
65,7,7
66,7,3
67,7,5
68,2,3
69,2,8
70,8,8
71,7,3
72,3,7
73,1,6
74,6,7
75,7,0
76,3,4
77,5,8
78,6,3
79,6,3
80,5,3
81,8,4
82,4,5
83,7,3
84,8,7
85,7,5
86,1,3
87,8,7
88,6,8
89,0,8
90,6,4
91,5,5
92,0,3
93,6,8
94,7,7
95,2,3
96,5,3
97,7,3
98,5,5
99,2,3
100,6,7
101,8,8
102,7,1
103,6,3
104,5,3
105,2,7
106,8,1
107,6,1
108,1,1
109,2,2
110,1,0
111,2,7
112,5,7
113,6,4
114,5,3
115,7,3
116,7,5
117,2,8
118,2,8
119,1,5
120,6,7
121,8,7
122,8,8
123,6,7
124,0,3
125,3,3
126,7,5
127,1,3
128,1,7
129,6,4
130,2,4
131,7,7
132,8,7
133,7,3
134,7,4
135,1,0
136,7,4
137,8,8
138,7,7
139,7,4
140,5,7
141,2,4
142,2,7
143,2,7
144,8,4
145,7,8
146,2,3
147,5,7
148,2,3
149,1,7
150,2,3
151,5,7
152,7,3
153,2,4
154,7,0
155,6,3
156,1,5
157,3,7
158,1,7
159,6,3
160,0,3
161,7,7
162,6,8
163,6,8
164,1,7
165,5,0
166,2,7
167,0,7
168,2,8
169,1,4
170,7,8
171,7,1
172,1,3
173,3,3
174,3,3
175,3,5
176,8,4
177,8,3
178,0,7
179,7,3
180,5,4
181,8,4
182,1,3
183,7,8
184,6,0
185,8,8
186,2,3
187,8,7
188,1,8
189,5,7
190,2,3
191,6,7
192,7,3
193,7,0
194,7,7
195,2,3
196,2,8
197,1,5
198,7,4
199,7,0
200,7,4
201,6,7
202,2,7
203,5,3
204,4,0
205,3,1
206,6,4
207,6,7
208,4,0
209,3,8
210,1,7
211,1,0
212,7,3
213,2,7
214,7,3
215,2,4
216,7,4
217,2,4
218,7,2
219,2,7
220,2,4
221,0,6
222,1,8
223,3,8
224,8,7
225,6,7
226,0,8
227,1,7
228,1,5
229,1,7
230,7,4
231,4,3
232,1,6
233,8,7
234,7,3
235,2,7
236,1,8
237,8,4
238,7,3
239,0,8
240,0,7
241,8,4
242,1,0
243,2,3
244,2,8
245,6,7
246,5,3
247,3,4
248,2,8
249,7,4
250,8,7
251,0,3
252,1,7
253,6,7
254,7,3
255,5,0
256,2,2
257,8,7
258,1,6
259,1,0
260,8,4
261,1,8
262,8,4
263,7,5
264,3,7
265,5,7
266,6,3
267,8,7
268,7,8
269,8,3
270,4,3
271,6,7
272,2,0
273,7,5
274,3,3
275,8,2
276,7,3
277,7,3
278,6,7
279,7,4
280,3,4
281,5,7
282,8,8
283,0,4
284,3,0
285,8,4
286,7,7
287,2,3
288,8,5
289,7,7
290,4,3
