,cluster_id,cluster_thp
0,7,3
1,7,5
2,5,4
3,7,7
4,3,4
5,3,1
6,1,3
7,8,2
8,0,3
9,6,7
10,5,8
11,7,7
12,6,7
13,7,5
14,7,0
15,3,7
16,6,1
17,8,2
18,1,4
19,6,1
20,2,7
21,1,4
22,5,1
23,7,8
24,6,8
25,7,7
26,3,7
27,2,5
28,1,7
29,1,8
30,7,4
31,6,3
32,6,7
33,6,4
34,7,4
35,1,8
36,1,5
37,8,7
38,8,4
39,8,7
40,1,3
41,1,3
42,8,4
43,8,6
44,8,7
45,8,8
46,5,2
47,8,4
48,7,4
49,4,3
50,5,7
51,7,8
52,7,4
53,3,7
54,1,2
55,8,1
56,6,4
57,3,7
58,7,4
59,5,7
60,2,4
61,6,4
62,0,4
63,7,6
64,6,7
65,7,4
66,7,4
67,7,4
68,2,7
69,2,8
70,8,8
71,7,4
72,3,4
73,1,1
74,6,8
75,7,3
76,3,3
77,5,1
78,6,7
79,6,4
80,5,7
81,8,3
82,4,7
83,7,7
84,8,4
85,7,4
86,1,7
87,8,1
88,6,5
89,0,0
90,6,4
91,5,4
92,0,7
93,6,8
94,7,4
95,2,7
96,5,7
97,7,4
98,5,7
99,2,7
100,6,3
101,8,8
102,7,8
103,6,4
104,5,4
105,2,7
106,8,8
107,6,8
108,1,8
109,2,1
110,1,3
111,2,7
112,5,4
113,6,3
114,5,4
115,7,7
116,7,7
117,2,4
118,2,8
119,1,7
120,6,8
121,8,4
122,8,1
123,6,7
124,0,7
125,3,4
126,7,7
127,1,7
128,1,4
129,6,3
130,2,4
131,7,4
132,8,4
133,7,7
134,7,3
135,1,4
136,7,3
137,8,8
138,7,3
139,7,4
140,5,8
141,2,3
142,2,4
143,2,4
144,8,3
145,7,2
146,2,4
147,5,4
148,2,7
149,1,4
150,2,7
151,5,7
152,7,7
153,2,4
154,7,2
155,6,4
156,1,4
157,3,4
158,1,4
159,6,7
160,0,7
161,7,2
162,6,1
163,6,1
164,1,4
165,5,4
166,2,7
167,0,4
168,2,8
169,1,4
170,7,1
171,7,8
172,1,4
173,3,7
174,3,7
175,3,7
176,8,3
177,8,4
178,0,7
179,7,4
180,5,3
181,8,3
182,1,4
183,7,5
184,6,3
185,8,1
186,2,7
187,8,4
188,1,8
189,5,4
190,2,4
191,6,2
192,7,7
193,7,2
194,7,3
195,2,7
196,2,8
197,1,4
198,7,3
199,7,3
200,7,3
201,6,4
202,2,4
203,5,7
204,4,3
205,3,8
206,6,3
207,6,1
208,4,3
209,3,5
210,1,4
211,1,2
212,7,4
213,2,3
214,7,7
215,2,3
216,7,2
217,2,2
218,7,6
219,2,4
220,2,4
221,0,6
222,1,1
223,3,1
224,8,1
225,6,4
226,0,8
227,1,5
228,1,4
229,1,1
230,7,4
231,4,4
232,1,1
233,8,1
234,7,7
235,2,4
236,1,1
237,8,4
238,7,7
239,0,2
240,0,4
241,8,3
242,1,4
243,2,7
244,2,8
245,6,7
246,5,7
247,3,3
248,2,1
249,7,3
250,8,4
251,0,7
252,1,4
253,6,7
254,7,4
255,5,3
256,2,7
257,8,1
258,1,3
259,1,7
260,8,7
261,1,8
262,8,1
263,7,6
264,3,1
265,5,6
266,6,6
267,8,1
268,7,7
269,8,1
270,4,6
271,6,2
272,2,4
273,7,5
274,3,1
275,8,7
276,7,2
277,7,6
278,6,3
279,7,7
280,3,7
281,5,1
282,8,3
283,0,7
284,3,7
285,8,7
286,7,5
287,2,1
288,8,6
289,7,3
290,4,1
291,7,6
292,2,7
293,1,1
294,7,1
295,2,6
296,6,4
297,2,2
298,7,1
299,3,6
300,2,1
301,7,7
302,2,6
303,3,7
304,6,0
305,3,1
306,3,1
307,6,6
308,6,6
309,5,1
310,2,7
311,8,7
312,5,6
313,1,0
314,5,3
315,2,3
316,3,1
317,3,6
318,6,6
319,8,7
320,3,1
321,8,3
322,8,1
323,7,4
324,0,6
325,2,1
326,1,0
327,8,1
328,1,3
329,5,2
330,2,6
331,0,1
332,7,1
333,6,1
334,3,6
335,0,1
336,2,6
337,7,7
338,3,6
339,6,1
340,2,6
341,8,7
342,7,6
343,7,1
344,3,6
345,7,6
346,0,1
347,6,6
348,2,7
349,2,6
350,8,3
351,5,7
352,3,6
353,3,6
354,8,7
355,5,6
356,3,6
357,7,6
358,6,1
359,1,7
360,3,2
361,7,0
362,5,1
363,2,6
364,5,1
365,6,1
366,8,1
367,6,3
368,6,7
369,1,7
370,2,6
371,6,1
372,7,7
373,7,1
374,2,2
375,7,3
376,7,7
377,5,6
378,3,0
379,7,6
380,8,7
381,3,7
382,3,1
383,8,7
384,5,6
385,4,1
386,7,6
387,8,7
388,2,7
389,7,2
390,6,6
391,6,1
392,1,3
393,8,1
394,8,7
395,2,7
396,5,2
397,3,1
398,7,1
399,1,3
400,4,3
401,1,3
402,3,3
403,2,1
404,8,7
405,2,7
406,8,1
407,7,1
408,1,1
409,1,7
410,2,1
411,8,2
412,8,1
413,2,7
414,7,1
415,0,2
416,3,4
417,8,7
418,6,3
419,5,6
420,8,3
421,8,1
422,2,1
423,8,7
424,3,6
425,4,7
426,6,7
427,2,7
428,4,7
429,2,0
430,6,3
431,3,6
432,8,1
433,3,7
434,4,7
435,2,2
436,8,7
437,4,1
438,7,1
439,1,4
440,7,6
441,0,7
442,3,1
443,3,1
444,7,5
445,7,6
446,0,1
447,7,6
448,7,5
449,4,1
450,6,6
451,1,3
452,2,7
453,1,7
454,6,7
455,5,3
456,7,7
457,3,7
458,6,6
459,2,1
460,6,3
461,3,6
462,0,7
463,2,1
464,8,1
465,8,2
466,2,1
467,3,6
468,8,1
469,3,5
470,0,7
471,8,1
472,4,1
473,8,3
474,1,7
475,3,6
476,1,5
477,6,4
478,7,3
479,2,7
480,3,3
481,5,6
482,3,1
483,2,7
484,6,1
485,6,1
486,6,7
487,8,1
488,2,1
489,7,1
490,4,7
491,8,7
492,8,1
493,6,1
494,6,1
495,5,6
496,8,1
497,2,3
498,1,1
499,1,3
500,1,1
501,1,4
502,4,3
503,8,7
504,7,1
505,6,6
506,7,8
507,7,7
508,2,1
509,6,0
510,3,1
511,7,1
512,0,1
513,8,7
514,8,8
515,8,8
516,6,0
517,3,8
518,1,7
519,1,7
520,3,8
521,2,2
522,5,1
523,4,2
524,3,1
525,4,3
526,8,2
527,8,8
528,2,7
529,3,8
530,8,8
531,5,5
532,7,8
533,8,7
534,8,5
535,2,8
536,8,1
537,3,2
538,3,3
539,4,2
540,1,7
541,0,8
542,7,8
543,7,5
544,7,7
545,8,8
546,1,8
547,4,7
548,6,1
549,2,5
550,6,8
551,8,1
552,2,8
553,2,8
554,2,1
555,7,8
556,6,2
557,4,8
558,2,7
559,0,8
560,8,8
561,7,1
562,1,1
563,6,8
564,4,8
565,7,7
566,8,5
567,4,8
568,7,7
569,1,7
570,7,1
571,6,6
572,7,2
573,0,6
574,6,3
575,2,7
576,3,7
577,2,7
578,2,8
579,8,5
580,2,8
581,6,1
582,8,8
583,3,8
584,8,8
585,2,8
586,7,2
587,1,6
588,1,7
589,1,2
590,2,1
591,7,1
592,3,6
593,8,7
594,0,4
595,7,2
596,2,8
597,3,1
598,7,8
599,7,4
600,6,2
601,7,3
602,3,3
603,4,8
604,7,8
605,1,2
606,6,8
607,2,8
608,7,8
609,8,7
610,3,1
611,8,3
612,2,3
613,8,6
614,6,6
615,8,8
616,2,1
617,2,6
618,7,8
619,8,8
620,7,8
621,8,6
622,2,1
623,6,7
624,1,7
625,1,2
626,8,8
627,6,2
628,7,8
629,4,8
630,0,3
631,7,8
632,0,7
633,2,1
634,4,8
635,7,0
636,6,6
637,8,7
638,8,8
639,2,2
640,8,8
641,4,3
642,5,8
643,3,1
644,7,8
645,8,1
646,8,8
647,3,8
648,8,2
649,6,3
650,7,6
651,6,6
652,3,8
653,1,8
654,2,2
655,2,1
656,5,7
657,1,8
658,6,1
659,4,7
660,8,8
661,8,8
662,2,8
663,8,8
664,2,6
665,7,0
666,7,8
667,6,7
668,8,8
669,0,2
670,3,7
671,2,1
672,8,1
673,8,8
674,8,8
675,3,0
676,3,6
677,7,3
678,4,8
679,7,0
680,6,8
681,7,7
682,0,8
683,2,8
684,8,8
685,8,8
686,2,8
687,3,1
688,7,2
689,1,8
690,6,7
691,1,6
692,7,7
693,2,8
694,1,8
695,1,7
696,8,5
697,6,8
698,2,1
699,5,8
700,1,2
701,7,8
702,6,3
703,7,8
704,3,8
705,7,2
706,7,0
707,1,8
708,3,5
709,2,8
710,7,0
711,7,8
712,2,8
713,3,2
714,3,5
715,7,8
716,7,5
717,5,2
718,3,1
719,7,8
720,6,1
721,1,0
722,1,1
723,1,8
724,2,8
725,5,1
726,7,8
727,5,2
728,5,2
729,5,2
730,2,2
731,2,2
732,1,8
733,6,8
734,0,8
735,7,8
736,2,1
737,5,8
738,8,8
739,6,2
740,7,2
741,7,8
742,0,7
743,4,6
744,4,2
745,8,8
746,4,3
747,0,7
748,1,8
749,2,2
750,2,8
751,2,1
752,8,2
753,1,7
754,7,5
755,1,8
756,8,7
757,3,2
758,7,7
759,7,3
760,7,1
761,0,5
762,7,8
763,1,8
764,8,2
765,7,1
766,7,6
767,7,2
768,0,6
769,3,8
770,2,8
771,2,2
772,2,4
773,3,6
774,8,4
775,1,8
776,8,1
777,8,4
778,8,0
779,7,0
780,8,8
781,6,4
782,6,3
783,7,0
784,4,8
785,8,8
786,2,6
787,7,5
788,6,5
789,8,8
790,1,1
791,2,1
792,7,4
793,6,5
794,0,7
795,0,7
796,6,0
797,6,8
798,2,0
799,8,4
800,5,3
801,8,8
802,7,6
803,3,4
804,6,6
805,4,6
806,2,5
807,5,8
808,2,0
809,7,6
810,3,4
811,1,0
812,1,8
813,2,1
814,8,0
815,2,6
816,8,8
817,2,1
818,7,8
819,1,8
820,8,4
821,7,3
822,7,8
823,1,8
824,8,4
825,0,8
826,3,8
827,8,8
828,2,0
829,0,8
830,3,1
831,5,3
832,7,4
833,8,5
834,2,6
835,6,3
836,7,8
837,7,4
838,8,3
839,0,5
840,8,4
841,7,8
842,7,7
843,2,1
844,7,8
845,1,1
846,1,4
847,6,8
848,2,8
849,5,5
850,7,5
851,4,4
852,6,8
853,3,1
854,7,6
855,6,3
856,7,6
857,1,3
858,7,4
859,7,8
860,8,0
861,1,8
862,5,8
863,3,1
864,8,6
865,7,8
866,0,8
867,5,1
868,6,8
869,7,8
870,8,6
871,7,8
872,5,8
873,0,8
874,7,7
875,7,3
876,2,8
877,7,5
878,2,5
879,2,6
880,5,1
881,8,0
882,0,1
883,2,8
884,1,1
885,7,4
886,6,1
887,7,8
888,7,6
889,3,6
890,0,8
891,3,4
892,8,5
893,7,8
894,6,6
895,8,1
896,3,8
897,0,6
898,7,1
899,0,8
900,8,1
901,8,8
902,6,5
903,7,6
904,4,1
905,5,3
906,2,8
907,6,0
908,0,6
909,0,6
910,3,8
911,1,8
912,8,8
913,7,1
914,7,4
915,7,8
916,5,6
917,5,5
918,1,0
919,2,4
920,1,3
921,7,6
922,6,4
923,6,6
924,1,5
925,1,8
926,5,1
927,4,0
928,2,0
929,2,6
930,8,8
931,6,7
932,3,8
933,8,8
934,7,8
935,4,0
936,2,8
937,2,1
938,6,6
939,4,4
940,4,6
941,7,5
942,4,1
943,7,8
944,0,6
945,6,8
946,3,1
947,4,5
948,6,8
949,3,1
950,6,0
951,6,8
952,6,1
953,8,4
954,8,8
955,1,8
956,8,8
957,5,6
958,7,5
959,1,8
960,2,8
961,2,6
962,6,6
963,1,3
964,2,1
965,8,8
966,2,8
967,8,0
968,5,4
969,2,3
970,6,0
