,cluster_id,cluster_thp
0,2,3
1,4,4
2,2,3
3,2,6
4,2,3
5,2,4
6,5,8
7,2,6
8,4,6
9,2,3
10,4,8
11,2,3
12,2,4
13,2,0
14,2,3
15,2,7
16,2,0
17,2,3
18,2,4
19,2,0
20,2,3
21,2,3
22,2,3
23,2,3
24,2,3
25,2,3
26,2,3
27,2,6
28,2,3
29,2,3
30,2,8
31,2,8
32,2,3
33,4,3
34,2,3
35,5,3
36,2,3
37,4,1
38,2,3
39,2,0
40,2,8
41,2,8
42,2,3
43,2,2
44,2,8
45,2,3
46,2,3
47,2,6
48,2,6
49,4,3
50,2,3
51,4,6
52,2,3
53,2,4
54,2,0
55,2,8
56,2,3
57,2,8
58,5,0
59,2,4
60,2,4
61,2,5
62,2,3
63,2,0
64,2,6
65,2,1
66,4,8
67,2,1
68,4,2
69,4,1
70,2,2
71,0,2
72,2,6
73,2,1
74,2,4
75,2,1
76,2,8
77,2,0
78,2,1
79,2,1
80,2,2
81,2,0
82,2,1
83,2,1
84,2,7
85,2,0
86,2,0
87,2,8
88,2,0
89,2,1
90,2,1
91,2,6
92,2,1
93,2,2
94,2,5
95,2,6
96,2,2
97,2,1
98,1,6
99,2,6
100,2,8
101,2,1
102,2,1
103,2,2
104,2,8
105,2,1
106,2,1
107,2,1
108,2,2
109,5,1
110,2,2
111,2,1
112,4,2
113,2,6
114,2,0
115,2,6
116,2,0
117,2,1
118,2,0
119,2,2
120,2,1
121,2,3
122,4,2
123,4,6
124,2,1
125,2,1
126,2,2
127,2,2
128,2,3
129,2,7
130,4,4
131,2,3
132,2,6
133,2,0
134,2,4
135,2,2
136,2,1
137,4,3
138,2,4
139,2,3
140,2,4
141,2,2
142,2,4
143,2,4
144,2,4
145,2,3
146,2,4
147,4,4
148,2,3
149,2,3
150,2,4
151,4,6
152,2,3
153,2,4
154,2,2
155,2,4
156,2,4
157,2,7
158,2,4
159,2,4
160,2,4
161,2,2
162,2,1
163,4,4
164,2,4
165,2,7
166,2,7
167,2,4
168,2,1
169,2,4
170,2,3
171,2,2
172,2,7
173,2,5
174,2,8
175,2,4
176,2,4
177,2,4
178,4,4
179,2,3
180,2,3
181,2,2
182,2,2
183,2,3
184,2,3
185,2,3
186,2,3
187,2,3
188,2,4
189,2,3
190,2,4
191,2,3
192,2,6
193,4,4
194,4,8
195,2,2
196,2,1
197,2,4
198,2,1
199,2,0
200,2,8
201,2,8
202,2,8
203,2,6
204,2,6
205,2,8
206,2,3
207,2,6
208,2,5
209,4,1
210,2,3
211,2,0
212,5,5
213,2,6
214,2,1
215,2,3
216,2,8
217,2,8
218,2,6
219,4,2
220,2,3
221,2,7
222,4,8
223,2,6
224,2,0
225,2,6
226,2,6
227,2,5
228,2,3
229,2,8
230,2,8
231,2,5
232,4,8
233,2,8
234,2,3
235,2,5
236,2,6
237,4,6
238,2,6
239,2,6
240,2,2
241,2,5
242,2,6
243,2,2
244,2,8
245,2,2
246,2,0
247,2,2
248,2,8
249,4,5
250,2,2
251,4,5
252,2,5
253,2,1
254,2,2
255,2,5
256,2,3
257,2,3
258,2,4
259,2,3
260,2,0
261,2,0
262,2,4
263,2,4
264,2,3
265,2,3
266,2,0
267,2,3
268,2,6
269,2,3
270,2,0
271,2,4
272,4,8
273,2,3
274,2,3
275,2,0
276,2,3
277,2,3
278,2,4
279,2,0
280,2,4
281,4,5
282,2,0
283,2,8
284,4,6
285,2,3
286,2,6
287,2,4
288,2,6
289,2,3
290,2,0
291,2,4
292,2,4
293,2,3
294,2,2
295,2,3
296,2,7
297,2,6
298,2,0
299,2,4
300,4,8
301,2,8
302,2,4
303,2,1
304,2,3
305,2,8
306,2,3
307,2,0
308,2,3
309,2,3
310,2,3
311,2,3
312,4,6
313,2,3
314,2,8
315,2,3
316,2,3
317,2,0
318,2,3
319,2,3
320,2,6
321,2,6
322,2,4
323,2,7
324,2,6
325,2,6
326,2,2
327,2,7
328,2,4
329,2,7
330,2,6
331,2,2
332,2,4
333,2,0
334,2,6
335,2,1
336,2,6
337,4,4
338,4,6
339,2,6
340,2,7
341,2,6
342,2,3
343,2,2
344,2,2
345,2,7
346,4,5
347,2,6
348,2,4
349,2,3
350,4,3
351,2,6
352,2,5
353,2,1
354,4,2
355,2,6
356,2,6
357,2,3
358,4,8
359,2,1
360,2,7
361,2,4
362,2,4
363,2,5
364,2,1
365,2,4
366,2,6
367,4,3
368,2,1
369,2,8
370,2,8
371,2,7
372,2,6
373,2,4
374,4,6
375,2,4
376,4,5
377,2,4
378,4,3
379,2,5
380,2,7
381,2,1
382,2,1
383,2,5
384,2,8
385,2,3
386,2,8
387,2,6
388,2,1
389,2,8
390,2,2
391,2,1
392,2,8
393,2,3
394,2,8
395,2,3
396,2,6
397,2,5
398,2,7
399,2,3
400,2,5
401,2,4
402,2,3
403,4,5
404,2,5
405,2,3
406,2,2
407,2,8
408,2,3
409,2,3
410,2,8
411,2,5
412,2,6
413,2,3
414,2,1
415,2,3
416,2,8
417,2,1
418,2,6
419,2,8
420,2,1
421,2,8
422,4,1
423,2,2
424,2,2
425,2,6
426,2,1
427,2,3
428,2,2
429,2,0
430,2,1
431,2,3
432,2,5
433,2,5
434,2,3
435,2,3
436,4,3
437,2,3
438,4,8
439,2,1
440,4,3
441,2,3
442,2,1
443,2,6
444,2,3
445,5,3
446,2,1
447,2,1
448,2,2
449,4,2
450,2,4
451,4,2
452,2,5
453,2,0
454,2,3
455,2,4
456,2,0
457,2,4
458,4,3
459,2,2
460,2,1
461,2,7
462,2,4
463,2,2
464,2,2
465,2,2
466,2,2
467,4,2
468,5,4
469,2,2
470,2,3
471,2,4
472,2,3
473,4,2
474,2,0
475,2,6
476,2,0
477,2,0
478,2,2
479,2,2
480,2,2
481,2,0
482,5,2
483,2,5
484,2,5
485,2,3
486,2,2
487,4,2
488,2,2
489,2,5
490,2,4
491,2,4
492,2,2
493,2,0
494,2,5
495,2,5
496,2,5
497,2,5
498,5,8
499,2,4
500,2,2
501,2,2
502,2,0
503,2,4
504,2,2
505,2,2
506,2,3
507,2,4
508,2,2
509,2,0
510,2,2
511,2,2
512,2,1
513,2,3
514,4,1
515,2,6
516,2,6
517,2,2
518,2,8
519,2,2
520,2,1
521,2,4
522,2,4
523,2,7
524,2,4
525,2,7
526,2,2
527,2,3
528,2,1
529,2,6
530,2,6
531,2,3
532,2,6
533,2,5
534,2,4
535,5,3
536,2,5
537,5,6
538,2,5
539,2,1
540,2,1
541,2,2
542,2,6
543,2,4
544,2,6
545,0,1
546,2,6
547,2,3
548,2,2
549,2,5
550,2,1
551,5,3
552,2,2
553,5,8
554,2,8
555,4,6
556,2,6
557,2,2
558,2,4
559,2,3
560,2,3
561,2,6
562,2,3
563,2,2
564,2,0
565,2,2
566,4,1
567,2,2
568,4,5
569,2,2
570,2,1
571,2,5
572,2,6
573,2,2
574,4,6
575,5,3
576,2,6
577,2,4
578,2,3
579,2,8
580,4,8
581,2,8
582,4,8
583,4,2
584,2,5
585,2,2
586,2,8
587,4,2
588,2,2
589,2,2
590,2,2
591,2,2
592,4,8
593,2,2
594,2,6
595,2,2
596,2,8
597,2,8
598,2,2
599,2,8
600,4,2
601,2,2
602,2,2
603,2,2
604,2,2
605,2,2
606,4,2
607,2,2
