,event_id,event_pred
0,3,"[0.12465431548474114, 0.3528969496468759, 0.3137270446397154, 0.07716689627328133, 0.1315547939553864]"
1,3,"[0.14242080385242814, 0.21442533463496066, 0.2950607247165911, 0.027284541369538163, 0.3208085954264819]"
2,1,"[0.19825564739784474, 0.3257739386644484, 0.19676881749504094, 0.005091055257733641, 0.27411054118493233]"
3,2,"[0.18668155709491174, 0.5086142618143341, 0.21713776517088268, 0.03487166173275286, 0.05269475418711851]"
4,4,"[0.16868840755794554, 0.23395435297678865, 0.1712850809564699, 0.15198325331052737, 0.2740889051982685]"
5,0,"[0.2669430129815018, 0.37814806987797095, 0.19215932675798922, 0.0316967944925051, 0.13105279589003296]"
6,1,"[0.19884437327544235, 0.26456420328229946, 0.18121930997044794, 0.0835652062420703, 0.27180690722974]"
7,1,"[0.11941364554872748, 0.2944589051070677, 0.2875059784168753, 0.10943269741088998, 0.1891887735164396]"
8,3,"[0.12880705536076925, 0.35671567773483887, 0.23453151506047507, 0.16619132745461324, 0.11375442438930351]"
9,2,"[0.19884073907055594, 0.31517735929363166, 0.2479935635272081, 0.004121414566948402, 0.23386692354165575]"
10,4,"[0.19619688155539833, 0.3086112788676352, 0.20676202601474314, 0.0072393781819968615, 0.28119043538022653]"
11,1,"[0.19244763577955892, 0.3139344543245542, 0.26160368436427384, 0.004164516733748684, 0.22784970879786445]"
12,2,"[0.17469439948777526, 0.20147135721695114, 0.30045235593192016, 0.0892513228928333, 0.23413056447052014]"
13,0,"[0.19518000562187077, 0.42571789437703456, 0.18088272343801637, 0.001737738051401031, 0.19648163851167738]"
14,4,"[0.10549796810195211, 0.5069364935170239, 0.29230872299701816, 0.018446160350912087, 0.07681065503309367]"
15,1,"[0.16676695132449476, 0.20702106536095882, 0.20058289823487255, 0.15963780349608744, 0.2659912815835864]"
16,2,"[0.19378687787205556, 0.2998863987978757, 0.23339046644903802, 0.006852369671378224, 0.2660838872096523]"
17,4,"[0.19947180244763327, 0.31094441545700385, 0.1910982797353984, 0.007769935571248028, 0.2907155667887165]"
18,1,"[0.10805090719862961, 0.4929201525344259, 0.3132440497585225, 0.018946975703329514, 0.06683791480509259]"
19,1,"[0.21213572113582485, 0.3216929276809756, 0.19385428401754098, 0.051930882066896215, 0.2203861850987623]"
20,1,"[0.0060972876382631635, 0.25173735801241665, 0.7290687178498749, 0.0007617158198287791, 0.01233492067961654]"
21,3,"[0.19691879588106048, 0.2553321442765043, 0.1859514104558575, 0.11635596288538964, 0.24544168650118814]"
22,1,"[0.07667663722106201, 0.27470848571539713, 0.48175033123727784, 0.06420214955197548, 0.10266239627428748]"
23,4,"[0.20083517051610572, 0.3282914532034854, 0.18614646335784024, 0.006886341796090794, 0.27784057112647786]"
24,2,"[0.19753526426241075, 0.3362802256993457, 0.21171712963982606, 0.004139942330116845, 0.2503274380683007]"
25,2,"[0.05710113303645928, 0.6339825650166162, 0.26188897826540186, 0.009640066712229447, 0.03738725696929306]"
26,2,"[0.12768454109625715, 0.15962520913586345, 0.44270406110211274, 0.1059078740971118, 0.16407831456865482]"
27,1,"[0.13869080942946976, 0.3514131848141936, 0.313867137628068, 0.016413590908368282, 0.17961527721990048]"
28,2,"[0.11304812898627488, 0.1697207074289961, 0.5316471987816246, 0.00414918020040663, 0.18143478460269796]"
29,0,"[0.12619660255726076, 0.38555338224037455, 0.3689288776325199, 0.04354591266901689, 0.0757752249008279]"
30,1,"[0.20970414893831635, 0.29171090869836536, 0.2180401677796703, 0.037676158846222135, 0.2428686157374259]"
31,2,"[0.12305194831912988, 0.25879950658609624, 0.26672123414193305, 0.14340043260605964, 0.20802687834678127]"
32,4,"[0.16548994445772744, 0.3448842396518534, 0.2641214576484578, 0.07775930590234643, 0.14774505233961488]"
33,4,"[0.03526697019339046, 0.5448937619021771, 0.36304088814496266, 0.0004575206833001668, 0.05634085907616971]"
34,2,"[0.1517668416161435, 0.24159312991146048, 0.39973007400030897, 0.00547195289278864, 0.20143800157929853]"
35,2,"[0.11154749081059276, 0.26391088931394335, 0.305806669349183, 0.12431885562615323, 0.1944160949001277]"
36,2,"[0.1645041820757136, 0.3289988916388767, 0.3303620171523641, 0.002430985446017788, 0.17370392368702794]"
37,1,"[0.20629894116490635, 0.2775073216616151, 0.18083968148169158, 0.06657247491701168, 0.2687815807747754]"
38,1,"[0.1523389237994155, 0.3064794144352951, 0.2305804480703317, 0.07781424243899285, 0.23278697125596493]"
39,3,"[0.20373376539265683, 0.25552393635777126, 0.21432078868914542, 0.060770607508718245, 0.26565090205170827]"
40,1,"[0.2014991562711804, 0.2881596103623214, 0.22556235045837875, 0.007484344139512575, 0.2772945387686068]"
41,2,"[0.1911075371565611, 0.3146202909042798, 0.25725944138494, 0.004471390946986509, 0.23254133960723247]"
42,1,"[0.19423664249438327, 0.26676518340774524, 0.21234155720297587, 0.010075833775090234, 0.3165807831198054]"
43,2,"[0.22532907954686346, 0.4091074291908252, 0.2134445242460804, 0.052373090284805614, 0.09974587673142549]"
44,1,"[0.18141098071352801, 0.21986342990881097, 0.23066216081334734, 0.1425967832868072, 0.2254666452775066]"
45,1,"[0.157846905807729, 0.2065921889106738, 0.2164720160507107, 0.1788573961372773, 0.24023149309360936]"
46,1,"[0.2010269582075034, 0.3423083821501853, 0.18741592624816444, 0.005780551810353494, 0.26346818158379337]"
47,0,"[0.18338176142061882, 0.27279075521475454, 0.27961198498880185, 0.06414392081208975, 0.20007157756373514]"
48,0,"[0.20144808716145352, 0.2712187679150931, 0.19584721125120882, 0.06856260409248119, 0.2629233295797633]"
49,1,"[0.20321218317211168, 0.25464257288421305, 0.17203629160873046, 0.11726941689467477, 0.25283953544027016]"
50,1,"[0.18923579404805194, 0.28212281039733156, 0.27395044296321064, 0.017277451635576473, 0.23741350095582944]"
51,1,"[0.19623342998936, 0.3077180464549213, 0.21338160643553217, 0.005247879080572022, 0.2774190380396146]"
52,2,"[0.1298025128911884, 0.2234401808705602, 0.20489291481779276, 0.22170595553982497, 0.22015843588063366]"
53,3,"[0.19399515867421446, 0.2483566973874676, 0.23137724124692263, 0.07508014935061065, 0.25119075334078467]"
54,0,"[0.20340633868762442, 0.25754724592841294, 0.18287587961564508, 0.10926329459736431, 0.24690724117095328]"
55,3,"[0.19625672318033682, 0.287509716150191, 0.18790852855178483, 0.01548862324087111, 0.31283640887681624]"
56,2,"[0.18833498498440096, 0.26972021368512733, 0.26754655079756734, 0.00771130917102068, 0.26668694136188364]"
57,1,"[0.2052106473890148, 0.24471420553809523, 0.23965741957337833, 0.11591708604051078, 0.19450064145900084]"
58,4,"[0.19609357512648506, 0.3026451172279773, 0.22429517055223067, 0.00692371116653337, 0.2700424259267736]"
59,1,"[0.1707060229289717, 0.2823772458542366, 0.312168338602778, 0.004857910603726898, 0.22989048201028678]"
60,2,"[0.18576093592613424, 0.25946539690587067, 0.23732213235836294, 0.07313936863519853, 0.2443121661744335]"
61,1,"[0.21356061909755047, 0.2619906884426517, 0.17596496676220155, 0.09429634639854356, 0.2541873792990527]"
62,0,"[0.20315402876753047, 0.3665464943670744, 0.17293102378382003, 0.004062171562811457, 0.25330628151876355]"
63,0,"[0.1748255220874475, 0.25145687763268826, 0.22198678034013494, 0.022855900802107688, 0.3288749191376217]"
64,1,"[0.19293067754868523, 0.2434240859196019, 0.17826834712529374, 0.13394315949474583, 0.2514337299116733]"
65,2,"[0.008350717637530298, 0.01107724681092021, 0.9689620515265621, 0.005108248198441517, 0.006501735826545676]"
66,1,"[0.19033137900438732, 0.2582068522347954, 0.19498391563159467, 0.11301627194877943, 0.2434615811804432]"
67,1,"[0.1359393338049284, 0.22671465392228196, 0.16218036311107542, 0.2331407524575525, 0.24202489670416166]"
68,4,"[0.20233536333626898, 0.2740972389501363, 0.19961680417152855, 0.06788742145992627, 0.2560631720821398]"
69,3,"[0.19320713130469652, 0.27409847675154003, 0.2634820814835245, 0.10274250127580631, 0.16646980918443263]"
70,2,"[0.20284898994110617, 0.2599430152644716, 0.17561116119840278, 0.10985732948295086, 0.2517395041130686]"
71,0,"[0.20123965136933306, 0.31405500449313367, 0.20432302405490288, 0.006791841305291936, 0.2735904787773386]"
72,0,"[0.20115024020579497, 0.25218946979035617, 0.17259381553943154, 0.12081532112818687, 0.2532511533362304]"
73,4,"[0.17060524046774933, 0.23074515555556063, 0.16760884256195688, 0.15153807471805003, 0.2795026866966832]"
74,2,"[0.19128148894762595, 0.25897808040828446, 0.2556661400899715, 0.059305322522932254, 0.2347689680311859]"
75,0,"[0.20148058900918012, 0.23115414516783997, 0.23453273595676544, 0.08367466557102353, 0.2491578642951908]"
76,0,"[0.20693955929204097, 0.34691130646241536, 0.1916767551989214, 0.0037151311943113617, 0.25075724785231085]"
77,0,"[0.1897776595902065, 0.3477706906308354, 0.21737745264805827, 0.004273867346109674, 0.24080032978479018]"
78,1,"[0.21916737434929962, 0.27376629807059666, 0.2071547190693847, 0.04481836508683449, 0.2550932434238845]"
79,1,"[0.18601339453896476, 0.29687779120354985, 0.23857755072841794, 0.005505279755038626, 0.273025983774029]"
80,4,"[0.2238856049813263, 0.36873632321339783, 0.15965084297856438, 0.031210754887092382, 0.21651647393961912]"
81,1,"[0.19861332231732057, 0.35218627528325847, 0.18449523498969844, 0.004515398252616249, 0.26018976915710634]"
82,1,"[0.1890620391645842, 0.41455839769007513, 0.1943956870950153, 0.002628844766119139, 0.19935503128420617]"
83,4,"[0.19389009238834876, 0.24357778388427853, 0.20374789750086705, 0.0817397120079455, 0.2770445142185602]"
84,2,"[0.20109517668788274, 0.2734322864055175, 0.22974608423134377, 0.054651810670957764, 0.2410746420042982]"
85,2,"[0.1918544789454741, 0.3051541240504109, 0.24231001160640955, 0.004859771664697005, 0.2558216137330084]"
86,0,"[0.19502142972767095, 0.31184089693030576, 0.2584436729832733, 0.004282904154788047, 0.23041109620396202]"
87,1,"[0.15309018000634714, 0.4957393903280197, 0.2557420301289801, 0.030782592682843432, 0.06464580685380976]"
88,0,"[0.19665174883538858, 0.32894090664039033, 0.20198351227566758, 0.005137823877390589, 0.26728600837116306]"
89,4,"[0.2155430807454947, 0.3155690415274395, 0.15237233786043516, 0.06259154884930397, 0.2539239910173266]"
90,4,"[0.19439045280889772, 0.4298033584668069, 0.1534904836943155, 0.002485147521740743, 0.21983055750823913]"
91,1,"[0.20454465616819112, 0.3328635215953747, 0.17649701990793615, 0.005214901806932636, 0.2808799005215654]"
92,2,"[0.19916577815733388, 0.2549664194018143, 0.20814903460580944, 0.1008040292892037, 0.2369147385458386]"
93,1,"[0.202932672426816, 0.2746830867148072, 0.17720877002333077, 0.07178149961162357, 0.27339397122342235]"
94,0,"[0.20277835718491494, 0.3401778053502951, 0.18498416141194934, 0.004706797760491211, 0.26735287829234927]"
95,2,"[0.13094305157195998, 0.18733862229275844, 0.4537291674644146, 0.01043649643262409, 0.21755266223824282]"
96,0,"[0.11770636825657887, 0.25190600723767687, 0.23817071437939272, 0.163071381504634, 0.22914552862171758]"
97,4,"[0.18478515003132281, 0.31862005500898444, 0.2662074464055891, 0.0856994417550573, 0.1446879067990463]"
98,2,"[0.1846460654680174, 0.2052241554747079, 0.2501382967390954, 0.1463734344058515, 0.2136180479123278]"
99,4,"[0.20730191011775537, 0.27996012733323433, 0.17350551633919356, 0.06777220346943767, 0.27146024274037905]"
100,4,"[0.099492646324631, 0.3249515780958686, 0.3433953837612461, 0.06864712659512236, 0.1635132652231319]"
101,4,"[0.19654814336167392, 0.24616144654534766, 0.19805337182208652, 0.08158298198476778, 0.27765405628612405]"
102,1,"[0.19831323242711435, 0.31237991124693887, 0.20234838977927974, 0.007128238288357284, 0.27983022825830967]"
103,3,"[0.204280848508765, 0.27122454946564123, 0.17973879074893992, 0.09797683608749574, 0.24677897518915828]"
104,3,"[0.1167631813889965, 0.48570555249437364, 0.32718163777597525, 0.03765172567732389, 0.03269790266333076]"
105,4,"[0.1985621125858724, 0.2607636782339737, 0.2182017390708664, 0.06981813958827346, 0.25265433052101405]"
106,4,"[0.2326119182695421, 0.2946112595055465, 0.2024617840994937, 0.050547399946146626, 0.21976763817927097]"
107,2,"[0.15964853323207745, 0.21230828081275874, 0.46614887995882104, 0.002682893684014157, 0.15921141231232858]"
108,1,"[0.17933926182301524, 0.21177309004082387, 0.1861830111618446, 0.1661369199138044, 0.2565677170605119]"
109,0,"[0.19444473864367956, 0.3124124723696456, 0.22068038162648473, 0.006878532852714698, 0.2655838745074754]"
110,2,"[0.1599718491565358, 0.23653578590462063, 0.40314099135158177, 0.00833636173066214, 0.19201501185659964]"
