,event_id,event_pred
0,0,"[0.8078463334631011, 0.13760900729925335, 0.03462701473762913, 0.0014340622179983085, 0.018483582282017904]"
1,0,"[0.9336793863397647, 0.0003870473388536303, 0.0042506055872273876, 0.020804919062922318, 0.04087804167123223]"
2,0,"[0.7307289715541267, 0.13140652938780653, 0.0013338977912249386, 0.048507249003088254, 0.08802335226375356]"
3,2,"[0.6226917331359589, 0.0881304299158317, 0.07592140133293444, 0.005756226409724908, 0.20750020920554996]"
4,0,"[0.9316735601516578, 0.010869361308042823, 0.05656721976556406, 0.00038396660782728716, 0.0005058921669078997]"
5,0,"[0.4687109906691309, 0.44243885721274456, 0.04825882630418902, 0.008035941500574925, 0.03255538431336075]"
6,0,"[0.8810058057557322, 0.030477077364450114, 0.012165124499130328, 0.030126874448764485, 0.04622511793192282]"
7,4,"[0.6178789076003686, 0.08879584383519509, 0.0763055002543007, 0.005761066942713604, 0.211258681367422]"
8,0,"[0.6752683811866235, 0.01272347395000849, 0.03016384704351403, 0.003454450723383454, 0.27838984709647063]"
9,0,"[0.675120297071288, 0.11273365152194921, 0.0023058774959576573, 0.07588578369153252, 0.13395439021927263]"
10,0,"[0.6497504617298187, 0.13014834135715428, 0.01409867527651405, 0.10186628873612281, 0.10413623290039019]"
11,0,"[0.6576270532829743, 1.4604670563645344e-05, 0.002804547881202224, 0.10317094870320871, 0.23638284546205132]"
12,0,"[0.6212629115094481, 0.08835130757636366, 0.07603294294811368, 0.005755578303058134, 0.20859725966301643]"
13,0,"[0.5254696372663045, 0.24673692143309423, 0.02362722064723722, 0.005419997500710272, 0.1987462231526538]"
14,0,"[0.06646343997014441, 3.092887892962244e-10, 3.6558589258388805e-08, 0.6518366859754352, 0.2816998371865424]"
15,0,"[0.7008621493509979, 0.00711431848941969, 0.15639726551867705, 0.0001422793793969369, 0.1354839872615085]"
16,4,"[0.24674379071517932, 0.0034452450688307436, 0.052437587057865866, 0.4010084686403586, 0.2963649085177655]"
17,0,"[0.7991938852520819, 0.002300067317702645, 0.01462539958237479, 0.09106260710413393, 0.09281804074370682]"
18,0,"[0.8582852378238758, 0.0007051126918336061, 0.0065241174024418406, 0.038153991248479, 0.09633154083336987]"
19,0,"[0.9717782527810889, 0.009737091850436941, 0.017832136968732173, 0.00017717621207325276, 0.00047534218766880277]"
20,0,"[0.7274182285692146, 0.04583247648396798, 0.10085757570387165, 0.0009191172535238657, 0.12497260198942199]"
21,0,"[0.9316352490725242, 0.010876063115991524, 0.0565985369897643, 0.00038403507803949773, 0.0005061157436805254]"
22,0,"[0.8604245918441202, 0.0006981253317457881, 0.006468823927691959, 0.037966863851360784, 0.09444159504508126]"
23,0,"[0.8812695611201863, 0.030417608281586406, 0.012147530933022817, 0.03010568955343547, 0.04605961011176881]"
24,0,"[0.8175230462128343, 0.15137318115834975, 0.024008726775525617, 0.0041352096061866945, 0.002959836247103628]"
25,0,"[0.9295537565691099, 0.016617224308443517, 0.022501968003416712, 0.00027338647934872914, 0.031053664639681174]"
26,0,"[0.46892540213813977, 0.44220174473432755, 0.04827755093271551, 0.008038560453366364, 0.03255674174145076]"
27,1,"[0.9209976498293663, 0.030211510779846545, 0.04709279551032578, 0.0009483954755601576, 0.0007496484049012238]"
28,1,"[0.8176154991191297, 0.15128919424108944, 0.024003127954545227, 0.004135270347144421, 0.0029569083380913733]"
29,2,"[0.32199546186087386, 0.5087860965398406, 0.13196042414810444, 0.0048177911099473725, 0.03244022634123363]"
30,0,"[0.7627787512094164, 0.16729963956380714, 0.05786406224941609, 0.0005664252886196413, 0.011491121688740757]"
31,0,"[0.617641242067411, 0.08882331062062473, 0.07633559794930492, 0.005765112051349428, 0.21143473731130993]"
