,cluster_id,cluster_tsfresh
0,2.0,11
1,10.0,12
2,2.0,12
3,9.0,5
4,10.0,11
5,9.0,12
6,2.0,11
7,4.0,11
8,5.0,11
9,4.0,11
10,2.0,11
11,10.0,11
12,2.0,11
13,2.0,11
14,2.0,11
15,9.0,11
16,2.0,11
17,10.0,12
18,9.0,12
19,10.0,11
20,10.0,5
21,10.0,11
22,10.0,11
23,2.0,12
24,2.0,11
25,5.0,11
26,4.0,11
27,12.0,11
28,4.0,11
29,8.0,11
30,12.0,7
31,2.0,2
32,9.0,0
33,2.0,11
34,7.0,11
35,10.0,9
36,2.0,11
37,10.0,11
38,2.0,11
39,7.0,2
40,10.0,11
41,10.0,12
42,4.0,11
43,10.0,11
44,12.0,11
45,10.0,12
46,4.0,11
47,10.0,6
48,10.0,11
49,2.0,11
50,2.0,11
51,7.0,11
52,10.0,11
53,10.0,4
54,9.0,10
55,4.0,11
56,2.0,12
57,2.0,11
58,4.0,4
59,2.0,11
60,9.0,5
61,7.0,5
62,9.0,12
63,10.0,11
64,9.0,10
65,2.0,11
66,2.0,11
67,2.0,11
68,2.0,11
69,10.0,11
70,7.0,1
71,9.0,12
72,9.0,10
73,10.0,11
74,0.0,11
75,2.0,12
76,2.0,11
77,2.0,2
78,2.0,11
79,2.0,11
80,2.0,11
81,7.0,11
82,2.0,11
83,4.0,11
84,10.0,5
85,2.0,11
86,10.0,11
87,2.0,11
88,7.0,11
89,2.0,0
90,7.0,11
91,2.0,11
92,9.0,11
93,4.0,4
94,0.0,12
95,2.0,12
96,9.0,11
97,4.0,11
98,2.0,11
99,3.0,12
100,10.0,12
101,2.0,1
102,9.0,11
103,2.0,11
104,2.0,12
105,9.0,3
106,7.0,11
107,0.0,11
108,7.0,11
109,10.0,11
110,2.0,11
111,4.0,11
112,2.0,12
113,0.0,8
114,10.0,11
115,7.0,12
116,2.0,11
117,10.0,11
118,2.0,12
119,10.0,11
120,2.0,4
121,2.0,11
122,10.0,5
123,7.0,5
124,4.0,12
125,7.0,1
126,2.0,11
127,2.0,11
128,10.0,5
129,4.0,0
130,10.0,0
131,9.0,0
132,9.0,0
133,5.0,0
134,2.0,0
135,2.0,0
136,10.0,3
137,2.0,0
138,9.0,0
139,10.0,3
140,10.0,0
141,4.0,0
142,2.0,0
143,10.0,0
144,4.0,0
145,1.0,0
146,10.0,5
147,9.0,0
148,9.0,0
149,2.0,0
150,2.0,0
151,9.0,0
152,2.0,0
153,7.0,0
154,3.0,0
155,7.0,0
156,7.0,0
157,1.0,0
158,10.0,0
159,12.0,3
160,9.0,0
161,2.0,0
162,12.0,0
163,2.0,0
164,2.0,0
165,4.0,0
166,12.0,0
167,9.0,0
168,2.0,0
169,2.0,0
170,10.0,0
171,10.0,0
172,2.0,0
173,6.0,0
174,10.0,0
175,2.0,0
176,3.0,0
177,2.0,0
178,2.0,0
179,7.0,0
180,7.0,0
181,4.0,0
182,2.0,0
183,9.0,0
184,10.0,3
185,12.0,0
186,4.0,0
187,4.0,0
188,10.0,0
189,12.0,0
190,12.0,0
191,2.0,0
192,2.0,0
193,2.0,0
194,10.0,3
195,4.0,0
196,2.0,0
197,2.0,0
198,12.0,0
199,10.0,0
200,5.0,0
201,10.0,0
202,4.0,0
203,12.0,0
204,12.0,2
205,11.0,0
206,7.0,0
207,12.0,0
208,9.0,0
209,0.0,0
210,2.0,0
211,9.0,0
212,4.0,0
213,9.0,0
214,2.0,0
215,9.0,0
216,2.0,0
217,2.0,0
218,10.0,0
219,2.0,0
220,7.0,0
221,4.0,0
222,4.0,0
223,10.0,0
224,5.0,0
225,10.0,1
226,10.0,0
227,10.0,0
228,7.0,0
229,9.0,0
230,2.0,0
231,10.0,0
232,7.0,0
233,2.0,0
234,10.0,0
235,2.0,0
236,10.0,0
237,12.0,0
238,12.0,0
239,2.0,0
240,5.0,0
241,4.0,0
242,2.0,0
243,2.0,0
244,10.0,0
245,4.0,0
246,0.0,0
247,10.0,0
248,2.0,0
249,12.0,3
250,2.0,0
251,10.0,0
252,9.0,0
253,1.0,0
254,2.0,0
255,9.0,0
256,10.0,9
257,10.0,4
258,10.0,7
259,10.0,12
260,10.0,1
261,5.0,7
262,9.0,2
263,0.0,12
264,10.0,0
265,2.0,12
266,2.0,12
267,2.0,12
268,4.0,12
269,10.0,6
270,10.0,0
271,7.0,9
272,8.0,11
273,2.0,4
274,9.0,0
275,2.0,7
276,2.0,5
277,4.0,0
278,9.0,12
279,10.0,10
280,4.0,0
281,0.0,0
282,2.0,0
283,12.0,0
284,10.0,0
285,10.0,0
286,10.0,4
287,2.0,0
288,10.0,0
289,2.0,12
290,2.0,0
291,10.0,12
292,9.0,4
293,2.0,0
294,10.0,0
295,10.0,0
296,9.0,12
297,2.0,8
298,2.0,7
299,4.0,12
300,10.0,3
301,2.0,0
