,cluster_id,cluster_tsfresh
0,7.0,4
1,7.0,4
2,5.0,3
3,7.0,4
4,3.0,4
5,3.0,0
6,1.0,6
7,8.0,1
8,0.0,4
9,6.0,3
10,5.0,4
11,7.0,4
12,6.0,0
13,7.0,1
14,7.0,1
15,3.0,4
16,6.0,3
17,8.0,3
18,1.0,0
19,6.0,4
20,2.0,4
21,1.0,0
22,5.0,6
23,7.0,1
24,6.0,4
25,7.0,4
26,3.0,4
27,2.0,4
28,1.0,0
29,1.0,1
30,7.0,1
31,6.0,3
32,6.0,0
33,6.0,4
34,7.0,0
35,1.0,6
36,1.0,0
37,8.0,4
38,8.0,5
39,8.0,4
40,1.0,6
41,1.0,6
42,8.0,5
43,8.0,3
44,8.0,1
45,8.0,5
46,5.0,3
47,8.0,3
48,7.0,4
49,4.0,1
50,5.0,4
51,7.0,4
52,7.0,0
53,3.0,4
54,1.0,0
55,8.0,5
56,6.0,3
57,3.0,4
58,7.0,0
59,5.0,2
60,2.0,4
61,6.0,3
62,0.0,0
63,7.0,1
64,6.0,3
65,7.0,1
66,7.0,1
67,7.0,0
68,2.0,4
69,2.0,0
70,8.0,3
71,7.0,4
72,3.0,4
73,1.0,6
74,6.0,3
75,7.0,4
76,3.0,4
77,5.0,2
78,6.0,0
79,6.0,5
80,5.0,4
81,8.0,4
82,4.0,1
83,7.0,4
84,8.0,3
85,7.0,0
86,1.0,0
87,8.0,5
88,6.0,2
89,0.0,4
90,6.0,0
91,5.0,3
92,0.0,4
93,6.0,0
94,7.0,4
95,2.0,4
96,5.0,2
97,7.0,4
98,5.0,4
99,2.0,0
100,6.0,1
101,8.0,4
102,7.0,6
103,6.0,0
104,5.0,4
105,2.0,4
106,8.0,4
107,6.0,0
108,1.0,6
109,2.0,0
110,1.0,6
111,2.0,4
112,5.0,3
113,6.0,3
114,5.0,4
115,7.0,0
116,7.0,1
117,2.0,4
118,2.0,4
119,1.0,0
120,6.0,0
121,8.0,3
122,8.0,5
123,6.0,3
124,0.0,0
125,3.0,4
126,7.0,4
127,1.0,6
128,1.0,2
129,6.0,2
130,2.0,1
131,7.0,2
132,8.0,2
133,7.0,0
134,7.0,0
135,1.0,1
136,7.0,0
137,8.0,5
138,7.0,4
139,7.0,2
140,5.0,1
141,2.0,1
142,2.0,2
143,2.0,1
144,8.0,0
145,7.0,5
146,2.0,6
147,5.0,2
148,2.0,6
149,1.0,2
150,2.0,1
151,5.0,1
152,7.0,0
153,2.0,1
154,7.0,4
155,6.0,2
156,1.0,2
157,3.0,5
158,1.0,2
159,6.0,2
160,0.0,1
161,7.0,0
162,6.0,2
163,6.0,1
164,1.0,2
165,5.0,1
166,2.0,5
167,0.0,1
168,2.0,1
169,1.0,5
170,7.0,0
171,7.0,4
172,1.0,5
173,3.0,1
174,3.0,1
175,3.0,1
176,8.0,5
177,8.0,1
178,0.0,1
179,7.0,0
180,5.0,2
181,8.0,0
182,1.0,1
183,7.0,0
184,6.0,5
185,8.0,2
