,cluster_id,cluster_tsfresh
0,0.0,3
1,0.0,3
2,0.0,3
3,0.0,1
4,0.0,1
5,0.0,1
6,0.0,2
7,0.0,2
8,0.0,1
9,0.0,1
10,0.0,0
11,0.0,3
12,0.0,2
13,0.0,1
14,0.0,2
15,0.0,1
16,0.0,3
17,0.0,1
18,0.0,0
19,0.0,0
20,0.0,3
21,0.0,1
22,0.0,4
23,0.0,3
24,0.0,2
25,0.0,0
26,0.0,1
27,0.0,4
28,0.0,3
29,0.0,2
30,0.0,1
31,0.0,3
32,0.0,3
33,0.0,4
34,0.0,0
35,0.0,2
36,0.0,0
37,0.0,1
38,0.0,3
39,0.0,3
40,0.0,0
41,0.0,0
42,0.0,2
43,0.0,1
44,0.0,4
45,0.0,1
46,0.0,3
47,0.0,0
48,0.0,3
49,0.0,3
50,0.0,2
51,0.0,3
52,0.0,3
53,0.0,2
54,0.0,1
55,0.0,3
56,0.0,3
57,0.0,0
58,0.0,3
59,0.0,2
60,0.0,3
61,0.0,1
62,0.0,1
63,0.0,2
64,0.0,0
65,0.0,4
66,0.0,2
67,0.0,1
68,0.0,3
69,0.0,3
70,0.0,1
71,0.0,2
72,0.0,0
73,0.0,1
74,0.0,3
75,0.0,4
76,0.0,0
77,0.0,3
78,0.0,2
79,0.0,4
80,0.0,0
81,0.0,3
82,0.0,2
83,0.0,1
84,0.0,1
85,0.0,3
86,0.0,3
87,0.0,3
88,0.0,4
89,0.0,2
90,0.0,4
91,0.0,1
92,0.0,3
93,0.0,4
94,0.0,3
95,0.0,1
96,0.0,1
97,0.0,4
98,0.0,3
99,0.0,0
100,0.0,2
101,0.0,0
102,0.0,4
103,0.0,3
104,0.0,2
105,0.0,3
106,0.0,1
107,0.0,1
108,0.0,3
109,0.0,3
110,0.0,2
111,0.0,2
112,0.0,3
113,0.0,1
114,0.0,3
115,0.0,2
116,0.0,1
117,0.0,3
118,0.0,3
119,0.0,3
120,0.0,4
121,0.0,2
122,0.0,2
123,0.0,0
124,0.0,4
125,0.0,0
126,0.0,2
127,0.0,0
128,0.0,1
129,0.0,3
130,0.0,1
131,0.0,1
132,0.0,3
133,0.0,1
134,0.0,3
135,0.0,1
136,0.0,1
137,0.0,1
138,0.0,1
139,0.0,2
140,0.0,3
141,0.0,3
142,0.0,2
143,0.0,1
144,0.0,1
145,0.0,4
146,0.0,3
147,0.0,1
148,0.0,1
149,0.0,1
150,0.0,3
151,0.0,3
152,0.0,1
153,0.0,3
154,0.0,3
155,0.0,1
156,0.0,3
157,0.0,2
158,0.0,3
159,0.0,1
160,0.0,3
161,0.0,1
162,0.0,1
163,0.0,3
164,0.0,3
165,0.0,3
166,0.0,4
167,0.0,1
168,0.0,1
169,0.0,4
170,0.0,1
171,0.0,3
172,0.0,1
173,0.0,1
174,0.0,1
175,0.0,3
176,0.0,0
177,0.0,1
178,0.0,3
179,0.0,3
180,0.0,3
181,0.0,1
182,0.0,1
183,0.0,3
184,0.0,1
185,0.0,1
186,0.0,1
187,0.0,3
188,0.0,1
189,0.0,3
190,0.0,3
191,0.0,1
192,0.0,1
193,0.0,1
194,0.0,1
195,0.0,1
196,0.0,1
197,0.0,1
198,0.0,1
199,0.0,1
200,0.0,2
201,0.0,1
202,0.0,1
203,0.0,3
204,0.0,1
205,0.0,3
206,0.0,1
207,0.0,1
208,0.0,1
209,0.0,1
210,0.0,0
211,0.0,1
212,0.0,3
213,0.0,3
214,0.0,1
215,0.0,1
216,0.0,1
217,0.0,4
218,0.0,1
219,0.0,1
220,0.0,1
221,0.0,1
222,0.0,1
223,0.0,1
224,0.0,1
225,0.0,1
226,0.0,3
227,0.0,1
228,0.0,3
229,0.0,1
230,0.0,1
231,0.0,4
232,0.0,1
233,0.0,1
234,0.0,1
235,0.0,2
236,0.0,1
237,0.0,1
238,0.0,3
239,0.0,1
240,0.0,3
241,0.0,1
242,0.0,1
243,0.0,1
244,0.0,1
245,0.0,1
246,0.0,1
247,0.0,3
248,0.0,1
249,0.0,1
250,0.0,1
251,0.0,3
252,0.0,1
253,0.0,1
254,0.0,3
255,0.0,4
256,0.0,3
257,0.0,4
258,0.0,3
259,0.0,2
260,0.0,1
261,0.0,2
262,0.0,1
263,0.0,1
264,0.0,2
265,0.0,2
266,0.0,1
267,0.0,2
268,0.0,3
269,0.0,4
270,0.0,3
271,0.0,1
272,0.0,4
273,0.0,4
274,0.0,3
275,0.0,2
276,0.0,4
277,0.0,3
278,0.0,3
279,0.0,2
280,0.0,2
281,0.0,2
282,0.0,4
283,0.0,2
284,0.0,2
285,0.0,4
286,0.0,2
287,0.0,4
288,0.0,2
289,0.0,4
290,0.0,4
291,0.0,4
292,0.0,4
293,0.0,3
294,0.0,1
295,0.0,4
296,0.0,4
297,0.0,3
298,0.0,2
299,0.0,3
300,0.0,2
301,0.0,3
302,0.0,1
303,0.0,4
304,0.0,0
305,0.0,1
306,0.0,4
307,0.0,4
308,0.0,3
309,0.0,1
310,0.0,1
311,0.0,1
312,0.0,1
313,0.0,3
314,0.0,3
315,0.0,3
316,0.0,2
317,0.0,0
318,0.0,1
319,0.0,0
320,0.0,4
321,0.0,3
322,0.0,2
323,0.0,3
324,0.0,4
325,0.0,4
326,0.0,2
327,0.0,3
328,0.0,4
329,0.0,3
330,0.0,4
331,0.0,4
332,0.0,3
333,0.0,2
334,0.0,0
335,0.0,1
336,0.0,3
337,0.0,1
338,0.0,1
339,0.0,1
340,0.0,3
341,0.0,2
342,0.0,2
343,0.0,2
344,0.0,2
345,0.0,2
346,0.0,2
347,0.0,4
348,0.0,3
349,0.0,2
350,0.0,0
351,0.0,4
352,0.0,2
353,0.0,1
354,0.0,0
355,0.0,1
356,0.0,3
357,0.0,2
358,0.0,2
359,0.0,0
360,0.0,3
361,0.0,1
362,0.0,3
363,0.0,2
364,0.0,1
365,0.0,1
366,0.0,3
367,0.0,1
368,0.0,2
369,0.0,3
370,0.0,3
371,0.0,2
372,0.0,3
373,0.0,2
374,0.0,2
375,0.0,1
376,0.0,4
377,0.0,4
378,0.0,3
379,0.0,3
380,0.0,3
381,0.0,2
382,0.0,3
383,0.0,3
384,0.0,3
385,0.0,3
386,0.0,0
387,0.0,1
388,0.0,3
389,0.0,2
390,0.0,1
391,0.0,3
392,0.0,2
393,0.0,1
394,0.0,1
395,0.0,1
396,0.0,0
397,0.0,0
398,0.0,0
399,0.0,3
400,1.0,4
401,1.0,4
402,1.0,4
403,1.0,1
404,1.0,0
405,1.0,4
406,1.0,4
407,1.0,4
408,1.0,4
409,1.0,4
410,1.0,4
411,1.0,1
412,1.0,2
413,1.0,1
414,1.0,2
415,1.0,4
416,1.0,4
417,1.0,1
418,1.0,4
419,1.0,1
420,1.0,4
421,1.0,4
422,1.0,2
423,1.0,2
424,1.0,4
425,1.0,4
426,1.0,4
427,1.0,4
428,1.0,1
429,1.0,4
430,1.0,4
431,1.0,0
432,1.0,1
433,1.0,2
434,1.0,4
435,1.0,0
436,1.0,3
437,1.0,4
438,1.0,2
439,1.0,3
440,1.0,4
441,1.0,3
442,1.0,2
443,1.0,4
444,1.0,1
445,1.0,4
446,1.0,4
447,1.0,4
448,1.0,4
449,1.0,1
450,1.0,4
451,1.0,1
452,1.0,4
453,1.0,4
454,1.0,3
455,1.0,2
456,1.0,4
457,1.0,2
458,1.0,4
459,1.0,4
460,1.0,4
461,1.0,4
462,1.0,4
463,1.0,3
464,1.0,4
465,1.0,1
466,1.0,4
467,1.0,1
468,1.0,0
469,1.0,4
470,1.0,4
471,1.0,2
472,1.0,3
473,1.0,1
474,1.0,3
475,1.0,4
476,1.0,4
477,1.0,4
478,1.0,4
479,1.0,4
480,1.0,4
481,1.0,4
482,1.0,4
483,1.0,0
484,1.0,4
485,1.0,4
486,1.0,0
487,1.0,4
488,1.0,4
489,1.0,4
490,1.0,1
491,1.0,4
492,1.0,4
493,1.0,4
494,1.0,3
495,1.0,4
496,1.0,1
497,1.0,4
498,1.0,1
499,1.0,4
500,1.0,1
501,1.0,2
502,1.0,4
503,1.0,4
504,1.0,4
505,1.0,4
506,1.0,4
507,1.0,4
508,1.0,4
509,1.0,4
510,1.0,4
511,1.0,2
512,1.0,3
513,1.0,1
514,1.0,4
515,1.0,3
516,1.0,4
517,1.0,4
518,1.0,0
519,1.0,0
520,1.0,2
521,1.0,3
522,1.0,0
523,1.0,1
524,1.0,0
525,1.0,3
526,1.0,0
527,1.0,0
528,1.0,3
529,1.0,4
530,1.0,1
531,1.0,1
532,1.0,3
533,1.0,0
534,1.0,2
535,1.0,1
536,1.0,1
537,1.0,1
538,1.0,0
539,1.0,3
540,1.0,1
541,1.0,0
542,1.0,2
543,1.0,2
544,1.0,0
545,1.0,4
546,1.0,0
547,1.0,3
548,1.0,4
549,1.0,3
550,1.0,2
551,1.0,2
552,1.0,1
553,1.0,1
554,1.0,1
555,1.0,2
556,1.0,0
557,1.0,4
558,1.0,0
559,1.0,0
560,1.0,3
561,1.0,2
562,1.0,1
563,1.0,4
564,1.0,2
565,1.0,3
566,1.0,0
567,1.0,3
568,1.0,2
569,1.0,2
570,1.0,3
571,1.0,3
572,1.0,2
573,1.0,0
574,1.0,0
575,1.0,1
576,1.0,3
577,1.0,1
578,1.0,2
579,1.0,3
580,1.0,0
581,1.0,0
582,1.0,4
583,1.0,2
584,1.0,0
585,1.0,1
586,1.0,3
587,1.0,3
588,1.0,0
589,1.0,3
590,1.0,4
591,1.0,2
592,1.0,2
593,1.0,3
594,1.0,1
595,1.0,3
596,1.0,2
597,1.0,1
598,1.0,3
599,1.0,3
600,1.0,2
601,1.0,4
602,1.0,2
603,1.0,3
604,1.0,0
605,1.0,0
606,1.0,3
607,1.0,3
608,1.0,2
609,1.0,3
610,1.0,3
611,1.0,2
612,1.0,4
613,1.0,0
614,1.0,0
615,1.0,2
616,1.0,4
617,1.0,0
618,1.0,4
619,1.0,3
620,1.0,0
621,1.0,3
622,1.0,2
623,1.0,4
624,1.0,0
625,1.0,3
626,1.0,4
627,1.0,0
628,1.0,1
629,1.0,4
630,1.0,3
631,1.0,2
632,1.0,2
633,1.0,4
634,1.0,0
635,1.0,3
636,1.0,3
637,1.0,3
638,1.0,2
639,1.0,0
640,1.0,4
641,1.0,4
642,1.0,4
643,1.0,3
644,1.0,1
645,1.0,1
646,1.0,3
647,1.0,0
648,1.0,1
649,1.0,0
650,1.0,3
651,1.0,4
652,1.0,3
653,1.0,4
654,1.0,0
655,1.0,3
656,1.0,0
657,1.0,3
658,1.0,2
659,1.0,0
660,1.0,0
661,1.0,3
662,1.0,0
663,1.0,3
664,1.0,3
665,1.0,1
666,1.0,1
667,1.0,2
668,1.0,1
669,1.0,3
670,1.0,1
671,1.0,3
672,1.0,1
673,1.0,1
674,1.0,4
675,1.0,3
676,1.0,0
677,1.0,0
678,1.0,1
679,1.0,3
680,1.0,0
681,1.0,0
682,1.0,3
683,1.0,3
684,1.0,0
685,1.0,3
686,1.0,3
687,1.0,0
688,1.0,0
689,1.0,4
690,1.0,4
691,1.0,4
692,1.0,1
693,1.0,4
694,1.0,1
695,1.0,1
696,1.0,3
697,1.0,0
698,1.0,2
699,1.0,0
700,1.0,0
701,1.0,1
702,1.0,3
703,1.0,4
704,1.0,3
705,1.0,2
706,1.0,1
707,1.0,4
708,1.0,1
709,1.0,0
710,1.0,1
711,1.0,4
712,1.0,0
713,1.0,1
714,1.0,0
715,1.0,0
716,1.0,4
717,1.0,3
718,1.0,0
719,1.0,1
720,1.0,4
721,1.0,2
722,1.0,3
723,1.0,2
724,1.0,4
725,1.0,0
726,1.0,3
727,1.0,0
728,1.0,3
729,1.0,0
730,1.0,2
731,1.0,1
732,1.0,2
733,1.0,3
734,1.0,4
735,1.0,3
736,1.0,2
737,1.0,0
738,1.0,1
739,1.0,3
740,1.0,1
741,1.0,0
742,1.0,2
743,1.0,4
744,1.0,4
745,1.0,2
746,1.0,1
747,1.0,4
748,1.0,4
749,1.0,4
750,1.0,0
751,1.0,1
752,1.0,2
753,1.0,0
754,1.0,4
755,1.0,1
756,1.0,0
757,1.0,1
758,1.0,2
759,1.0,0
760,1.0,3
761,1.0,0
762,1.0,1
763,1.0,1
764,1.0,4
765,1.0,0
766,1.0,0
767,1.0,1
768,1.0,3
769,1.0,1
770,1.0,0
771,1.0,2
772,1.0,3
773,1.0,2
774,1.0,4
775,1.0,2
776,1.0,2
777,1.0,3
778,1.0,2
779,1.0,0
780,1.0,2
781,1.0,1
782,1.0,4
783,1.0,1
784,1.0,1
785,1.0,3
786,1.0,0
787,1.0,1
788,1.0,1
789,1.0,4
790,1.0,2
