,cluster_id,cluster_tsfresh
0,1.0,3
1,1.0,3
2,0.0,0
3,3.0,3
4,3.0,3
5,2.0,0
6,2.0,0
7,0.0,3
8,0.0,0
9,1.0,3
10,1.0,3
11,2.0,0
12,0.0,0
13,0.0,0
14,3.0,0
15,2.0,3
16,3.0,3
17,0.0,0
18,3.0,0
19,3.0,0
20,3.0,0
21,0.0,0
22,2.0,0
23,2.0,0
24,1.0,3
25,1.0,3
26,3.0,0
27,2.0,0
28,2.0,0
29,1.0,3
30,1.0,3
31,3.0,0
32,3.0,2
33,1.0,3
34,0.0,0
35,1.0,0
36,2.0,0
37,0.0,3
38,1.0,0
39,3.0,1
40,0.0,3
41,3.0,3
42,3.0,3
43,1.0,3
44,2.0,3
45,3.0,3
46,3.0,3
47,0.0,0
48,1.0,3
49,1.0,3
50,2.0,0
51,2.0,0
52,2.0,3
53,3.0,0
54,2.0,0
55,1.0,0
56,3.0,0
57,0.0,0
58,1.0,3
59,0.0,0
60,0.0,0
61,1.0,3
62,1.0,3
63,2.0,0
64,1.0,3
65,0.0,3
66,1.0,3
67,2.0,0
68,2.0,0
69,2.0,3
70,3.0,3
71,0.0,0
72,2.0,3
73,3.0,3
74,1.0,3
75,1.0,3
76,1.0,3
77,2.0,3
78,3.0,0
79,2.0,0
80,0.0,0
81,1.0,3
82,3.0,0
83,1.0,0
84,3.0,0
85,3.0,0
86,3.0,0
87,3.0,3
88,2.0,3
89,3.0,0
90,1.0,0
91,2.0,0
92,1.0,3
93,2.0,0
94,2.0,3
95,2.0,0
96,0.0,0
97,3.0,0
98,2.0,0
99,1.0,3
100,3.0,3
101,2.0,0
102,3.0,3
103,2.0,0
104,3.0,3
105,2.0,0
106,0.0,3
107,1.0,3
108,3.0,3
109,2.0,3
110,3.0,0
111,2.0,0
112,2.0,0
113,3.0,3
114,1.0,0
115,2.0,3
116,2.0,0
117,0.0,0
118,3.0,0
119,3.0,3
120,3.0,0
121,3.0,0
122,0.0,0
123,1.0,3
124,1.0,0
125,3.0,3
126,1.0,3
127,0.0,0
128,3.0,0
129,0.0,0
130,1.0,3
131,3.0,0
132,0.0,3
133,0.0,3
134,2.0,3
135,3.0,3
136,0.0,3
137,2.0,0
138,1.0,3
139,3.0,3
140,1.0,3
141,0.0,3
142,2.0,0
143,1.0,3
144,0.0,3
145,3.0,2
146,1.0,3
