,cluster_id,cluster_tsfresh
0,7.0,3
1,7.0,3
2,5.0,1
3,7.0,3
4,3.0,4
5,3.0,0
6,1.0,2
7,8.0,4
8,0.0,4
9,6.0,1
10,5.0,4
11,7.0,3
12,6.0,1
13,7.0,3
14,7.0,3
15,3.0,4
16,6.0,1
17,8.0,1
18,1.0,0
19,6.0,4
20,2.0,3
21,1.0,0
22,5.0,3
23,7.0,3
24,6.0,4
25,7.0,3
26,3.0,5
27,2.0,5
28,1.0,0
29,1.0,4
30,7.0,4
31,6.0,1
32,6.0,1
33,6.0,4
34,7.0,1
35,1.0,2
36,1.0,2
37,8.0,4
38,8.0,6
39,8.0,4
40,1.0,2
41,1.0,2
42,8.0,6
43,8.0,1
44,8.0,4
45,8.0,4
46,5.0,1
47,8.0,1
48,7.0,3
49,4.0,4
50,5.0,4
51,7.0,3
52,7.0,0
53,3.0,4
54,1.0,2
55,8.0,6
56,6.0,1
57,3.0,4
58,7.0,0
59,5.0,4
60,2.0,5
61,6.0,1
62,0.0,1
63,7.0,4
64,6.0,1
65,7.0,4
66,7.0,4
67,7.0,3
68,2.0,4
69,2.0,0
70,8.0,1
71,7.0,3
72,3.0,4
73,1.0,2
74,6.0,1
75,7.0,3
76,3.0,4
77,5.0,1
78,6.0,1
79,6.0,6
80,5.0,4
81,8.0,3
82,4.0,4
83,7.0,3
84,8.0,1
85,7.0,3
86,1.0,2
87,8.0,6
88,6.0,1
89,0.0,4
90,6.0,1
91,5.0,1
92,0.0,4
93,6.0,2
94,7.0,4
95,2.0,5
96,5.0,4
97,7.0,3
98,5.0,4
99,2.0,4
100,6.0,1
101,8.0,3
102,7.0,2
103,6.0,2
104,5.0,4
105,2.0,5
106,8.0,4
107,6.0,1
108,1.0,2
109,2.0,0
110,1.0,2
111,2.0,4
112,5.0,1
113,6.0,1
114,5.0,4
115,7.0,3
116,7.0,3
117,2.0,5
118,2.0,5
119,1.0,0
120,6.0,0
121,8.0,1
122,8.0,6
123,6.0,1
124,0.0,4
125,3.0,4
126,7.0,3
127,1.0,2
128,1.0,1
129,6.0,1
130,2.0,5
131,7.0,1
132,8.0,1
133,7.0,0
134,7.0,0
135,1.0,3
136,7.0,0
137,8.0,4
138,7.0,3
139,7.0,1
140,5.0,6
141,2.0,5
142,2.0,5
143,2.0,5
144,8.0,0
145,7.0,6
146,2.0,3
147,5.0,1
148,2.0,3
149,1.0,1
150,2.0,3
151,5.0,3
152,7.0,0
153,2.0,6
154,7.0,0
155,6.0,1
156,1.0,1
157,3.0,6
158,1.0,1
159,6.0,1
160,0.0,3
161,7.0,1
162,6.0,1
163,6.0,3
164,1.0,1
165,5.0,3
166,2.0,4
167,0.0,6
168,2.0,6
169,1.0,3
170,7.0,0
171,7.0,3
172,1.0,3
173,3.0,3
174,3.0,3
175,3.0,3
176,8.0,4
177,8.0,6
178,0.0,3
179,7.0,0
180,5.0,1
181,8.0,0
182,1.0,3
183,7.0,0
184,6.0,6
185,8.0,1
186,2.0,5
187,8.0,1
188,1.0,6
189,5.0,6
190,2.0,4
191,6.0,1
192,7.0,3
193,7.0,0
194,7.0,1
195,2.0,3
196,2.0,5
197,1.0,1
198,7.0,0
199,7.0,0
200,7.0,0
201,6.0,5
202,2.0,3
203,5.0,3
204,4.0,0
205,3.0,1
206,6.0,3
207,6.0,1
208,4.0,3
209,3.0,6
210,1.0,3
211,1.0,3
212,7.0,0
213,2.0,3
214,7.0,2
215,2.0,5
216,7.0,0
217,2.0,4
218,7.0,0
219,2.0,3
220,2.0,1
221,0.0,4
222,1.0,3
223,3.0,6
224,8.0,3
225,6.0,1
226,0.0,4
227,1.0,4
228,1.0,1
229,1.0,1
230,7.0,0
231,4.0,3
232,1.0,1
233,8.0,3
234,7.0,3
235,2.0,1
236,1.0,4
237,8.0,3
238,7.0,0
239,0.0,4
240,0.0,3
241,8.0,3
242,1.0,3
243,2.0,3
244,2.0,4
245,6.0,1
246,5.0,3
247,3.0,6
248,2.0,4
249,7.0,0
250,8.0,1
251,0.0,3
252,1.0,5
253,6.0,3
254,7.0,0
255,5.0,3
256,2.0,4
257,8.0,5
258,1.0,1
259,1.0,6
260,8.0,0
261,1.0,2
262,8.0,4
263,7.0,0
264,3.0,3
265,5.0,6
266,6.0,2
267,8.0,2
268,7.0,0
269,8.0,5
270,4.0,6
271,6.0,2
272,2.0,4
273,7.0,2
274,3.0,1
275,8.0,4
276,7.0,0
277,7.0,6
278,6.0,1
279,7.0,2
280,3.0,5
281,5.0,3
282,8.0,5
283,0.0,5
284,3.0,4
285,8.0,0
286,7.0,6
287,2.0,5
288,8.0,6
289,7.0,6
290,4.0,6
291,7.0,0
292,2.0,4
293,1.0,5
294,7.0,0
