,cluster_id,cluster_tsfresh
0,0.0,1
1,0.0,3
2,0.0,0
3,0.0,3
4,0.0,2
5,0.0,1
6,0.0,0
7,0.0,0
8,0.0,2
9,0.0,1
10,0.0,3
11,0.0,3
12,0.0,2
13,0.0,2
14,0.0,2
15,0.0,0
16,0.0,3
17,0.0,0
18,0.0,0
19,0.0,3
20,0.0,1
21,0.0,3
22,0.0,1
23,0.0,3
24,0.0,3
25,0.0,1
26,0.0,1
27,0.0,1
28,0.0,1
29,0.0,2
30,0.0,3
31,0.0,0
32,0.0,1
33,0.0,0
34,0.0,3
35,0.0,3
36,0.0,3
37,0.0,3
38,0.0,3
39,0.0,2
40,0.0,3
41,0.0,1
42,0.0,0
43,0.0,2
44,0.0,1
45,0.0,3
46,0.0,2
47,0.0,0
48,0.0,3
49,0.0,2
50,0.0,2
51,0.0,2
52,0.0,1
53,0.0,2
54,0.0,2
55,0.0,3
56,0.0,1
57,0.0,1
58,0.0,1
59,0.0,3
60,0.0,2
61,0.0,3
62,0.0,1
63,0.0,3
64,0.0,3
65,0.0,3
66,0.0,0
67,0.0,2
68,0.0,2
69,0.0,1
70,0.0,1
71,0.0,0
72,0.0,2
73,0.0,2
74,0.0,2
75,0.0,2
76,0.0,3
77,0.0,0
78,0.0,3
79,0.0,1
80,0.0,0
81,0.0,1
82,0.0,1
83,0.0,1
84,0.0,2
85,0.0,0
86,0.0,1
87,0.0,2
88,0.0,2
89,0.0,2
90,0.0,0
91,0.0,2
92,0.0,0
93,0.0,3
94,0.0,3
95,0.0,0
96,0.0,2
97,0.0,2
98,0.0,0
99,0.0,3
100,0.0,1
101,0.0,2
102,0.0,3
103,0.0,3
104,0.0,1
105,0.0,1
106,0.0,0
107,0.0,3
108,0.0,1
109,0.0,2
110,0.0,1
111,0.0,2
112,0.0,2
113,0.0,0
114,0.0,2
115,0.0,0
116,0.0,1
117,0.0,3
118,0.0,3
119,0.0,0
120,0.0,2
121,0.0,0
122,0.0,2
123,0.0,0
124,0.0,2
125,0.0,0
126,0.0,2
127,0.0,2
128,0.0,1
129,0.0,1
130,0.0,0
131,0.0,1
132,0.0,2
133,0.0,1
134,0.0,1
135,0.0,2
136,0.0,3
137,0.0,0
138,0.0,0
139,0.0,0
140,0.0,3
141,0.0,0
142,0.0,1
143,0.0,3
144,0.0,1
145,0.0,3
146,0.0,0
147,0.0,1
148,0.0,1
149,0.0,3
150,0.0,0
151,0.0,2
152,0.0,2
153,0.0,0
154,0.0,1
155,0.0,0
156,0.0,3
157,0.0,2
158,0.0,1
159,0.0,1
160,0.0,3
161,0.0,2
162,0.0,1
163,0.0,0
164,0.0,3
165,0.0,2
166,0.0,1
167,0.0,0
168,0.0,2
169,0.0,2
170,0.0,2
171,0.0,3
172,0.0,1
173,0.0,1
174,0.0,1
175,0.0,0
176,0.0,3
177,0.0,1
178,0.0,2
179,0.0,1
180,0.0,2
181,0.0,1
182,0.0,1
183,0.0,1
184,0.0,0
185,0.0,0
186,0.0,0
187,0.0,2
188,0.0,1
189,0.0,1
190,0.0,3
191,0.0,3
192,0.0,1
193,0.0,0
194,0.0,1
195,0.0,3
196,0.0,0
197,0.0,0
198,0.0,1
199,0.0,1
200,0.0,2
201,0.0,1
202,0.0,1
203,0.0,2
204,0.0,3
205,0.0,1
206,0.0,1
207,0.0,2
208,0.0,1
209,0.0,2
210,0.0,3
211,0.0,1
212,0.0,2
213,0.0,1
214,0.0,3
215,0.0,2
216,0.0,1
217,0.0,0
218,0.0,2
219,0.0,3
220,0.0,0
221,0.0,3
222,0.0,1
223,0.0,1
224,0.0,1
225,0.0,3
226,0.0,3
227,0.0,2
228,0.0,3
229,0.0,3
230,0.0,2
231,0.0,2
232,0.0,1
233,0.0,3
234,0.0,1
235,0.0,0
236,0.0,1
237,0.0,2
238,0.0,1
239,0.0,0
240,0.0,3
241,0.0,1
242,0.0,1
243,0.0,3
244,0.0,3
245,0.0,0
246,0.0,1
247,0.0,3
248,0.0,1
249,0.0,1
250,0.0,1
251,0.0,3
252,0.0,0
253,0.0,0
254,0.0,3
255,0.0,1
256,0.0,1
257,0.0,0
258,0.0,3
259,0.0,2
260,0.0,0
261,0.0,2
262,0.0,2
263,0.0,0
264,0.0,2
265,0.0,2
266,0.0,0
267,0.0,0
268,0.0,2
269,0.0,1
270,0.0,2
271,0.0,2
272,0.0,0
273,0.0,1
274,0.0,3
275,0.0,3
276,0.0,2
277,0.0,0
278,0.0,2
279,0.0,2
280,0.0,2
281,0.0,1
282,0.0,0
283,0.0,3
284,0.0,2
285,0.0,0
286,0.0,0
287,0.0,3
288,0.0,2
289,0.0,2
290,0.0,3
291,0.0,1
292,0.0,0
293,0.0,0
294,0.0,1
295,0.0,1
296,0.0,3
297,0.0,0
298,0.0,1
299,0.0,0
300,0.0,2
301,0.0,1
302,0.0,0
303,0.0,0
304,0.0,0
305,0.0,1
306,0.0,0
307,0.0,1
308,0.0,2
309,0.0,2
310,0.0,0
311,0.0,1
312,0.0,1
313,0.0,0
314,0.0,1
315,0.0,0
316,0.0,0
317,0.0,2
318,0.0,2
319,0.0,0
320,0.0,3
321,0.0,2
322,0.0,2
323,0.0,1
324,0.0,2
325,0.0,1
326,0.0,0
327,0.0,1
328,0.0,0
329,0.0,2
330,0.0,0
331,0.0,0
332,0.0,2
333,0.0,3
334,0.0,1
335,0.0,0
336,0.0,0
337,0.0,0
338,0.0,0
339,0.0,0
340,0.0,2
341,0.0,2
342,0.0,2
343,0.0,0
344,0.0,0
345,0.0,2
346,0.0,1
347,0.0,0
348,0.0,2
349,0.0,0
350,0.0,0
351,0.0,0
352,0.0,3
353,0.0,0
354,0.0,1
355,0.0,3
356,0.0,1
357,0.0,0
358,0.0,0
359,0.0,2
360,0.0,0
361,0.0,3
362,0.0,1
363,0.0,2
364,0.0,0
365,0.0,1
366,0.0,2
367,0.0,3
368,0.0,2
369,0.0,2
370,0.0,0
371,0.0,0
372,0.0,1
373,0.0,0
374,0.0,3
375,0.0,0
376,0.0,1
377,0.0,3
378,0.0,1
379,0.0,0
380,0.0,0
381,0.0,0
382,0.0,0
383,0.0,1
384,0.0,3
385,0.0,2
386,0.0,3
387,0.0,3
388,0.0,2
389,0.0,2
390,0.0,3
391,0.0,2
392,0.0,2
393,0.0,3
394,0.0,3
395,0.0,2
396,0.0,3
397,0.0,2
398,0.0,3
399,0.0,3
400,1.0,2
401,1.0,2
402,1.0,2
403,1.0,2
404,1.0,2
405,1.0,3
406,1.0,0
407,1.0,3
408,1.0,2
409,1.0,3
410,1.0,2
411,1.0,0
412,1.0,3
413,1.0,2
414,1.0,2
415,1.0,2
416,1.0,2
417,1.0,2
418,1.0,3
419,1.0,2
420,1.0,2
421,1.0,2
422,1.0,2
423,1.0,2
424,1.0,3
425,1.0,2
426,1.0,2
427,1.0,2
428,1.0,2
429,1.0,2
430,1.0,3
431,1.0,2
432,1.0,2
433,1.0,2
434,1.0,2
435,1.0,2
436,1.0,2
437,1.0,2
438,1.0,3
439,1.0,3
440,1.0,3
441,1.0,2
442,1.0,2
443,1.0,0
444,1.0,2
445,1.0,2
446,1.0,2
447,1.0,2
448,1.0,2
449,1.0,2
450,1.0,2
451,1.0,2
452,1.0,3
453,1.0,2
454,1.0,2
455,1.0,2
456,1.0,3
457,1.0,2
458,1.0,2
459,1.0,2
460,1.0,2
461,1.0,2
462,1.0,2
463,1.0,2
464,1.0,2
465,1.0,2
466,1.0,2
467,1.0,3
468,1.0,2
469,1.0,2
470,1.0,2
471,1.0,0
472,1.0,2
473,1.0,2
474,1.0,2
475,1.0,2
476,1.0,2
477,1.0,2
478,1.0,2
479,1.0,2
480,1.0,2
481,1.0,2
482,1.0,2
483,1.0,2
484,1.0,2
485,1.0,2
486,1.0,3
487,1.0,1
488,1.0,2
489,1.0,2
490,1.0,2
491,1.0,2
492,1.0,2
493,1.0,2
494,1.0,2
495,1.0,2
496,1.0,2
497,1.0,2
498,1.0,2
