,cluster_id,cluster_tslearn
0,1,1
1,1,1
2,0,2
3,3,1
4,3,1
5,2,2
6,2,1
7,0,3
8,0,3
9,1,1
10,1,1
11,2,2
12,0,3
13,0,1
14,3,1
15,2,2
16,3,2
17,0,2
18,3,1
19,3,1
20,3,2
21,0,2
22,2,3
23,2,2
24,1,1
25,1,1
26,3,1
27,2,2
28,2,2
29,1,1
30,1,1
31,3,2
32,3,3
33,1,1
34,0,2
35,1,1
36,2,1
37,0,2
38,1,2
39,3,3
40,0,1
41,3,1
42,3,3
43,1,1
44,2,2
45,3,3
46,3,1
47,0,3
48,1,3
49,1,1
50,2,3
51,2,3
52,2,1
53,3,2
54,2,2
55,1,2
56,3,1
57,0,2
58,1,1
59,0,0
60,0,3
61,1,2
62,1,1
63,2,1
64,1,1
65,0,2
66,1,1
67,2,2
68,2,3
69,2,2
70,3,3
71,0,2
72,2,3
73,3,0
74,1,2
75,1,3
76,1,2
77,2,2
78,3,1
79,2,1
80,0,2
81,1,1
82,3,2
83,1,1
84,3,1
85,3,3
86,3,1
87,3,1
88,2,3
89,3,3
90,1,1
91,2,1
92,1,1
93,2,1
94,2,2
95,2,2
96,0,2
97,3,2
98,2,3
99,1,1
100,3,2
101,2,1
102,3,1
103,2,3
104,3,1
105,2,3
106,0,1
107,1,3
108,3,1
109,2,1
110,3,1
111,2,2
112,2,2
113,3,3
114,1,1
115,2,1
116,2,1
117,0,2
118,3,0
119,3,3
120,3,2
121,3,1
122,0,1
123,1,1
124,1,3
125,3,1
126,1,3
127,0,2
128,3,2
129,0,1
130,1,3
131,3,2
132,0,2
133,0,2
134,2,0
135,3,3
136,0,3
137,2,0
138,1,3
139,3,1
140,1,2
141,0,1
142,2,1
143,1,3
144,0,1
145,3,3
146,1,1
147,2,3
148,1,2
149,1,3
150,3,1
151,2,1
152,1,3
153,1,0
154,2,3
155,3,3
156,1,2
157,2,1
158,3,0
159,3,3
160,1,2
161,2,1
162,0,1
163,1,3
164,2,3
165,0,3
166,1,2
167,2,1
168,3,2
169,0,3
170,0,3
171,1,0
172,1,3
173,3,3
174,2,2
175,0,3
176,1,0
177,0,2
178,3,3
179,1,1
180,1,3
181,3,2
182,1,3
183,2,3
184,2,1
185,1,2
186,0,2
187,3,2
188,0,0
189,1,2
190,3,1
191,1,0
192,0,0
193,3,1
194,1,3
195,2,3
196,3,3
197,1,3
198,3,3
199,0,3
200,2,2
201,2,1
202,3,3
203,2,3
204,1,2
205,2,3
206,0,2
207,1,3
208,1,0
209,0,3
210,0,1
211,0,2
212,3,2
213,3,3
214,1,0
215,0,1
216,0,3
217,0,3
218,1,3
219,2,1
220,3,2
221,2,3
222,3,2
223,1,2
224,3,1
225,3,1
226,3,1
227,1,3
228,0,3
229,1,2
230,2,3
231,0,1
232,0,2
233,3,0
234,0,1
235,0,1
236,2,0
237,2,1
238,2,2
239,3,1
240,2,1
241,2,3
242,2,1
243,2,3
244,3,1
245,3,2
246,3,0
247,0,0
248,1,2
249,2,3
250,3,1
251,2,3
252,0,3
253,0,1
254,0,1
255,2,3
256,0,3
257,1,1
258,0,3
259,1,3
260,2,1
261,1,1
262,3,3
263,1,1
264,2,1
265,1,1
266,0,3
267,1,3
268,0,1
269,1,3
270,0,1
271,0,3
272,3,0
273,0,1
274,0,2
275,3,2
276,2,2
277,0,3
278,3,3
279,3,3
280,1,3
281,0,3
282,0,3
283,1,1
284,3,3
285,0,1
286,3,3
287,3,1
288,0,2
289,0,2
290,1,1
291,3,3
292,2,2
293,3,2
294,1,3
295,1,1
296,0,3
297,2,2
298,1,1
299,1,3
300,0,3
301,0,1
302,2,3
303,0,1
304,3,1
305,1,3
306,1,3
307,3,1
308,3,3
309,2,1
310,0,3
311,0,3
312,1,3
313,3,1
314,0,2
315,1,3
316,2,2
317,1,3
318,1,3
319,2,2
320,1,3
321,1,3
322,1,3
323,2,2
324,0,1
325,0,1
326,2,2
327,2,2
328,2,1
329,2,3
330,3,1
331,0,0
332,1,1
333,0,3
334,1,3
335,3,3
336,0,1
337,0,2
338,1,3
339,2,1
340,0,3
341,1,3
342,1,1
343,0,1
344,1,3
345,0,2
346,1,3
347,3,3
348,1,3
349,0,3
350,2,1
351,3,3
352,1,3
353,0,1
354,2,2
355,3,3
356,2,3
357,0,1
358,2,1
359,1,1
360,1,3
361,0,3
362,0,2
363,0,3
364,1,3
365,3,3
366,2,3
367,3,3
368,3,3
369,2,3
370,2,3
371,0,3
372,0,1
373,1,3
374,0,1
375,3,3
376,2,2
377,3,3
378,3,3
379,0,3
380,2,3
381,1,3
382,3,1
383,1,3
384,3,0
385,3,2
386,0,1
387,2,2
388,2,2
389,0,1
390,2,0
391,0,1
392,0,0
393,0,2
394,3,0
395,3,0
396,2,1
397,1,1
398,1,0
399,1,0
400,0,0
401,2,2
402,3,0
403,1,2
404,2,2
405,3,2
406,0,0
407,1,0
408,2,0
409,2,2
410,0,2
411,2,0
412,1,2
413,0,0
414,0,2
415,3,2
416,1,0
417,0,2
418,3,3
419,2,2
420,2,0
421,3,1
422,3,2
423,3,0
424,0,0
425,2,0
426,3,3
427,0,0
428,3,2
429,3,3
430,0,0
431,2,1
432,2,2
433,2,2
434,3,2
435,0,0
436,2,0
437,2,2
438,1,0
439,3,2
440,2,2
441,0,0
442,3,2
443,1,1
444,1,1
445,0,1
446,3,2
447,1,0
448,1,3
449,0,0
450,3,0
451,3,2
452,0,3
453,3,1
454,0,1
455,1,2
456,3,0
457,0,0
458,1,0
459,0,0
460,2,2
461,2,0
462,3,3
463,3,2
464,2,1
465,3,0
466,3,0
467,0,2
468,1,0
469,2,0
470,2,2
471,3,2
472,0,0
473,1,3
474,1,0
475,1,0
476,2,2
477,2,0
478,0,0
479,0,0
480,3,2
481,2,2
482,0,2
483,0,2
484,3,2
485,3,0
486,1,2
487,2,0
488,1,0
489,2,2
490,1,0
491,0,0
492,3,1
493,2,2
494,0,2
495,1,0
496,1,0
497,1,0
498,1,3
499,3,0
500,1,2
501,1,2
502,2,2
503,0,0
504,2,1
505,3,2
506,3,2
507,1,0
508,3,2
509,0,0
510,0,0
511,1,0
512,1,3
513,1,0
514,3,3
515,1,1
516,1,0
517,1,2
518,3,1
519,1,3
520,3,3
521,3,0
522,2,0
523,0,2
524,3,3
525,2,3
526,0,3
527,0,3
528,0,2
529,0,0
530,1,1
531,0,2
532,3,1
533,2,3
534,1,0
535,2,2
536,3,2
537,3,0
538,3,0
539,0,2
540,1,0
541,0,3
542,3,2
543,0,2
544,1,2
545,3,3
546,2,0
547,3,0
548,3,1
549,1,2
550,2,2
551,0,2
552,3,0
553,0,2
554,2,0
555,0,2
556,2,2
557,3,3
558,1,3
559,0,3
560,2,2
561,2,2
562,0,2
563,2,2
564,3,1
565,3,0
566,0,1
567,3,0
568,3,2
569,1,0
570,0,3
571,3,1
572,1,2
573,3,0
574,0,3
575,0,2
576,3,3
577,2,1
578,2,2
579,3,1
580,0,0
581,3,1
582,1,0
583,0,2
584,2,2
585,2,2
586,1,3
587,1,2
588,0,2
589,3,2
590,3,2
591,1,0
592,2,2
593,3,1
594,0,2
595,3,0
596,2,3
597,1,2
598,0,2
599,1,2
600,1,0
601,3,0
602,1,1
603,1,1
604,1,3
605,0,3
606,3,0
607,2,2
608,3,1
609,2,2
610,2,1
611,3,3
612,0,1
613,0,0
614,3,0
615,0,0
616,3,0
617,2,3
618,3,2
619,2,2
620,1,2
621,2,3
622,3,3
623,2,3
624,3,3
625,0,2
626,0,2
627,3,1
628,2,3
629,0,2
630,3,2
631,0,3
632,3,0
633,1,3
634,2,2
635,2,3
636,1,1
637,0,0
638,1,3
639,2,3
640,0,2
641,3,1
642,0,3
643,1,1
644,3,1
645,3,1
646,3,3
647,1,1
648,2,1
649,3,3
650,0,1
651,1,0
652,0,3
653,3,3
654,1,1
655,3,3
656,1,1
657,3,1
658,1,1
659,3,3
660,0,3
661,3,3
662,3,1
663,0,3
664,2,1
665,2,1
666,0,1
667,1,0
668,2,3
669,1,3
670,0,3
671,0,3
672,3,3
673,2,1
674,0,0
675,1,1
676,2,1
677,1,1
678,3,1
679,0,3
680,3,1
681,3,1
682,2,3
683,3,1
684,3,3
685,3,1
686,1,3
687,2,3
688,3,1
689,2,1
690,0,1
691,3,1
692,3,1
693,2,3
694,2,1
695,0,1
696,1,3
697,3,3
698,0,1
699,3,1
700,3,1
701,0,1
702,2,2
703,3,0
704,0,1
705,0,0
706,3,1
707,0,3
708,2,3
709,1,3
710,2,1
711,2,3
712,3,1
713,2,3
714,0,3
715,1,1
716,2,1
717,0,1
718,2,3
719,1,1
720,1,1
721,2,1
722,3,3
723,2,1
724,0,3
725,2,3
726,3,1
727,3,3
728,2,1
729,1,1
730,1,1
731,0,3
732,3,3
733,3,3
734,2,1
735,2,1
736,3,0
737,0,3
738,0,1
739,2,1
740,1,1
741,1,1
742,0,3
743,1,3
744,3,1
745,2,3
746,1,1
747,2,1
748,3,3
749,3,0
750,1,1
751,1,1
752,3,0
753,2,0
754,1,1
755,3,1
756,3,1
757,1,1
758,2,1
759,2,3
760,3,3
761,2,1
762,1,1
763,1,3
764,3,1
765,2,3
766,1,1
767,1,3
768,1,2
769,0,0
770,0,3
771,3,1
772,2,3
773,1,0
774,2,1
775,1,0
776,2,1
777,3,3
778,0,3
779,0,3
780,2,1
781,0,3
782,1,0
783,0,3
784,0,1
785,1,1
786,3,3
787,0,1
788,0,3
789,0,0
790,1,0
791,2,1
792,0,1
793,3,1
794,0,3
795,1,0
796,1,0
797,3,0
798,0,3
799,0,1
800,1,2
801,3,0
802,1,0
803,2,0
804,0,1
805,1,3
806,2,1
807,3,0
808,3,0
809,3,1
810,1,0
811,1,0
812,3,0
813,0,3
814,2,0
815,2,3
816,1,0
817,1,3
818,1,0
819,0,1
820,3,1
821,0,0
822,3,0
823,1,0
824,3,0
825,3,0
826,3,1
827,0,1
828,3,0
829,1,1
830,2,3
831,2,3
832,1,0
833,3,0
834,3,3
835,1,3
836,3,0
837,2,3
838,2,1
839,2,0
840,3,3
841,2,1
842,0,3
843,2,0
844,2,0
845,2,3
846,2,1
847,1,0
848,1,0
849,2,1
850,1,0
851,0,0
852,1,1
853,0,1
854,0,0
855,3,0
856,0,0
857,0,3
858,3,0
859,1,0
860,1,3
861,1,1
862,2,3
863,2,0
864,0,2
865,0,0
866,3,1
867,1,0
868,2,1
869,3,0
870,2,0
871,1,0
872,3,1
873,2,1
874,0,0
875,0,0
876,3,0
877,2,0
878,1,0
879,2,2
880,1,0
881,3,3
882,2,1
883,0,0
884,2,1
885,0,0
886,3,3
887,3,1
888,3,1
889,1,0
890,3,3
891,2,1
892,1,3
893,0,0
894,2,0
895,0,0
896,3,2
897,1,2
898,0,2
899,2,1
900,2,3
901,1,1
902,1,1
903,0,3
904,0,3
905,0,3
906,1,0
907,2,1
908,1,3
909,2,2
910,0,2
911,3,1
912,1,2
913,3,0
914,1,3
915,1,2
916,1,3
917,0,1
918,2,3
919,0,1
920,0,2
921,3,3
922,3,1
923,2,3
924,3,3
925,0,0
926,0,3
927,3,2
928,3,1
929,1,2
930,0,1
931,2,3
932,1,2
933,0,3
934,0,1
935,2,0
936,1,3
937,2,3
938,0,3
939,1,2
940,1,2
941,3,3
942,3,3
943,0,3
944,0,1
945,3,1
946,3,1
947,0,3
948,3,0
949,1,3
950,2,1
951,2,1
952,3,2
953,2,3
954,0,2
955,0,3
956,3,1
957,3,1
958,3,3
959,0,1
960,1,2
961,2,1
962,2,3
963,2,0
964,3,2
965,3,1
966,1,2
967,2,2
968,1,2
969,3,3
970,2,1
971,1,1
972,3,1
973,1,1
974,3,2
975,2,3
976,0,2
977,2,3
978,0,3
979,1,2
980,0,2
981,0,2
982,0,3
983,2,1
984,3,1
985,1,3
986,2,3
987,2,2
988,3,3
989,1,2
990,1,3
991,1,2
992,1,3
993,0,2
994,1,2
995,0,1
996,3,2
997,3,2
998,3,0
999,3,3
1000,0,1
1001,2,3
1002,2,1
1003,0,3
1004,0,0
1005,3,1
1006,2,2
1007,0,0
1008,2,2
1009,1,2
1010,3,1
1011,3,2
1012,2,1
1013,0,3
1014,1,2
1015,2,2
1016,2,1
1017,0,3
1018,2,1
1019,3,0
1020,2,2
1021,3,3
1022,1,2
1023,3,2
1024,3,0
1025,3,1
1026,2,1
1027,2,1
1028,2,1
1029,0,3
1030,3,2
1031,1,1
1032,1,0
1033,3,0
1034,1,1
1035,3,1
1036,1,1
1037,2,3
1038,0,1
1039,2,3
1040,2,1
1041,3,1
1042,0,3
1043,0,3
1044,1,1
1045,0,1
1046,0,1
1047,2,3
1048,3,3
1049,3,3
1050,1,1
1051,3,0
1052,0,1
1053,0,1
1054,0,0
1055,2,1
1056,0,0
1057,3,0
1058,3,1
1059,2,0
1060,0,3
1061,3,3
1062,0,3
1063,3,3
1064,1,1
1065,1,0
1066,0,3
1067,2,0
1068,3,1
1069,3,1
1070,0,1
1071,3,3
1072,2,3
1073,0,1
1074,3,3
1075,2,1
1076,1,0
1077,1,0
1078,3,0
1079,2,0
1080,2,1
1081,0,0
1082,0,0
1083,1,0
1084,1,0
1085,0,2
1086,2,0
1087,1,1
1088,2,1
1089,3,3
1090,2,3
1091,2,3
1092,3,3
1093,1,0
1094,1,1
1095,3,0
1096,2,1
1097,3,1
1098,1,0
1099,0,0
1100,2,3
1101,2,3
1102,2,1
1103,1,0
1104,2,1
1105,1,3
1106,2,0
1107,0,0
1108,0,1
1109,2,1
1110,2,3
1111,0,1
1112,0,3
1113,2,3
1114,1,0
1115,3,0
1116,2,0
1117,2,3
1118,3,0
1119,1,1
1120,3,1
1121,0,3
1122,2,0
1123,0,0
1124,0,3
1125,1,0
1126,2,3
1127,2,3
1128,1,1
1129,1,1
1130,1,3
1131,3,3
1132,3,0
1133,3,0
1134,1,3
1135,2,0
1136,2,0
1137,0,3
1138,2,1
1139,3,3
1140,2,3
1141,0,1
1142,0,3
1143,1,0
1144,2,1
1145,0,0
1146,0,1
1147,1,1
1148,2,1
1149,3,3
1150,2,3
1151,1,1
1152,1,3
1153,3,3
1154,0,1
1155,3,2
1156,2,3
1157,2,2
1158,1,3
1159,3,2
1160,2,2
1161,1,2
1162,1,2
1163,3,2
1164,3,2
1165,0,3
1166,3,3
1167,2,2
1168,3,1
1169,3,3
1170,3,2
1171,2,2
1172,3,3
1173,1,3
1174,0,3
1175,2,1
1176,0,3
1177,2,3
1178,3,3
1179,2,2
1180,3,2
1181,3,1
1182,0,2
1183,2,2
1184,2,1
1185,0,1
1186,0,1
1187,3,3
1188,1,2
1189,1,3
1190,3,3
1191,1,2
1192,2,2
1193,2,3
1194,3,0
1195,2,1
1196,3,2
1197,0,3
1198,3,2
1199,2,1
1200,2,3
1201,3,3
1202,0,2
1203,1,2
1204,3,3
1205,0,1
1206,1,3
1207,1,2
1208,0,1
1209,0,2
1210,0,2
1211,2,2
1212,2,2
1213,0,3
1214,3,2
1215,0,3
1216,0,2
1217,3,1
1218,3,2
1219,1,1
1220,0,2
1221,0,3
1222,3,2
1223,0,3
1224,2,2
1225,3,1
1226,1,3
1227,3,2
1228,0,1
1229,2,1
1230,1,3
1231,2,1
1232,1,1
1233,3,2
1234,1,2
1235,0,2
1236,2,2
1237,1,3
1238,1,3
1239,2,3
1240,0,2
1241,0,1
1242,1,3
1243,0,2
1244,1,2
1245,2,2
1246,3,2
1247,3,1
1248,1,2
1249,0,2
1250,3,2
1251,2,2
1252,3,3
1253,2,1
1254,3,2
1255,1,2
1256,3,3
1257,3,3
1258,3,3
1259,3,3
1260,1,3
1261,0,2
1262,1,3
1263,0,2
1264,0,2
1265,1,3
1266,1,3
1267,2,0
1268,1,3
1269,3,3
1270,2,2
1271,2,1
1272,0,1
1273,1,2
1274,3,2
1275,2,3
1276,2,2
1277,2,2
1278,1,3
1279,1,2
1280,0,1
1281,3,1
1282,3,3
1283,2,3
1284,2,1
1285,3,3
1286,2,3
1287,3,2
1288,0,1
1289,3,3
1290,1,2
1291,0,2
1292,0,3
1293,3,1
1294,3,3
1295,0,0
1296,0,3
1297,0,1
1298,3,1
1299,1,2
1300,0,1
1301,3,3
1302,0,1
1303,3,0
1304,3,0
1305,1,3
1306,3,3
1307,0,1
1308,0,2
1309,3,3
1310,3,3
1311,0,0
1312,1,3
1313,1,1
1314,2,1
1315,0,1
1316,0,1
1317,2,1
1318,1,3
1319,0,3
1320,1,1
1321,3,3
1322,2,1
1323,2,3
1324,2,1
1325,0,3
1326,1,1
1327,3,2
1328,1,3
1329,2,1
1330,2,1
1331,3,3
1332,2,3
1333,0,0
1334,1,3
1335,3,3
1336,3,3
1337,0,3
1338,2,3
1339,1,1
1340,0,1
1341,1,1
1342,2,3
1343,1,3
1344,2,3
1345,2,0
1346,0,3
1347,1,3
1348,2,1
1349,3,3
1350,3,1
1351,1,3
1352,2,1
1353,0,3
1354,2,1
1355,0,1
1356,0,1
1357,3,1
1358,3,1
