,cluster_id,cluster_tslearn
0,7,3
1,7,4
2,5,5
3,7,0
4,3,7
5,3,2
6,1,5
7,8,3
8,0,3
9,6,0
10,5,6
11,7,0
12,6,0
13,7,5
14,7,7
15,3,0
16,6,1
17,8,5
18,1,3
19,6,1
20,2,0
21,1,5
22,5,5
23,7,6
24,6,4
25,7,0
26,3,0
27,2,3
28,1,8
29,1,4
30,7,0
31,6,7
32,6,0
33,6,0
34,7,0
35,1,7
36,1,3
37,8,0
38,8,3
39,8,0
40,1,7
41,1,3
42,8,0
43,8,1
44,8,0
45,8,3
46,5,5
47,8,0
48,7,3
49,4,3
50,5,0
51,7,1
52,7,5
53,3,0
54,1,5
55,8,7
56,6,3
57,3,0
58,7,0
59,5,0
60,2,0
61,6,5
62,0,0
63,7,1
64,6,0
65,7,7
66,7,0
67,7,0
68,2,0
69,2,6
70,8,5
71,7,0
72,3,0
73,1,1
74,6,7
75,7,5
76,3,5
77,5,3
78,6,0
79,6,0
80,5,0
81,8,5
82,4,0
83,7,0
84,8,3
85,7,0
86,1,0
87,8,1
88,6,1
89,0,6
90,6,3
91,5,0
92,0,7
93,6,8
94,7,0
95,2,0
96,5,0
97,7,0
98,5,0
99,2,0
100,6,5
101,8,5
102,7,3
103,6,0
104,5,0
105,2,0
106,8,3
107,6,1
108,1,8
109,2,7
110,1,5
111,2,7
112,5,0
113,6,3
114,5,0
115,7,8
116,7,0
117,2,1
118,2,6
119,1,0
120,6,1
121,8,5
122,8,1
123,6,0
124,0,7
125,3,0
126,7,0
127,1,0
128,1,5
129,6,1
130,2,5
131,7,1
132,8,1
133,7,1
134,7,6
135,1,5
136,7,1
137,8,6
138,7,5
139,7,1
140,5,1
141,2,6
142,2,1
143,2,1
144,8,1
145,7,4
146,2,1
147,5,1
148,2,1
149,1,5
150,2,1
151,5,1
152,7,1
153,2,6
154,7,1
155,6,1
156,1,1
157,3,1
158,1,6
159,6,1
160,0,6
161,7,1
162,6,4
163,6,6
164,1,0
165,5,1
166,2,1
167,0,1
168,2,8
169,1,5
170,7,8
171,7,6
172,1,6
173,3,1
174,3,1
175,3,1
176,8,1
177,8,1
178,0,1
179,7,1
180,5,1
181,8,5
182,1,1
183,7,4
184,6,0
185,8,6
186,2,1
187,8,1
188,1,5
189,5,1
190,2,1
191,6,5
192,7,1
193,7,1
194,7,6
195,2,0
196,2,6
197,1,1
198,7,1
199,7,6
200,7,5
201,6,1
202,2,1
203,5,0
204,4,1
205,3,5
206,6,0
207,6,4
208,4,1
209,3,3
210,1,1
211,1,0
212,7,1
213,2,6
214,7,1
215,2,1
216,7,1
217,2,1
218,7,7
219,2,1
220,2,1
221,0,2
222,1,4
223,3,1
224,8,5
225,6,5
226,0,3
227,1,4
228,1,0
229,1,4
230,7,6
231,4,1
232,1,7
233,8,8
234,7,0
235,2,1
236,1,3
237,8,6
238,7,1
239,0,6
240,0,1
241,8,6
242,1,6
243,2,1
244,2,6
245,6,1
246,5,1
247,3,5
248,2,8
249,7,5
250,8,1
251,0,1
252,1,1
253,6,1
254,7,1
255,5,5
256,2,1
257,8,0
258,1,3
259,1,0
260,8,0
261,1,5
262,8,4
263,7,0
264,3,0
265,5,0
266,6,0
267,8,0
268,7,1
269,8,0
270,4,0
271,6,0
272,2,4
273,7,0
274,3,0
275,8,8
276,7,0
277,7,0
278,6,7
279,7,5
280,3,0
281,5,0
282,8,1
283,0,0
284,3,5
285,8,4
286,7,0
287,2,0
288,8,0
289,7,4
290,4,0
291,7,0
292,2,4
293,1,0
294,7,4
295,2,0
296,6,5
297,2,0
298,7,0
299,3,0
300,2,0
301,7,1
302,2,0
303,3,5
304,6,8
305,3,0
306,3,0
307,6,0
308,6,0
309,5,0
310,2,4
311,8,5
312,5,0
313,1,5
314,5,4
315,2,1
316,3,0
317,3,0
318,6,0
319,8,5
320,3,5
321,8,5
322,8,0
323,7,4
324,0,0
325,2,0
326,1,5
327,8,0
328,1,2
329,5,0
330,2,0
331,0,0
332,7,0
333,6,4
334,3,0
335,0,5
336,2,0
337,7,5
338,3,0
339,6,4
340,2,0
341,8,5
342,7,0
343,7,0
344,3,0
345,7,0
346,0,0
347,6,0
348,2,4
349,2,0
350,8,4
351,5,1
352,3,0
353,3,0
354,8,1
355,5,0
356,3,0
357,7,0
358,6,0
359,1,4
360,3,0
361,7,4
362,5,0
363,2,0
364,5,0
365,6,4
366,8,0
367,6,8
368,6,8
369,1,6
370,2,0
371,6,5
372,7,5
373,7,0
374,2,0
375,7,1
376,7,4
377,5,0
378,3,4
379,7,0
380,8,5
381,3,5
382,3,0
383,8,5
384,5,1
385,4,4
386,7,1
387,8,3
388,2,0
389,7,1
390,6,1
391,6,1
392,1,3
393,8,4
394,8,6
395,2,3
396,5,1
397,3,1
398,7,1
399,1,0
400,4,0
401,1,2
402,3,0
403,2,1
404,8,4
405,2,0
406,8,3
407,7,1
408,1,1
409,1,7
410,2,1
411,8,1
412,8,1
413,2,0
414,7,3
415,0,1
416,3,3
417,8,6
418,6,0
419,5,1
420,8,5
421,8,1
422,2,1
423,8,3
424,3,1
425,4,6
426,6,2
427,2,6
428,4,3
429,2,6
430,6,3
431,3,1
432,8,1
433,3,4
434,4,6
435,2,1
436,8,3
437,4,1
438,7,4
439,1,3
440,7,1
441,0,3
442,3,4
443,3,3
444,7,1
445,7,1
446,0,3
447,7,1
448,7,1
449,4,1
450,6,1
451,1,4
452,2,7
453,1,4
454,6,1
455,5,8
456,7,4
457,3,3
458,6,1
459,2,1
460,6,0
461,3,1
462,0,3
463,2,1
464,8,3
465,8,1
466,2,1
467,3,1
468,8,1
469,3,1
470,0,6
471,8,1
472,4,1
473,8,8
474,1,8
475,3,1
476,1,1
477,6,3
478,7,0
479,2,0
480,3,0
481,5,1
482,3,3
483,2,2
484,6,1
485,6,1
486,6,4
487,8,3
488,2,1
489,7,1
490,4,1
491,8,4
492,8,1
493,6,4
494,6,3
495,5,1
496,8,1
497,2,0
498,1,4
499,1,0
500,1,1
501,1,1
502,4,3
503,8,3
504,7,1
505,6,1
506,7,4
507,7,4
508,2,1
509,6,6
510,3,1
511,7,1
512,0,8
513,8,6
514,8,8
515,8,8
516,6,8
517,3,8
518,1,7
519,1,5
520,3,8
521,2,1
522,5,8
523,4,5
524,3,8
525,4,8
526,8,5
527,8,6
528,2,1
529,3,2
530,8,4
531,5,8
532,7,8
533,8,6
534,8,8
535,2,8
536,8,8
537,3,5
538,3,2
539,4,7
540,1,5
541,0,1
542,7,8
543,7,8
544,7,6
545,8,0
546,1,8
547,4,0
548,6,8
549,2,8
550,6,8
551,8,8
552,2,2
553,2,8
554,2,8
555,7,8
556,6,1
557,4,0
558,2,4
559,0,8
560,8,8
561,7,8
562,1,8
563,6,8
564,4,4
565,7,1
566,8,8
567,4,2
568,7,6
569,1,5
570,7,8
571,6,6
572,7,2
573,0,8
574,6,8
575,2,2
576,3,2
577,2,4
578,2,8
579,8,8
580,2,8
581,6,8
582,8,8
583,3,5
584,8,8
585,2,2
586,7,1
587,1,1
588,1,1
589,1,7
590,2,8
591,7,8
592,3,1
593,8,1
594,0,3
595,7,2
596,2,2
597,3,8
598,7,8
599,7,3
600,6,5
601,7,8
602,3,0
603,4,8
604,7,8
605,1,1
606,6,5
607,2,1
608,7,8
609,8,6
610,3,8
611,8,2
612,2,8
613,8,1
614,6,2
615,8,0
616,2,8
617,2,5
618,7,8
619,8,1
620,7,4
621,8,5
622,2,8
623,6,0
624,1,1
625,1,5
626,8,8
627,6,2
628,7,8
629,4,4
630,0,8
631,7,8
632,0,2
633,2,8
634,4,1
635,7,8
636,6,2
637,8,5
638,8,4
639,2,2
640,8,8
641,4,8
642,5,1
643,3,1
644,7,1
645,8,1
646,8,1
647,3,4
648,8,8
649,6,1
650,7,0
651,6,8
652,3,8
653,1,2
654,2,1
655,2,1
656,5,0
657,1,1
658,6,1
659,4,7
660,8,8
661,8,5
662,2,0
663,8,6
664,2,8
665,7,1
666,7,1
667,6,4
668,8,8
669,0,8
670,3,8
671,2,1
672,8,1
673,8,2
674,8,1
675,3,1
676,3,1
677,7,8
678,4,6
679,7,1
680,6,6
681,7,8
682,0,1
683,2,1
684,8,8
685,8,1
686,2,4
687,3,1
688,7,1
689,1,1
690,6,6
691,1,6
692,7,4
693,2,4
694,1,1
695,1,0
696,8,1
697,6,0
698,2,1
699,5,4
700,1,0
701,7,1
702,6,8
703,7,1
704,3,1
705,7,0
706,7,1
707,1,4
708,3,1
709,2,1
710,7,1
711,7,1
712,2,1
713,3,0
714,3,1
715,7,8
716,7,1
717,5,8
718,3,0
719,7,1
720,6,1
721,1,1
722,1,1
723,1,0
724,2,1
725,5,1
726,7,1
727,5,8
728,5,1
729,5,0
730,2,0
731,2,8
732,1,1
733,6,8
734,0,1
735,7,1
736,2,0
737,5,1
738,8,1
739,6,0
740,7,8
741,7,8
742,0,3
743,4,8
744,4,8
745,8,1
746,4,8
747,0,3
748,1,1
749,2,0
750,2,1
751,2,1
752,8,0
753,1,8
754,7,1
755,1,1
756,8,3
757,3,8
758,7,0
759,7,8
760,7,1
761,0,1
762,7,8
763,1,6
764,8,8
765,7,1
766,7,1
767,7,0
768,0,1
769,3,1
770,2,0
771,2,8
772,2,2
773,3,1
774,8,2
775,1,1
776,8,1
777,8,0
778,8,3
779,7,0
780,8,5
781,6,0
782,6,1
783,7,0
784,4,1
785,8,1
786,2,1
787,7,0
788,6,5
789,8,1
790,1,1
791,2,1
792,7,7
793,6,1
794,0,7
795,0,3
796,6,3
797,6,1
