,cluster_id,cluster_tslearn
0,1,3
1,1,3
2,0,3
3,3,3
4,3,3
5,2,3
6,2,3
7,0,3
8,0,3
9,1,3
10,1,3
11,2,3
12,0,3
13,0,3
14,3,3
15,2,3
16,3,3
17,0,3
18,3,3
19,3,3
20,3,3
21,0,3
22,2,3
23,2,3
24,1,3
25,1,3
26,3,3
27,2,3
28,2,3
29,1,3
30,1,3
31,3,3
32,3,3
33,1,3
34,0,3
35,1,3
36,2,3
37,0,3
38,1,3
39,3,3
40,0,3
41,3,3
42,3,3
43,1,3
44,2,3
45,3,3
46,3,3
47,0,3
48,1,3
49,1,3
50,2,3
51,2,3
52,2,3
53,3,3
54,2,3
55,1,3
56,3,3
57,0,3
58,1,3
59,0,3
60,0,3
61,1,3
62,1,3
63,2,3
64,1,3
65,0,3
66,1,3
67,2,3
68,2,3
69,2,3
70,3,3
71,0,3
72,2,3
73,3,3
74,1,3
75,1,3
76,1,3
77,2,3
78,3,3
79,2,3
80,0,3
81,1,3
82,3,3
83,1,3
84,3,3
85,3,3
86,3,3
87,3,3
88,2,3
89,3,3
90,1,3
91,2,3
92,1,3
93,2,3
94,2,3
95,2,3
96,0,3
97,3,3
98,2,3
99,1,3
100,3,3
101,2,3
102,3,3
103,2,3
104,3,3
105,2,3
106,0,3
107,1,3
108,3,3
109,2,3
110,3,3
111,2,3
112,2,3
113,3,3
114,1,3
115,2,3
116,2,3
117,0,3
118,3,3
119,3,3
120,3,3
121,3,3
122,0,3
123,1,3
124,1,3
125,3,3
126,1,3
127,0,3
128,3,2
129,0,0
130,1,2
131,3,2
132,0,2
133,0,0
134,2,0
135,3,0
136,0,0
137,2,2
138,1,0
139,3,0
140,1,2
141,0,2
142,2,0
143,1,1
144,0,2
145,3,0
146,1,1
147,2,0
148,1,2
149,1,0
150,3,0
151,2,0
152,1,0
153,1,2
154,2,0
155,3,2
156,1,0
157,2,1
158,3,2
159,3,1
160,1,0
161,2,0
162,0,1
163,1,2
164,2,0
165,0,0
166,1,1
167,2,1
168,3,0
169,0,0
170,0,2
171,1,0
172,1,0
173,3,0
174,2,1
175,0,2
176,1,1
177,0,2
178,3,2
179,1,1
180,1,1
181,3,2
182,1,2
183,2,0
184,2,0
185,1,2
186,0,0
187,3,0
188,0,2
189,1,0
190,3,0
191,1,1
192,0,2
193,3,1
194,1,2
195,2,0
196,3,0
197,1,0
198,3,0
199,0,0
200,2,0
201,2,0
202,3,0
203,2,0
204,1,2
205,2,0
206,0,0
207,1,0
208,1,1
209,0,0
210,0,0
211,0,2
212,3,1
213,3,2
214,1,1
215,0,0
216,0,0
217,0,0
218,1,1
219,2,0
220,3,2
221,2,0
222,3,2
223,1,1
224,3,0
225,3,0
226,3,0
227,1,2
228,0,1
229,1,0
230,2,0
231,0,1
232,0,1
233,3,2
234,0,0
235,0,0
236,2,0
237,2,0
238,2,1
239,3,1
240,2,0
241,2,0
242,2,0
243,2,0
244,3,0
245,3,1
246,3,1
247,0,2
248,1,2
249,2,0
250,3,0
251,2,0
252,0,0
253,0,0
254,0,0
255,2,1
256,0,2
257,1,3
258,0,2
259,1,3
260,2,2
261,1,2
262,3,3
263,1,2
264,2,2
265,1,2
266,0,2
267,1,2
268,0,2
269,1,2
270,0,2
271,0,2
272,3,2
273,0,2
274,0,2
275,3,2
276,2,2
277,0,2
278,3,2
279,3,2
280,1,2
