,cluster_id,cluster_tslearn
0,7,2
1,7,2
2,5,1
3,7,2
4,3,2
5,3,2
6,1,2
7,8,2
8,0,2
9,6,2
10,5,2
11,7,2
12,6,4
13,7,2
14,7,4
15,3,0
16,6,2
17,8,4
18,1,5
19,6,2
20,2,3
21,1,7
22,5,8
23,7,2
24,6,2
25,7,5
26,3,2
27,2,2
28,1,6
29,1,2
30,7,2
31,6,2
32,6,2
33,6,2
34,7,4
35,1,2
36,1,6
37,8,2
38,8,2
39,8,2
40,1,2
41,1,2
42,8,2
43,8,2
44,8,8
45,8,2
46,5,1
47,8,2
48,7,2
49,4,0
50,5,2
51,7,2
52,7,6
53,3,7
54,1,4
55,8,0
56,6,2
57,3,2
58,7,4
59,5,2
60,2,4
61,6,2
62,0,2
63,7,2
64,6,2
65,7,8
66,7,2
67,7,4
68,2,2
69,2,2
70,8,2
71,7,2
72,3,2
73,1,2
74,6,8
75,7,6
76,3,0
77,5,2
78,6,2
79,6,2
80,5,1
81,8,7
82,4,0
83,7,2
84,8,1
85,7,4
86,1,7
87,8,2
88,6,2
89,0,2
90,6,2
91,5,2
92,0,2
93,6,5
94,7,2
95,2,2
96,5,8
97,7,2
98,5,2
99,2,2
100,6,6
101,8,2
102,7,2
103,6,5
104,5,4
105,2,2
106,8,2
107,6,2
108,1,2
109,2,2
110,1,2
111,2,2
112,5,2
113,6,2
114,5,2
115,7,1
116,7,2
117,2,8
118,2,2
119,1,2
120,6,2
121,8,1
122,8,2
123,6,2
124,0,2
125,3,2
126,7,2
127,1,0
128,1,8
129,6,7
130,2,8
131,7,7
132,8,8
133,7,8
134,7,8
135,1,1
136,7,6
137,8,8
138,7,4
139,7,7
140,5,2
141,2,1
142,2,8
143,2,8
144,8,8
145,7,8
146,2,8
147,5,3
148,2,8
149,1,1
150,2,8
151,5,8
152,7,8
153,2,8
154,7,6
155,6,8
156,1,1
157,3,8
158,1,8
159,6,3
160,0,8
161,7,8
162,6,8
163,6,8
164,1,8
165,5,2
166,2,8
167,0,8
168,2,8
169,1,8
170,7,8
171,7,8
172,1,8
173,3,8
174,3,8
175,3,8
176,8,6
177,8,8
178,0,8
179,7,8
180,5,6
181,8,5
182,1,8
183,7,8
184,6,3
185,8,2
186,2,8
187,8,8
188,1,8
189,5,8
190,2,8
191,6,7
192,7,8
193,7,6
194,7,7
195,2,8
196,2,8
197,1,1
198,7,6
199,7,6
200,7,8
201,6,8
202,2,8
203,5,5
204,4,6
205,3,7
206,6,3
207,6,8
208,4,2
209,3,8
210,1,8
211,1,8
212,7,8
213,2,8
214,7,8
215,2,8
216,7,6
217,2,2
218,7,8
219,2,8
220,2,1
221,0,8
222,1,8
223,3,0
224,8,5
225,6,8
226,0,8
227,1,8
228,1,8
229,1,8
230,7,7
231,4,8
232,1,8
233,8,8
234,7,8
235,2,5
236,1,8
237,8,3
238,7,0
239,0,8
240,0,8
241,8,8
242,1,1
243,2,8
244,2,8
245,6,7
246,5,8
247,3,8
248,2,8
249,7,8
250,8,8
251,0,8
252,1,8
253,6,8
254,7,8
255,5,8
256,2,4
257,8,4
258,1,4
259,1,5
260,8,4
261,1,4
262,8,7
263,7,6
264,3,4
265,5,4
266,6,8
267,8,4
268,7,4
269,8,7
270,4,1
271,6,4
272,2,4
273,7,4
274,3,4
275,8,4
276,7,4
277,7,1
278,6,4
279,7,4
280,3,4
281,5,4
