,Unnamed: 0,time,event
0,0,1,36
1,1,1,15
2,2,1,24
3,3,2,25
4,4,2,35
5,5,2,11
6,6,3,4
7,7,3,36
8,8,3,1
9,9,3,9
10,10,3,11
11,11,4,31
12,12,4,1
13,13,5,15
14,14,5,1
15,15,5,11
16,16,6,15
17,17,6,23
18,18,6,1
19,19,6,9
20,20,7,36
21,21,7,15
22,22,7,1
23,23,9,2
24,24,10,1
25,25,11,25
26,26,11,9
27,27,12,3
28,28,12,1
29,29,13,1
30,30,14,24
32,32,15,15
33,33,15,3
34,34,16,15
35,35,16,1
36,36,17,3
38,38,17,72
39,39,18,25
40,40,18,1
41,41,18,9
42,42,19,15
43,43,19,1
44,44,19,11
45,45,20,36
46,46,20,1
47,47,21,28
48,48,21,25
49,49,21,64
50,50,21,1
51,51,21,11
52,52,22,1
53,53,23,25
54,54,23,24
55,55,23,1
56,56,26,11
57,57,27,15
59,59,27,1
60,60,27,8
61,61,27,11
62,62,28,2
63,63,28,1
64,64,29,4
65,65,29,15
66,66,29,3
67,67,30,25
68,68,31,11
69,69,32,15
70,70,33,3
71,71,33,1
72,72,33,11
73,73,34,1
74,74,35,36
75,75,35,1
76,76,36,15
77,77,37,1
78,78,38,3
79,79,39,18
81,81,40,15
82,82,41,4
83,83,41,11
84,84,42,36
85,85,42,1
86,86,42,9
87,87,42,11
88,88,44,15
89,89,45,15
90,90,45,3
91,91,46,15
92,92,46,72
93,93,47,15
94,94,48,3
95,95,48,35
96,96,48,1
97,97,49,15
98,98,49,91
99,99,50,1
100,100,51,25
101,101,51,15
102,102,52,15
103,103,52,1
104,104,52,11
105,105,53,72
106,106,53,11
107,107,54,2
108,108,55,1
110,110,56,1
111,111,56,11
112,112,57,3
114,114,59,1
115,115,60,25
116,116,60,18
117,117,61,15
118,118,61,3
119,119,62,36
120,120,62,1
121,121,63,4
122,122,63,36
123,123,64,15
124,124,64,39
125,125,64,1
126,126,65,1
127,127,66,15
128,128,68,91
129,129,68,3
130,130,68,18
131,131,68,1
132,132,69,1
133,133,70,15
134,134,70,18
135,135,70,1
136,136,71,1
137,137,72,29
139,139,73,15
140,140,73,3
141,141,74,15
142,142,75,4
143,143,75,1
144,144,75,11
145,145,76,25
146,146,76,18
147,147,77,1
148,148,78,3
149,149,79,36
150,150,79,1
152,152,80,1
153,153,81,15
154,154,81,13
155,155,81,1
156,156,83,18
158,158,83,1
159,159,84,47
160,160,84,18
161,161,84,1
162,162,85,15
163,163,85,2
164,164,86,1
165,165,87,3
166,166,87,19
167,167,89,1
168,168,90,48
169,169,91,2
170,170,91,3
171,171,92,24
172,172,92,1
174,174,93,1
175,175,94,1
176,176,97,1
177,177,98,1
178,178,99,15
179,179,99,1
180,180,101,1
181,181,102,1
182,182,103,3
183,183,103,1
184,184,104,29
185,185,104,36
186,186,104,1
187,187,104,9
188,188,106,2
189,189,106,1
190,190,107,15
191,191,108,1
192,192,109,91
193,193,109,1
194,194,109,54
195,195,110,3
196,196,111,15
197,197,112,54
198,198,113,1
199,199,115,1
200,200,116,15
201,201,117,3
202,202,117,1
203,203,119,1
204,204,120,24
205,205,120,39
206,206,120,1
207,207,120,9
208,208,120,11
209,209,122,1
210,210,123,1
211,211,124,1
212,212,125,2
213,213,125,1
214,214,126,4
215,215,126,36
216,216,126,24
217,217,126,1
218,218,126,9
219,219,128,1
220,220,129,1
221,221,131,26
222,222,131,1
223,223,132,3
224,224,132,1
225,225,132,11
226,226,133,2
227,227,133,1
228,228,134,1
229,229,135,1
230,230,136,11
231,231,137,1
232,232,138,39
233,233,138,91
234,234,139,1
235,235,141,1
236,236,142,4
237,237,143,18
238,238,143,1
239,239,144,1
240,240,145,3
241,241,146,1
242,242,147,1
243,243,149,1
244,244,150,36
245,245,150,3
246,246,150,1
247,247,151,2
248,248,151,1
249,249,152,1
250,250,153,1
251,251,153,9
252,252,154,11
253,253,155,1
254,254,156,1
255,255,157,3
256,256,157,1
257,257,159,3
258,258,159,1
259,259,160,36
260,260,160,24
261,261,160,3
262,262,160,26
263,263,160,18
264,264,160,1
265,265,161,36
266,266,161,1
267,267,162,2
268,268,162,1
269,269,164,4
270,270,164,29
271,271,164,3
272,272,165,36
273,273,165,24
274,274,165,91
275,275,165,1
276,276,166,26
277,277,166,1
278,278,167,25
279,279,168,23
280,280,168,1
281,281,169,25
282,282,169,1
283,283,170,36
284,284,170,25
285,285,170,1
286,286,170,11
287,287,171,29
288,288,171,1
289,289,172,25
290,290,172,15
291,291,175,4
292,292,175,36
293,293,175,3
294,294,175,1
295,295,176,2
296,296,176,1
297,297,177,3
298,298,178,1
299,299,179,1
300,300,180,24
301,301,180,1
302,302,181,1
303,303,183,1
304,304,183,11
305,305,184,11
306,306,185,18
307,307,185,1
308,308,186,1
309,309,187,1
310,310,188,1
311,311,189,3
312,312,189,1
313,313,190,39
314,314,190,1
315,315,191,4
316,316,191,1
317,317,192,21
318,318,193,3
319,319,193,1
320,320,194,2
321,321,195,2
322,322,195,1
323,323,196,21
325,325,196,1
326,326,197,1
327,327,198,3
328,328,198,1
329,329,199,36
330,330,199,1
331,331,200,25
332,332,200,3
333,333,201,25
334,334,201,1
335,335,201,11
336,336,202,91
337,337,202,1
338,338,203,46
339,339,204,4
340,340,204,1
341,341,205,1
342,342,206,3
343,343,207,4
344,344,207,1
345,345,208,36
346,346,208,1
347,347,209,18
348,348,209,1
349,349,210,1
350,350,211,5
351,351,211,1
352,352,212,1
353,353,213,3
354,354,213,1
355,355,214,23
356,356,214,1
357,357,216,3
358,358,216,13
359,359,217,4
360,360,217,26
361,361,217,1
362,362,219,3
363,363,221,13
364,364,222,18
365,365,222,9
366,366,222,11
367,367,223,4
368,368,223,13
369,369,224,2
370,370,224,18
371,371,224,1
372,372,225,1
373,373,226,43
374,374,226,39
375,375,226,1
376,376,226,11
377,377,228,28
378,378,228,1
379,379,229,36
380,380,229,3
381,381,229,1
382,382,229,11
383,383,230,2
384,384,230,1
385,385,231,36
386,386,231,24
387,387,231,3
388,388,231,1
389,389,232,25
390,390,232,1
391,391,232,11
392,392,233,1
393,393,234,18
394,394,234,1
395,395,235,1
396,396,236,25
397,397,236,1
398,398,236,11
399,399,237,1
400,400,238,3
401,401,238,1
402,402,239,1
403,403,240,1
404,404,241,1
405,405,242,1
406,406,243,1
407,407,244,1
408,408,245,36
409,409,245,1
410,410,246,3
411,411,246,1
412,412,247,35
413,413,247,1
414,414,248,28
415,415,248,1
416,416,249,25
417,417,249,1
418,418,250,25
419,419,250,3
420,420,250,1
421,421,251,25
422,422,251,18
423,423,252,36
424,424,252,2
425,425,252,91
426,426,252,1
427,427,253,36
428,428,253,3
429,429,253,1
430,430,254,1
431,431,257,1
432,432,258,24
433,433,258,18
434,434,259,36
435,435,259,25
436,436,259,1
437,437,260,48
438,438,260,3
439,439,260,1
440,440,262,1
441,441,263,4
443,443,264,1
444,444,265,3
445,445,265,1
446,446,265,11
447,447,266,25
448,448,266,1
449,449,266,9
450,450,267,1
451,451,268,80
452,452,268,2
453,453,268,3
454,454,268,1
455,455,270,24
456,456,270,39
457,457,270,1
458,458,270,8
459,459,271,37
460,460,272,1
461,461,273,31
462,462,273,25
463,463,273,3
464,464,273,18
465,465,273,1
466,466,274,1
467,467,275,1
468,468,276,4
469,469,276,1
470,470,277,4
471,471,277,25
472,472,277,1
473,473,278,25
474,474,278,23
475,475,278,11
476,476,279,1
477,477,280,1
478,478,281,1
479,479,282,1
480,480,283,91
482,482,284,1
483,483,285,1
484,484,286,1
485,485,287,4
486,486,287,25
487,487,287,35
488,488,287,9
489,489,288,1
490,490,289,1
491,491,290,22
492,492,290,1
493,493,291,2
494,494,291,3
495,495,291,1
496,496,292,3
497,497,293,36
498,498,293,1
499,499,294,18
500,500,294,1
501,501,294,8
502,502,295,36
503,503,295,24
504,504,296,1
505,505,297,1
506,506,298,58
507,507,298,1
508,508,299,3
509,509,300,29
510,510,300,1
511,511,301,4
512,512,301,39
513,513,301,1
514,514,302,3
515,515,302,1
516,516,303,2
517,517,303,18
518,518,303,1
519,519,304,1
520,520,305,36
521,521,305,1
522,522,306,1
523,523,307,53
524,524,307,3
525,525,307,1
526,526,308,18
527,527,308,9
528,528,309,25
529,529,309,11
530,530,310,39
531,531,310,3
532,532,310,1
533,533,311,25
534,534,311,35
535,535,311,1
536,536,312,25
537,537,312,1
538,538,312,11
539,539,314,4
540,540,314,25
541,541,314,1
542,542,314,11
543,543,315,3
544,544,315,1
545,545,317,3
546,546,317,1
547,547,319,29
548,548,319,1
549,549,320,4
550,550,321,1
551,551,323,1
553,553,325,3
554,554,325,1
555,555,326,3
556,556,326,1
557,557,327,1
558,558,327,11
559,559,330,21
560,560,330,3
561,561,330,1
562,562,331,29
563,563,332,48
564,564,332,25
565,565,332,24
566,566,332,3
567,567,333,25
568,568,333,1
569,569,333,8
570,570,334,25
571,571,336,1
572,572,337,1
573,573,338,1
574,574,339,64
575,575,340,3
576,576,341,3
577,577,343,3
578,578,346,25
579,579,353,3
580,580,356,1
581,581,360,24
582,582,360,3
583,583,360,1
584,584,361,72
585,585,362,1
586,586,363,2
587,587,363,24
589,589,363,18
590,590,363,1
591,591,364,25
592,592,364,18
593,593,364,1
594,594,365,25
595,595,365,18
596,596,366,31
598,598,366,11
599,599,367,28
600,600,367,1
601,601,368,48
602,602,368,1
603,603,368,9
604,604,369,25
605,605,369,1
606,606,369,11
607,607,370,1
608,608,370,54
609,609,370,11
610,610,371,1
611,611,372,1
612,612,374,1
613,613,375,29
614,614,375,3
615,615,376,1
616,616,377,1
617,617,377,72
618,618,378,36
619,619,378,1
620,620,378,11
621,621,379,1
622,622,380,1
623,623,381,1
624,624,382,1
625,625,383,1
626,626,384,0
627,627,384,39
628,628,384,1
630,630,385,43
631,631,385,25
632,632,385,1
633,633,385,11
634,634,386,1
635,635,388,3
637,637,400,3
639,639,405,4
640,640,405,25
641,641,405,13
642,642,405,18
643,643,405,1
644,644,407,1
645,645,408,2
646,646,408,1
647,647,412,3
648,648,417,36
649,649,422,3
651,651,424,1
652,652,425,1
653,653,426,3
654,654,426,1
655,655,427,43
656,656,428,1
657,657,429,2
658,658,429,33
659,659,429,3
660,660,429,1
661,661,430,1
662,662,431,36
663,663,431,1
664,664,431,11
665,665,432,35
666,666,433,36
667,667,433,1
668,668,433,11
669,669,434,29
670,670,434,1
671,671,435,1
672,672,436,25
673,673,436,11
674,674,437,25
675,675,437,1
676,676,438,3
677,677,438,1
678,678,439,3
679,679,439,1
680,680,440,36
681,681,440,1
682,682,441,1
683,683,442,1
684,684,445,3
685,685,446,1
686,686,447,3
688,688,452,1
689,689,453,11
690,690,454,3
691,691,454,26
692,692,454,18
693,693,454,1
694,694,455,36
695,695,455,1
696,696,456,1
697,697,458,3
698,698,458,1
699,699,458,11
700,700,459,28
701,701,459,1
702,702,460,1
703,703,461,2
704,704,461,1
705,705,462,15
706,706,462,1
707,707,464,3
708,708,465,23
709,709,465,1
710,710,466,11
711,711,467,1
712,712,468,3
713,713,468,11
714,714,470,36
715,715,471,25
716,716,471,1
717,717,471,8
718,718,471,11
719,719,472,1
720,720,473,4
721,721,473,1
722,722,475,1
723,723,476,54
724,724,477,1
725,725,478,3
726,726,478,1
727,727,478,11
728,728,479,25
729,729,479,1
730,730,480,3
731,731,481,1
732,732,485,4
733,733,485,23
734,734,485,24
735,735,485,3
736,736,485,1
737,737,485,11
738,738,486,2
739,739,486,1
740,740,488,21
741,741,488,1
742,742,489,1
743,743,490,1
744,744,492,1
745,745,493,36
746,746,493,1
747,747,494,1
748,748,496,39
749,749,496,3
750,750,496,1
751,751,497,1
752,752,499,1
753,753,500,1
754,754,501,4
755,755,501,2
756,756,501,3
757,757,501,1
758,758,502,21
759,759,502,31
760,760,502,3
761,761,502,11
762,762,503,1
763,763,512,1
764,764,513,3
766,766,513,1
767,767,515,1
768,768,517,4
769,769,517,21
770,770,517,23
771,771,517,1
772,772,518,35
773,773,518,11
774,774,519,1
775,775,520,3
776,776,520,1
777,777,521,36
778,778,521,1
779,779,522,1
780,780,523,32
781,781,523,1
782,782,524,2
783,783,524,1
784,784,525,1
785,785,525,8
786,786,526,14
787,787,526,2
788,788,526,1
789,789,526,11
790,790,527,1
791,791,528,1
792,792,529,1
793,793,531,24
794,794,531,1
795,795,532,1
796,796,533,24
797,797,533,39
798,798,533,3
799,799,533,1
800,800,533,11
801,801,534,1
802,802,535,4
803,803,535,24
804,804,535,1
805,805,536,3
806,806,536,32
807,807,536,1
808,808,537,31
809,809,537,24
810,810,538,4
811,811,538,11
812,812,539,25
813,813,539,1
814,814,540,1
815,815,547,3
816,816,547,11
817,817,548,15
818,818,549,25
820,820,551,55
821,821,551,9
822,822,552,15
823,823,552,13
824,824,552,18
825,825,552,11
826,826,553,15
827,827,553,3
828,828,553,1
829,829,554,15
830,830,554,18
831,831,554,19
832,832,554,9
833,833,554,11
834,834,555,1
835,835,555,9
836,836,556,28
837,837,556,24
838,838,556,1
839,839,558,4
840,840,558,1
841,841,559,5
842,842,559,2
843,843,560,21
845,845,560,1
846,846,561,48
847,847,562,1
848,848,563,1
849,849,564,1
850,850,565,25
851,851,565,3
852,852,565,1
853,853,566,36
854,854,566,24
855,855,566,1
856,856,567,35
857,857,567,1
858,858,569,23
859,859,569,32
860,860,569,1
861,861,570,25
862,862,570,1
863,863,571,3
864,864,572,11
865,865,577,3
866,866,581,3
867,867,586,1
868,868,587,3
870,870,587,1
871,871,588,39
872,872,588,1
873,873,590,31
874,874,590,15
875,875,590,1
876,876,591,4
877,877,591,3
878,878,591,1
879,879,592,2
881,881,593,4
882,882,593,1
883,883,593,11
884,884,594,24
885,885,594,3
886,886,594,1
887,887,595,1
888,888,596,1
889,889,597,1
890,890,598,1
891,891,599,1
892,892,600,3
893,893,600,1
894,894,601,3
895,895,608,24
896,896,608,39
897,897,609,3
898,898,609,10
899,899,610,48
900,900,610,3
901,901,610,1
902,902,611,25
903,903,611,1
904,904,612,21
905,905,612,1
906,906,613,1
907,907,614,1
908,908,614,11
909,909,615,2
910,910,615,3
911,911,615,35
912,912,615,18
913,913,615,1
914,914,616,1
915,915,617,3
917,917,617,11
918,918,618,35
919,919,618,1
920,920,619,1
921,921,619,9
922,922,620,3
923,923,620,35
924,924,620,1
925,925,621,1
926,926,621,9
927,927,622,1
928,928,623,1
929,929,625,4
930,930,625,25
931,931,625,3
932,932,625,1
933,933,626,3
934,934,626,1
935,935,626,72
936,936,627,4
937,937,627,35
938,938,627,1
939,939,628,15
940,940,628,2
941,941,628,1
942,942,629,1
943,943,630,1
944,944,631,48
945,945,633,1
946,946,634,4
947,947,634,1
948,948,635,3
949,949,635,32
950,950,635,1
951,951,636,3
952,952,636,1
953,953,636,9
955,955,637,8
956,956,637,11
957,957,639,2
958,958,639,1
959,959,641,1
960,960,642,1
961,961,642,11
962,962,643,25
963,963,643,23
964,964,643,24
965,965,644,3
966,966,644,18
967,967,644,1
968,968,645,3
969,969,645,1
970,970,646,0
971,971,647,25
972,972,648,1
973,973,649,1
974,974,650,29
975,975,651,36
976,976,651,2
977,977,651,3
978,978,651,1
979,979,651,9
980,980,654,1
981,981,656,1
982,982,657,4
983,983,657,1
984,984,658,3
985,985,658,1
986,986,658,11
987,987,659,1
989,989,660,2
991,991,660,1
992,992,661,1
993,993,662,36
994,994,662,25
995,995,662,3
996,996,662,1
997,997,665,82
998,998,667,1
999,999,668,3
1001,1001,668,1
1002,1002,668,11
1003,1003,669,1
1004,1004,669,11
1005,1005,670,36
1006,1006,670,3
1007,1007,670,1
1008,1008,671,3
1010,1010,671,19
1011,1011,673,2
1012,1012,674,25
1013,1013,674,1
1014,1014,676,29
1015,1015,676,1
1016,1016,676,72
1017,1017,677,3
1018,1018,677,1
1019,1019,678,36
1020,1020,678,24
1021,1021,678,16
1023,1023,678,11
1024,1024,679,2
1025,1025,679,1
1026,1026,679,72
1027,1027,679,11
1028,1028,680,1
1029,1029,681,3
1031,1031,682,1
1032,1032,682,72
1034,1034,683,1
1035,1035,684,36
1036,1036,684,1
1037,1037,684,11
1038,1038,686,4
1039,1039,686,1
1040,1040,686,11
1041,1041,688,1
1042,1042,689,4
1043,1043,689,1
1044,1044,689,11
1045,1045,690,1
1046,1046,691,1
1047,1047,692,1
1049,1049,695,82
1050,1050,697,36
1051,1051,697,1
1052,1052,698,1
1053,1053,699,31
1054,1054,699,3
1055,1055,699,1
1056,1056,699,11
1057,1057,700,1
1058,1058,700,9
1059,1059,700,11
