,cluster_id
0,1
1,1
2,0
3,3
4,3
5,2
6,2
7,0
8,0
9,1
10,1
11,2
12,0
13,0
14,3
15,2
16,3
17,0
18,3
19,3
20,3
21,0
22,2
23,2
24,1
25,1
26,3
27,2
28,2
29,1
30,1
31,3
32,3
33,1
34,0
35,1
36,2
37,0
38,1
39,3
40,0
41,3
42,3
43,1
44,2
45,3
46,3
47,0
48,1
49,1
50,2
51,2
52,2
53,3
54,2
55,1
56,3
57,0
58,1
59,0
60,0
61,1
62,1
63,2
64,1
65,0
66,1
67,2
68,2
69,2
70,3
71,0
72,2
73,3
74,1
75,1
76,1
77,2
78,3
79,2
80,0
81,1
82,3
83,1
84,3
85,3
86,3
87,3
88,2
89,3
90,1
91,2
92,1
93,2
94,2
95,2
96,0
97,3
98,2
99,1
100,3
101,2
102,3
103,2
104,3
105,2
106,0
107,1
108,3
109,2
110,3
111,2
112,2
113,3
114,1
115,2
116,2
117,0
118,3
119,3
120,3
121,3
122,0
123,1
124,1
125,3
126,1
127,0
128,3
129,0
130,1
131,3
132,0
133,0
134,2
135,3
136,0
137,2
138,1
139,3
140,1
141,0
142,2
143,1
144,0
145,3
146,1
147,2
148,1
149,1
150,3
151,2
152,1
153,1
154,2
155,3
156,1
157,2
158,3
159,3
160,1
161,2
162,0
163,1
164,2
165,0
166,1
167,2
168,3
169,0
170,0
171,1
172,1
173,3
174,2
175,0
176,1
177,0
178,3
179,1
180,1
181,3
182,1
183,2
184,2
185,1
186,0
187,3
188,0
189,1
190,3
191,1
192,0
193,3
194,1
195,2
196,3
197,1
198,3
199,0
200,2
201,2
202,3
203,2
204,1
205,2
206,0
207,1
208,1
209,0
210,0
211,0
212,3
213,3
214,1
215,0
216,0
217,0
218,1
219,2
220,3
221,2
222,3
223,1
224,3
225,3
226,3
227,1
228,0
229,1
230,2
231,0
232,0
233,3
234,0
235,0
236,2
237,2
238,2
239,3
240,2
241,2
242,2
243,2
244,3
245,3
246,3
247,0
248,1
249,2
250,3
251,2
252,0
253,0
254,0
255,2
256,0
257,1
258,0
259,1
260,2
261,1
262,3
263,1
264,2
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,3
273,0
274,0
275,3
276,2
277,0
278,3
279,3
280,1
281,0
282,0
283,1
284,3
285,0
286,3
287,3
288,0
289,0
290,1
291,3
292,2
293,3
294,1
295,1
296,0
297,2
298,1
299,1
300,0
301,0
302,2
303,0
304,3
305,1
306,1
307,3
308,3
309,2
310,0
311,0
312,1
313,3
314,0
315,1
316,2
317,1
318,1
319,2
320,1
321,1
322,1
323,2
324,0
325,0
326,2
327,2
328,2
329,2
330,3
331,0
332,1
333,0
334,1
335,3
336,0
337,0
338,1
339,2
340,0
341,1
342,1
343,0
344,1
345,0
346,1
347,3
348,1
349,0
350,2
351,3
352,1
353,0
354,2
355,3
356,2
357,0
358,2
359,1
360,1
361,0
362,0
363,0
364,1
365,3
366,2
367,3
368,3
369,2
370,2
371,0
372,0
373,1
374,0
375,3
376,2
377,3
378,3
379,0
380,2
381,1
382,3
383,1
384,3
385,3
386,0
387,2
388,2
389,0
390,2
391,0
392,0
393,0
394,3
395,3
396,2
397,1
398,1
399,1
400,0
401,2
402,3
403,1
404,2
405,3
406,0
407,1
408,2
409,2
410,0
411,2
412,1
413,0
414,0
415,3
416,1
417,0
418,3
419,2
420,2
421,3
422,3
423,3
424,0
425,2
426,3
427,0
428,3
429,3
430,0
431,2
432,2
433,2
434,3
435,0
436,2
437,2
438,1
439,3
440,2
441,0
442,3
443,1
444,1
445,0
446,3
447,1
448,1
449,0
450,3
451,3
452,0
453,3
454,0
455,1
456,3
457,0
458,1
459,0
460,2
461,2
462,3
463,3
464,2
465,3
466,3
467,0
468,1
469,2
470,2
471,3
472,0
473,1
474,1
475,1
476,2
477,2
478,0
479,0
480,3
481,2
482,0
483,0
484,3
485,3
486,1
487,2
488,1
489,2
490,1
491,0
492,3
493,2
494,0
495,1
496,1
497,1
498,1
499,3
500,1
501,1
502,2
503,0
504,2
505,3
506,3
507,1
508,3
509,0
510,0
511,1
512,1
513,1
514,3
515,1
516,1
517,1
518,3
519,1
520,3
521,3
522,2
523,0
524,3
525,2
526,0
527,0
528,0
529,0
530,1
531,0
532,3
533,2
534,1
535,2
536,3
537,3
538,3
539,0
540,1
541,0
542,3
543,0
544,1
545,3
546,2
547,3
548,3
549,1
550,2
551,0
552,3
553,0
554,2
555,0
556,2
557,3
558,1
559,0
560,2
561,2
562,0
563,2
564,3
565,3
566,0
567,3
568,3
569,1
570,0
571,3
572,1
573,3
574,0
575,0
576,3
577,2
578,2
579,3
580,0
581,3
582,1
583,0
584,2
585,2
586,1
587,1
588,0
589,3
590,3
591,1
592,2
593,3
594,0
595,3
596,2
597,1
598,0
599,1
600,1
601,3
602,1
603,1
604,1
605,0
606,3
607,2
608,3
609,2
610,2
611,3
612,0
613,0
614,3
615,0
616,3
617,2
618,3
619,2
620,1
621,2
622,3
623,2
624,3
625,0
626,0
627,3
628,2
629,0
630,3
631,0
632,3
633,1
634,2
635,2
636,1
637,0
638,1
639,2
640,0
641,3
642,0
643,1
644,3
645,3
646,3
647,1
648,2
649,3
650,0
651,1
652,0
653,3
654,1
655,3
656,1
657,3
658,1
659,3
660,0
661,3
662,3
663,0
664,2
665,2
666,0
667,1
668,2
669,1
670,0
671,0
672,3
673,2
674,0
675,1
676,2
677,1
678,3
679,0
680,3
681,3
682,2
683,3
684,3
685,3
686,1
687,2
688,3
689,2
690,0
691,3
692,3
693,2
694,2
695,0
696,1
697,3
698,0
699,3
700,3
701,0
702,2
703,3
704,0
705,0
706,3
707,0
708,2
709,1
710,2
711,2
712,3
713,2
714,0
715,1
716,2
717,0
718,2
719,1
720,1
721,2
722,3
723,2
724,0
725,2
726,3
727,3
728,2
729,1
730,1
731,0
732,3
733,3
734,2
735,2
736,3
737,0
738,0
739,2
740,1
741,1
742,0
743,1
744,3
745,2
746,1
747,2
748,3
749,3
750,1
751,1
752,3
753,2
754,1
755,3
756,3
757,1
758,2
759,2
760,3
761,2
762,1
763,1
764,3
765,2
766,1
767,1
768,1
769,0
770,0
771,3
772,2
773,1
774,2
775,1
776,2
777,3
778,0
779,0
780,2
781,0
782,1
783,0
784,0
785,1
786,3
787,0
788,0
789,0
790,1
791,2
792,0
793,3
794,0
795,1
796,1
797,3
798,0
799,0
800,1
801,3
802,1
803,2
804,0
805,1
806,2
807,3
808,3
809,3
810,1
811,1
