,cluster_id,time,seqlength,coh_cluster
0,2,35.7107,57,3
1,3,35.7107,150,6
2,4,35.7107,48,3
3,5,35.7107,35,3
4,5,35.7107,74,0
5,5,35.7107,147,1
6,1,35.7107,444,3
7,5,35.7107,159,5
8,3,35.7107,124,5
9,4,35.7107,99,5
10,3,35.7107,77,5
11,3,35.7107,100,6
12,4,35.7107,274,3
13,1,35.7107,473,3
14,3,35.7107,37,5
15,5,35.7107,106,3
16,0,35.7107,74,3
17,1,35.7107,157,3
18,3,35.7107,74,3
19,3,35.7107,72,4
20,4,35.7107,94,4
21,0,35.7107,131,3
22,1,35.7107,190,3
23,1,35.7107,108,3
24,1,35.7107,77,3
25,1,35.7107,52,3
26,3,35.7107,228,5
27,4,35.7107,41,5
28,5,35.7107,362,1
29,3,35.7107,147,3
30,4,35.7107,35,3
31,4,35.7107,431,4
32,5,35.7107,23,1
33,3,35.7107,1070,5
34,3,35.7107,19,5
35,1,35.7107,29,5
36,1,35.7107,161,5
37,3,35.7107,41,5
38,1,35.7107,426,3
39,3,35.7107,10,5
40,4,35.7107,249,6
41,5,35.7107,55,0
42,5,35.7107,10,1
43,0,35.7107,64,3
44,3,35.7107,84,5
45,3,35.7107,158,5
46,3,35.7107,18,5
47,3,35.7107,42,5
48,1,35.7107,9184,5
49,5,35.7107,107,3
50,0,35.7107,24,3
51,1,35.7107,57,3
52,0,35.7107,144,6
53,4,35.7107,458,3
54,0,35.7107,219,5
55,1,35.7107,869,3
56,0,35.7107,311,5
57,5,35.7107,100,5
58,3,35.7107,23,5
59,3,35.7107,48,6
60,3,35.7107,50,6
61,3,35.7107,171,5
62,5,35.7107,39,5
63,0,35.7107,44,5
64,3,35.7107,25,5
65,3,35.7107,144,3
66,0,35.7107,56,3
67,3,35.7107,36,6
68,2,35.7107,24,3
69,0,35.7107,155,5
70,1,35.7107,116,3
71,1,35.7107,97,3
72,1,35.7107,64,3
73,4,35.7107,112,4
74,4,35.7107,101,3
75,0,35.7107,221,3
76,5,35.7107,193,1
77,5,35.7107,610,1
78,5,35.7107,36,3
79,0,35.7107,104,6
80,3,35.7107,85,6
81,0,35.7107,114,3
82,0,35.7107,135,6
83,1,35.7107,391,3
84,5,35.7107,429,5
85,1,35.7107,72,3
86,3,35.7107,146,5
87,0,35.7107,62,3
88,4,35.7107,109,3
89,3,35.7107,14,5
90,1,35.7107,102,3
91,2,35.7107,17,3
92,0,35.7107,84,5
93,0,35.7107,206,3
94,3,35.7107,55,6
95,2,35.7107,64,3
96,3,35.7107,107,5
97,1,35.7107,11,3
98,0,35.7107,19,6
99,4,35.7107,81,3
100,0,35.7107,116,6
101,1,35.7107,209,3
102,0,35.7107,1630,3
103,0,35.7107,28,3
104,0,35.7107,116,3
105,1,35.7107,37,3
106,1,35.7107,44,3
107,0,35.7107,121,5
108,3,35.7107,51,5
109,1,35.7107,40,5
110,1,35.7107,50,3
111,3,35.7107,1714,5
112,1,35.7107,217,5
113,0,35.7107,97,3
114,1,35.7107,43,6
115,1,35.7107,283,3
116,3,35.7107,298,5
117,1,35.7107,6285,3
118,0,35.7107,86,5
119,3,35.7107,1146,5
120,1,35.7107,33,5
121,1,35.7107,28,5
122,5,35.7107,98,1
123,1,35.7107,25,5
124,0,35.7107,77,5
125,1,35.7107,180,3
126,5,35.7107,99,1
127,1,35.7107,18,3
128,1,35.7107,44,3
129,3,35.7107,222,6
130,1,35.7107,110,5
131,0,35.7107,17,6
132,3,35.7107,58,5
133,1,35.7107,437,3
134,0,35.7107,119,3
135,3,35.7107,436,5
136,0,35.7107,178,5
137,0,35.7107,646,6
138,4,35.7107,369,3
139,0,35.7107,348,6
140,4,35.7107,198,3
141,1,35.7107,96,3
142,0,35.7107,95,3
143,1,35.7107,66,3
144,0,35.7107,438,5
145,0,35.7107,740,5
146,0,35.7107,252,5
147,3,35.7107,16,6
148,1,35.7107,30,3
149,3,35.7107,125,5
150,2,35.7107,272,3
151,1,35.7107,451,5
152,3,35.7107,214,5
153,0,35.7107,17,5
154,0,35.7107,5076,3
155,0,35.7107,336,5
156,0,35.7107,96,5
157,1,35.7107,34,3
158,5,35.7107,31,3
159,0,35.7107,314,6
160,0,35.7107,246,3
161,0,35.7107,50,5
162,3,35.7107,52,5
163,0,35.7107,77,3
164,1,35.7107,55,3
165,1,35.7107,94,3
166,3,35.7107,62,5
167,1,35.7107,171,3
168,1,35.7107,177,3
169,3,35.7107,90,6
170,0,35.7107,162,3
171,3,35.7107,302,5
172,5,35.7107,223,1
173,5,35.7107,53,0
174,5,35.7107,77,1
175,3,35.7107,334,3
176,3,35.7107,571,5
177,4,35.7107,5129,3
178,0,35.7107,163,5
179,0,35.7107,29,5
180,3,35.7107,61,5
181,4,35.7107,94,3
182,3,35.7107,66,5
183,5,35.7107,394,3
184,0,35.7107,111,3
185,5,35.7107,7208,1
186,5,35.7107,163,3
187,3,35.7107,107,6
188,0,35.7107,66,5
189,1,35.7107,287,3
190,1,35.7107,300,3
191,5,35.7107,278,1
192,1,35.7107,291,3
193,1,35.7107,403,3
194,1,35.7107,32,5
195,4,35.7107,115,5
196,0,35.7107,186,3
197,0,35.7107,78,3
198,4,35.7107,198,3
199,0,35.7107,45,5
200,1,35.7107,2934,5
201,1,35.7107,5,3
202,3,35.7107,130,5
203,2,35.7107,112,3
204,0,35.7107,84,5
205,1,35.7107,52,3
206,0,35.7107,34,3
207,1,35.7107,52,6
208,0,35.7107,25,5
209,3,35.7107,36,6
210,1,35.7107,33,3
211,0,35.7107,122,5
212,0,35.7107,125,6
213,0,35.7107,81,6
214,1,35.7107,344,5
215,1,35.7107,206,3
216,1,35.7107,135,5
217,3,35.7107,39,4
218,0,35.7107,176,3
219,0,35.7107,53,6
220,1,35.7107,39,3
221,5,35.7107,82,6
222,4,35.7107,79,4
223,4,35.7107,157,3
224,3,35.7107,252,5
225,3,35.7107,36,5
226,3,35.7107,202,3
227,1,35.7107,5307,3
228,0,35.7107,111,5
229,1,35.7107,196,3
230,3,35.7107,195,5
231,0,35.7107,342,5
232,1,35.7107,52,3
233,3,35.7107,55,5
234,0,35.7107,86,5
235,2,35.7107,145,3
236,3,35.7107,163,3
237,5,35.7107,170,3
238,3,35.7107,384,5
239,0,35.7107,212,6
240,2,35.7107,35,3
241,5,35.7107,196,1
242,2,35.7107,71,3
243,1,35.7107,160,3
244,0,35.7107,67,3
245,4,35.7107,80,5
246,3,35.7107,235,6
247,0,35.7107,265,6
248,0,35.7107,1094,3
249,3,35.7107,168,3
250,4,35.7107,273,5
251,1,35.7107,5,3
252,1,35.7107,23,3
253,1,35.7107,46,3
254,0,35.7107,221,5
255,0,35.7107,151,5
256,0,35.7107,83,5
257,1,35.7107,4103,3
258,4,35.7107,459,3
259,1,35.7107,53,3
260,3,35.7107,6,5
261,1,35.7107,343,3
262,1,35.7107,147,5
263,1,35.7107,186,3
264,1,35.7107,37,3
265,5,35.7107,46,1
266,1,35.7107,93,5
267,1,35.7107,263,3
268,5,35.7107,235,3
269,1,35.7107,26,5
270,1,35.7107,183,5
271,0,35.7107,49,3
272,3,35.7107,166,5
273,5,35.7107,53,5
274,2,35.7107,110,3
275,0,35.7107,1156,5
276,3,35.7107,90,5
277,5,35.7107,32,3
278,0,35.7107,292,5
279,1,35.7107,141,3
280,4,35.7107,9,5
281,3,35.7107,338,6
282,3,35.7107,36,5
283,1,35.7107,353,3
284,1,35.7107,32,3
285,3,35.7107,33,5
286,3,35.7107,194,5
287,3,35.7107,218,5
288,0,35.7107,104,5
289,5,35.7107,47,3
290,2,35.7107,50,3
291,1,35.7107,70,3
292,0,35.7107,53,5
293,3,35.7107,41,5
294,2,35.7107,62,3
295,1,35.7107,50,3
296,1,35.7107,58,5
297,3,35.7107,197,3
298,1,35.7107,61,5
299,0,35.7107,259,3
300,5,35.7107,105,0
301,1,35.7107,220,3
302,0,35.7107,2656,5
303,3,35.7107,147,5
304,0,35.7107,2,5
305,3,35.7107,60,6
306,0,35.7107,72,3
307,2,35.7107,159,3
308,3,35.7107,92,3
309,4,35.7107,126,5
310,0,35.7107,142,5
311,0,35.7107,85,5
312,4,35.7107,98,5
313,3,35.7107,285,5
314,3,35.7107,60,6
315,3,35.7107,187,5
316,3,35.7107,151,3
317,3,35.7107,19,6
318,1,35.7107,38,3
319,3,35.7107,80,5
320,0,35.7107,76,6
321,3,35.7107,95,6
322,4,35.7107,82,3
323,1,35.7107,109,5
324,1,35.7107,122,3
325,1,35.7107,22,5
326,3,35.7107,137,5
327,3,35.7107,21,5
328,1,35.7107,157,3
329,0,35.7107,138,5
330,1,35.7107,61,5
331,4,35.7107,23,3
332,3,35.7107,216,6
333,4,35.7107,66,3
334,3,35.7107,114,5
335,0,35.7107,744,6
336,0,35.7107,6012,6
337,3,35.7107,20,5
338,4,35.7107,164,4
339,1,35.7107,65,3
340,1,35.7107,255,3
341,3,35.7107,228,5
342,1,35.7107,195,5
343,4,35.7107,20,5
344,3,35.7107,16,5
345,4,35.7107,219,4
346,3,35.7107,128,2
347,0,35.7107,163,6
348,1,35.7107,333,3
349,4,35.7107,19,3
350,1,35.7107,242,3
351,5,35.7107,73,1
352,4,35.7107,66,4
353,1,35.7107,41,0
354,1,35.7107,273,5
355,1,35.7107,161,3
356,3,35.7107,177,3
357,3,35.7107,4753,5
358,0,35.7107,223,5
359,0,35.7107,32,3
360,1,35.7107,94,3
361,3,35.7107,46,5
362,0,35.7107,204,3
363,1,35.7107,26,4
364,0,35.7107,51,5
365,1,35.7107,63,3
366,2,35.7107,2,3
367,2,35.7107,248,3
368,1,35.7107,264,3
369,2,35.7107,65,3
370,3,35.7107,333,5
371,3,35.7107,4,5
372,0,35.7107,137,5
373,4,35.7107,1311,5
374,4,35.7107,141,3
