,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,2,89.41289,2959,14,6,162.86009,8,160.03752,3,160.59182,-1,161.11756
1,10,89.41289,3942,10,6,162.86009,21,160.03752,3,160.59182,-1,161.11756
2,2,89.41289,2916,10,6,162.86009,21,160.03752,0,160.59182,-1,161.11756
3,9,89.41289,3350,4,0,162.86009,31,160.03752,0,160.59182,-1,161.11756
4,10,89.41289,2540,2,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
5,9,89.41289,3232,10,0,162.86009,39,160.03752,5,160.59182,-1,161.11756
6,2,89.41289,3222,11,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
7,4,89.41289,3607,15,6,162.86009,47,160.03752,6,160.59182,-1,161.11756
8,5,89.41289,3353,12,6,162.86009,0,160.03752,3,160.59182,-1,161.11756
9,4,89.41289,2865,0,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
10,2,89.41289,2567,11,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
11,10,89.41289,2630,9,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
12,2,89.41289,3987,5,6,162.86009,43,160.03752,6,160.59182,-1,161.11756
13,2,89.41289,3106,5,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
14,2,89.41289,3680,11,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
15,9,89.41289,2890,1,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
16,2,89.41289,3187,9,6,162.86009,30,160.03752,4,160.59182,-1,161.11756
17,10,89.41289,3059,11,6,162.86009,21,160.03752,5,160.59182,-1,161.11756
18,9,89.41289,3377,14,6,162.86009,39,160.03752,5,160.59182,-1,161.11756
19,10,89.41289,2869,6,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
20,10,89.41289,2635,10,0,162.86009,39,160.03752,5,160.59182,-1,161.11756
21,10,89.41289,3449,0,6,162.86009,47,160.03752,3,160.59182,-1,161.11756
22,10,89.41289,3159,9,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
23,2,89.41289,4252,14,0,162.86009,11,160.03752,5,160.59182,-1,161.11756
24,2,89.41289,3655,14,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
25,5,89.41289,3702,15,6,162.86009,47,160.03752,3,160.59182,-1,161.11756
26,4,89.41289,2732,6,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
27,12,89.41289,2641,5,6,162.86009,30,160.03752,4,160.59182,-1,161.11756
28,4,89.41289,2866,14,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
29,8,89.41289,2822,0,6,162.86009,0,160.03752,3,160.59182,-1,161.11756
30,12,89.41289,4472,9,7,162.86009,1,160.03752,4,160.59182,-1,161.11756
31,2,89.41289,3523,14,6,162.86009,2,160.03752,4,160.59182,-1,161.11756
32,9,89.41289,2860,6,6,162.86009,3,160.03752,3,160.59182,-1,161.11756
33,2,89.41289,2448,5,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
34,7,89.41289,3102,5,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
35,10,89.41289,3042,6,6,162.86009,4,160.03752,6,160.59182,-1,161.11756
36,2,89.41289,2489,5,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
37,10,89.41289,2875,0,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
38,2,89.41289,2415,2,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
39,7,89.41289,2563,5,6,162.86009,24,160.03752,4,160.59182,-1,161.11756
40,10,89.41289,3245,5,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
41,10,89.41289,3710,11,0,162.86009,39,160.03752,5,160.59182,-1,161.11756
42,4,89.41289,2957,0,6,162.86009,47,160.03752,5,160.59182,-1,161.11756
43,10,89.41289,2965,5,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
44,12,89.41289,3269,11,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
45,10,89.41289,3644,11,0,162.86009,39,160.03752,5,160.59182,-1,161.11756
46,4,89.41289,2718,6,6,162.86009,21,160.03752,3,160.59182,-1,161.11756
47,10,89.41289,3171,5,15,162.86009,5,160.03752,5,160.59182,-1,161.11756
48,10,89.41289,3554,9,6,162.86009,30,160.03752,4,160.59182,-1,161.11756
49,2,89.41289,2504,8,6,162.86009,21,160.03752,3,160.59182,-1,161.11756
50,2,89.41289,2704,5,6,162.86009,30,160.03752,3,160.59182,-1,161.11756
51,7,89.41289,3103,15,6,162.86009,47,160.03752,5,160.59182,-1,161.11756
52,10,89.41289,2811,0,6,162.86009,47,160.03752,3,160.59182,-1,161.11756
53,10,89.41289,3346,15,6,162.86009,6,160.03752,5,160.59182,-1,161.11756
54,9,89.41289,4381,12,0,162.86009,31,160.03752,0,160.59182,-1,161.11756
55,4,89.41289,2461,2,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
56,2,89.41289,3587,11,6,162.86009,21,160.03752,3,160.59182,-1,161.11756
57,2,89.41289,3775,15,6,162.86009,47,160.03752,6,160.59182,-1,161.11756
58,4,89.41289,3208,0,6,162.86009,6,160.03752,5,160.59182,-1,161.11756
59,2,89.41289,2445,5,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
60,9,89.41289,3747,1,0,162.86009,39,160.03752,0,160.59182,-1,161.11756
61,7,89.41289,3268,3,0,162.86009,31,160.03752,0,160.59182,-1,161.11756
62,9,89.41289,4021,13,6,162.86009,21,160.03752,3,160.59182,-1,161.11756
63,10,89.41289,2639,9,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
64,9,89.41289,3897,14,0,162.86009,29,160.03752,0,160.59182,-1,161.11756
65,2,89.41289,2553,12,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
66,2,89.41289,3516,15,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
67,2,89.41289,2714,9,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
68,2,89.41289,3049,1,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
69,10,89.41289,2927,5,6,162.86009,53,160.03752,6,160.59182,-1,161.11756
70,7,89.41289,2949,3,4,162.86009,7,160.03752,4,160.59182,-1,161.11756
71,9,89.41289,4318,13,6,162.86009,21,160.03752,5,160.59182,-1,161.11756
72,9,89.41289,2755,11,0,162.86009,29,160.03752,0,160.59182,-1,161.11756
73,10,89.41289,3441,1,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
74,0,89.41289,3533,6,6,162.86009,47,160.03752,4,160.59182,-1,161.11756
75,2,89.41289,4303,4,6,162.86009,39,160.03752,5,160.59182,-1,161.11756
76,2,89.41289,4116,6,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
77,2,89.41289,4192,9,6,162.86009,51,160.03752,4,160.59182,-1,161.11756
78,2,89.41289,3273,0,6,162.86009,53,160.03752,3,160.59182,-1,161.11756
79,2,89.41289,4324,15,6,162.86009,47,160.03752,6,160.59182,-1,161.11756
80,2,89.41289,2776,9,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
81,7,89.41289,2522,2,6,162.86009,8,160.03752,6,160.59182,-1,161.11756
82,2,89.41289,3105,5,6,162.86009,43,160.03752,6,160.59182,-1,161.11756
83,4,89.41289,2924,8,6,162.86009,53,160.03752,4,160.59182,-1,161.11756
84,10,89.41289,2625,11,0,162.86009,39,160.03752,5,160.59182,-1,161.11756
